outcome	spec	term	beta	se	p	y_sd_beta	n
rulebreak	low + high | CT, QC	C3-high	0.021923	0.010054	0.029218	0.035034	8182
rulebreak	low + high | CT, QC	low - high	-0.0066531	0.016214	0.68156	-0.010632	8182
pfactor	low alone	C3-low	0.049277	0.02111	0.019583	0.02224	8162
pfactor	mid alone	C3-mid	0.040135	0.021657	0.06385	0.018114	8162
pfactor	high alone	C3-high	0.048811	0.021511	0.023263	0.02203	8162
pfactor	low + high	C3-low	0.030553	0.027635	0.2689	0.01379	8162
pfactor	low + high	C3-high	0.028421	0.028188	0.31333	0.012828	8162
pfactor	low + high	low - high	0.0021317	0.050637	0.96642	0.00096212	8162
pfactor	low + high | CT, QC	C3-low	0.024953	0.028039	0.3735	0.011262	8162
pfactor	low + high | CT, QC	C3-high	0.011905	0.032875	0.71725	0.0053733	8162
pfactor	low + high | CT, QC	low - high	0.013048	0.052044	0.80204	0.0058889	8162
