kind	set	vector	n_genes	mean_z	z	p_perm	q_bh
cell class	Astro	PLS1	469	-0.3048	-6.812	5e-05	0.0001
cell class	Astro	PLS2	469	0.1291	2.886	0.0045	0.006
cell class	Astro	C1	469	-0.5159	-11.54	5e-05	0.0001333
cell class	Astro	C3	469	-0.3872	-8.626	5e-05	6.154e-05
cell class	Endo	PLS1	533	0.07124	1.713	0.08645	0.1153
cell class	Endo	PLS2	533	-0.3174	-7.613	5e-05	7.272e-05
cell class	Endo	C1	533	0.1024	2.455	0.0136	0.02176
cell class	Endo	C3	533	-0.3866	-9.26	5e-05	6.154e-05
cell class	Micro	PLS1	384	-0.1679	-3.373	0.001	0.001778
cell class	Micro	PLS2	384	-0.4598	-9.253	5e-05	7.272e-05
cell class	Micro	C1	384	-0.1917	-3.836	0.00015	0.0003428
cell class	Micro	C3	384	-0.4169	-8.421	5e-05	6.154e-05
cell class	Neuro	PLS1	589	-0.05895	-1.497	0.1344	0.1655
cell class	Neuro	PLS2	589	0.5413	13.62	5e-05	7.272e-05
cell class	Neuro	C1	589	0.05277	1.321	0.1856	0.198
cell class	Neuro	C3	589	0.6732	16.9	5e-05	6.154e-05
cell class	Neuro-Ex	PLS1	858	0.02923	0.9157	0.3606	0.3606
cell class	Neuro-Ex	PLS2	858	0.5011	15.69	5e-05	7.272e-05
cell class	Neuro-Ex	C1	858	0.09572	2.959	0.00335	0.005955
cell class	Neuro-Ex	C3	858	0.6522	20.24	5e-05	6.154e-05
cell class	Neuro-In	PLS1	636	0.04618	1.225	0.2193	0.2507
cell class	Neuro-In	PLS2	636	0.3499	9.165	5e-05	7.272e-05
cell class	Neuro-In	C1	636	0.05993	1.583	0.1138	0.1301
cell class	Neuro-In	C3	636	0.38	10	5e-05	6.154e-05
cell class	OPC	PLS1	96	-0.2469	-2.419	0.01525	0.02218
cell class	OPC	PLS2	96	-0.04439	-0.4409	0.6611	0.6611
cell class	OPC	C1	96	-0.3766	-3.684	0.0002	0.0004
cell class	OPC	C3	96	-0.2311	-2.271	0.0224	0.02389
cell class	Oligo	PLS1	405	0.336	6.932	5e-05	0.0001
cell class	Oligo	PLS2	405	-0.8528	-17.57	5e-05	7.272e-05
cell class	Oligo	C1	405	0.2973	6.125	5e-05	0.0001333
cell class	Oligo	C3	405	-0.7398	-15.24	5e-05	6.154e-05
cell class	Per	PLS1	38	0.1715	1.048	0.2965	0.3163
cell class	Per	PLS2	38	-0.08343	-0.516	0.6054	0.6458
cell class	Per	C1	38	0.1541	0.9348	0.3512	0.3512
cell class	Per	C3	38	-0.2629	-1.628	0.1051	0.1051
layer	L1	PLS1	633	-0.2966	-7.788	5e-05	0.0001
layer	L1	PLS2	633	-0.2093	-5.5	5e-05	7.272e-05
layer	L1	C1	633	-0.4469	-11.7	5e-05	0.0001333
layer	L1	C3	633	-0.6521	-17.19	5e-05	6.154e-05
layer	L2	PLS1	677	-0.3438	-9.421	5e-05	0.0001
layer	L2	PLS2	677	0.6541	17.95	5e-05	7.272e-05
layer	L2	C1	677	-0.3816	-10.43	5e-05	0.0001333
layer	L2	C3	677	0.7889	21.59	5e-05	6.154e-05
layer	L3	PLS1	80	-0.2948	-2.623	0.00825	0.0132
layer	L3	PLS2	80	1.163	10.4	5e-05	7.272e-05
layer	L3	C1	80	-0.1885	-1.677	0.09415	0.1159
layer	L3	C3	80	1.26	11.32	5e-05	6.154e-05
layer	L4	PLS1	220	0.4781	7.145	5e-05	0.0001
layer	L4	PLS2	220	0.1103	1.684	0.09155	0.1127
layer	L4	C1	220	0.813	12.14	5e-05	0.0001333
layer	L4	C3	220	0.4578	6.93	5e-05	6.154e-05
layer	L5	PLS1	306	-0.3285	-5.86	5e-05	0.0001
layer	L5	PLS2	306	0.4002	7.122	5e-05	7.272e-05
layer	L5	C1	306	-0.1107	-1.967	0.04935	0.07178
layer	L5	C3	306	0.5753	10.24	5e-05	6.154e-05
layer	L6	PLS1	182	-0.6855	-9.268	5e-05	0.0001
layer	L6	PLS2	182	0.0423	0.5847	0.5576	0.6372
layer	L6	C1	182	-0.457	-6.198	5e-05	0.0001333
layer	L6	C3	182	0.2679	3.623	0.00035	0.0004
layer	WM	PLS1	1764	0.09252	4.38	5e-05	0.0001
layer	WM	PLS2	1764	-0.5747	-27.14	5e-05	7.272e-05
layer	WM	C1	1764	-0.03606	-1.711	0.0848	0.1131
layer	WM	C3	1764	-0.7563	-35.86	5e-05	6.154e-05
