label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_1,2.52381,-0.0163345,56.3214,-39.4321,1.45968,-0.947251,sensorimotor,Somatosensory_and_Motor
lh_10d,2.85808,-0.0320266,,,,,association,Orbital_and_Polar_Frontal
lh_10pp,2.8446,-0.0302634,,,,,association,Orbital_and_Polar_Frontal
lh_10r,2.48747,-0.0314463,-23.9415,55.6677,-0.68931,1.10293,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_10v,2.87984,-0.0305893,-46.6146,23.6833,-1.06211,0.16848,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_11l,2.85041,-0.0325227,-8.46181,35.3767,-0.385458,0.850562,association,Orbital_and_Polar_Frontal
lh_13l,2.83527,-0.0241281,-43.7371,29.9962,-0.79279,0.831419,association,Orbital_and_Polar_Frontal
lh_2,2.29694,-0.0207786,32.4915,-0.330038,0.824149,0.601066,sensorimotor,Somatosensory_and_Motor
lh_23c,2.60317,-0.0256836,-11.9722,12.4016,-0.348565,-0.102357,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_23d,3.17075,-0.0320542,-18.7613,13.0227,-0.370406,0.231694,association,Posterior_Cingulate
lh_24dd,2.94393,-0.0181253,19.8715,-31.6449,0.596163,-1.23126,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_24dv,2.81054,-0.0206152,-30.0185,-3.02075,-0.795558,-1.02538,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_25,3.13868,-0.0245783,-95.6692,17.5803,-1.86941,-1.50988,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_31a,2.84622,-0.0284143,32.7994,32.9827,0.442648,0.866428,association,Posterior_Cingulate
lh_31pd,2.48288,-0.0263172,56.9431,-6.44967,0.951625,-0.655135,association,Posterior_Cingulate
lh_31pv,2.60707,-0.0268147,40.6266,31.6931,0.738355,0.981548,association,Posterior_Cingulate
lh_33pr,2.38636,-0.0110197,-66.2232,-51.5171,-1.42878,-2.78562,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_3a,2.0391,-0.0171841,98.6066,-64.4907,1.66199,-2.44576,sensorimotor,Somatosensory_and_Motor
lh_3b,1.70903,-0.0147493,98.9597,-58.5951,1.74933,-2.38483,sensorimotor,Somatosensory_and_Motor
lh_4,2.75954,-0.00657174,48.4941,-62.5092,1.26505,-2.01289,sensorimotor,Somatosensory_and_Motor
lh_43,2.99019,-0.0151529,-12.1861,-3.18453,0.0605869,0.456511,sensorimotor,Posterior_Opercular
lh_44,2.88459,-0.0148045,-54.3629,3.95772,-0.54118,0.591689,association,Inferior_Frontal
lh_45,2.80829,-0.0218987,-19.7362,11.7281,-0.0695963,1.06861,association,Inferior_Frontal
lh_46,2.66199,-0.0223157,-25.4575,35.0421,-0.205208,1.11654,association,Dorsolateral_Prefrontal
lh_47l,2.95451,-0.0230997,-26.301,13.5552,-0.22174,0.782946,association,Inferior_Frontal
lh_47m,2.71971,-0.0249553,,,,,association,Orbital_and_Polar_Frontal
lh_47s,3.18915,-0.0206537,-89.0809,21.3287,-1.36913,0.329757,association,Orbital_and_Polar_Frontal
lh_52,2.54561,-0.0174913,-10.7806,9.23778,-0.628875,0.0592361,auditory,Early_Auditory
lh_55b,2.95,-0.00517589,-5.88419,-40.564,0.482588,-0.750999,sensorimotor,Premotor
lh_5L,2.48666,-0.0271302,32.7301,-2.1237,0.636314,-0.378335,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_5m,2.51487,-0.0265876,,,,,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_5mv,2.43636,-0.0268678,46.8097,26.9405,0.537936,0.000728977,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6a,2.67227,-0.00861955,-19.7498,-24.968,0.0162966,-0.399385,sensorimotor,Premotor
lh_6d,3.00965,-0.000135853,19.7739,-74.3732,0.89311,-2.13149,sensorimotor,Premotor
lh_6ma,3.02818,-0.0150135,-28.2414,-27.75,-0.15871,-0.195281,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6mp,2.86345,-0.0100773,-7.9149,-61.7264,0.431711,-1.73448,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6r,2.80604,-0.0113063,,,,,sensorimotor,Premotor
lh_6v,3.23944,-0.00729851,,,,,sensorimotor,Premotor
lh_7AL,2.45258,-0.02247,34.8428,3.59683,0.741154,0.299826,association,Superior_Parietal
lh_7Am,2.58877,-0.0277032,34.6214,-0.445308,0.695755,0.00292805,association,Superior_Parietal
lh_7PC,2.5787,-0.0198141,31.8507,-19.1418,0.813794,-0.66671,association,Superior_Parietal
lh_7PL,2.62017,-0.0299388,,,,,association,Superior_Parietal
lh_7Pm,2.66145,-0.0289813,46.9231,27.393,1.09123,0.999146,association,Superior_Parietal
lh_7m,2.77469,-0.0269963,72.379,3.11504,1.28124,-0.260952,association,Posterior_Cingulate
lh_8Ad,2.70439,-0.0151497,-11.7901,-1.25734,-0.0616636,0.30109,association,Dorsolateral_Prefrontal
lh_8Av,2.96934,-0.0197406,-13.7232,-25.142,0.0939365,-0.292834,association,Dorsolateral_Prefrontal
lh_8BL,3.27516,-0.0253951,-36.2383,-15.8192,-0.393402,-0.263895,association,Dorsolateral_Prefrontal
lh_8BM,3.25042,-0.0241341,-32.6467,14.2096,-0.302781,0.276188,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_8C,2.68735,-0.0167436,-8.23245,12.5473,0.237464,0.387725,association,Dorsolateral_Prefrontal
lh_9-46d,2.50781,-0.0226716,0.901561,17.2286,-0.205744,0.350561,association,Dorsolateral_Prefrontal
lh_9a,2.70912,-0.0232046,-7.001,46.3477,-0.198649,1.47316,association,Dorsolateral_Prefrontal
