variant	feature	kind	n_genes	rho_with_thinning	p_spin	mean_fast	mean_mid	mean_slow	n_parcels
ds5	Astro	cell class	473	0.1195	0.4577	0.35	-0.3579	0.007885	177
ds5	Endo	cell class	536	-0.06011	0.6795	0.04318	-0.2256	0.1824	177
ds5	Micro	cell class	389	-0.1505	0.3455	-0.02172	-0.2416	0.2634	177
ds5	Neuro-Ex	cell class	860	0.2219	0.02559	0.1824	0.2212	-0.4036	177
ds5	Neuro-In	cell class	643	0.2569	0.006399	0.2073	0.1388	-0.3461	177
ds5	OPC	cell class	93	0.04729	0.8206	0.2345	-0.289	0.05454	177
ds5	Oligo	cell class	399	-0.1208	0.136	-0.1585	-0.07253	0.231	177
ds5	Per	cell class	39	0.08843	0.4231	0.1726	-0.1579	-0.01466	177
ds5	L1	layer	646	-0.0004653	0.9988	0.2099	-0.3843	0.1744	177
ds5	L2	layer	688	0.1593	0.2889	0.1752	0.06208	-0.2373	177
ds5	L3	layer	85	0.2931	0.014	0.3415	0.08249	-0.424	177
ds5	L4	layer	223	0.0209	0.903	0.01304	0.1995	-0.2125	177
ds5	L5	layer	315	0.1365	0.1568	0.2024	-0.007207	-0.1952	177
ds5	L6	layer	189	-0.03342	0.8224	0.0697	-0.1252	0.05548	177
ds5	WM	layer	1765	-0.07663	0.3707	-0.01074	-0.2711	0.2819	177
ds5	SCZ top 250	risk genes	250	0.1691	0.1828	0.1533	0.06318	-0.2165	177
ds5	SCZ top 500	risk genes	500	0.1633	0.1708	0.1545	0.06143	-0.2159	177
ds5	SCZ top 1000	risk genes	1000	0.1616	0.1674	0.1764	0.01582	-0.1922	177
ds5	MDD top 250	risk genes	250	0.2061	0.1498	0.2833	-0.04695	-0.2364	177
ds5	MDD top 500	risk genes	500	0.2545	0.03139	0.3025	-0.007441	-0.2951	177
ds5	MDD top 1000	risk genes	1000	0.2313	0.04699	0.2688	0.0132	-0.282	177
ds5	PLS2	axis		0.5454	0.0003999	0.5887	0.1527	-0.7414	177
ds5	C3	axis		0.3263	0.03259	0.2067	0.3797	-0.6369	137
