option	ds	component	reference	rho	p_gene_perm	n_genes	sal_dCT	p_spin_component
opt1_dCT	ds0	PLS1	NSPN_PLS1_z	-0.2634	9.999e-05	14865	1	0.06479
opt1_dCT	ds0	PLS1	NSPN_PLS2_z	-0.5784	9.999e-05	14865	1	0.06479
opt1_dCT	ds0	PLS1	C1	-0.5445	9.999e-05	7971	1	0.06479
opt1_dCT	ds0	PLS1	C2	-0.05099	9.999e-05	7971	1	0.06479
opt1_dCT	ds0	PLS1	C3	-0.5971	9.999e-05	7971	1	0.06479
opt2_dCT_CT	ds0	PLS1	NSPN_PLS1_z	-0.832	9.999e-05	14865	0.3461	0.0003999
opt2_dCT_CT	ds0	PLS1	NSPN_PLS2_z	-0.1896	9.999e-05	14865	0.3461	0.0003999
opt2_dCT_CT	ds0	PLS1	C1	-0.9209	9.999e-05	7971	0.3461	0.0003999
opt2_dCT_CT	ds0	PLS1	C2	0.1816	9.999e-05	7971	0.3461	0.0003999
opt2_dCT_CT	ds0	PLS1	C3	-0.0611	9.999e-05	7971	0.3461	0.0003999
opt2_dCT_CT	ds0	PLS2	NSPN_PLS1_z	0.3553	9.999e-05	14865	0.9382	0.0022
opt2_dCT_CT	ds0	PLS2	NSPN_PLS2_z	-0.5764	9.999e-05	14865	0.9382	0.0022
opt2_dCT_CT	ds0	PLS2	C1	0.2543	9.999e-05	7971	0.9382	0.0022
opt2_dCT_CT	ds0	PLS2	C2	-0.2228	9.999e-05	7971	0.9382	0.0022
opt2_dCT_CT	ds0	PLS2	C3	-0.7465	9.999e-05	7971	0.9382	0.0022
opt3_dCT_dT1T2	ds0	PLS1	NSPN_PLS1_z	-0.726	9.999e-05	14865	0.464	0.007998
opt3_dCT_dT1T2	ds0	PLS1	NSPN_PLS2_z	-0.3338	9.999e-05	14865	0.464	0.007998
opt3_dCT_dT1T2	ds0	PLS1	C1	-0.9208	9.999e-05	7971	0.464	0.007998
opt3_dCT_dT1T2	ds0	PLS1	C2	-0.1603	9.999e-05	7971	0.464	0.007998
opt3_dCT_dT1T2	ds0	PLS1	C3	-0.0613	9.999e-05	7971	0.464	0.007998
opt3_dCT_dT1T2	ds0	PLS2	NSPN_PLS1_z	0.3827	9.999e-05	14865	0.8859	0.0148
opt3_dCT_dT1T2	ds0	PLS2	NSPN_PLS2_z	-0.4411	9.999e-05	14865	0.8859	0.0148
