kind	set	vector	n_genes	mean_z	z	p_perm	q_bh
cell class	Astro	PLS1	471	-0.3068	-6.92	5e-05	0.0001143
cell class	Astro	PLS2	471	0.2481	5.5	5e-05	7.272e-05
cell class	Astro	C1	471	-0.5171	-11.57	5e-05	0.0001143
cell class	Astro	C3	471	-0.3896	-8.649	5e-05	6.154e-05
cell class	Endo	PLS1	537	0.03367	0.81	0.4175	0.4175
cell class	Endo	PLS2	537	-0.2388	-5.732	5e-05	7.272e-05
cell class	Endo	C1	537	0.1053	2.544	0.01055	0.01688
cell class	Endo	C3	537	-0.3875	-9.316	5e-05	6.154e-05
cell class	Micro	PLS1	391	-0.1824	-3.686	0.00015	0.0003
cell class	Micro	PLS2	391	-0.5424	-11.01	5e-05	7.272e-05
cell class	Micro	C1	391	-0.2018	-4.084	5e-05	0.0001143
cell class	Micro	C3	391	-0.4205	-8.583	5e-05	6.154e-05
cell class	Neuro	PLS1	600	0.04007	1.015	0.309	0.3532
cell class	Neuro	PLS2	600	0.455	11.47	5e-05	7.272e-05
cell class	Neuro	C1	600	0.0544	1.378	0.1674	0.1786
cell class	Neuro	C3	600	0.6614	16.82	5e-05	6.154e-05
cell class	Neuro-Ex	PLS1	862	0.07383	2.297	0.02195	0.03193
cell class	Neuro-Ex	PLS2	862	0.4264	13.27	5e-05	7.272e-05
cell class	Neuro-Ex	C1	862	0.09593	2.972	0.00275	0.004889
cell class	Neuro-Ex	C3	862	0.6475	20.13	5e-05	6.154e-05
cell class	Neuro-In	PLS1	638	0.09651	2.547	0.011	0.01955
cell class	Neuro-In	PLS2	638	0.3051	8.014	5e-05	7.272e-05
cell class	Neuro-In	C1	638	0.05852	1.544	0.1247	0.1426
cell class	Neuro-In	C3	638	0.3775	9.925	5e-05	6.154e-05
cell class	OPC	PLS1	96	-0.251	-2.481	0.01295	0.02072
cell class	OPC	PLS2	96	-0.01692	-0.1673	0.8693	0.9273
cell class	OPC	C1	96	-0.3758	-3.704	0.0003	0.0006
cell class	OPC	C3	96	-0.2354	-2.322	0.0208	0.02219
cell class	Oligo	PLS1	405	0.2502	5.178	5e-05	0.0001143
cell class	Oligo	PLS2	405	-0.6672	-13.8	5e-05	7.272e-05
cell class	Oligo	C1	405	0.299	6.197	5e-05	0.0001143
cell class	Oligo	C3	405	-0.7438	-15.36	5e-05	6.154e-05
cell class	Per	PLS1	38	0.1539	0.9473	0.3429	0.3657
cell class	Per	PLS2	38	-0.008544	-0.05168	0.9587	0.9587
cell class	Per	C1	38	0.1556	0.9588	0.3374	0.3374
cell class	Per	C3	38	-0.2671	-1.634	0.1022	0.1022
layer	L1	PLS1	643	-0.2806	-7.444	5e-05	0.0001143
layer	L1	PLS2	643	-0.1107	-2.929	0.00345	0.0046
layer	L1	C1	643	-0.4466	-11.88	5e-05	0.0001143
layer	L1	C3	643	-0.6474	-17.13	5e-05	6.154e-05
layer	L2	PLS1	688	-0.3211	-8.871	5e-05	0.0001143
layer	L2	PLS2	688	0.5442	14.88	5e-05	7.272e-05
layer	L2	C1	688	-0.3871	-10.63	5e-05	0.0001143
layer	L2	C3	688	0.7857	21.64	5e-05	6.154e-05
layer	L3	PLS1	85	-0.1939	-1.813	0.06935	0.08535
layer	L3	PLS2	85	1.076	9.973	5e-05	7.272e-05
layer	L3	C1	85	-0.1773	-1.645	0.1008	0.1344
layer	L3	C3	85	1.227	11.32	5e-05	6.154e-05
layer	L4	PLS1	223	0.509	7.681	5e-05	0.0001143
layer	L4	PLS2	223	0.106	1.607	0.1083	0.1333
layer	L4	C1	223	0.7995	12.02	5e-05	0.0001143
layer	L4	C3	223	0.4605	7.011	5e-05	6.154e-05
layer	L5	PLS1	311	-0.305	-5.477	5e-05	0.0001143
layer	L5	PLS2	311	0.3495	6.301	5e-05	7.272e-05
layer	L5	C1	311	-0.1173	-2.101	0.03615	0.05258
layer	L5	C3	311	0.5675	10.21	5e-05	6.154e-05
layer	L6	PLS1	190	-0.5467	-7.653	5e-05	0.0001143
layer	L6	PLS2	190	0.04782	0.6612	0.5113	0.5843
layer	L6	C1	190	-0.4338	-6.075	5e-05	0.0001143
layer	L6	C3	190	0.2628	3.64	0.0004	0.0004571
layer	WM	PLS1	1773	0.04782	2.281	0.02405	0.03207
layer	WM	PLS2	1773	-0.4714	-22.64	5e-05	7.272e-05
layer	WM	C1	1773	-0.03276	-1.577	0.1181	0.1426
layer	WM	C3	1773	-0.761	-36.52	5e-05	6.154e-05
