variant	matrix	component	n_parcels	n_genes	cov_explained	p_spin_singular	boot_reproducibility	sal_dCT	sal_CT
base	hcp_base.csv	PLS1	177	15636	0.81446	0.00039992	0.96112	0.15092	0.98855
base	hcp_base.csv	PLS2	177	15636	0.18554	0.0027994	0.87481	0.98855	-0.15092
