x	y	rho	p_spin	n
CT	PLS1	-0.5933	0.0003999	137
dCT	PLS1	-0.1145	0.5785	137
C1	PLS1	0.9882	0.0003999	137
C3	PLS1	0.03722	0.8734	137
CT	PLS2	-0.01375	0.9336	137
dCT	PLS2	-0.5841	0.0003999	137
C1	PLS2	-0.2348	0.1648	137
C3	PLS2	0.7012	0.0003999	137
