sample	outcome	score	adjust	beta	se	p	n	y_sd_beta
all	anxdisord	grad_slope	+global+CT+QC	-0.010504	0.0066898	0.11639	8185	-0.016178
all	anxdisord	grad_fit	base	-0.0040594	0.0080416	0.6137	8185	-0.0062523
all	anxdisord	grad_fit	+global	-0.0086075	0.0082543	0.29704	8185	-0.013258
all	anxdisord	grad_fit	+global+CT	-0.0077472	0.0082443	0.34737	8185	-0.011932
all	anxdisord	grad_fit	+global+CT+QC	-0.0092637	0.0084691	0.27403	8185	-0.014268
all	anxdisord	pls2_beyond_grad	base	-0.0053793	0.006116	0.3791	8185	-0.0082854
all	anxdisord	pls2_beyond_grad	+global	-0.0044479	0.0061226	0.46755	8185	-0.0068508
all	anxdisord	pls2_beyond_grad	+global+CT	0.00025144	0.0064305	0.96881	8185	0.00038728
all	anxdisord	pls2_beyond_grad	+global+CT+QC	0.00018532	0.0064293	0.97701	8185	0.00028543
all	anxdisord	ct_grad_slope	base	-0.0054	0.0064921	0.40554	8185	-0.0083172
all	anxdisord	ct_grad_slope	+global	-0.009302	0.0066848	0.16407	8185	-0.014327
all	anxdisord	glob_thin	base	0.01613	0.0067995	0.01768	8185	0.024844
all	anxdep	grad_slope	base	-0.0015154	0.0068424	0.82472	8184	-0.0020935
all	anxdep	grad_slope	+global	-0.0062785	0.0071151	0.37755	8184	-0.0086738
all	anxdep	grad_slope	+global+CT	-0.012877	0.0073333	0.079106	8184	-0.017789
all	anxdep	grad_slope	+global+CT+QC	-0.013379	0.0073905	0.070254	8184	-0.018483
all	anxdep	grad_fit	base	-0.0017955	0.0086519	0.8356	8184	-0.0024805
all	anxdep	grad_fit	+global	-0.0059522	0.0088887	0.50309	8184	-0.008223
all	anxdep	grad_fit	+global+CT	-0.0048438	0.0088764	0.58527	8184	-0.0066918
all	anxdep	grad_fit	+global+CT+QC	-0.0044011	0.0090958	0.62849	8184	-0.0060801
all	anxdep	pls2_beyond_grad	base	-0.005412	0.0066681	0.41701	8184	-0.0074766
all	anxdep	pls2_beyond_grad	+global	-0.0045479	0.0066824	0.49614	8184	-0.0062829
all	anxdep	pls2_beyond_grad	+global+CT	0.0021487	0.007032	0.75993	8184	0.0029685
all	anxdep	pls2_beyond_grad	+global+CT+QC	0.0021855	0.007031	0.75593	8184	0.0030192
all	anxdep	ct_grad_slope	base	-0.0097741	0.0071595	0.1722	8184	-0.013503
all	anxdep	ct_grad_slope	+global	-0.013643	0.0073586	0.06374	8184	-0.018847
all	anxdep	glob_thin	base	0.015024	0.0074323	0.043234	8184	0.020756
all	withdep	grad_slope	base	0.015523	0.0066985	0.020484	8189	0.023512
all	withdep	grad_slope	+global	0.01043	0.0069675	0.13441	8189	0.015797
all	withdep	grad_slope	+global+CT	0.010677	0.0071615	0.13601	8189	0.016171
all	withdep	grad_slope	+global+CT+QC	0.012492	0.0071932	0.082453	8189	0.018921
all	withdep	grad_fit	base	-0.0079649	0.0083414	0.33965	8189	-0.012064
all	withdep	grad_fit	+global	-0.014193	0.0085351	0.096321	8189	-0.021498
all	withdep	grad_fit	+global+CT	-0.014337	0.0085409	0.093217	8189	-0.021716
all	withdep	grad_fit	+global+CT+QC	-0.018502	0.0087673	0.034835	8189	-0.028023
