outcome	map	label	r	t	p	n
depress	absolute	lh_1	0.015095	1.3633	0.17282	8181
depress	absolute	lh_10d	0.00037951	0.034271	0.97266	8181
depress	absolute	lh_10pp	-0.0055343	-0.49978	0.61724	8181
depress	absolute	lh_10r	-0.0038144	-0.34446	0.73051	8181
depress	absolute	lh_10v	0.0013799	0.12461	0.90084	8181
depress	absolute	lh_11l	-0.010063	-0.90883	0.36347	8181
depress	absolute	lh_13l	0.0031328	0.28291	0.77725	8181
depress	absolute	lh_2	0.032119	2.902	0.0037175	8181
depress	absolute	lh_23c	0.0058082	0.52452	0.59993	8181
depress	absolute	lh_23d	-0.011272	-1.0179	0.30873	8181
depress	absolute	lh_24dd	0.037114	3.3539	0.00080049	8181
depress	absolute	lh_24dv	0.035366	3.1957	0.0014001	8181
depress	absolute	lh_25	-0.011729	-1.0593	0.28949	8181
depress	absolute	lh_31a	0.0081427	0.73535	0.46215	8181
depress	absolute	lh_31pd	0.0059383	0.53627	0.59179	8181
depress	absolute	lh_31pv	0.019732	1.7823	0.074744	8181
depress	absolute	lh_33pr	-0.0094518	-0.85358	0.39336	8181
depress	absolute	lh_3a	0.0088677	0.80083	0.42325	8181
depress	absolute	lh_3b	0.015039	1.3583	0.17441	8181
depress	absolute	lh_4	0.00010119	0.0091377	0.99271	8181
depress	absolute	lh_43	0.012227	1.1042	0.26952	8181
depress	absolute	lh_44	0.0099061	0.89461	0.37102	8181
depress	absolute	lh_45	0.043752	3.9548	7.7255e-05	8181
depress	absolute	lh_46	0.015195	1.3724	0.16999	8181
depress	absolute	lh_47l	0.0038963	0.35186	0.72496	8181
depress	absolute	lh_47m	0.0067268	0.60748	0.54355	8181
depress	absolute	lh_47s	0.018392	1.6612	0.096721	8181
depress	absolute	lh_52	0.04104	3.7092	0.00020927	8181
depress	absolute	lh_55b	0.013284	1.1997	0.23028	8181
depress	absolute	lh_5L	0.0090359	0.81602	0.41451	8181
depress	absolute	lh_5m	0.03893	3.5183	0.00043672	8181
depress	absolute	lh_5mv	0.030337	2.7409	0.0061409	8181
depress	absolute	lh_6a	0.0083217	0.75152	0.45236	8181
depress	absolute	lh_6d	0.0034091	0.30786	0.7582	8181
depress	absolute	lh_6ma	-0.0066618	-0.60161	0.54745	8181
depress	absolute	lh_6mp	0.0095307	0.86071	0.38942	8181
depress	absolute	lh_6r	0.024913	2.2505	0.024445	8181
depress	absolute	lh_6v	0.0090776	0.81979	0.41236	8181
depress	absolute	lh_7AL	0.015025	1.357	0.17483	8181
depress	absolute	lh_7Am	-0.0050336	-0.45456	0.64944	8181
depress	absolute	lh_7PC	-0.0041984	-0.37914	0.70459	8181
depress	absolute	lh_7PL	0.00087221	0.078765	0.93722	8181
depress	absolute	lh_7Pm	0.0094693	0.85517	0.39248	8181
depress	absolute	lh_7m	0.028194	2.5471	0.010881	8181
depress	absolute	lh_8Ad	0.0063776	0.57594	0.56467	8181
depress	absolute	lh_8Av	-0.0031448	-0.28399	0.77642	8181
depress	absolute	lh_8BL	0.0088696	0.801	0.42316	8181
depress	absolute	lh_8BM	0.0042819	0.38668	0.699	8181
depress	absolute	lh_8C	0.03122	2.8207	0.0048031	8181
depress	absolute	lh_9-46d	0.0084477	0.76289	0.44555	8181
depress	absolute	lh_9a	-0.014323	-1.2936	0.19585	8181
depress	absolute	lh_9m	0.012036	1.087	0.27706	8181
depress	absolute	lh_9p	0.00030553	0.027591	0.97799	8181
depress	absolute	lh_A1	0.025694	2.3211	0.020307	8181
depress	absolute	lh_A4	0.013795	1.2458	0.21286	8181
depress	absolute	lh_A5	0.019474	1.759	0.078623	8181
depress	absolute	lh_AAIC	-0.015415	-1.3922	0.1639	8181
depress	absolute	lh_AIP	0.0024477	0.22104	0.82507	8181
depress	absolute	lh_AVI	0.026857	2.4262	0.01528	8181
depress	absolute	lh_DVT	0.0265	2.394	0.01669	8181
depress	absolute	lh_EC	0.0050988	0.46046	0.6452	8181
depress	absolute	lh_FEF	0.027712	2.5035	0.012317	8181
depress	absolute	lh_FFC	0.016891	1.5256	0.12715	8181
depress	absolute	lh_FOP1	0.020765	1.8756	0.060745	8181
depress	absolute	lh_FOP2	0.024268	2.1922	0.028395	8181
depress	absolute	lh_FOP3	0.02354	2.1263	0.033506	8181
depress	absolute	lh_FOP4	0.025289	2.2844	0.022372	8181
depress	absolute	lh_FOP5	0.032001	2.8913	0.0038465	8181
depress	absolute	lh_FST	0.016472	1.4877	0.13687	8181
depress	absolute	lh_IFJa	0.02603	2.3515	0.018723	8181
depress	absolute	lh_IFJp	0.0010475	0.094597	0.92464	8181
depress	absolute	lh_IFSa	0.01937	1.7496	0.080231	8181
depress	absolute	lh_IFSp	0.023403	2.114	0.034548	8181
depress	absolute	lh_IP0	0.010869	0.98157	0.32634	8181
depress	absolute	lh_IP1	0.016399	1.4811	0.13863	8181
depress	absolute	lh_IP2	0.02191	1.979	0.047846	8181
depress	absolute	lh_IPS1	0.018593	1.6793	0.093125	8181
depress	absolute	lh_Ig	0.016647	1.5035	0.13275	8181
depress	absolute	lh_LBelt	0.016014	1.4464	0.14812	8181
depress	absolute	lh_LIPd	0.010314	0.93145	0.35165	8181
depress	absolute	lh_LIPv	-0.00082066	-0.07411	0.94092	8181
depress	absolute	lh_LO1	0.011681	1.0549	0.29149	8181
depress	absolute	lh_LO2	0.02077	1.8761	0.060681	8181
depress	absolute	lh_LO3	0.026392	2.3841	0.017142	8181
depress	absolute	lh_MBelt	0.031627	2.8575	0.004281	8181
depress	absolute	lh_MI	0.025868	2.3368	0.019475	8181
depress	absolute	lh_MIP	0.0096953	0.87557	0.38129	8181
depress	absolute	lh_MST	0.030628	2.7672	0.0056671	8181
depress	absolute	lh_MT	0.021014	1.8981	0.057714	8181
depress	absolute	lh_OFC	-0.025315	-2.2868	0.022234	8181
depress	absolute	lh_OP1	-0.001367	-0.12345	0.90175	8181
depress	absolute	lh_OP2-3	0.014921	1.3476	0.17784	8181
depress	absolute	lh_OP4	0.028625	2.586	0.0097266	8181
depress	absolute	lh_PBelt	0.021564	1.9478	0.051473	8181
depress	absolute	lh_PCV	0.021681	1.9584	0.050218	8181
depress	absolute	lh_PEF	0.0047105	0.42538	0.67057	8181
depress	absolute	lh_PF	0.025107	2.268	0.023354	8181
depress	absolute	lh_PFcm	0.034145	3.0852	0.0020408	8181
depress	absolute	lh_PFm	0.019581	1.7686	0.077003	8181
depress	absolute	lh_PFop	0.017934	1.6198	0.10532	8181
depress	absolute	lh_PFt	0.011887	1.0735	0.28308	8181
depress	absolute	lh_PGi	0.01774	1.6022	0.10914	8181
depress	absolute	lh_PGp	0.023322	2.1066	0.03518	8181
depress	absolute	lh_PGs	0.010968	0.99054	0.32194	8181
depress	absolute	lh_PH	0.04248	3.8397	0.00012414	8181
depress	absolute	lh_PHA1	0.0099528	0.89883	0.36877	8181
depress	absolute	lh_PHA2	0.021105	1.9063	0.056649	8181
depress	absolute	lh_PHA3	0.026317	2.3773	0.017461	8181
depress	absolute	lh_PHT	0.0032984	0.29787	0.76581	8181
depress	absolute	lh_PI	0.021805	1.9696	0.048923	8181
depress	absolute	lh_PIT	0.017406	1.5721	0.11597	8181
depress	absolute	lh_POS1	0.018022	1.6278	0.10362	8181
depress	absolute	lh_POS2	0.031125	2.8121	0.0049333	8181
depress	absolute	lh_PSL	0.0096785	0.87406	0.38211	8181
depress	absolute	lh_PeEc	0.019326	1.7456	0.080922	8181
depress	absolute	lh_Pir	-0.023685	-2.1395	0.032425	8181
depress	absolute	lh_PoI1	0.02484	2.2438	0.02487	8181
depress	absolute	lh_PoI2	-0.0099331	-0.89705	0.36972	8181
depress	absolute	lh_PreS	0.01632	1.4739	0.14054	8181
depress	absolute	lh_ProS	0.024081	2.1753	0.02964	8181
depress	absolute	lh_RI	0.013468	1.2163	0.2239	8181
depress	absolute	lh_RSC	0.0071381	0.64462	0.51919	8181
depress	absolute	lh_SCEF	0.010386	0.93796	0.34829	8181
depress	absolute	lh_SFL	-0.0057939	-0.52323	0.60083	8181
depress	absolute	lh_STGa	0.022702	2.0506	0.040336	8181
depress	absolute	lh_STSda	0.019602	1.7705	0.076687	8181
depress	absolute	lh_STSdp	0.020689	1.8687	0.0617	8181
depress	absolute	lh_STSva	0.021718	1.9617	0.049832	8181
depress	absolute	lh_STSvp	0.0087315	0.78853	0.43041	8181
depress	absolute	lh_STV	0.0089782	0.81081	0.4175	8181
depress	absolute	lh_TA2	0.033337	3.0122	0.0026015	8181
depress	absolute	lh_TE1a	0.020721	1.8717	0.06129	8181
depress	absolute	lh_TE1m	0.0042696	0.38557	0.69983	8181
depress	absolute	lh_TE1p	-0.0083689	-0.75578	0.4498	8181
depress	absolute	lh_TE2a	0.0089323	0.80667	0.41988	8181
depress	absolute	lh_TE2p	0.019694	1.7788	0.075308	8181
depress	absolute	lh_TF	0.024481	2.2114	0.027035	8181
depress	absolute	lh_TGd	0.020507	1.8523	0.064021	8181
depress	absolute	lh_TGv	0.0090582	0.81804	0.41336	8181
depress	absolute	lh_TPOJ1	0.017355	1.5675	0.11704	8181
depress	absolute	lh_TPOJ2	0.019504	1.7617	0.078162	8181
depress	absolute	lh_TPOJ3	0.028159	2.5439	0.010981	8181
depress	absolute	lh_V1	0.0060221	0.54384	0.58657	8181
depress	absolute	lh_V2	0.0084693	0.76485	0.44438	8181
depress	absolute	lh_V3	0.026416	2.3863	0.017039	8181
depress	absolute	lh_V3A	0.016426	1.4835	0.13798	8181
depress	absolute	lh_V3B	0.0072522	0.65493	0.51253	8181
depress	absolute	lh_V3CD	0.031857	2.8783	0.0040089	8181
depress	absolute	lh_V4	0.021955	1.9831	0.047388	8181
depress	absolute	lh_V4t	0.012454	1.1247	0.26074	8181
depress	absolute	lh_V6	0.041137	3.718	0.00020213	8181
depress	absolute	lh_V6A	0.011377	1.0275	0.30422	8181
depress	absolute	lh_V7	0.027024	2.4413	0.014657	8181
depress	absolute	lh_V8	0.0020617	0.18618	0.85231	8181
depress	absolute	lh_VIP	-0.0023344	-0.21081	0.83304	8181
depress	absolute	lh_VMV1	0.038917	3.5171	0.00043872	8181
depress	absolute	lh_VMV2	0.0071077	0.64188	0.52097	8181
depress	absolute	lh_VMV3	0.034772	3.1419	0.0016843	8181
depress	absolute	lh_VVC	0.044409	4.0143	6.0155e-05	8181
depress	absolute	lh_a10p	0.010951	0.989	0.32269	8181
depress	absolute	lh_a24	0.010744	0.97034	0.33191	8181
depress	absolute	lh_a24pr	0.018779	1.6961	0.089898	8181
depress	absolute	lh_a32pr	0.012637	1.1412	0.25381	8181
depress	absolute	lh_a47r	0.0063314	0.57177	0.56749	8181
depress	absolute	lh_a9-46v	0.020978	1.8949	0.058148	8181
depress	absolute	lh_d23ab	0.019848	1.7927	0.073053	8181
depress	absolute	lh_d32	0.017297	1.5623	0.11826	8181
depress	absolute	lh_i6-8	0.011102	1.0026	0.31607	8181
depress	absolute	lh_p10p	0.0060597	0.54723	0.58423	8181
depress	absolute	lh_p24	0.0025129	0.22693	0.82048	8181
depress	absolute	lh_p24pr	0.037506	3.3894	0.00070387	8181
depress	absolute	lh_p32	-0.0017547	-0.15846	0.8741	8181
depress	absolute	lh_p32pr	0.013331	1.204	0.22863	8181
depress	absolute	lh_p47r	0.015904	1.4364	0.15092	8181
depress	absolute	lh_p9-46v	0.020506	1.8522	0.064029	8181
depress	absolute	lh_pOFC	-0.018456	-1.667	0.095561	8181
depress	absolute	lh_s32	0.0091545	0.82673	0.40841	8181
depress	absolute	lh_s6-8	0.0016491	0.14892	0.88162	8181
depress	absolute	lh_v23ab	0.024942	2.2531	0.02428	8181
depress	relative	lh_1	-0.00077419	-0.069909	0.94427	8181
depress	relative	lh_10d	-0.012654	-1.1427	0.25319	8181
depress	relative	lh_10pp	-0.017036	-1.5386	0.12395	8181
depress	relative	lh_10r	-0.014251	-1.287	0.19813	8181
depress	relative	lh_10v	-0.010007	-0.90366	0.36621	8181
depress	relative	lh_11l	-0.023398	-2.1135	0.034592	8181
depress	relative	lh_13l	-0.0093709	-0.84622	0.39745	8181
depress	relative	lh_2	0.017509	1.5813	0.11386	8181
depress	relative	lh_23c	-0.011917	-1.0762	0.28188	8181
depress	relative	lh_23d	-0.020774	-1.8763	0.060646	8181
depress	relative	lh_24dd	0.024646	2.2262	0.026027	8181
depress	relative	lh_24dv	0.024338	2.1984	0.027949	8181
depress	relative	lh_25	-0.016187	-1.4619	0.14382	8181
depress	relative	lh_31a	-0.0041066	-0.37083	0.71077	8181
depress	relative	lh_31pd	-0.010121	-0.91395	0.36077	8181
depress	relative	lh_31pv	0.0061904	0.559	0.57618	8181
depress	relative	lh_33pr	-0.011835	-1.0688	0.2852	8181
depress	relative	lh_3a	-0.0013587	-0.12269	0.90235	8181
depress	relative	lh_3b	0.007649	0.69072	0.48976	8181
depress	relative	lh_4	-0.0028966	-0.26156	0.79366	8181
depress	relative	lh_43	-8.4278e-05	-0.0076103	0.99393	8181
depress	relative	lh_44	-0.0038642	-0.34893	0.72715	8181
depress	relative	lh_45	0.032353	2.923	0.0034764	8181
depress	relative	lh_46	-0.0031134	-0.28114	0.77861	8181
depress	relative	lh_47l	-0.01106	-0.99874	0.31795	8181
depress	relative	lh_47m	-0.0053011	-0.4787	0.63217	8181
depress	relative	lh_47s	0.0079977	0.72221	0.47019	8181
depress	relative	lh_52	0.032309	2.919	0.0035208	8181
depress	relative	lh_55b	0.00065522	0.059166	0.95282	8181
depress	relative	lh_5L	-0.0058102	-0.52466	0.59983	8181
depress	relative	lh_5m	0.026612	2.4039	0.016244	8181
depress	relative	lh_5mv	0.016255	1.468	0.14215	8181
depress	relative	lh_6a	-0.0098659	-0.89093	0.37299	8181
depress	relative	lh_6d	-0.010822	-0.97726	0.32847	8181
depress	relative	lh_6ma	-0.022951	-2.073	0.038204	8181
depress	relative	lh_6mp	-0.0057505	-0.51927	0.60359	8181
depress	relative	lh_6r	0.010505	0.94863	0.34284	8181
depress	relative	lh_6v	-0.0040336	-0.36423	0.71569	8181
depress	relative	lh_7AL	0.0017076	0.15419	0.87746	8181
depress	relative	lh_7Am	-0.021729	-1.9626	0.049732	8181
depress	relative	lh_7PC	-0.02244	-2.0269	0.042708	8181
depress	relative	lh_7PL	-0.014474	-1.3071	0.1912	8181
depress	relative	lh_7Pm	-0.0034088	-0.30782	0.75823	8181
depress	relative	lh_7m	0.014003	1.2646	0.20607	8181
depress	relative	lh_8Ad	-0.012318	-1.1124	0.266	8181
depress	relative	lh_8Av	-0.014644	-1.3225	0.18604	8181
depress	relative	lh_8BL	-0.0052621	-0.47517	0.63468	8181
depress	relative	lh_8BM	-0.011823	-1.0677	0.28568	8181
depress	relative	lh_8C	0.016703	1.5085	0.13148	8181
depress	relative	lh_9-46d	-0.0089954	-0.81232	0.41663	8181
depress	relative	lh_9a	-0.030765	-2.7794	0.0054592	8181
depress	relative	lh_9m	-0.0038241	-0.34532	0.72987	8181
depress	relative	lh_9p	-0.016423	-1.4832	0.13807	8181
depress	relative	lh_A1	0.013871	1.2527	0.21036	8181
depress	relative	lh_A4	-0.0039594	-0.35754	0.7207	8181
depress	relative	lh_A5	0.0036555	0.33009	0.74134	8181
depress	relative	lh_AAIC	-0.018728	-1.6914	0.090794	8181
depress	relative	lh_AIP	-0.017466	-1.5774	0.11475	8181
depress	relative	lh_AVI	0.017121	1.5463	0.12208	8181
depress	relative	lh_DVT	0.011689	1.0556	0.29117	8181
depress	relative	lh_EC	0.0017149	0.15485	0.87694	8181
depress	relative	lh_FEF	0.015467	1.3968	0.16252	8181
depress	relative	lh_FFC	0.00057325	0.051764	0.95872	8181
depress	relative	lh_FOP1	0.010977	0.99124	0.3216	8181
depress	relative	lh_FOP2	0.015196	1.3724	0.16998	8181
depress	relative	lh_FOP3	0.015274	1.3794	0.16782	8181
depress	relative	lh_FOP4	0.014424	1.3026	0.19274	8181
depress	relative	lh_FOP5	0.021552	1.9466	0.051622	8181
depress	relative	lh_FST	0.0015964	0.14416	0.88538	8181
depress	relative	lh_IFJa	0.014377	1.2983	0.19421	8181
depress	relative	lh_IFJp	-0.0099542	-0.8989	0.36873	8181
depress	relative	lh_IFSa	0.0037541	0.339	0.73462	8181
depress	relative	lh_IFSp	0.0095401	0.8615	0.38899	8181
depress	relative	lh_IP0	-0.0056108	-0.50666	0.6124	8181
depress	relative	lh_IP1	-0.0012227	-0.11041	0.91209	8181
depress	relative	lh_IP2	0.0067798	0.61223	0.5404	8181
depress	relative	lh_IPS1	0.0035446	0.32008	0.74892	8181
depress	relative	lh_Ig	0.0064215	0.57987	0.56202	8181
depress	relative	lh_LBelt	0.0034784	0.3141	0.75345	8181
depress	relative	lh_LIPd	-0.0045883	-0.41432	0.67865	8181
depress	relative	lh_LIPv	-0.016531	-1.4929	0.13549	8181
depress	relative	lh_LO1	-0.0026754	-0.24159	0.8091	8181
depress	relative	lh_LO2	0.0078548	0.70931	0.47815	8181
depress	relative	lh_LO3	0.013253	1.1968	0.23141	8181
depress	relative	lh_MBelt	0.020082	1.8138	0.069747	8181
depress	relative	lh_MI	0.016574	1.4969	0.13447	8181
depress	relative	lh_MIP	-0.0070649	-0.63797	0.52351	8181
depress	relative	lh_MST	0.018068	1.6318	0.10276	8181
depress	relative	lh_MT	0.0067668	0.61105	0.54118	8181
depress	relative	lh_OFC	-0.034548	-3.1215	0.0018054	8181
depress	relative	lh_OP1	-0.012653	-1.1427	0.2532	8181
depress	relative	lh_OP2-3	0.0048641	0.43923	0.66051	8181
depress	relative	lh_OP4	0.015306	1.3823	0.16692	8181
depress	relative	lh_PBelt	0.0075375	0.68065	0.49611	8181
depress	relative	lh_PCV	0.0061718	0.55732	0.57732	8181
depress	relative	lh_PEF	-0.0063381	-0.57234	0.56711	8181
depress	relative	lh_PF	0.010373	0.9367	0.34894	8181
depress	relative	lh_PFcm	0.021803	1.9692	0.048958	8181
depress	relative	lh_PFm	0.0011216	0.10128	0.91933	8181
depress	relative	lh_PFop	0.0055295	0.49932	0.61757	8181
depress	relative	lh_PFt	-0.0025757	-0.23258	0.81609	8181
depress	relative	lh_PGi	-0.0021308	-0.19241	0.84742	8181
depress	relative	lh_PGp	0.0089459	0.80784	0.41921	8181
depress	relative	lh_PGs	-0.0075058	-0.67779	0.49792	8181
depress	relative	lh_PH	0.03037	2.7436	0.0060894	8181
depress	relative	lh_PHA1	0.0041968	0.37897	0.70472	8181
depress	relative	lh_PHA2	0.012042	1.0875	0.27685	8181
depress	relative	lh_PHA3	0.016297	1.4718	0.14111	8181
depress	relative	lh_PHT	-0.014392	-1.2997	0.19374	8181
depress	relative	lh_PI	0.012455	1.1247	0.26074	8181
depress	relative	lh_PIT	0.0044316	0.40018	0.68904	8181
depress	relative	lh_POS1	0.0040064	0.36178	0.71753	8181
depress	relative	lh_POS2	0.01572	1.4197	0.15575	8181
depress	relative	lh_PSL	-0.0046889	-0.42341	0.672	8181
depress	relative	lh_PeEc	0.010742	0.9701	0.33203	8181
depress	relative	lh_Pir	-0.028064	-2.5351	0.011259	8181
depress	relative	lh_PoI1	0.018844	1.7019	0.088817	8181
depress	relative	lh_PoI2	-0.016307	-1.4727	0.14086	8181
depress	relative	lh_PreS	0.014258	1.2877	0.1979	8181
depress	relative	lh_ProS	0.016788	1.5162	0.12951	8181
depress	relative	lh_RI	-0.00067557	-0.061003	0.95136	8181
depress	relative	lh_RSC	0.0023616	0.21326	0.83113	8181
depress	relative	lh_SCEF	-0.0051826	-0.46799	0.6398	8181
depress	relative	lh_SFL	-0.01846	-1.6672	0.095518	8181
depress	relative	lh_STGa	0.012013	1.0848	0.27804	8181
depress	relative	lh_STSda	0.0049766	0.44939	0.65316	8181
depress	relative	lh_STSdp	0.0053668	0.48462	0.62796	8181
depress	relative	lh_STSva	0.0090754	0.81954	0.4125	8181
depress	relative	lh_STSvp	-0.0071866	-0.64896	0.51638	8181
depress	relative	lh_STV	-0.006874	-0.62074	0.53479	8181
depress	relative	lh_TA2	0.024284	2.1935	0.028299	8181
depress	relative	lh_TE1a	0.0080982	0.73129	0.46462	8181
depress	relative	lh_TE1m	-0.0087859	-0.79339	0.42757	8181
depress	relative	lh_TE1p	-0.025214	-2.2775	0.022782	8181
depress	relative	lh_TE2a	-0.0072661	-0.65615	0.51175	8181
depress	relative	lh_TE2p	0.0072153	0.65155	0.51471	8181
depress	relative	lh_TF	0.013506	1.2197	0.22261	8181
depress	relative	lh_TGd	0.010293	0.92954	0.35264	8181
depress	relative	lh_TGv	-0.002359	-0.21302	0.83132	8181
depress	relative	lh_TPOJ1	-0.00069135	-0.062428	0.95022	8181
depress	relative	lh_TPOJ2	0.0028563	0.25793	0.79647	8181
depress	relative	lh_TPOJ3	0.014389	1.2995	0.19382	8181
depress	relative	lh_V1	-0.003054	-0.27578	0.78273	8181
depress	relative	lh_V2	-0.008436	-0.76179	0.44621	8181
depress	relative	lh_V3	0.012937	1.1683	0.24272	8181
depress	relative	lh_V3A	-0.00026465	-0.023897	0.98094	8181
depress	relative	lh_V3B	-0.0075791	-0.68441	0.49373	8181
depress	relative	lh_V3CD	0.019317	1.7447	0.081081	8181
depress	relative	lh_V4	0.0040045	0.36161	0.71766	8181
depress	relative	lh_V4t	-0.0013582	-0.12265	0.90239	8181
depress	relative	lh_V6	0.028947	2.615	0.0089402	8181
depress	relative	lh_V6A	-0.0017967	-0.16224	0.87112	8181
depress	relative	lh_V7	0.013717	1.2387	0.21549	8181
depress	relative	lh_V8	-0.014109	-1.2742	0.20264	8181
depress	relative	lh_VIP	-0.017963	-1.6223	0.10477	8181
depress	relative	lh_VMV1	0.030791	2.7817	0.0054191	8181
depress	relative	lh_VMV2	-0.0043873	-0.39617	0.69199	8181
depress	relative	lh_VMV3	0.024042	2.1716	0.029911	8181
depress	relative	lh_VVC	0.03544	3.2022	0.0013691	8181
depress	relative	lh_a10p	-0.00087478	-0.078992	0.93704	8181
depress	relative	lh_a24	0.0014096	0.12729	0.89872	8181
depress	relative	lh_a24pr	0.0087287	0.78822	0.43059	8181
depress	relative	lh_a32pr	0.00024947	0.022527	0.98203	8181
depress	relative	lh_a47r	-0.011169	-1.0086	0.31321	8181
depress	relative	lh_a9-46v	0.0066984	0.60488	0.54528	8181
depress	relative	lh_d23ab	0.0086366	0.77991	0.43547	8181
depress	relative	lh_d32	0.0036745	0.33181	0.74004	8181
depress	relative	lh_i6-8	-0.0029601	-0.2673	0.78924	8181
depress	relative	lh_p10p	-0.0080156	-0.72383	0.46919	8181
depress	relative	lh_p24	-0.0067722	-0.61154	0.54086	8181
depress	relative	lh_p24pr	0.028273	2.5541	0.010665	8181
depress	relative	lh_p32	-0.014789	-1.3356	0.18173	8181
depress	relative	lh_p32pr	-0.00039257	-0.035449	0.97172	8181
depress	relative	lh_p47r	0.0025663	0.23174	0.81675	8181
depress	relative	lh_p9-46v	0.0049569	0.44761	0.65445	8181
depress	relative	lh_pOFC	-0.023283	-2.103	0.035493	8181
depress	relative	lh_s32	0.0011949	0.1079	0.91408	8181
depress	relative	lh_s6-8	-0.01201	-1.0846	0.27814	8181
depress	relative	lh_v23ab	0.01419	1.2815	0.20006	8181
depress	absolute_ct	lh_1	-0.010965	-0.99019	0.32211	8181
depress	absolute_ct	lh_10d	0.015878	1.4339	0.15163	8181
depress	absolute_ct	lh_10pp	-0.0080025	-0.72264	0.46992	8181
depress	absolute_ct	lh_10r	-0.0013301	-0.12011	0.9044	8181
depress	absolute_ct	lh_10v	0.0079416	0.71714	0.47331	8181
depress	absolute_ct	lh_11l	-0.0057584	-0.51998	0.60309	8181
depress	absolute_ct	lh_13l	0.016594	1.4987	0.134	8181
depress	absolute_ct	lh_2	0.026921	2.4318	0.015044	8181
depress	absolute_ct	lh_23c	0.003381	0.3053	0.76014	8181
depress	absolute_ct	lh_23d	-0.01177	-1.0629	0.28785	8181
depress	absolute_ct	lh_24dd	0.032982	2.9799	0.0028917	8181
depress	absolute_ct	lh_24dv	0.048857	4.4171	1.0133e-05	8181
depress	absolute_ct	lh_25	-0.0075164	-0.67875	0.49732	8181
depress	absolute_ct	lh_31a	0.0023855	0.21541	0.82945	8181
depress	absolute_ct	lh_31pd	0.0011696	0.10561	0.91589	8181
depress	absolute_ct	lh_31pv	0.0025093	0.22659	0.82075	8181
depress	absolute_ct	lh_33pr	0.0069202	0.62491	0.53205	8181
depress	absolute_ct	lh_3a	0.015454	1.3957	0.16285	8181
depress	absolute_ct	lh_3b	-0.015678	-1.4159	0.15685	8181
depress	absolute_ct	lh_4	0.0037305	0.33687	0.73623	8181
depress	absolute_ct	lh_43	0.016989	1.5343	0.12499	8181
depress	absolute_ct	lh_44	0.015878	1.434	0.15162	8181
depress	absolute_ct	lh_45	0.045464	4.1096	4.0016e-05	8181
depress	absolute_ct	lh_46	0.0091608	0.82725	0.40812	8181
depress	absolute_ct	lh_47l	-0.0042464	-0.38345	0.7014	8181
depress	absolute_ct	lh_47m	0.012935	1.1681	0.2428	8181
depress	absolute_ct	lh_47s	0.0012593	0.11372	0.90947	8181
depress	absolute_ct	lh_52	0.039258	3.5477	0.00039073	8181
depress	absolute_ct	lh_55b	0.016718	1.5098	0.13112	8181
depress	absolute_ct	lh_5L	-0.013235	-1.1953	0.23202	8181
depress	absolute_ct	lh_5m	0.014484	1.308	0.1909	8181
depress	absolute_ct	lh_5mv	0.025261	2.2818	0.022528	8181
depress	absolute_ct	lh_6a	0.0057673	0.52079	0.60253	8181
depress	absolute_ct	lh_6d	-0.0022592	-0.20401	0.83835	8181
depress	absolute_ct	lh_6ma	-0.010073	-0.90959	0.36306	8181
depress	absolute_ct	lh_6mp	0.0091296	0.82444	0.40972	8181
depress	absolute_ct	lh_6r	0.027237	2.4604	0.013898	8181
depress	absolute_ct	lh_6v	0.014351	1.296	0.19501	8181
depress	absolute_ct	lh_7AL	-0.0001004	-0.0090658	0.99277	8181
depress	absolute_ct	lh_7Am	0.0035847	0.3237	0.74617	8181
depress	absolute_ct	lh_7PC	0.0022598	0.20406	0.83831	8181
depress	absolute_ct	lh_7PL	0.0038216	0.34509	0.73003	8181
depress	absolute_ct	lh_7Pm	0.0080063	0.72299	0.46971	8181
depress	absolute_ct	lh_7m	0.015746	1.4221	0.15505	8181
depress	absolute_ct	lh_8Ad	0.0010567	0.095416	0.92399	8181
depress	absolute_ct	lh_8Av	-0.025365	-2.2912	0.021979	8181
depress	absolute_ct	lh_8BL	0.0066409	0.59968	0.54874	8181
depress	absolute_ct	lh_8BM	0.019117	1.7265	0.084287	8181
depress	absolute_ct	lh_8C	0.027624	2.4953	0.012603	8181
depress	absolute_ct	lh_9-46d	0.0023878	0.21562	0.82929	8181
depress	absolute_ct	lh_9a	-0.0021767	-0.19655	0.84418	8181
depress	absolute_ct	lh_9m	0.013862	1.2518	0.21068	8181
depress	absolute_ct	lh_9p	0.0042668	0.3853	0.70003	8181
depress	absolute_ct	lh_A1	0.0094065	0.84944	0.39566	8181
depress	absolute_ct	lh_A4	0.0070921	0.64043	0.52191	8181
depress	absolute_ct	lh_A5	0.018327	1.6552	0.097929	8181
depress	absolute_ct	lh_AAIC	-0.019352	-1.7478	0.080532	8181
depress	absolute_ct	lh_AIP	-0.0028674	-0.25892	0.7957	8181
depress	absolute_ct	lh_AVI	0.017002	1.5355	0.1247	8181
depress	absolute_ct	lh_DVT	0.030716	2.7749	0.0055339	8181
depress	absolute_ct	lh_EC	0.00032993	0.029792	0.97623	8181
depress	absolute_ct	lh_FEF	0.020681	1.8679	0.061808	8181
depress	absolute_ct	lh_FFC	0.02748	2.4824	0.01307	8181
depress	absolute_ct	lh_FOP1	0.015674	1.4155	0.15695	8181
depress	absolute_ct	lh_FOP2	0.030554	2.7603	0.0057883	8181
depress	absolute_ct	lh_FOP3	0.020659	1.8659	0.062087	8181
