label,thinning_scores_gene_side,thinning_scores_imaging_side,dCT,CT,NSPN_PLS2,NSPN_CT_delta,C3_recomputed
lh_bankssts,37.893,0.66799,-0.022104,2.7195,0.015,-16.34,35.317
lh_caudalanteriorcingulate,-43.783,-0.14803,-0.01826,2.5546,-0.04,-11.05,-66.193
lh_caudalmiddlefrontal,21.28,-0.54823,-0.014622,2.8081,0.08,-16.75,-1.9937
lh_cuneus,-45.126,-0.42419,-0.019324,2.0473,0.01,-14.9,-7.5535
lh_entorhinal,-88.802,-2.2831,-0.00213,3.2819,-0.16,1.865,-61.201
lh_fusiform,12.581,-0.10415,-0.01703,2.8376,-0.04,-16.29,22.336
lh_inferiorparietal,7.154,1.0811,-0.024746,2.6702,0.02,-18.52,19.393
lh_inferiortemporal,15.457,0.30055,-0.018916,2.9233,-0.01,-19.26,23.714
lh_isthmuscingulate,-29.975,0.067495,-0.020392,2.3849,-0.07,-6.195,-17.062
lh_lateraloccipital,-17.518,-0.86984,-0.015502,2.286,0.005,-14.45,5.993
lh_lateralorbitofrontal,37.833,0.71735,-0.021867,2.819,0.03,-23.19,19.166
lh_lingual,-45.048,-0.46016,-0.018579,2.1499,-0.05,-13.875,-4.4758
lh_medialorbitofrontal,48.622,0.67082,-0.022854,2.5795,0.035,-20.755,27.522
lh_middletemporal,19.092,0.39207,-0.018879,3.0312,0,-19.35,14.733
lh_parahippocampal,-27.935,-0.57549,-0.014441,2.8127,-0.16,-6.73,-14.652
lh_paracentral,-0.54033,0.88045,-0.023461,2.6946,-0.03,-19.16,-21.113
lh_parsopercularis,24.279,-0.39187,-0.015433,2.8256,0.06,-17.05,9.9124
lh_parsorbitalis,50.269,1.6864,-0.026793,2.9461,0.06,-26.425,30.706
lh_parstriangularis,49.151,0.5614,-0.021548,2.7082,0.095,-21.53,21.751
lh_pericalcarine,-88.833,-1.8552,-0.012403,1.7923,-0.08,-12.225,-30.773
lh_postcentral,-23.341,-0.40881,-0.018256,2.268,-0.015,-12.48,-22.267
lh_posteriorcingulate,7.6738,0.2041,-0.020387,2.5364,-0.02,-13.05,-7.5847
lh_precentral,-5.9092,-2.0261,-0.0063841,2.753,0,-13.53,-27.297
lh_precuneus,24.001,1.0294,-0.024852,2.5931,0.005,-15.325,19.077
lh_rostralanteriorcingulate,9.331,0.46077,-0.020111,2.8717,-0.16,-10.55,-10.068
lh_rostralmiddlefrontal,47.82,0.87342,-0.024012,2.5816,0.08,-19.935,27.304
lh_superiorfrontal,27.636,0.71568,-0.020944,2.9935,0.01,-21.635,1.7509
lh_superiorparietal,3.8085,0.47777,-0.022519,2.4308,0.015,-16.92,7.9577
lh_superiortemporal,20.019,-0.13245,-0.01591,3.0203,-0.005,-13.05,21.881
lh_supramarginal,24.997,0.35373,-0.020051,2.7653,0.01,-17.735,28.523
lh_temporalpole,-54.138,-1.1588,-0.0063399,3.7166,-0.12,5.265,-23.522
lh_transversetemporal,-32.299,0.0063798,-0.01826,2.7245,-0.01,-11.845,-23.331
lh_insula,14.352,0.2395,-0.017649,3.0979,-0.025,-16.255,2.0509
