arm	map	level	reference	rho	n_regions	mean_r	p_spin	p_perm	n
PRSCS_SCZ25_META	absolute	parcel	PLS2	-0.07815	137	0.01184	0.5061	0.5395	8596
PRSCS_SCZ25_META	absolute	parcel	C3	0.1204	137	0.01184	0.2909	0.4006	8596
PRSCS_SCZ25_META	absolute	parcel	dCT	0.08571	179	0.01184	0.4777	0.5345	8596
PRSCS_SCZ25_META	absolute	cortex	PLS2	0.006211	22	0.0166	0.9834	0.98	8596
PRSCS_SCZ25_META	absolute	cortex	C3	0.1779	22	0.0166	0.4403	0.5375	8596
PRSCS_SCZ25_META	absolute	cortex	dCT	-0.1688	22	0.0166	0.5091	0.5225	8596
PRSCS_SCZ25_META	relative	parcel	PLS2	-0.1159	137	0.001546	0.2581	0.3586	8596
PRSCS_SCZ25_META	relative	parcel	C3	0.02654	137	0.001546	0.796	0.8332	8596
PRSCS_SCZ25_META	relative	parcel	dCT	0.1392	179	0.001546	0.175	0.2797	8596
PRSCS_SCZ25_META	relative	cortex	PLS2	-0.127	22	0.001168	0.5975	0.6444	8596
PRSCS_SCZ25_META	relative	cortex	C3	0.05816	22	0.001168	0.7904	0.8501	8596
PRSCS_SCZ25_META	relative	cortex	dCT	-0.06494	22	0.001168	0.7988	0.7842	8596
PRSCS_SCZ25_META	absolute_ct	parcel	PLS2	0.1459	137	0.01453	0.1668	0.2887	8596
PRSCS_SCZ25_META	absolute_ct	parcel	C3	0.2207	137	0.01453	0.03439	0.1179	8596
PRSCS_SCZ25_META	absolute_ct	parcel	dCT	-0.1257	179	0.01453	0.2056	0.3417	8596
PRSCS_SCZ25_META	absolute_ct	cortex	PLS2	0.2716	22	0.01974	0.2434	0.3277	8596
PRSCS_SCZ25_META	absolute_ct	cortex	C3	0.4376	22	0.01974	0.05259	0.1069	8596
PRSCS_SCZ25_META	absolute_ct	cortex	dCT	-0.2784	22	0.01974	0.2324	0.2997	8596
PRSCS_SCZ25_META	relative_ct	parcel	PLS2	0.1063	137	0.007483	0.2454	0.4246	8596
