variant	feature	kind	n_genes	rho_with_thinning	p_spin	mean_fast	mean_mid	mean_slow	n_parcels
3d_ds5	Astro	cell class	471	0.1115	0.4763	0.3087	-0.362	0.0427	137
3d_ds5	Endo	cell class	537	-0.02614	0.866	0.05158	-0.2136	0.1709	137
3d_ds5	Micro	cell class	391	-0.228	0.1726	-0.1348	-0.2577	0.4262	137
3d_ds5	Neuro-Ex	cell class	862	0.2372	0.06679	0.158	0.2534	-0.4475	137
3d_ds5	Neuro-In	cell class	638	0.255	0.04299	0.2036	0.1409	-0.3779	137
3d_ds5	OPC	cell class	96	0.001013	0.9956	0.169	-0.343	0.1783	137
3d_ds5	Oligo	cell class	405	-0.1252	0.1872	-0.1073	-0.1236	0.252	137
3d_ds5	Per	cell class	38	0.09882	0.3893	0.1694	-0.1449	-0.03408	137
3d_ds5	L1	layer	643	-0.01039	0.9476	0.1685	-0.387	0.2259	137
3d_ds5	L2	layer	688	0.1098	0.5001	0.1252	0.0308	-0.1727	137
3d_ds5	L3	layer	85	0.2856	0.03179	0.3365	0.07587	-0.4568	137
3d_ds5	L4	layer	223	0.03518	0.8214	0.02862	0.2282	-0.2761	137
3d_ds5	L5	layer	311	0.169	0.1256	0.1571	0.05014	-0.229	137
3d_ds5	L6	layer	190	-0.03721	0.8162	-0.003572	-0.08498	0.0949	137
3d_ds5	WM	layer	1773	-0.07818	0.4889	0.004462	-0.3126	0.3295	137
3d_ds5	SCZ top 250	risk genes	250	0.1415	0.3593	0.144	0.005288	-0.1664	137
3d_ds5	SCZ top 500	risk genes	500	0.1314	0.3675	0.1442	0.01382	-0.1757	137
3d_ds5	SCZ top 1000	risk genes	1000	0.1433	0.2959	0.1808	-0.01297	-0.188	137
3d_ds5	MDD top 250	risk genes	250	0.1707	0.2917	0.2615	-0.11	-0.1742	137
3d_ds5	MDD top 500	risk genes	500	0.2275	0.1058	0.2995	-0.05561	-0.2748	137
3d_ds5	MDD top 1000	risk genes	1000	0.2096	0.121	0.273	-0.0416	-0.2603	137
3d_ds5	PLS2	axis		0.5841	0.0003999	0.6038	0.1221	-0.8046	137
3d_ds5	C3	axis		0.3263	0.03259	0.2067	0.3797	-0.6369	137
