option	ds	component	reference	rho	p_spin	n_regions	sal_dCT	p_spin_component
opt4_full4	ds50	PLS2	C2_shipped	-0.6621	0.003199	33	0.8588	0.133
opt4_full4	ds50	PLS2	C3_shipped	-0.7978	0.0009998	33	0.8588	0.133
opt4_full4	ds50	PLS2	C1_recomputed_ds50	0.08456	0.8092	33	0.8588	0.133
opt4_full4	ds50	PLS2	C2_recomputed_ds50	-0.5364	0.03219	33	0.8588	0.133
opt4_full4	ds50	PLS2	C3_recomputed_ds50	-0.8112	0.0009998	33	0.8588	0.133
opt4_full4	ds50	PLS3	NSPN_PLS2	0.1558	0.6795	33	0.2615	0.026
opt4_full4	ds50	PLS3	NSPN_CT_delta	-0.01805	0.9486	33	0.2615	0.026
opt4_full4	ds50	PLS3	NSPN_MT_delta	0.03209	0.9262	33	0.2615	0.026
opt4_full4	ds50	PLS3	NSPN_CT	0.1663	0.6909	33	0.2615	0.026
opt4_full4	ds50	PLS3	NSPN_MT	-0.1049	0.7902	33	0.2615	0.026
opt4_full4	ds50	PLS3	C1_shipped	-0.0244	0.9624	33	0.2615	0.026
opt4_full4	ds50	PLS3	C2_shipped	0.7831	0.003799	33	0.2615	0.026
opt4_full4	ds50	PLS3	C3_shipped	-0.03142	0.9004	33	0.2615	0.026
opt4_full4	ds50	PLS3	C1_recomputed_ds50	-0.04144	0.9348	33	0.2615	0.026
opt4_full4	ds50	PLS3	C2_recomputed_ds50	0.8389	0.0009998	33	0.2615	0.026
opt4_full4	ds50	PLS3	C3_recomputed_ds50	-0.263	0.2581	33	0.2615	0.026
opt4_full4	ds50	PLS4	NSPN_PLS2	-0.6638	0.002	33	0.393	0.003799
opt4_full4	ds50	PLS4	NSPN_CT_delta	0.5472	0.004599	33	0.393	0.003799
opt4_full4	ds50	PLS4	NSPN_MT_delta	-0.6481	0.009398	33	0.393	0.003799
opt4_full4	ds50	PLS4	NSPN_CT	-0.3681	0.2929	33	0.393	0.003799
opt4_full4	ds50	PLS4	NSPN_MT	0.5016	0.103	33	0.393	0.003799
opt4_full4	ds50	PLS4	C1_shipped	-0.0752	0.858	33	0.393	0.003799
opt4_full4	ds50	PLS4	C2_shipped	-0.4084	0.3587	33	0.393	0.003799
opt4_full4	ds50	PLS4	C3_shipped	-0.7126	0.0012	33	0.393	0.003799
opt4_full4	ds50	PLS4	C1_recomputed_ds50	-0.08322	0.8394	33	0.393	0.003799
opt4_full4	ds50	PLS4	C2_recomputed_ds50	-0.3259	0.4685	33	0.393	0.003799
opt4_full4	ds50	PLS4	C3_recomputed_ds50	-0.6845	0.0012	33	0.393	0.003799
opt5_slopePCs	ds50	PLS1	NSPN_PLS2	-0.2358	0.4775	33		0.006599
opt5_slopePCs	ds50	PLS1	NSPN_CT_delta	0.06067	0.825	33		0.006599
opt5_slopePCs	ds50	PLS1	NSPN_MT_delta	0.00869	0.9776	33		0.006599
opt5_slopePCs	ds50	PLS1	NSPN_CT	0.6406	0.015	33		0.006599
opt5_slopePCs	ds50	PLS1	NSPN_MT	-0.676	0.006799	33		0.006599
opt5_slopePCs	ds50	PLS1	C1_shipped	-0.986	0.0009998	33		0.006599
opt5_slopePCs	ds50	PLS1	C2_shipped	0.08289	0.8654	33		0.006599
opt5_slopePCs	ds50	PLS1	C3_shipped	0.07955	0.7508	33		0.006599
opt5_slopePCs	ds50	PLS1	C1_recomputed_ds50	-0.9977	0.0009998	33		0.006599
opt5_slopePCs	ds50	PLS1	C2_recomputed_ds50	0.2019	0.6815	33		0.006599
opt5_slopePCs	ds50	PLS1	C3_recomputed_ds50	-0.0003342	0.999	33		0.006599
opt5_slopePCs	ds50	PLS2	NSPN_PLS2	-0.7546	0.0009998	33		0.0009998
opt5_slopePCs	ds50	PLS2	NSPN_CT_delta	0.725	0.0009998	33		0.0009998
opt5_slopePCs	ds50	PLS2	NSPN_MT_delta	-0.5822	0.014	33		0.0009998
opt5_slopePCs	ds50	PLS2	NSPN_CT	-0.3354	0.3791	33		0.0009998
opt5_slopePCs	ds50	PLS2	NSPN_MT	0.3875	0.2805	33		0.0009998
opt5_slopePCs	ds50	PLS2	C1_shipped	0.06952	0.8892	33		0.0009998
opt5_slopePCs	ds50	PLS2	C2_shipped	-0.893	0.0009998	33		0.0009998
opt5_slopePCs	ds50	PLS2	C3_shipped	-0.5986	0.0016	33		0.0009998
opt5_slopePCs	ds50	PLS2	C1_recomputed_ds50	0.0518	0.9084	33		0.0009998
opt5_slopePCs	ds50	PLS2	C2_recomputed_ds50	-0.8259	0.0014	33		0.0009998
opt5_slopePCs	ds50	PLS2	C3_recomputed_ds50	-0.5575	0.0024	33		0.0009998
opt5_slopePCs	ds50	PLS3	NSPN_PLS2	-0.2463	0.3881	33		0.2092
opt5_slopePCs	ds50	PLS3	NSPN_CT_delta	0.427	0.04539	33		0.2092
opt5_slopePCs	ds50	PLS3	NSPN_MT_delta	-0.4007	0.111	33		0.2092
opt5_slopePCs	ds50	PLS3	NSPN_CT	-0.1707	0.6345	33		0.2092
opt5_slopePCs	ds50	PLS3	NSPN_MT	0.2702	0.3993	33		0.2092
opt5_slopePCs	ds50	PLS3	C1_shipped	0.1297	0.7291	33		0.2092
opt5_slopePCs	ds50	PLS3	C2_shipped	0.3596	0.3553	33		0.2092
opt5_slopePCs	ds50	PLS3	C3_shipped	-0.5799	0.004199	33		0.2092
opt5_slopePCs	ds50	PLS3	C1_recomputed_ds50	0.09926	0.7834	33		0.2092
opt5_slopePCs	ds50	PLS3	C2_recomputed_ds50	0.489	0.1296	33		0.2092
opt5_slopePCs	ds50	PLS3	C3_recomputed_ds50	-0.7517	0.0009998	33		0.2092
