variant	matrix	component	n_parcels	n_genes	cov_explained	p_spin_singular	boot_reproducibility	sal_dCT	sal_CT
ds5	hcp_ds5.csv	PLS1	177	7972	0.85681	0.00039992	0.98099	0.12942	0.99159
ds5	hcp_ds5.csv	PLS2	177	7972	0.14319	0.00059988	0.90659	0.99159	-0.12942
