label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_31pd,-0.8056,1.211,-0.5423,-1.61,-1.356,-0.4452,1.247,1.05,-0.01164,-1.285,-0.5788,-0.1437,-1.706,-1.794,1.02,0.09569,-0.2482,-0.5064,-0.8855,-0.8857,-0.588,-0.2435,-0.6527,26.32,fast
lh_31a,0.1751,-0.5273,-0.8213,0.8337,1.32,-0.8735,-2.674,1.135,0.2978,1.148,1.575,0.4415,-0.2328,-0.8954,-2.298,-0.2819,-0.3312,-0.5948,-0.1907,-0.44,-0.3979,1.245,0.8633,28.41,fast
lh_VVC,-1.31,-2.119,-1.76,-0.5281,-0.69,-1.15,-0.5355,-1.896,-1.537,-0.07023,-0.1443,-0.499,0.1141,-0.05242,-1.255,-1.622,-1.722,-1.599,-1.583,-1.593,-1.676,0.217,1.322,20.77,mid
lh_25,2.114,0.6044,2.038,-0.8456,-0.9572,2.353,0.3564,0.6673,2.36,0.9219,-0.3815,-2.239,-0.1249,0.7591,1.547,0.4159,0.7801,0.7003,0.9599,1.176,0.9644,0.6636,-1.504,24.58,fast
lh_s32,1.8,1.041,1.518,0.6157,1.007,1.698,-0.8048,1.125,1.628,1.618,1.182,-0.6932,0.7242,0.2648,0.441,0.5259,0.9758,1.103,1.727,1.676,1.344,1.653,-0.07645,28.5,fast
lh_pOFC,-0.2819,-0.5795,0.1054,0.9928,0.8197,-0.07626,-1.872,-1.665,-0.2109,1.807,1.352,-0.6085,1.896,1.29,-1.176,0.4087,0.5946,0.6071,1.185,0.9251,0.7625,0.8375,0.2989,4.647,slow
lh_PoI1,0.2618,-0.9745,-0.4698,-0.6414,-0.9423,-0.3586,-2.313,-1.585,0.4782,0.874,-0.4147,-1.59,-0.5322,0.4305,-1.484,-1.976,-1.492,-1.526,-0.2659,-0.6915,-1.257,0.058,-0.5844,17.34,slow
lh_Ig,-0.7461,-0.1691,-1.046,2.558,1.791,-1.009,-0.7,-1.671,-1.077,1.268,0.3194,0.7849,1.959,1.986,-0.8294,0.1188,0.1368,0.7511,1.043,0.9793,0.9043,1.476,1.075,22.36,mid
lh_p47r,0.6348,1.456,1.456,0.4732,0.5563,1.478,2.1,1.456,0.7553,0.1425,0.7661,-0.01696,0.09317,0.5925,1.93,1.696,1.538,1.448,1.426,1.519,1.553,0.7742,0.466,22.69,fast
lh_TGv,1.052,-0.7132,0.8784,-0.1894,-0.1188,1.61,0.2242,0.1303,0.7261,0.9449,0.07346,-1.523,0.02407,0.5104,0.4338,-0.2681,-0.1283,-0.1122,0.7297,0.467,0.2147,-0.3453,-0.09421,13.46,slow
lh_MBelt,-1.269,0.1677,0.1969,0.8613,1.228,-0.1868,1.65,-0.6135,-1.131,0.1674,-0.5964,0.1035,-0.5817,0.1753,1.026,1.469,1.378,1.333,0.4138,0.8216,1.095,-0.621,-0.4407,16.75,slow
lh_A4,-1.184,-0.03676,0.6161,1.4,1.206,-0.6575,-0.8205,-0.6725,-0.8038,0.6931,0.2935,0.8321,1.334,0.4229,-0.866,0.7185,0.8988,0.8318,0.8078,0.6095,0.7584,0.2271,1.335,16.32,slow
lh_STSva,0.774,-0.5079,-0.1002,-0.8409,-0.6579,1.045,0.7273,0.2508,0.6286,0.1909,0.07876,-1.18,-0.6196,-0.1775,0.5777,-0.5482,-0.6318,-0.6315,-0.1045,-0.08834,-0.3698,-0.235,0.2693,17.87,slow
lh_TE1m,0.3455,-0.2332,-0.4425,-0.4917,-1.021,0.2239,0.1384,-0.5305,0.3763,0.3797,0.3135,-0.6674,0.3378,0.1199,0.108,0.1442,0.07145,-0.07051,0.1857,0.2265,0.1113,0.1438,0.8073,18.09,slow
lh_PI,-0.1382,-1.471,-0.003813,-0.131,-0.222,0.637,0.749,-1.812,-0.6235,0.7697,-0.7623,-1.62,-0.1575,0.8387,0.4358,-1.071,-0.8236,-0.6521,0.3816,0.3253,-0.2475,0.22,-0.04449,9.383,slow
lh_a32pr,2.367,0.7212,0.8102,-0.7121,-0.2681,2.084,1.176,1.423,1.907,-0.205,-0.8883,-1.088,0.2715,1.405,1.633,-0.4133,-0.1089,0.111,0.4302,0.7507,0.625,-0.3205,-1.404,22.78,fast
