gene	PLS1	PLS2	C1	C3
A1BG	-12.2765	-0.767692	-0.80617	-0.0179386
A1BG-AS1	-11.2244	3.2279	-0.62448	0.377001
AAAS	7.64763	-0.38533	0.600656	-0.0597516
AAED1	-2.68246	-2.32795	-0.722689	-0.190459
AAGAB	-0.706417	-0.64621	-0.261427	0.345811
AAK1	3.38184	0.736104	0.696944	0.0572984
AARD	7.04819	2.90699	0.682209	0.173586
AARS	2.41715	0.786158	0.515276	0.265406
AASDH	5.95299	-1.60891	0.530151	-0.13053
AATF	-0.401576	-4.80211	0.128207	-0.226538
ABCA1	-1.11724	-0.240828	-0.475041	-0.306279
ABCA5	3.90405	-0.690953	0.470729	0.12614
ABCA6	13.0831	-3.36873	0.758867	-0.315624
ABCA7	4.96949	-1.6304	0.673997	-0.0413689
ABCA9	9.4938	-0.728021	0.750631	-0.116211
ABCB10	1.9081	4.33289	0.616839	0.071163
ABCB6	-9.19441	0.204822	-0.601047	0.169295
ABCB7	3.82813	-1.37618	0.690748	-0.312074
ABCC1	2.47676	-0.768876	0.701201	-0.0910659
ABCC12	-2.60646	4.76636	-0.24575	0.678279
ABCC5	8.59153	1.57117	0.379108	0.0416007
ABCC6	-6.35851	0.955652	-0.554626	0.221514
ABCC8	10.9676	2.91618	0.718035	0.163867
ABCC9	-1.16539	0.216227	0.0873493	-0.394839
ABCD2	4.73007	-2.40472	0.692192	-0.135956
ABCD4	5.90048	0.979886	0.282769	-0.30212
ABCG1	2.10195	-0.679416	0.0746489	-0.185828
ABCG2	1.96906	-4.72878	0.435856	-0.382087
ABCG4	4.48986	-0.974748	0.772939	-0.01732
ABHD1	-2.23353	0.68711	-0.611109	-0.227466
ABHD11	-2.07411	0.578042	0.665235	0.0728397
ABHD12	4.01194	-3.35469	0.653025	-0.334819
ABHD12B	-2.81674	3.33841	-0.151069	0.230492
ABHD13	-1.32627	2.19073	0.611648	0.119059
ABHD17A	5.05838	-1.50333	0.73865	-0.103075
ABHD17B	7.49025	-5.41513	0.704721	-0.2911
ABHD17C	-6.60054	3.19447	-0.672876	0.17741
