gene	PLS1	PLS2	C1	C3
A1BG	-11.2669	-0.722904	-0.80617	-0.0179386
A1BG-AS1	-10.4233	2.60147	-0.62448	0.377001
AAAS	5.70455	0.706425	0.600656	-0.0597516
AAED1	-5.57348	-0.397796	-0.722689	-0.190459
AAGAB	-3.67468	3.99312	-0.261427	0.345811
AAK1	6.86748	0.362831	0.696944	0.0572984
AARD	9.26425	3.4328	0.682209	0.173586
AARS	2.47216	0.968857	0.515276	0.265406
AASDH	5.69594	-1.83366	0.530151	-0.13053
AATF	-0.608629	-2.92072	0.128207	-0.226538
ABCA1	-1.4239	-0.366625	-0.475041	-0.306279
ABCA5	5.60471	0.760927	0.470729	0.12614
ABCA6	12.0699	-4.21699	0.758867	-0.315624
ABCA7	5.0955	-2.29007	0.673997	-0.0413689
ABCA9	10.0259	-1.49151	0.750631	-0.116211
ABCB10	7.3144	1.47612	0.616839	0.071163
ABCB6	-8.12053	0.936685	-0.601047	0.169295
ABCB7	14.2419	-1.62913	0.690748	-0.312074
ABCC1	7.52285	0.230979	0.701201	-0.0910659
ABCC12	-3.51535	3.40493	-0.24575	0.678279
ABCC4	-3.31125	-1.01448	-0.547624	-0.327071
ABCC5	6.17152	1.89518	0.379108	0.0416007
ABCC6	-5.74309	0.902061	-0.554626	0.221514
ABCC8	8.34782	2.9575	0.718035	0.163867
ABCC9	-0.021432	0.437839	0.0873493	-0.394839
ABCD2	5.04424	-2.33172	0.692192	-0.135956
ABCD4	4.1122	0.69619	0.282769	-0.30212
ABCG1	2.77654	-0.839004	0.0746489	-0.185828
ABCG2	1.98206	-3.16192	0.435856	-0.382087
ABCG4	4.80289	-0.942475	0.772939	-0.01732
ABCG5	-3.56241	2.38422	-0.345572	0.0156461
ABHD1	-4.06978	0.485391	-0.611109	-0.227466
ABHD11	6.10527	1.3905	0.665235	0.0728397
ABHD12	3.73871	-3.37166	0.653025	-0.334819
ABHD12B	-2.86527	2.78883	-0.151069	0.230492
ABHD13	10.0712	3.81761	0.611648	0.119059
ABHD17A	8.62879	-0.84488	0.73865	-0.103075
ABHD17B	9.58346	-4.33894	0.704721	-0.2911
ABHD17C	-6.19224	2.55312	-0.672876	0.17741
ABHD3	5.37677	-1.03868	0.398281	-0.406747
ABHD6	4.50619	-3.94365	0.566422	-0.332734
ABI1	-9.41824	2.52123	-0.711491	0.172042
ABI2	-3.93206	0.736695	-0.493053	0.292609
ABL2	5.27012	2.99952	0.481091	0.256441
ABLIM1	1.56226	0.449928	0.0414134	-0.387981
ABLIM2	-11.2217	0.892337	-0.770465	0.348891
ABLIM3	-10.2646	4.21134	-0.819999	0.0610266
ABR	-2.52877	0.608796	-0.464917	0.131019
ABRACL	5.28984	1.27326	0.574116	0.400472
ABTB1	5.51223	3.75211	0.740217	0.31366
ABTB2	5.20348	-7.61245	0.648505	-0.54308
ACADL	-4.95047	1.11753	-0.775234	-0.0871907
ACADS	-2.40122	2.70611	-0.468646	-0.0637896
ACADSB	8.48533	0.941285	0.468628	-0.211225
ACAN	10.2229	-5.85502	0.902666	-0.26536
ACAP3	-1.3994	0.754593	-0.266916	0.141286
ACAT2	-8.68928	-1.01094	-0.538292	0.138622
ACER3	3.38757	-0.00789787	0.506823	-0.167412
ACHE	-1.28967	-0.118209	0.219395	0.0495481
ACKR1	-3.8919	-1.56567	-0.275676	0.343167
ACKR3	-6.28705	3.61014	-0.77645	0.00417917
ACO1	0.436996	-2.24878	-0.0145445	-0.494857
ACO2	-3.41359	-0.56969	-0.361834	-0.231314
ACOT13	-4.50447	-2.58845	-0.195518	-0.0880461
ACOT2	-14.6622	2.44662	-0.887183	0.0494165
ACOT8	-11.9875	-0.0383006	-0.645634	0.0956993
ACOX2	-3.53094	2.34411	-0.558195	-0.157822
ACOX3	-7.5874	3.54899	-0.697314	0.154876
ACP1	-14.1988	-0.112023	-0.817768	0.116133
ACSF2	-6.36751	0.0865422	-0.599923	-0.127451
ACSF3	5.10103	0.70648	0.713036	0.108143
ACSL1	2.18575	-0.917355	0.106712	-0.302196
ACSL3	6.51389	3.89742	0.636498	0.435091
ACSL4	-8.09367	3.83246	-0.799368	0.254717
ACSL6	9.16569	-2.90616	0.887439	-0.137818
ACSS2	3.19653	-0.1819	0.601315	-0.12045
ACSS3	-2.13188	1.3854	-0.413957	-0.117827
ACTA1	-7.14733	1.83621	-0.480078	0.150651
ACTB	-11.5025	1.45709	-0.696017	0.0661299
ACTC1	-7.31305	3.29636	-0.579401	0.113429
ACTG1	-14.3523	0.112875	-0.820902	0.0670056
ACTG1P4	-9.56968	-1.97591	-0.645906	-0.1248
ACTL6A	0.857559	-2.90535	-0.067252	-0.534981
ACTN1	-3.9035	1.3954	-0.361712	0.502475
ACTN2	-3.41393	4.47756	-0.196432	0.473425
ACTN4	6.40103	0.136409	0.797521	0.155271
ACTR10	-15.3475	0.487085	-0.830775	0.110479
ACTR1A	-10.6775	-0.204917	-0.64792	0.198537
ACTR1B	6.13383	0.339713	0.742778	0.358572
ACTR3	-8.51069	-3.40927	-0.580938	-0.0450955
ACTR3B	-13.3293	1.24823	-0.8387	0.140261
ACTR3C	-3.67786	-5.1741	-0.40153	-0.442554
ACTR5	2.43637	2.67825	0.0794278	0.232855
ACVR1	4.84233	-6.22686	0.407023	-0.355435
ACVR1C	8.88908	-0.649196	0.787935	-0.142884
ACVR2A	-3.19388	2.00388	-0.756903	0.147479
ACVR2B	-5.27046	1.58299	-0.647233	0.212031
ACVRL1	1.60949	0.0559109	0.331372	-0.221023
ACY3	-2.99975	-1.46325	-0.495626	-0.292042
ACYP2	5.48068	-2.54019	0.777631	-0.167938
ADAD2	-0.93013	-2.37294	0.00395687	-0.272415
ADAL	2.65915	-2.52263	0.380273	-0.297926
ADAM15	8.57708	-3.38382	0.512135	-0.472678
ADAM17	1.51658	1.40776	-0.076727	-0.176891
ADAM20P1	5.91091	7.30553	0.451065	0.34942
ADAM22	5.71304	-0.126144	0.833377	0.196637
ADAM23	7.25604	-1.31796	0.913926	0.0755002
ADAM28	-5.92258	-3.55758	-0.596368	-0.323316
ADAM8	7.67653	1.2094	0.563286	0.138386
ADAM9	8.28989	0.399904	0.57436	-0.020966
ADAMTS13	6.77532	0.326804	0.735127	0.0618925
ADAMTS19	-4.04081	3.78175	-0.673827	-0.0687181
ADAMTS2	0.228149	1.05647	0.173925	-0.0467557
ADAMTS3	-11.8381	5.98802	-0.734238	0.409143
ADAMTS4	1.93472	-3.20598	0.231847	-0.398959
ADAMTS5	7.96395	-0.735419	0.764815	0.142284
ADAMTS8	-5.47157	0.0249466	-0.535517	0.427525
ADAMTS9	-7.77832	-1.11376	-0.658853	-0.390413
ADAMTSL1	4.16703	-0.523212	0.439783	-0.0930404
ADAMTSL2	-5.5516	-0.202429	-0.43747	-0.14765
ADAMTSL3	-3.14109	-2.94479	-0.34149	-0.451108
ADAP2	-10.8131	-3.8217	-0.740865	-0.290196
ADARB2-AS1	0.829325	-1.94073	0.130337	-0.48189
ADCY1	4.27421	-0.753389	0.506102	-0.0140702
ADCY2	-10.7966	2.59432	-0.69	0.133309
ADCY3	6.41228	0.018394	0.511449	0.0473823
ADCY4	1.70277	-0.62969	0.315607	-0.253863
ADCY7	-10.4283	2.48668	-0.63252	0.330942
ADCY8	2.27803	-2.75618	0.104374	-0.488356
ADCY9	7.52496	-2.42003	0.864683	0.0815737
ADCYAP1	-0.513072	6.28032	-0.0396313	0.397807
ADCYAP1R1	-1.4448	0.743035	-0.622315	-0.381862
ADD1	7.27968	-0.72662	0.71736	-0.0163958
ADGRA1	4.75408	1.88359	0.434396	0.202217
ADGRA2	3.39191	1.99629	0.507929	0.178269
ADGRA3	-4.78671	1.67701	-0.676001	-0.290484
ADGRB3	-13.2001	4.47151	-0.775613	0.329601
ADGRE5	0.89902	-0.776065	0.0520646	-0.348011
ADGRF5	-4.38041	3.07879	-0.393956	0.191493
ADGRG1	-8.04766	2.42656	-0.785412	-0.0567319
ADGRG6	-0.589783	0.25148	-0.371827	-0.188797
ADGRL2	6.19944	0.35685	0.595962	0.110577
ADGRL3	-6.79972	1.40785	-0.737807	0.240515
ADGRL4	3.16521	-0.85366	0.508195	-0.15676
ADGRV1	-6.58593	1.12186	-0.79616	-0.126697
ADH5	-6.21041	2.84129	-0.721481	-0.0142321
