gene	dk_thinning_Z	hcp_thinning_Z
FAM163B	1.61306	
FAM167A	-1.13472	2.05488
FAM167A-AS1	-5.08508	
FAM167B	-0.268408	-1.96503
FAM168A	-2.41686	
FAM168B	0.821673	0.0713922
FAM169A	2.73119	4.88913
FAM171A1	0.729116	-0.867726
FAM171A2	-1.27513	0.936868
FAM171B	-1.59792	-0.744613
FAM172A	-1.02715	0.940587
FAM173A	2.35713	
FAM173B	-0.120725	
FAM174B	2.26903	0.213046
FAM177A1	-3.79927	
FAM178B	0.810037	
FAM181A	-2.12693	-0.606598
FAM181B	-3.33566	-0.44058
FAM182A	-0.543791	
FAM182B	-0.480376	0.568877
FAM184A	-1.06961	-0.242151
FAM185A	0.765002	2.77751
FAM187A	0.162063	-0.568951
FAM189A1	-1.44802	-0.852458
FAM189A2	-2.51301	-1.13352
FAM189B	0.4103	-1.41726
FAM192A	-1.42335	-1.8171
FAM193A	-2.75955	
FAM193B	1.3083	
FAM196A	-3.88392	-1.84738
FAM198B	1.79411	4.67553
FAM199X	-1.7004	
FAM19A1	0.182816	0.953916
FAM19A2	1.16176	0.941317
FAM19A4	2.13474	
FAM19A5	0.272326	
FAM200B	-0.243227	-0.532639
FAM201A	-2.68238	-4.10182
FAM206A	1.86932	1.5068
FAM207A	-1.21126	-2.12971
FAM208A	3.21172	
FAM208B	0.6423	0.885257
FAM209A	1.03911	-1.79263
FAM209B	0.0297013	
FAM20A	0.576888	0.42604
FAM20B	0.882849	
FAM210A	-0.308036	
FAM210B	1.03567	2.66094
FAM212A	-1.31876	-1.5887
FAM212B	-1.20978	-1.43042
FAM213A	0.929982	1.342
FAM213B	-0.32465	-3.55858
FAM214A	1.43842	1.40847
FAM214B	-2.72436	
FAM215A	-1.78128	
FAM216A	1.67389	0.107842
FAM217B	3.20171	2.9535
FAM218A	0.543319	2.60776
FAM220A	0.774555	
FAM221A	-1.23232	-1.94682
FAM222A	0.753118	
FAM222B	1.52901	0.224084
FAM225B	-1.14101	-2.72863
FAM228B	-1.21932	-0.0162034
FAM229B	-1.7617	-2.40011
FAM234A	0.470213	-1.3794
FAM234B	4.97982	5.29623
FAM241A	-3.95961	-3.55613
FAM241B	1.2353	1.95689
FAM24B	-2.93017	-2.19116
FAM27E2	0.378675	1.18713
FAM27E3	1.30157	2.06937
FAM32A	-1.08307	-1.17929
FAM35BP	0.926033	0.24515
FAM3C	0.535799	0.457937
FAM43A	1.36808	-0.273407
FAM43B	0.939244	0.19814
FAM45BP	-0.794397	
FAM46A	-3.34963	-0.757408
FAM47E	0.896978	2.44256
FAM49A	1.03016	1.24238
FAM49B	3.56878	2.4951
FAM50A	0.829715	
FAM53C	-0.638566	1.65325
FAM57A	0.412699	
FAM57B	-0.749489	-2.15527
FAM66B	-0.774894	
FAM69B	1.50355	-0.745623
FAM69C	-3.0436	
FAM71E1	-0.437714	-0.802442
FAM71F1	-0.879019	-0.051032
FAM71F2	-1.78739	
FAM76A	0.160329	1.40447
FAM76B	1.51318	1.97268
FAM78A	2.04976	0.258698
FAM78B	3.26176	3.31286
FAM81A	4.64949	5.27235
FAM83D	1.44705	-0.276726
FAM83H	-0.059193	0.561524
FAM84A	5.07783	5.37532
FAM84B	0.0973432	-0.416267
FAM86B3P	-2.0426	-2.1031
FAM86C1	-1.79511	-2.02071
FAM86DP	-0.0743575	
FAM86EP	-1.67085	-1.46731
FAM86FP	-1.74046	-1.95299
FAM86HP	-0.565974	-0.880348
FAM89A	-5.3577	-3.25414
FAM89B	0.357616	-0.0727015
FAM90A1	3.20725	
FAM90A7P	1.75501	
FAM91A1	1.4576	
FAM92A	1.75951	
FAM95A	0.707077	1.32639
FAM95C	-0.399279	-3.8589
FAM96B	-1.44613	
FAM98A	-0.857476	-1.52494
FAM98B	2.33477	
FAM98C	0.212148	
FAN1	0.430559	
FANCA	1.44985	0.768907
FANCC	1.12332	3.03638
FANCE	-0.271572	0.0733553
FANCG	0.131185	0.919165
FANCI	1.14585	-0.0339426
FANCL	-0.965152	-0.146524
FANCM	1.75007	
FANK1	-3.33121	-1.87071
FAP	2.69009	1.32492
FAR1	1.69939	0.806788
FAR2	0.633248	-2.03632
FAR2P1	-0.737534	-0.149132
FAR2P2	-0.63252	0.120335
FARP1	-0.857492	1.03472
FARS2	2.77787	
FARSA	3.41183	
FARSB	-0.656427	-0.427972
FAS	-0.268823	
FASTKD1	0.810967	-0.202219
FASTKD2	1.18959	
FASTKD3	1.81426	
FASTKD5	2.91965	1.1581
FAT1	0.0937814	1.89052
FAT3	2.21617	
FAU	-1.97154	-0.789863
FAXC	2.28539	
FBL	-2.40697	-0.435611
FBLIM1	-0.385434	-1.11292
FBLN2	-3.54778	-3.25034
FBLN5	0.582089	0.590274
FBLN7	3.55777	3.87448
FBN1	2.47332	2.97804
FBP1	-4.15682	
FBRS	0.0481393	
FBRSL1	1.07799	5.06684
FBXL12	1.28581	
FBXL15	2.39269	1.48114
FBXL16	-0.428435	0.921145
FBXL18	-1.03647	
FBXL19	-1.38617	
FBXL2	1.82673	2.57713
FBXL22	-1.04132	
FBXL3	0.750212	
FBXL4	1.22514	1.02526
FBXL6	0.551498	
FBXO11	4.70629	
FBXO15	-3.75184	-7.16353
FBXO16	3.5683	-0.0103852
FBXO17	-3.17473	-2.02908
FBXO2	-1.80329	-0.919503
FBXO21	-0.504679	-1.54684
FBXO22	0.127498	
FBXO27	-0.14637	0.678138
FBXO28	3.13432	
FBXO3	-0.165124	-0.287849
FBXO30	-0.704188	1.29881
FBXO31	1.14223	-0.630053
FBXO32	2.44207	1.86192
FBXO33	2.62738	1.65616
FBXO34	1.89727	3.13628
FBXO36	-0.974591	
FBXO40	4.05182	3.20438
FBXO41	-1.84894	
FBXO42	-1.11212	
FBXO44	1.71119	0.950923
FBXO45	0.994233	0.345457
FBXO46	3.80769	5.39353
FBXO5	0.261662	
FBXO7		-2.77081
FBXO9	1.78021	2.26043
FBXW11	-1.22822	
FBXW7	3.54819	2.80199
FBXW9	0.480221	0.136183
FCER1G	-4.12723	
FCGBP	-2.67784	-5.97427
FCGR1B	-3.00833	-4.1077
FCGR2A	-6.46518	
FCGR3A	-4.01119	-5.66394
FCGRT	-3.71325	-3.39446
FCHO1	2.72682	
FCHO2	3.00903	4.02242
FCHSD2	-1.21269	
FCN1	-0.913908	0.460058
FCRLB	3.30616	
FDFT1	-1.02422	-2.70094
FDPS	0.01537	-0.778458
FDPSP2	-0.716673	-1.57986
FDX1	0.936742	-1.05277
FDX1L	-0.208287	-0.525397
FDXR	-1.81472	-0.855904
FECH	2.26386	2.60119
FEM1C	4.26408	
FEN1	2.24804	
FER	-1.84803	
FER1L4	0.858322	-1.19108
FERMT1	-1.71716	-1.27644
FERMT2	-2.6061	-0.12573
FES	3.78801	1.92931
FEZ1	-0.250987	-1.823
FEZ2	0.315364	-0.567018
FEZF2	-1.83827	-1.89785
FFAR4	1.36595	3.431
FGD1	-1.52977	0.450952
FGD2	-5.8627	
FGD3	-0.728549	0.205113
FGD4	-5.39391	-4.90111
FGD5	0.709693	-0.420939
FGF1	-2.78858	
FGF12	1.805	3.24251
FGF13	0.565192	0.650968
FGF14	2.9364	5.48999
FGF17	1.71141	3.89945
FGF18	3.47584	4.49325
FGF2	-1.2628	1.98397
FGF22	2.38468	2.03121
FGF7	0.304169	-1.94119
FGF7P3	0.527341	-1.19638
FGF7P6	-0.0250883	-3.38646
FGF9	1.99207	-0.977536
FGFBP3	-1.13922	0.0138966
FGFR1	-0.578101	-0.586477
FGFR1OP	2.63525	2.75212
FGFR1OP2	4.61263	5.99168
FGFR2	0.414473	-2.01469
FGFR3	-1.81481	1.20543
FGGY	-1.76774	-0.39131
FGL1	-2.72013	-0.268001
FGL2	-5.04445	-4.66002
FGR	0.212924	-0.914175
FH	-0.0808937	
FHIT	-0.968879	-3.68452
FHL1	-0.0270471	1.4992
FHL2	5.28904	
FHL3	3.24321	2.85151
FHOD1	-5.2053	-6.89164
FHOD3	-1.53569	-1.37221
FIBCD1	-3.29442	
FIBIN	-1.92785	0.748578
FIBP	2.18006	
FICD	0.752534	
FIG4	1.20201	
FIGN	5.1293	7.18282
FIGNL2	0.517609	2.66731
FILIP1	-1.42878	-1.86991
FILIP1L	2.02982	2.78718
FIP1L1	0.731806	1.58054
FIS1	0.163881	
FITM2	3.14326	0.723978
FIZ1	3.50328	1.4433
FJX1	-0.0940054	-0.835814
FKBP10	-1.10255	
FKBP11	2.04404	3.22833
FKBP14	-2.73122	-1.3913
FKBP1A	-0.574618	-0.24017
FKBP1B	-1.40586	-2.89695
FKBP2	1.53816	-0.65765
FKBP4	-2.98521	
FKBP5	-0.922111	-2.05059
FKBP7	-0.328403	-1.16607
FKBP9	0.260447	
FKBP9P1	0.766651	
FKBPL	1.42236	
FKRP	-1.38964	-0.126851
FKTN	0.231811	
FLAD1	0.609412	
FLCN	0.969279	-1.14044
FLII	1.35778	-0.261094
FLJ20021	2.14317	0.746765
FLJ23867	0.915874	-0.854496
FLJ30901	0.958184	0.696687
FLJ33534	1.47806	0.231525
FLJ37035	0.0501243	
FLJ37453	-1.60838	-1.15623
FLJ42627	-0.207874	0.363113
FLNA	-2.60882	
FLOT1	1.18412	
FLOT2	1.23322	-0.15304
FLRT1	-1.66302	-0.802658
FLRT2	4.67008	7.46678
FLRT3	2.99738	1.36236
FLT1	-0.254884	-1.69647
FLT3	1.22542	-0.330768
FLT3LG	-0.729949	
FLT4	0.422508	
FLVCR1	2.63226	
FLVCR1-AS1	-0.645904	-3.71688
FLYWCH1	0.910819	
FLYWCH2	0.0758652	
FMC1	-2.19029	
FMN1	4.38536	5.09018
FMN2	2.25988	6.24543
FMNL2		-1.95243
FMO1	0.384381	
FMO2	-0.258627	
FMO5	-1.36585	
FMOD	0.991403	0.151807
FMR1	5.27832	3.9022
FN3KRP	0.560887	-1.0243
FNBP1L	-0.641862	1.18555
FNBP4	1.92478	
FNDC10	2.51749	1.29695
FNDC11	-1.78018	0.159227
FNDC3A	-1.50465	1.69608
FNDC3B	2.50467	6.27684
FNDC4	1.89654	0.455503
FNDC5	1.98051	1.78567
FNDC9	0.65439	2.1248
FNIP2	2.19483	0.199998
FNTA	-1.07402	-2.22729
FOCAD	1.41122	-0.817217
FOLH1B		-2.55284
FOLR1	-3.77012	-1.80337
FOLR2	-2.44541	-3.25535
FOPNL	-1.48503	
FOS	-2.5256	-2.58205
FOSB	2.33921	3.30383
FOSL2	1.28079	1.41278
FOXA2	-4.99896	
FOXC1	0.0510295	-0.0520826
FOXD1	1.11151	0.159325
FOXD4L5	0.354671	
FOXE3	-1.85581	
FOXF1	-0.708898	-0.880188
FOXF2	0.576939	0.0871919
FOXG1	0.87179	2.19303
FOXJ2		3.35448
FOXJ3	2.44231	0.187648
FOXK1	1.34264	0.663611
FOXK2	-0.829067	
FOXL2	1.77618	0.286462
FOXN2	-4.28957	
FOXN3	-0.29554	0.647404
FOXN3-AS1	-0.442608	0.7709
FOXO1	-5.00388	-1.9432
FOXO4	-1.8232	
FOXP1	2.44133	3.27427
FOXP2	3.40798	5.29823
FOXP4	1.31385	
FOXQ1	1.69649	1.38998
FOXRED1	1.88707	
FOXRED2	0.920652	2.3073
FOXS1	-0.202343	-0.459609
FPGS	-1.42391	-2.13592
FPGT	-0.568642	1.67519
FPR1	-3.09804	-6.09832
FRA10AC1	-0.29844	0.490856
FRAS1	1.96488	-0.547552
FRAT1	1.28066	0.584786
FRAT2	0.410613	-0.667662
FREM1	-0.594479	
FREM2	-1.44362	
FREM3	2.24682	1.82835
FRG1JP	-0.504598	
FRK	0.699954	-1.7061
FRMD3	-3.35646	-1.61545
FRMD4A	0.565162	-0.476383
FRMD5	2.31351	0.608656
FRMD6	3.06264	3.45883
FRMD8	1.7089	
FRMPD1	2.09512	
FRMPD4	3.2386	4.93974
FRRS1L	0.746433	1.13813
FRS3	3.0948	
FRY	0.281813	
FRYL	0.328935	-1.49324
FRZB	0.60991	1.84328
FSBP	2.00186	4.97632
FSCN1	0.217232	
FSCN2	-2.25399	
FSD1	2.2792	
FSIP1	-0.888665	1.36676
FSTL1	-0.403005	1.05585
FSTL3	1.13561	
FSTL4	3.10137	1.73263
FSTL5	0.682132	1.16905
FTCD	3.08012	
FTCDNL1	-2.79723	
FTH1	-0.796506	-1.86368
FTHL17	1.86979	
FTL	-3.05469	-2.20312
FTO	4.36129	
FTSJ3	-0.902943	
FUBP1	2.11033	
FUCA1	-0.336535	-0.11884
FUCA2	-3.9109	
FUK	-0.627049	
FUNDC1	0.640679	
FUNDC2	0.0712017	0.670056
FUNDC2P2	-0.659062	
FUOM	-1.96992	-2.54319
FURIN	-1.53491	
FUT10	-0.742806	2.20855
FUT11	0.959607	-1.26124
FUT4	-1.54217	
FUT6	-1.49211	
FUT9	2.94347	6.1621
FXN	-2.45627	
FXR1	2.75294	1.55475
FXR2	2.01441	
FXYD1	-1.64887	
FXYD6	1.22521	2.34424
FXYD7	3.61522	1.78022
FYB1	-2.99548	-3.71688
FYN	-4.98444	-1.22953
FYTTD1	1.04712	
FZD1	-1.6988	-0.163997
FZD10	-0.0472382	-0.378717
FZD2	-2.6165	-1.22543
FZD3	4.5741	3.93278
FZD4	1.15124	1.51747
FZD5	2.59518	4.08314
FZD6	2.19941	4.03541
FZD7	-0.71644	1.63314
FZD8	-1.42301	0.922428
FZD9	-0.302948	0.799986
FZR1	1.58243	0.343315
G0S2	0.664475	-0.89202
G2E3	3.53701	
G3BP2	1.99291	
G6PC3	-3.00912	
G6PD	-0.117682	-2.07375
GAB1	1.09087	-0.272361
GABARAP	-1.91669	-0.691764
GABARAPL2	-1.13272	
GABARAPL3	-0.41342	
GABBR1	-0.791573	-0.0400936
GABBR2	3.13	
GABPB1-IT1	2.79638	5.43232
GABRA1	2.32718	1.90821
GABRA2	-1.26262	0.0915146
GABRA3	-0.19371	-1.75802
GABRA4	-1.37579	0.404795
GABRA5	-1.23563	-0.626022
GABRB1	-0.761727	0.820966
GABRB2	2.00006	1.6632
GABRB3	-0.947576	-0.43717
GABRD	3.70934	2.59113
GABRE	0.0890977	1.12775
GABRG1	-0.351457	3.00971
GABRG2	4.43836	3.40862
GABRG3	3.63323	2.30699
GAD1	0.729961	1.3612
GAD2	-0.126844	
GADD45A	1.07483	
GADD45B	0.116475	-1.83206
GADD45GIP1	0.467316	0.432871
GAL	1.75606	0.629086
GAL3ST4	-3.91482	
GALE	1.49897	1.02321
GALK2	-0.35446	
GALM	-1.64969	-0.716072
GALNS	-0.689021	
GALNT1	0.254401	
GALNT10	-2.77863	
GALNT11	-0.166053	-0.376739
GALNT12	1.25459	-0.91909
GALNT13	1.40226	-0.172144
GALNT14	0.736583	-1.05763
GALNT15	-0.413289	-3.40462
GALNT16	2.29377	2.04291
GALNT17	3.79619	2.88078
GALNT18	0.413148	0.370167
GALNT2	0.748429	
GALNT3	2.38741	
GALNT5	-0.140016	
GALNT9	4.15934	
GALNTL5	2.05923	1.01758
GALP	-0.468236	
GALR1	1.53785	3.68081
GALT	-0.921328	-1.76912
GAMT	0.0217252	-0.828362
GAN	-2.1174	
GANC	-0.163959	-1.73246
GAP43	0.0369933	0.749663
GAPDH	0.342832	
GAPVD1	0.455496	-1.58264
GAR1	-1.41469	-1.76539
GAREM1	0.971502	
GAREM2	-3.68709	
GARNL3	-1.80299	-1.03388
GARS	0.663591	
GART	2.16772	0.666611
GAS1	-1.40921	
GAS2	0.869586	-0.63267
GAS2L1P2	-0.844224	
GAS5	-2.72082	-1.04186
GAS6	0.035949	-0.525168
GAS7	1.78722	
GAS8	2.0511	
GASAL1	-2.00671	-2.02356
GAST	1.19534	
GATAD2A	-0.531562	-1.49072
GATAD2B	0.659226	
GATB	1.31313	0.783419
GATD1	-3.08126	
GATM	-2.07103	
GBA	-0.822585	-2.27414
GBAP1	0.477225	-0.34266
GBE1	0.52009	-3.36449
GBP2	0.110794	-1.79963
GBP3	-3.12324	-2.47876
GBP4	-0.163559	-0.920579
GCA	1.79766	
GCAT	1.72867	
GCC1	2.98522	
GCC2	0.690772	0.533387
GCDH	-1.48476	
GCFC2	5.24018	
GCHFR	1.67215	0.201267
GCLM	2.11224	0.468784
GCNA	3.0786	
GCNT1	0.0977496	-1.21719
GCNT4	4.03512	
GCSH	-3.9618	-1.70053
GCSHP3	-1.4145	
GDA	-0.359551	0.0453334
GDAP2	0.304718	
GDE1	-2.22786	-3.99102
GDF10	2.43761	1.16081
GDF11	-1.89072	
GDF7	1.58959	-0.342243
GDPD1	0.926175	-1.0319
GDPD2	-1.61924	0.531804
GDPD5	1.25318	-0.73728
GDPGP1	2.61364	-0.102309
GEM	-2.84144	-0.297032
GEMIN4	2.19667	
GEMIN5	-0.605577	
GEMIN7	1.63187	-1.03006
GEMIN8	-2.58754	-0.91422
GEMIN8P4	-1.3488	
GEN1	0.390603	
GET4	0.761054	
GFAP	-3.51302	-1.71648
GFER	2.39943	
GFM1	0.377413	0.142608
GFM2	-0.34146	
GFOD1	4.84396	3.98472
GFOD2	3.91821	1.8217
GFPT1	1.31294	
GFPT2	1.6579	1.97793
GFRA1	-2.80964	-3.75366
GFRA2	1.48668	0.470667
GFRA3	-0.294859	
GGA2	1.23275	2.06034
GGA3	2.51361	
GGACT	-1.649	
GGCT	-0.0742263	0.383841
GGCX	-1.54027	-1.93689
GGH	1.22713	-1.31714
GGN	0.143469	2.17199
GGNBP1	-0.685746	
GGNBP2	0.652774	0.0120114
GGPS1	0.0687449	
GGT1	1.80419	3.48038
GGT3P	0.836687	1.12327
GGT5	-0.146733	-1.34973
GGT6	0.361471	0.708038
GGT7	1.19959	-0.8387
GGTA1P	-2.13785	-3.21349
GGTLC1	3.07514	2.52984
GGTLC2	1.46101	
GHDC	5.60729	3.69713
GHR	-1.18717	0.196273
GHRL		-3.09047
GHRLOS	1.33302	1.79174
GHSR	-0.580129	
GID8	4.81671	
GIGYF1	1.13273	1.68868
GIGYF2	2.43752	3.24153
GIMAP2	-3.79254	
GIMAP4	-0.498806	
GIMAP6	0.154049	
GIMAP7	-1.04765	
GIN1	2.1352	
GINM1	-5.41211	
GINS2	-1.57409	-1.32684
GINS3	0.192594	
GIPC1	1.55238	-0.592704
GIPR	-1.92432	
GIT1	-0.0398553	
GIT2	-0.231106	-1.02286
GJA1	-1.36363	1.73576
GJA4	-0.531649	
GJB1	0.203626	-2.60972
GJB5	1.32089	-2.99058
GJB6	-1.08979	
GJC1	1.3344	0.764181
GJC2	0.49566	-2.49162
GJD4	1.68878	
GK	3.26897	3.48724
GK3P	2.26909	5.16466
GK5	-0.363279	-3.70251
GKAP1	-0.621973	
GKN1	-1.55529	
GLA	1.07951	-0.0367077
GLB1L	-1.30126	
GLB1L3	3.26238	1.96895
GLCCI1	2.25624	2.44093
GLCE	2.16417	1.07328
GLDC	-1.33632	-0.541279
GLDN	0.68188	-1.698
GLE1	2.59493	
GLG1	0.142532	-0.93154
GLI1	-0.61589	2.36326
GLI3	-2.62384	0.529299
GLI4	1.68818	
GLIPR1	3.02409	3.82397
GLIPR1L2	-3.53289	
GLIS1	1.71657	2.32844
GLIS3	0.702754	7.07839
GLMN	1.58719	1.72954
GLO1	-1.37658	-2.74962
GLOD4	-0.918134	0.582778
GLP2R	-0.550112	-0.906495
GLRA2	-1.59101	-1.15604
GLRA3	1.26496	2.77374
GLRB	1.75359	
GLRX	1.56104	-0.810766
GLRX2	1.52476	0.00787519
GLRX3	-1.3376	-4.38667
GLRX5	-0.153326	
GLS	1.01807	1.64909
GLS2	1.94607	0.854878
GLT1D1	3.28097	
GLT8D1	-1.20368	-0.112326
GLT8D2	-0.830974	0.0563293
GLTPD2	-2.7146	
GLUD1	-2.70162	-0.117794
GLUD2	-2.09868	-0.0655132
GLYCTK	-2.11997	
GLYR1	0.814081	
GM2A	-0.334166	-1.55588
GMCL1	2.1424	
GMDS	-1.42325	
GMEB1	-0.877003	
GMFB	-0.972943	-0.844219
GMFG	-1.87688	-3.28199
GMIP	-2.16666	-3.45056
GMNN	0.852982	1.45386
GMPPB	1.63574	
GMPR	-0.618891	-2.60166
GMPR2	0.946331	-1.00656
GMPS	1.14926	-0.291761
GNA11	-0.801889	
GNA12	-3.30732	-1.14221
GNA13	-1.93017	
GNA14	0.517222	-0.768814
GNA15	0.95984	0.88073
GNAI2	-2.4386	-1.58899
GNAL	-3.25293	-4.66863
GNAO1	-1.72999	-1.2749
GNAQ	0.0594962	0.86315
GNAS	1.3791	0.520062
GNAZ	1.4589	1.6813
GNB1L	4.1209	2.33893
GNB2	-0.67222	0.0883902
GNB3	2.33454	1.40936
GNB4	-1.44706	-1.3346
GNB5	2.60355	
GNG10	-1.66699	-0.806087
GNG11	-1.21949	-0.0992145
GNG12	-1.66706	-0.557136
GNG13	5.64839	7.75178
GNG2	-2.16361	-2.13773
GNG3	0.703062	
GNG4	-0.804806	0.258768
GNG5	-2.93881	
GNG7	-1.312	-2.59072
GNG8	-1.81232	
GNL1	2.24025	2.276
GNL2	0.785969	0.777791
GNL3	0.305691	
GNL3L	1.66589	
GNLY	-1.1312	-0.641619
GNPAT	0.47865	
GNPDA2	3.43737	1.86412
GNPTAB	-0.582077	-0.228304
GNPTG	-0.808851	
GNRH1	1.15023	1.85653
GNRH2	0.467211	
GOLGA1	1.1535	2.97271
GOLGA2	-0.0205796	
GOLGA2P11	-0.932988	
GOLGA2P5	-0.292018	
GOLGA2P7	-0.588886	1.16546
GOLGA3	1.45662	
GOLGA6C	0.207165	
GOLGA6L10	1.24036	3.49466
GOLGA6L17P	-0.501943	1.85388
GOLGA7B	1.27069	-0.26618
GOLGA8A	1.8344	3.57978
GOLGA8IP	-0.0645215	
GOLGB1	0.0460364	0.413128
GOLM1	-0.441288	0.961366
GOLPH3	1.93325	0.818229
GOLPH3L	3.24696	2.259
GOLT1A	-1.28373	-0.013352
GON4L	0.424568	1.10791
GON7	-1.00724	-1.63005
GOPC	6.01444	6.67457
GORAB	3.34905	
GOSR2	-0.871857	-0.621668
GOT1	1.77961	-0.505949
GOT2	0.988405	-0.121601
GP9	2.54833	
GPAM	-3.58723	
GPAT2	3.63337	
GPAT3	1.15601	-1.08202
GPATCH1	1.83213	
GPATCH2	1.63012	
GPATCH2L	4.14603	
GPATCH3	2.12356	
GPATCH4	-0.0610976	-1.62743
GPATCH8	1.61518	1.67346
GPBP1	3.67649	
GPBP1L1	1.26981	0.852887
GPC1	0.368956	
GPC2	-4.99039	-5.21939
GPC4	-2.30511	-2.14057
GPC5	-3.08959	-1.16343
GPC6	-0.63516	-0.797885
GPCPD1	1.72653	0.591461
GPD1	-1.26551	-5.96208
GPD1L	4.37211	
GPD2	-2.01202	-1.90373
GPER1	-0.692125	-0.286663
GPHN	0.94306	2.32346
GPI	0.170114	
GPIHBP1	0.601668	-2.6797
GPKOW	0.593843	
GPLD1	1.46367	0.510049
GPM6A	0.556366	1.99776
GPM6B	-1.24766	0.449385
GPN1	2.05616	2.22571
GPN2	3.13705	0.372219
GPNMB	-0.940423	0.757962
GPR107	-2.05629	-2.2387
GPR108	0.474719	-0.79099
GPR119	0.203304	
GPR135	0.528104	
GPR137	0.905311	
GPR137B	-2.87458	-0.766191
GPR137C	3.23726	3.38397
GPR143	-0.501046	1.20511
GPR146	0.232069	1.7931
GPR149	0.134956	1.77829
GPR150	2.66658	3.14604
GPR155	3.70061	2.25291
GPR158	3.15996	1.54824
GPR160	-1.75773	-1.42563
GPR161	1.7072	3.17615
GPR162	5.77046	
GPR171	4.3507	
GPR173	-2.31241	
GPR176	0.243818	
GPR179	-3.50835	-1.89604
GPR180	2.78776	3.75229
GPR183	-3.57889	-3.83314
GPR19	0.742371	1.58269
GPR20	1.87914	0.180724
GPR21	1.9104	
GPR22	4.4351	4.54098
GPR25	-0.216706	0.851136
GPR26	3.30475	2.89586
GPR27	-0.95314	0.848688
GPR34	-2.3823	-1.85385
GPR37	0.339141	
GPR39	-3.13621	
GPR4	-0.447638	-1.92525
GPR6	-0.486749	0.776177
GPR61	1.51466	-0.469764
GPR62		-1.98549
GPR63	3.8713	
GPR68	-0.629644	-1.03704
GPR83	0.127295	0.470592
GPR85	1.56342	0.818675
GPR88	-1.38602	0.0569489
GPRASP1	2.25184	
GPRC5C	-3.83379	-1.3139
GPRIN1	-0.557573	0.961667
GPRIN2	-0.209612	-0.232385
GPSM1	-0.330833	2.03528
GPSM2	-0.679298	-1.92738
GPT2	-1.18351	-0.546829
GPX3	4.40987	5.7377
GPX4	-0.33521	0.379095
GPX7	-0.780263	2.38021
GRAMD1B	0.704008	0.0138919
GRAMD1C	-2.10751	
GRAMD2B	-2.39368	
GRAMD4	0.753276	0.295749
GRAP	-1.08042	
GRASP	3.79486	1.99331
GRB10	-0.468216	0.355222
GRB14	-0.562059	-0.270223
GREB1	1.20893	0.33628
GREB1L	-3.90128	-2.30985
GREM1	1.69997	-0.0506804
GREM2	1.34173	0.362385
GRHPR	0.0772818	-0.977211
GRIA1	-0.636327	-0.0977747
GRIA2	3.4121	4.63727
GRIA3	0.326699	
GRIA4	0.694747	
GRID1	1.47793	-1.0557
GRID2	-2.54848	-1.93228
GRIK1	0.796664	3.74848
GRIK2	0.336417	2.73015
GRIK3	0.695366	-0.143735
GRIK4	-0.636573	-2.55166
GRIK5	-3.85822	-1.06059
GRIN1	1.68476	
GRIN2A	3.1183	3.04857
GRIN2B	-0.367128	-0.631127
GRIN2C	-1.90624	1.16832
GRIN3A	-0.91564	-1.30502
GRIP1	2.0077	
GRIP2	2.40453	0.478341
GRIPAP1	5.22181	
GRK3	-0.349814	-0.191977
GRK4	-1.49236	
GRK5	0.41141	1.59595
GRK6	0.851971	
GRM1	0.806299	1.18874
GRM2	1.1424	
GRM3	1.17742	-0.0638563
GRM4	-1.76539	-3.09563
GRM5	-0.155789	0.777379
GRM6	1.29383	
GRM7	0.757046	1.23475
GRM8	0.474781	1.54558
GRN	-1.95214	-2.65853
GRP	-1.94003	-1.09016
GRPEL2	3.20665	3.53492
GRPR	0.259791	
GRSF1	0.971764	-0.103174
GRWD1	4.63212	
GS1-124K5.11	-0.646726	-0.938303
GS1-124K5.4	-2.78826	-4.00162
GSAP	0.386378	3.12403
GSDMB	1.6327	3.05322
GSDMD	-1.42655	
GSDME	1.52006	1.47328
GSE1	0.834677	1.82864
GSG1	0.403028	1.38548
GSG1L	-0.495996	-1.37916
GSK3B	3.48683	2.34082
GSKIP	-0.815623	-2.14015
GSN	-2.43855	-2.69423
GSPT2	0.439856	2.80099
GSR	-1.02944	-0.743558
GSS	0.937906	0.225121
GSTA4	0.722514	
GSTCD	0.632997	2.41768
GSTK1	-1.25354	-2.13011
GSTM1	-1.61575	0.903246
GSTM2	-1.85194	0.143598
GSTM2P1	-1.96951	0.842082
GSTM3	-1.27053	1.04043
GSTM4	-0.570547	
GSTM5	-1.31471	0.945764
GSTO2	-1.13622	-0.739821
GSTP1	-3.59197	-1.60484
GSTT1	0.956864	-0.51532
GSTZ1	-0.323169	
GTDC1	1.61162	0.835318
GTF2A1	2.55717	0.810831
GTF2A2	-1.55726	-2.23816
GTF2B	-0.0439378	
GTF2E1	1.39099	
GTF2F2	-1.06556	-0.221253
GTF2H2B	1.55955	1.63507
GTF2H3	1.17659	
GTF2H5	-2.87025	-2.99848
GTF2I	0.247584	
GTF2IP20	0.0464177	
GTF2IRD1	2.84707	2.81483
GTF2IRD1P1	2.23812	
GTF2IRD2	-2.95761	
GTF3A	0.31711	-0.630196
GTF3C2	1.98819	3.2174
GTF3C3	1.92638	2.44443
GTF3C4	4.90198	
GTF3C6	-1.97407	-0.553337
GTPBP1	-0.590555	0.86264
GTPBP10	1.59679	
GTPBP4	-0.929882	-2.34431
GUCA1B	1.94078	
GUCA2B	-0.493031	-0.939646
