gene	dk_thinning_Z	hcp_thinning_Z
ADAM15	-2.19542	-1.61401
ADAM17	2.14322	1.63137
ADAM19	-2.68111	
ADAM20	2.376	
ADAM20P1	4.1002	7.57208
ADAM22	2.30563	0.713361
ADAM23	1.39049	-0.072155
ADAM28	-3.05933	-3.81897
ADAM32	2.06697	
ADAM33	0.935141	
ADAM8	2.74738	2.03656
ADAM9	1.28193	1.46067
ADAMDEC1	-1.18568	
ADAMTS13	1.71816	1.26952
ADAMTS19	0.841412	2.13248
ADAMTS2	1.28196	1.06866
ADAMTS3	1.46362	2.54306
ADAMTS4	0.3536	-2.40349
ADAMTS5	1.75424	0.495694
ADAMTS8	0.620529	-0.720139
ADAMTS9	-2.97793	-1.94427
ADAMTSL1	-1.16817	0.135468
ADAMTSL2	0.496809	-0.937494
ADAMTSL3	-0.62541	-3.45671
ADAP1	-1.31613	
ADAP2	-2.79936	-3.64456
ADAR	2.26025	
ADARB1	1.40839	
ADARB2-AS1	-0.570456	-1.61163
ADAT2	2.91716	
ADCK2	2.51348	
ADCY1	0.599952	-0.0768564
ADCY2	2.49252	0.870657
ADCY3	1.49742	0.846641
ADCY4	0.412028	-0.260394
ADCY7	0.893592	0.705554
ADCY8	-2.99178	-2.30124
ADCY9	0.678303	-0.676507
ADCYAP1	3.89954	5.34711
ADCYAP1R1	-2.13985	0.431427
ADD1	0.878379	0.385633
ADD3	-2.6431	
ADGRA1	2.50114	2.58915
ADGRA2	2.67905	2.35153
ADGRA3	-1.83277	0.853243
ADGRB2	1.89826	
ADGRB3	0.352363	1.5187
ADGRD1	2.24456	
ADGRE5	1.19556	-0.578158
ADGRF5	3.14598	1.982
ADGRG1	-1.77559	0.649315
ADGRG5	-3.44096	
ADGRG6	-1.13701	0.131125
ADGRL2	1.5404	1.12656
ADGRL3	-1.07585	0.0742514
ADGRL4	0.289226	-0.200861
ADGRV1	-2.03522	0.0944544
ADH5	-0.922687	1.33811
ADHFE1	-1.93213	
ADI1	-3.10061	-1.44424
ADIPOR1	-2.22183	-2.01404
ADIRF	-2.8752	-1.08397
ADK	-2.3824	-3.03163
ADM	-1.65663	-3.37139
ADM5	-0.818419	-0.371183
ADNP	2.49921	3.18649
ADNP-AS1	-2.05993	
ADNP2	4.06638	3.23499
ADO	2.77565	0.911514
ADORA1	1.56508	
ADORA2B	-1.18339	1.45087
ADPRHL1	4.02794	3.31106
ADPRHL2	1.31154	-0.86898
ADRA1A	0.147605	0.5621
ADRA1B	1.17427	-0.837716
ADRA1D	3.05814	0.90673
ADRA2A	1.19732	1.33653
ADRA2C	-0.507387	-1.51257
ADRB1	3.31495	2.62989
ADRB2	-2.0806	-1.5567
ADSL	-1.54165	
ADSSL1	0.833583	-0.798309
ADTRP	1.6415	1.70942
AEBP1	0.372984	2.53059
AEBP2	2.5879	4.23393
AEN	-0.376796	
AES	0.885877	
AFAP1L1	2.69	1.24394
AFAP1L2	3.53004	2.21796
AFDN	-1.6949	-1.07003
AFDN-DT	-0.828331	-5.0903
AFF1	0.0601741	-0.776221
AFF2	-2.59439	-2.02512
AFF4	-0.0302042	
AFG1L	1.28683	
AFG3L1P	0.377493	
AFG3L2	1.40431	
AFTPH	2.56814	2.5665
AGA	-1.73643	-3.78002
AGAP1	-1.29337	0.215785
AGAP11	0.492812	
AGAP2	-1.01319	0.656977
AGAP3	-2.23503	-1.2126
AGAP5	0.618757	
AGBL3	3.07709	
AGBL4	5.0012	
AGBL5	-0.0175774	
AGER	-1.14965	
AGFG2	-1.59657	-1.87699
AGK	1.5148	0.467541
AGL	-0.703961	
AGMAT	0.836854	-1.74495
AGO1	2.04502	2.23125
AGO2	0.558878	
AGO3	0.368724	0.123411
AGO4	1.441	3.52664
AGPAT1	0.268863	
AGPAT2	1.84698	3.01577
AGPAT3	1.02676	-1.09569
AGPAT5	-2.89909	
AGPS	3.82012	
AGTPBP1	0.933551	
AHCY	-0.857427	-3.41763
AHCYL1	-1.57107	
AHI1	1.41132	1.80162
AHNAK	-1.78394	-0.203725
AHNAK2	1.56096	-0.138804
AHR	0.286892	0.731227
AHRR	-0.130401	1.2242
AHSA1	-0.264444	
AHSG	3.35362	1.95963
AIF1	-2.30291	-3.19945
AIFM2	0.321701	2.58249
AIFM3	-1.2479	0.165286
AIG1	3.0137	3.48384
AIM2	-1.93292	-2.09976
AIP	2.03755	1.03649
AIRE	0.848831	-0.0317293
AJAP1	2.23502	2.89344
AK1	0.288413	-0.420703
AK2	-0.296839	-1.34719
AK3	-2.69654	
AK4	-1.52354	0.369954
AK5	0.349927	-0.173758
AK6	-1.58316	
AK8	-3.38648	
AK9	1.92244	1.81337
AKAIN1	1.48365	-0.98224
AKAP1	0.32782	0.444629
AKAP10	2.80097	2.84308
AKAP11	2.47464	
AKAP12	1.68571	0.641656
AKAP13	0.138229	1.23699
AKAP14	-3.14625	-3.3798
AKAP17A	1.04506	1.17869
AKAP5	-0.847591	-0.289353
AKAP6	2.6365	
AKAP7	-1.27302	0.591689
AKAP8	1.46157	-0.199531
AKAP9	3.6765	
AKIRIN1	-1.99124	
AKIRIN2	-0.448341	-0.529419
AKR1B1	-0.610573	
AKR1C1	-1.95579	-3.73716
AKR1C3	-2.15289	-2.71209
AKR1C4	-2.02111	-3.37968
AKR7A2	-3.16032	-2.44516
AKR7A2P1	-2.34633	-1.1025
AKR7A3	-2.16469	-2.3872
AKR7L	-3.40763	-1.46154
AKT1	-0.200025	
AKT1S1	-0.52981	-1.91353
AKT3	0.877566	1.01291
AKTIP	-3.01716	
ALAS1	1.01254	
ALB	-2.46148	
ALCAM	-1.9474	-1.71128
ALDH1A1	0.269501	0.469288
ALDH1A3	2.44406	2.91352
ALDH1B1	1.28268	-1.37019
ALDH1L1	-1.91693	0.318056
ALDH1L2	0.247708	
ALDH2	-1.88197	0.344894
ALDH3A2	1.48942	-0.908573
ALDH4A1	-1.8556	0.222566
ALDH5A1	-2.55934	
ALDH6A1	-2.16434	0.337316
ALDH7A1	-3.16942	-1.32128
ALDH8A1	0.465593	
