label,thinning_score,C1,C2,C3,dCT,CT
lh_V1,34.554,2.12011,-2.12656,-1.90591,-0.00919467,1.83674
lh_V2,24.1272,2.04986,-1.77458,-1.48774,-0.0197938,2.03186
lh_V3,38.6447,2.03484,-1.89912,-1.29937,-0.019677,2.2418
lh_V4,23.7101,1.62756,-1.54241,-0.480772,-0.0180068,2.34288
lh_4,-33.7935,1.26505,1.48297,-2.01289,-0.00657174,2.75954
lh_3b,-14.064,1.74933,-0.276022,-2.38483,-0.0147493,1.70903
lh_FEF,-24.0583,0.368128,1.88927,-0.605317,-0.00357333,2.71436
lh_55b,-34.6147,0.482588,2.35455,-0.750999,-0.00517589,2.95
lh_V3A,41.6372,1.92001,-1.45017,-0.46184,-0.0196771,2.25424
lh_RSC,5.98883,0.721925,-0.189659,-0.611172,-0.0148258,2.39017
lh_POS2,39.3066,1.10881,-0.216043,1.10435,-0.0226028,2.47092
lh_IPS1,9.72243,1.41622,-0.773098,-1.25222,-0.0246,2.34606
lh_FFC,4.6346,0.242502,-0.834811,0.980555,-0.0183536,2.88755
lh_A1,5.5426,1.65139,-0.869557,-2.01302,-0.0206392,2.68638
lh_PSL,16.0215,0.306398,0.0802686,1.44304,-0.0187095,2.93249
lh_SFL,-37.0531,0.0286624,2.1207,-0.799577,-0.0196723,3.28585
lh_PCV,22.8701,0.699377,-0.0868621,0.319168,-0.023896,2.61698
lh_STV,5.93075,0.0656365,0.268824,1.22222,-0.0203569,2.9096
lh_7Pm,35.4308,1.09123,0.229345,0.999146,-0.0289813,2.66145
lh_7m,24.1693,1.28124,-0.508344,-0.260952,-0.0269963,2.77469
lh_POS1,25.7628,0.431601,-0.585838,0.949841,-0.0246553,2.85339
lh_23d,3.69168,-0.370406,0.36852,0.231694,-0.0320542,3.17075
lh_d23ab,19.2462,0.275201,-0.570582,-0.533134,-0.0314878,3.23603
lh_31pv,35.4308,0.738355,-0.358806,0.981548,-0.0268147,2.60707
lh_5mv,29.039,0.537936,-0.525107,0.000728977,-0.0268678,2.43636
lh_23c,0.806894,-0.348565,0.541031,-0.102357,-0.0256836,2.60317
lh_5L,6.39273,0.636314,-0.0189418,-0.378335,-0.0271302,2.48666
lh_24dd,-20.1244,0.596163,1.53712,-1.23126,-0.0181253,2.94393
lh_24dv,-13.8511,-0.795558,0.533877,-1.02538,-0.0206152,2.81054
lh_7AL,12.9266,0.741154,-0.0425223,0.299826,-0.02247,2.45258
lh_SCEF,-28.1577,0.115468,2.00374,-0.710137,-0.0169091,3.07464
lh_6ma,-26.855,-0.15871,1.71415,-0.195281,-0.0150135,3.02818
lh_7Am,15.7244,0.695755,0.0555892,0.00292805,-0.0277032,2.58877
lh_7PC,-5.6834,0.813794,0.368993,-0.66671,-0.0198141,2.5787
lh_LIPv,3.23566,1.15483,-0.0274485,0.252415,-0.0182607,2.33006
lh_VIP,14.8408,0.994613,0.0253128,-0.243781,-0.0241941,2.60741
lh_MIP,17.3127,1.13342,-0.232836,-0.283009,-0.0213063,2.35505
lh_1,-10.0779,1.45968,0.540315,-0.947251,-0.0163345,2.52381
lh_2,13.9305,0.824149,-0.0993113,0.601066,-0.0207786,2.29694
lh_3a,-19.6247,1.66199,0.33918,-2.44576,-0.0171841,2.0391
lh_6d,-50.4199,0.89311,2.00656,-2.13149,-0.000135853,3.00965
lh_6mp,-50.9444,0.431711,2.28328,-1.73448,-0.0100773,2.86345
lh_p24pr,-20.0753,-0.928579,0.912614,-0.633267,-0.0287699,3.01453
lh_33pr,-58.8726,-1.42878,-0.0500816,-2.78562,-0.0110197,2.38636
lh_a24pr,-35.3209,-1.40209,0.256524,-1.9079,-0.0271829,3.06836
lh_p32pr,-6.78816,-0.53642,1.60712,-0.0325678,-0.0204649,2.88067
