label,thinning_score,C1,C2,C3,dCT,CT
lh_a24,-5.52532,-1.78344,-0.707602,-1.13557,-0.022802,2.95242
lh_d32,-3.71717,-1.14663,0.530672,-0.251635,-0.0234559,3.00665
lh_8BM,-4.8904,-0.302781,1.67262,0.276188,-0.0241341,3.25042
lh_p32,5.28211,-1.30067,-0.0244998,-0.0990243,-0.026112,2.61805
lh_10r,31.7384,-0.68931,-0.149172,1.10293,-0.0314463,2.48747
lh_8Av,-20.1481,0.0939365,1.8122,-0.292834,-0.0197406,2.96934
lh_8Ad,-5.253,-0.0616636,1.65575,0.30109,-0.0151497,2.70439
lh_9m,1.41118,-0.895001,0.776831,0.363464,-0.0289288,3.09514
lh_8BL,-24.2276,-0.393402,1.56534,-0.263895,-0.0253951,3.27516
lh_9p,-3.23431,-0.398069,1.13713,0.346828,-0.0193836,2.81494
lh_8C,3.30116,0.237464,1.66102,0.387725,-0.0167436,2.68735
lh_44,-12.2322,-0.54118,0.986562,0.591689,-0.0148045,2.88459
lh_45,3.71328,-0.0695963,1.30365,1.06861,-0.0218987,2.80829
lh_47l,2.13381,-0.22174,1.15525,0.782946,-0.0230997,2.95451
lh_a47r,12.1897,-0.295698,0.453138,1.00363,-0.0282817,2.82754
lh_IFSp,17.2826,0.512682,1.16551,0.743701,-0.0197344,2.64782
lh_IFSa,22.127,-0.00776582,0.977071,0.870521,-0.0231055,2.61544
lh_p9-46v,17.1379,0.48793,1.1382,0.552504,-0.0227223,2.6387
lh_46,18.3135,-0.205208,1.21769,1.11654,-0.0223157,2.66199
lh_a9-46v,39.7242,-0.059806,0.420775,1.18985,-0.0274401,2.57107
lh_9-46d,13.1371,-0.205744,0.35734,0.350561,-0.0226716,2.50781
lh_9a,33.232,-0.198649,0.202332,1.47316,-0.0232046,2.70912
lh_10v,5.11634,-1.06211,-0.015648,0.16848,-0.0305893,2.87984
lh_11l,23.187,-0.385458,0.135688,0.850562,-0.0325227,2.85041
lh_13l,9.29837,-0.79279,0.495927,0.831419,-0.0241281,2.83527
lh_OFC,5.15603,-1.38138,-0.213332,0.591579,-0.0220834,2.43133
lh_47s,-14.4405,-1.36913,0.148166,0.329757,-0.0206537,3.18915
lh_6a,-24.9002,0.0162966,2.02527,-0.399385,-0.00861955,2.67227
lh_i6-8,-24.4427,0.339133,2.092,-0.637269,-0.0144509,2.91405
lh_43,-9.30695,0.0605869,1.23126,0.456511,-0.0151529,2.99019
lh_OP4,-9.29954,0.385299,0.188984,-0.106502,-0.0215849,2.91002
lh_52,2.37217,-0.628875,-1.06833,0.0592361,-0.0174913,2.54561
lh_PoI2,-37.4485,-1.90057,-1.0657,-1.585,-0.020702,3.59502
lh_TA2,-5.58463,-1.10928,-1.45886,0.457959,-0.00956376,3.0554
lh_FOP4,-21.9049,-0.94216,0.83695,-0.0429287,-0.0155748,2.943
lh_MI,-18.5112,-1.80147,-0.269677,-0.582666,-0.0243944,3.28206
lh_AVI,-7.68797,-0.733992,0.868453,0.361394,-0.0203092,2.98901
lh_FOP3,-12.132,-1.01572,-0.459612,-0.48484,-0.0140493,2.67358
lh_PFt,-8.42037,0.419426,0.202429,-0.0675265,-0.0195228,2.62425
lh_AIP,15.5969,0.867618,0.244189,0.712809,-0.022248,2.43562
lh_EC,-88.6577,-1.24921,-0.446828,-2.63237,-0.00942134,2.44045
lh_PreS,-36.4279,-0.971794,-1.56112,-1.85018,-0.0122032,1.71387
lh_PeEc,-64.9253,-1.89739,-1.13531,-1.79619,-0.00588949,3.07457
lh_STGa,-27.7594,-1.67887,-1.35514,-0.112868,-0.0127183,3.61665
lh_PBelt,-1.20794,1.15985,-1.01663,-1.04465,-0.0136744,2.69649
lh_A5,-0.244138,-0.239209,-0.21176,1.06523,-0.0203861,3.23819
lh_PHA1,-43.5056,-1.03757,-1.12265,-1.65863,-0.0142352,2.98661
lh_PHA3,-3.59786,-1.06958,-1.6234,0.474079,-0.0172839,2.70626
lh_STSdp,9.06505,0.313021,-0.136688,1.10998,-0.0242898,2.71952
lh_STSvp,-5.07471,-0.279481,-0.217973,0.48085,-0.0248754,2.86796
lh_TGd,-45.1262,-1.91955,-1.14749,-0.963901,-0.0117828,3.4823
lh_TE1a,-16.8005,-1.02731,-0.68102,0.0774407,-0.0174836,3.38033
lh_TE1p,-2.59366,-0.486758,-0.524446,1.25773,-0.0188847,3.04035
lh_TE2a,-14.6592,-1.14865,-0.725245,0.321337,-0.0181758,2.91218
lh_TF,-14.427,-1.23328,-1.12081,0.712786,-0.0171849,2.91368
lh_TE2p,5.0053,-0.645703,-0.928115,1.3367,-0.0182196,2.77357
lh_PHT,2.8157,0.110119,-0.283059,1.02473,-0.020854,2.97839
lh_PH,22.2513,0.671717,-0.908776,0.872097,-0.0197046,2.68067
lh_TPOJ1,13.6922,0.317889,-0.122045,1.22209,-0.0211634,2.74704
lh_TPOJ2,1.62198,0.498947,-0.363383,0.760364,-0.0219262,2.69897
lh_DVT,25.4903,1.16893,-0.827504,-0.46209,-0.0249859,2.42599
lh_PGp,22.9368,0.870767,-0.769617,0.339318,-0.0260028,2.81392
lh_IP2,12.5036,0.784298,0.288438,0.694965,-0.0225296,2.49221
lh_IP1,18.0167,1.18664,-0.264865,0.614343,-0.0234181,2.49155
lh_IP0,41.8015,1.14751,-1.01407,0.675677,-0.0223717,2.42674
lh_PFop,5.21529,-0.0308032,0.293907,1.14219,-0.0194776,2.92402
lh_PF,11.6312,0.319679,-0.0855875,1.27399,-0.020169,2.88152
lh_PFm,13.9459,0.46308,0.06399,1.39265,-0.0231217,2.79754
lh_PGi,13.528,0.450138,-0.243259,0.824966,-0.02423,2.68091
lh_PGs,31.0077,0.926209,-0.51764,1.21282,-0.0281114,2.85622
lh_VMV1,23.3759,1.25355,-1.47854,0.27371,-0.0192869,2.56741
lh_VMV3,15.0228,0.790039,-1.60414,0.658477,-0.0211122,2.62653
lh_PHA2,1.58462,-1.36733,-1.50389,0.57116,-0.0184432,2.43599
lh_FST,34.529,1.03204,-0.939531,1.0996,-0.0202854,2.56471
lh_LO3,28.576,1.15882,-0.634479,0.92301,-0.02074,2.53471
lh_31pd,11.5519,0.951625,-0.0574271,-0.655135,-0.0263172,2.48288
lh_31a,33.796,0.442648,-0.465234,0.866428,-0.0284143,2.84622
lh_VVC,0.510088,-0.235584,-0.784429,1.32694,-0.0207678,2.96972
lh_25,-18.3026,-1.86941,-0.771789,-1.50988,-0.0245783,3.13868
lh_s32,11.0564,-1.40622,-0.402142,-0.0767321,-0.0284981,2.56108
lh_pOFC,-9.56558,-1.6328,-0.259595,0.300044,-0.00464698,2.82892
lh_PoI1,-27.0614,-1.74616,-1.08724,-0.586551,-0.0173384,3.30892
lh_Ig,24.5787,-0.105145,-0.355162,1.07906,-0.0223589,2.88059
lh_p47r,14.6518,-0.110282,0.751486,0.467724,-0.0226926,2.54788
lh_TGv,-27.6457,-1.53794,-1.06686,-0.0945557,-0.013464,3.35826
lh_MBelt,11.0386,1.1301,-1.03359,-0.442279,-0.0167452,2.75639
lh_A4,6.95111,0.289165,-0.226181,1.33986,-0.0163167,3.11443
lh_STSva,-14.4796,-0.956509,-0.57147,0.270337,-0.0178691,2.74275
lh_TE1m,-10.564,-0.908639,-0.139812,0.810254,-0.0180893,3.08772
lh_PI,-14.7641,-1.28296,-1.02609,-0.0446565,-0.00938287,2.8304
lh_a32pr,-28.7567,-1.28071,0.677116,-1.40903,-0.0227771,2.89937
