outcome	brain	adj_global	model	beta	se	p	n	n_cases	y_sd_beta	source
anxdisord	pls1_thick_proj	False	change	-0.0082866	0.0062933	0.18792	8185		-0.012763	7.0 p/mh_p_cbcl.tsv
anxdisord	pls1_thick_proj	False	trajectory	-0.0013313	0.0011926	0.2643	8553		-0.012077	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	False	base	0.0020851	0.0065093	0.74872	8715		0.0034432	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	False	y3	-0.01531	0.0066514	0.02135	8070		-0.026012	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	False	late	-0.01045	0.0060332	0.083253	8193		-0.019216	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	False	change	-0.010669	0.0053933	0.047903	8192		-0.019619	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	False	trajectory	-0.0018965	0.0010709	0.076578	8554		-0.0191	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	False	base	0.014853	0.0086689	0.08664	8715		0.018263	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	False	y3	0.0025951	0.0088982	0.77056	8070		0.0032825	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	False	late	0.0042369	0.0079882	0.59584	8192		0.0059873	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	False	change	-0.0053692	0.0065629	0.41329	8191		-0.0075875	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	False	trajectory	-0.0014051	0.0012698	0.26849	8554		-0.01236	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	False	base	0.0070327	0.0076697	0.35917	8715		0.0099729	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	False	y3	-0.0058401	0.0077779	0.45274	8069		-0.0085208	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	False	late	0.0096521	0.0067398	0.15212	8193		0.016247	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	False	change	0.0049213	0.0055817	0.37794	8192		0.0082836	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	False	trajectory	0.0007021	0.0010928	0.52057	8554		0.006898	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	False	base	0.026737	0.0074721	0.00034598	8715		0.038909	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	False	y3	0.016959	0.0075403	0.024507	8069		0.025254	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	False	late	0.019805	0.0069168	0.0041923	8187		0.032479	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	False	change	0.0075789	0.0058265	0.19334	8186		0.012429	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	False	trajectory	-0.0014401	0.0011382	0.20576	8554		-0.013781	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	False	base	0.057372	0.025565	0.024821	8715		0.024683	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	False	y3	0.0016873	0.02717	0.95048	8068		0.00072216	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	False	late	0.021666	0.025671	0.39867	8163		0.0097737	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	False	change	-0.015331	0.019694	0.43629	8162		-0.0069157	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	False	trajectory	-0.0050854	0.0035954	0.15725	8549		-0.015391	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls1_thick_proj	False	clinical_logit	0.084039	0.041601	0.04337	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls1_thick_proj	False	clinical_logit	0.0084304	0.03188	0.79144	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls1_thick_proj	False	clinical_logit	0.1957	0.049676	8.1622e-05	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls1_thick_proj	False	clinical_logit	-5.9198e-05	0.030532	0.99845	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls1_thick_proj	False	ksads_logit	0.018994	0.032821	0.56279	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls1_thick_proj	False	ksads_logit	-0.010878	0.038809	0.77925	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls1_thick_proj	False	ksads_logit	0.15255	0.050834	0.0026915	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls1_thick_proj	True	base	-5.0519e-05	0.0086572	0.99534	8715		-6.3889e-05	7.0 p/mh_p_cbcl.tsv
anxdep	pls1_thick_proj	True	y3	-0.0099659	0.0090254	0.26951	8069		-0.012591	7.0 p/mh_p_cbcl.tsv
anxdep	pls1_thick_proj	True	late	-0.010329	0.0081542	0.20526	8185		-0.014269	7.0 p/mh_p_cbcl.tsv
anxdep	pls1_thick_proj	True	change	-0.010743	0.0068912	0.11902	8184		-0.014841	7.0 p/mh_p_cbcl.tsv
anxdep	pls1_thick_proj	True	trajectory	-0.0017718	0.0012889	0.16925	8553		-0.014718	7.0 p/mh_p_cbcl.tsv
withdep	pls1_thick_proj	True	base	0.020749	0.0066284	0.0017463	8715		0.033797	7.0 p/mh_p_cbcl.tsv
withdep	pls1_thick_proj	True	y3	-0.00052114	0.0079756	0.9479	8070		-0.00074036	7.0 p/mh_p_cbcl.tsv
withdep	pls1_thick_proj	True	late	0.013092	0.0074362	0.078313	8190		0.019831	7.0 p/mh_p_cbcl.tsv
withdep	pls1_thick_proj	True	change	0.003276	0.0066132	0.62034	8189		0.0049622	7.0 p/mh_p_cbcl.tsv
withdep	pls1_thick_proj	True	trajectory	-0.00032239	0.0012299	0.79323	8552		-0.0028728	7.0 p/mh_p_cbcl.tsv
somatic	pls1_thick_proj	True	base	0.0026855	0.0072275	0.71022	8715		0.0040121	7.0 p/mh_p_cbcl.tsv
somatic	pls1_thick_proj	True	y3	-0.014625	0.0075447	0.052565	8070		-0.021997	7.0 p/mh_p_cbcl.tsv
somatic	pls1_thick_proj	True	late	-0.014657	0.0069266	0.034339	8183		-0.023335	7.0 p/mh_p_cbcl.tsv
somatic	pls1_thick_proj	True	change	-0.014996	0.0060446	0.013108	8182		-0.023874	7.0 p/mh_p_cbcl.tsv
somatic	pls1_thick_proj	True	trajectory	-0.0028489	0.0011648	0.014453	8552		-0.02588	7.0 p/mh_p_cbcl.tsv
social	pls1_thick_proj	True	base	0.015068	0.0078104	0.053703	8715		0.021292	7.0 p/mh_p_cbcl.tsv
social	pls1_thick_proj	True	y3	0.0027945	0.0075714	0.71206	8068		0.0042619	7.0 p/mh_p_cbcl.tsv
social	pls1_thick_proj	True	late	0.011572	0.0064274	0.071807	8182		0.020672	7.0 p/mh_p_cbcl.tsv
social	pls1_thick_proj	True	change	0.0051649	0.0054261	0.34117	8181		0.0092268	7.0 p/mh_p_cbcl.tsv
social	pls1_thick_proj	True	trajectory	-0.00078707	0.0011198	0.48214	8552		-0.0077166	7.0 p/mh_p_cbcl.tsv
thought	pls1_thick_proj	True	base	0.0079307	0.0074706	0.28842	8715		0.011571	7.0 p/mh_p_cbcl.tsv
thought	pls1_thick_proj	True	y3	0.0018911	0.0078202	0.80892	8070		0.0028049	7.0 p/mh_p_cbcl.tsv
thought	pls1_thick_proj	True	late	-0.00019679	0.0068794	0.97718	8184		-0.00032664	7.0 p/mh_p_cbcl.tsv
thought	pls1_thick_proj	True	change	-0.0042211	0.0058638	0.47161	8183		-0.0070064	7.0 p/mh_p_cbcl.tsv
thought	pls1_thick_proj	True	trajectory	-0.0012196	0.0011097	0.27176	8553		-0.011812	7.0 p/mh_p_cbcl.tsv
attention	pls1_thick_proj	True	base	0.017099	0.0093307	0.066871	8715		0.019857	7.0 p/mh_p_cbcl.tsv
attention	pls1_thick_proj	True	y3	0.0041985	0.0096205	0.66253	8070		0.004943	7.0 p/mh_p_cbcl.tsv
attention	pls1_thick_proj	True	late	0.0054542	0.0088727	0.53874	8189		0.0069639	7.0 p/mh_p_cbcl.tsv
attention	pls1_thick_proj	True	change	-0.0056986	0.0071945	0.42832	8188		-0.0072759	7.0 p/mh_p_cbcl.tsv
attention	pls1_thick_proj	True	trajectory	-0.0016344	0.0013513	0.22647	8554		-0.013418	7.0 p/mh_p_cbcl.tsv
rulebreak	pls1_thick_proj	True	base	0.025543	0.0069466	0.00023589	8715		0.04011	7.0 p/mh_p_cbcl.tsv
rulebreak	pls1_thick_proj	True	y3	0.020666	0.0072788	0.004522	8069		0.032137	7.0 p/mh_p_cbcl.tsv
rulebreak	pls1_thick_proj	True	late	0.021424	0.0071479	0.0027248	8183		0.034236	7.0 p/mh_p_cbcl.tsv
rulebreak	pls1_thick_proj	True	change	0.0093595	0.0061913	0.13061	8182		0.014957	7.0 p/mh_p_cbcl.tsv
rulebreak	pls1_thick_proj	True	trajectory	-0.00069066	0.0011657	0.55352	8553		-0.0065139	7.0 p/mh_p_cbcl.tsv
aggressive	pls1_thick_proj	True	base	0.017596	0.0097624	0.071476	8715		0.019614	7.0 p/mh_p_cbcl.tsv
aggressive	pls1_thick_proj	True	y3	-0.0015377	0.0099167	0.87677	8069		-0.0017613	7.0 p/mh_p_cbcl.tsv
aggressive	pls1_thick_proj	True	late	0.01723	0.0086415	0.04616	8193		0.022762	7.0 p/mh_p_cbcl.tsv
aggressive	pls1_thick_proj	True	change	0.0071094	0.0070135	0.31074	8192		0.0093916	7.0 p/mh_p_cbcl.tsv
aggressive	pls1_thick_proj	True	trajectory	0.00035412	0.001377	0.79704	8554		0.0028098	7.0 p/mh_p_cbcl.tsv
totprob	pls1_thick_proj	True	base	0.017186	0.01139	0.13132	8715		0.016721	7.0 p/mh_p_cbcl.tsv
totprob	pls1_thick_proj	True	y3	-0.0072087	0.012716	0.57077	8069		-0.0066145	7.0 p/mh_p_cbcl.tsv
totprob	pls1_thick_proj	True	late	-0.005223	0.012479	0.67554	8188		-0.0048705	7.0 p/mh_p_cbcl.tsv
totprob	pls1_thick_proj	True	change	-0.017472	0.0096074	0.068967	8187		-0.016293	7.0 p/mh_p_cbcl.tsv
totprob	pls1_thick_proj	True	trajectory	-0.0041559	0.0017262	0.016059	8553		-0.026513	7.0 p/mh_p_cbcl.tsv
internal	pls1_thick_proj	True	base	0.0099737	0.0099477	0.31605	8715		0.011066	7.0 p/mh_p_cbcl.tsv
internal	pls1_thick_proj	True	y3	-0.016645	0.010874	0.12583	8069		-0.017706	7.0 p/mh_p_cbcl.tsv
internal	pls1_thick_proj	True	late	-0.011687	0.010144	0.24926	8190		-0.013064	7.0 p/mh_p_cbcl.tsv
internal	pls1_thick_proj	True	change	-0.01637	0.0083742	0.050606	8189		-0.018299	7.0 p/mh_p_cbcl.tsv
internal	pls1_thick_proj	True	trajectory	-0.003414	0.0015325	0.025899	8554		-0.024052	7.0 p/mh_p_cbcl.tsv
external	pls1_thick_proj	True	base	0.027526	0.010536	0.0089855	8715		0.028468	7.0 p/mh_p_cbcl.tsv
external	pls1_thick_proj	True	y3	0.0093112	0.01096	0.39558	8069		0.0096823	7.0 p/mh_p_cbcl.tsv
external	pls1_thick_proj	True	late	0.021298	0.010008	0.033327	8186		0.024427	7.0 p/mh_p_cbcl.tsv
external	pls1_thick_proj	True	change	0.0057968	0.0080645	0.47227	8185		0.0066485	7.0 p/mh_p_cbcl.tsv
external	pls1_thick_proj	True	trajectory	-0.0004228	0.0015402	0.78369	8554		-0.0030177	7.0 p/mh_p_cbcl.tsv
depress	pls1_thick_proj	True	base	0.011588	0.0071946	0.10724	8715		0.017422	7.0 p/mh_p_cbcl.tsv
depress	pls1_thick_proj	True	y3	-0.0052223	0.0085706	0.54231	8069		-0.0070299	7.0 p/mh_p_cbcl.tsv
depress	pls1_thick_proj	True	late	-0.0031281	0.0079119	0.69257	8182		-0.0044291	7.0 p/mh_p_cbcl.tsv
depress	pls1_thick_proj	True	change	-0.0090625	0.0068931	0.18861	8181		-0.012832	7.0 p/mh_p_cbcl.tsv
depress	pls1_thick_proj	True	trajectory	-0.0015539	0.0012551	0.21571	8552		-0.013066	7.0 p/mh_p_cbcl.tsv
anxdisord	pls1_thick_proj	True	base	0.00054534	0.0079863	0.94556	8715		0.00074555	7.0 p/mh_p_cbcl.tsv
anxdisord	pls1_thick_proj	True	y3	-0.01189	0.0082796	0.151	8069		-0.016447	7.0 p/mh_p_cbcl.tsv
anxdisord	pls1_thick_proj	True	late	-0.007823	0.0073627	0.288	8186		-0.012049	7.0 p/mh_p_cbcl.tsv
anxdisord	pls1_thick_proj	True	change	-0.0077566	0.0063035	0.21851	8185		-0.011947	7.0 p/mh_p_cbcl.tsv
anxdisord	pls1_thick_proj	True	trajectory	-0.0012513	0.0011953	0.29514	8553		-0.011351	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	True	base	0.0021005	0.0065122	0.74704	8715		0.0034686	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	True	y3	-0.01533	0.0066509	0.021166	8070		-0.026046	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	True	late	-0.010432	0.0060353	0.083889	8193		-0.019183	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	True	change	-0.010662	0.0053961	0.048172	8192		-0.019605	7.0 p/mh_p_cbcl.tsv
somaticpr	pls1_thick_proj	True	trajectory	-0.0019161	0.0010724	0.073978	8554		-0.019297	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	True	base	0.014766	0.0086713	0.088594	8715		0.018156	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	True	y3	0.0028094	0.0089076	0.75246	8070		0.0035535	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	True	late	0.0041736	0.0079917	0.6015	8192		0.005898	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	True	change	-0.0053313	0.0065737	0.41736	8191		-0.0075338	7.0 p/mh_p_cbcl.tsv
adhd	pls1_thick_proj	True	trajectory	-0.0013699	0.0012717	0.28137	8554		-0.01205	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	True	base	0.0075148	0.0076696	0.32718	8715		0.010656	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	True	y3	-0.0056353	0.0077853	0.46916	8069		-0.0082221	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	True	late	0.010023	0.0067469	0.13739	8193		0.016871	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	True	change	0.0050419	0.0055893	0.36702	8192		0.0084867	7.0 p/mh_p_cbcl.tsv
opposit	pls1_thick_proj	True	trajectory	0.00068837	0.001094	0.5292	8554		0.0067631	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	True	base	0.027057	0.0074763	0.00029567	8715		0.039376	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	True	y3	0.016921	0.0075437	0.024895	8069		0.025197	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	True	late	0.020288	0.0069224	0.0033809	8187		0.033271	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	True	change	0.007922	0.005831	0.17427	8186		0.012991	7.0 p/mh_p_cbcl.tsv
conduct	pls1_thick_proj	True	trajectory	-0.0013939	0.0011395	0.22124	8554		-0.013339	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	True	base	0.057365	0.025571	0.024873	8715		0.02468	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	True	y3	0.0025041	0.027192	0.92663	8068		0.0010718	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	True	late	0.023293	0.025672	0.36423	8163		0.010508	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	True	change	-0.01357	0.019719	0.49133	8162		-0.0061217	7.0 p/mh_p_cbcl.tsv
pfactor	pls1_thick_proj	True	trajectory	-0.0048472	0.0036005	0.17822	8549		-0.01467	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls1_thick_proj	True	clinical_logit	0.087064	0.041675	0.036695	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls1_thick_proj	True	clinical_logit	0.008825	0.031891	0.78199	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls1_thick_proj	True	clinical_logit	0.19573	0.049783	8.4368e-05	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls1_thick_proj	True	clinical_logit	0.0019207	0.030587	0.94993	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls1_thick_proj	True	ksads_logit	0.019241	0.032832	0.55785	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls1_thick_proj	True	ksads_logit	-0.0075847	0.038858	0.84524	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls1_thick_proj	True	ksads_logit	0.15374	0.050842	0.0024955	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	False	base	-0.0038725	0.0088051	0.66008	8715		-0.0048974	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	False	y3	-0.0052223	0.0091672	0.5689	8069		-0.0065977	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	False	late	-0.0027695	0.0079343	0.72705	8185		-0.003826	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	False	change	-0.00040583	0.0068462	0.95273	8184		-0.00056065	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	False	trajectory	0.0004588	0.0013123	0.72663	8553		0.0038112	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	False	base	-0.0052786	0.0067646	0.4352	8715		-0.0085982	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	False	y3	-0.0029375	0.0081011	0.7169	8070		-0.0041731	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	False	late	0.0028019	0.0073964	0.70482	8190		0.0042441	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	False	change	0.005238	0.0066799	0.43295	8189		0.0079342	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	False	trajectory	0.0017902	0.0012423	0.14957	8552		0.015952	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	False	base	-0.0084497	0.0075434	0.26266	8715		-0.012624	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	False	y3	-0.0043885	0.0077879	0.57309	8070		-0.0066005	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	False	late	0.00049245	0.0068911	0.94303	8183		0.00078402	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	False	change	0.0032672	0.0060404	0.58858	8182		0.0052016	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	False	trajectory	0.001225	0.0011663	0.29359	8552		0.011128	7.0 p/mh_p_cbcl.tsv
social	c3_proj	False	base	-0.013527	0.0079707	0.089673	8715		-0.019115	7.0 p/mh_p_cbcl.tsv
social	c3_proj	False	y3	-0.012174	0.0074236	0.10104	8068		-0.018566	7.0 p/mh_p_cbcl.tsv
social	c3_proj	False	late	-0.0069079	0.0062715	0.27069	8182		-0.012341	7.0 p/mh_p_cbcl.tsv
social	c3_proj	False	change	-0.0016813	0.0054964	0.75968	8181		-0.0030037	7.0 p/mh_p_cbcl.tsv
social	c3_proj	False	trajectory	0.00092211	0.0011532	0.42393	8552		0.0090406	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	False	base	-0.00095891	0.0076957	0.90084	8715		-0.001399	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	False	y3	0.0032322	0.0078226	0.67947	8070		0.0047942	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	False	late	0.0070403	0.0067274	0.29532	8184		0.011686	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	False	change	0.0079305	0.0058949	0.17852	8183		0.013164	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	False	trajectory	0.0017055	0.0011707	0.14515	8553		0.016519	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	False	base	0.0034671	0.0094707	0.7143	8715		0.0040264	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	False	y3	0.0080243	0.0096045	0.40345	8070		0.0094472	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	False	late	0.0010992	0.0086143	0.89847	8189		0.0014034	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	False	change	-0.0012584	0.0068917	0.85511	8188		-0.0016067	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	False	trajectory	-0.00077336	0.0012916	0.54933	8554		-0.0063492	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	False	base	0.002606	0.0068597	0.70402	8715		0.0040921	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	False	y3	-0.005357	0.0072041	0.45711	8069		-0.0083303	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	False	late	0.011495	0.0068443	0.09305	8183		0.01837	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	False	change	0.0093495	0.0060394	0.1216	8182		0.014941	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	False	trajectory	0.0021089	0.0011466	0.065891	8553		0.01989	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	False	base	0.0095196	0.0097921	0.33097	8715		0.010611	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	False	y3	-0.0038163	0.0097901	0.69667	8069		-0.0043712	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	False	late	0.0055838	0.0083766	0.50503	8193		0.0073763	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	False	change	-0.00057315	0.0069353	0.93414	8192		-0.00075714	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	False	trajectory	0.0004308	0.001385	0.75576	8554		0.0034183	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	False	base	-0.0051074	0.011377	0.65347	8715		-0.0049692	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	False	y3	-0.0050061	0.012388	0.68613	8069		-0.0045935	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	False	late	-0.0040893	0.011903	0.73119	8188		-0.0038133	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	False	change	-0.00076081	0.0094053	0.93553	8187		-0.00070946	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	False	trajectory	0.00075335	0.0016696	0.65183	8553		0.0048061	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	False	base	-0.0057947	0.010175	0.56902	8715		-0.006429	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	False	y3	-0.0056999	0.010892	0.60077	8069		-0.0060631	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	False	late	-0.00021502	0.0099179	0.9827	8190		-0.00024036	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	False	change	0.0033942	0.0083426	0.68411	8189		0.0037941	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	False	trajectory	0.0011585	0.0015367	0.4509	8554		0.0081619	7.0 p/mh_p_cbcl.tsv
external	c3_proj	False	base	0.010868	0.010554	0.30315	8715		0.01124	7.0 p/mh_p_cbcl.tsv
external	c3_proj	False	y3	-0.0054616	0.010756	0.6116	8069		-0.0056793	7.0 p/mh_p_cbcl.tsv
external	c3_proj	False	late	0.010269	0.0096005	0.28479	8186		0.011778	7.0 p/mh_p_cbcl.tsv
external	c3_proj	False	change	0.0027928	0.007901	0.72374	8185		0.0032031	7.0 p/mh_p_cbcl.tsv
external	c3_proj	False	trajectory	0.0013041	0.0015355	0.39572	8554		0.0093078	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	False	base	0.0013059	0.0074816	0.86143	8715		0.0019633	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	False	y3	-0.00057855	0.0086887	0.94691	8069		-0.00077879	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	False	late	0.008466	0.0079105	0.28452	8182		0.011987	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	False	change	0.0080931	0.0071286	0.25625	8181		0.011459	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	False	trajectory	0.0016334	0.0013109	0.21274	8552		0.013735	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	False	base	-0.011221	0.0082224	0.17236	8715		-0.01534	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	False	y3	-0.0052297	0.0084889	0.53785	8069		-0.0072344	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	False	late	-0.0041885	0.0071773	0.5595	8186		-0.0064512	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	False	change	0.00087691	0.0062056	0.88762	8185		0.0013506	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	False	trajectory	0.0011262	0.0011923	0.34489	8553		0.010216	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	False	base	-0.0072454	0.0067228	0.28115	8715		-0.011965	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	False	y3	-0.0038255	0.0068816	0.57828	8070		-0.0064995	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	False	late	0.0022725	0.0059673	0.70333	8193		0.0041788	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	False	change	0.0045138	0.0053206	0.39624	8192		0.0083	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	False	trajectory	0.0011522	0.0010479	0.27154	8554		0.011604	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	False	base	0.0030462	0.0089061	0.73233	8715		0.0037454	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	False	y3	0.0053867	0.0089239	0.54609	8070		0.0068135	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	False	late	-0.0014926	0.007772	0.84771	8192		-0.0021092	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	False	change	-0.0032367	0.006292	0.60696	8191		-0.004574	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	False	trajectory	-0.00075164	0.0012084	0.53395	8554		-0.0066117	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	False	base	0.01406	0.0076028	0.064418	8715		0.019937	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	False	y3	0.00077424	0.0077407	0.92033	8069		0.0011296	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	False	late	0.0087579	0.006585	0.18353	8193		0.014741	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	False	change	0.00097563	0.0055787	0.86117	8192		0.0016422	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	False	trajectory	7.6742e-05	0.0011115	0.94496	8554		0.00075396	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	False	base	0.0081205	0.0073243	0.26756	8715		0.011818	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	False	y3	-0.0067143	0.0074374	0.36664	8069		-0.0099985	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	False	late	0.0073933	0.0066546	0.26656	8187		0.012124	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	False	change	0.0025445	0.0057492	0.65807	8186		0.0041727	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	False	trajectory	0.00031898	0.0011204	0.77587	8554		0.0030525	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	False	base	-0.010886	0.02613	0.67697	8715		-0.0046834	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	False	y3	-0.012868	0.026579	0.62828	8068		-0.0055076	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	False	late	0.0075504	0.024535	0.75828	8163		0.003406	7.0 p/mh_p_cbcl.tsv
