gene	PLS1	PLS2	C1	C3
SLCO4C1	-3.61286	5.99265	-0.526796	0.469612
SLF1	-1.38125	6.59235	-0.427556	0.366065
SLFN11	1.08994	-3.06005	0.20556	0.0788322
SLFN5	5.79641	-2.34843	0.687302	-0.343493
SLIRP	-6.03607	0.329811	-0.562492	-0.000879286
SLIT1	-20.3204	1.12148	-0.94727	0.0719578
SLIT2	3.09068	0.000713847	0.253754	-0.0523725
SLIT3	-14.0918	-0.315392	-0.815188	-0.114324
SLITRK1	-5.82493	1.61716	-0.435437	0.379224
SLITRK3	11.1111	3.26355	0.737145	0.255
SLITRK6	-2.83593	-3.00066	-0.347581	-0.412802
SLN	-13.0815	1.75279	-0.80296	-0.0665697
SLTM	4.88567	-1.21791	0.44554	-0.207864
SLU7	1.98072	2.79622	0.466965	0.429618
SMAD1	-8.42417	1.73342	-0.768612	0.138735
SMAD2	-11.7107	0.994385	-0.869781	-0.122435
SMAD3	-10.3236	1.82179	-0.824895	0.22386
SMAD6	2.03133	-1.42478	0.281252	-0.354653
SMAD7	4.80174	-1.98347	0.385383	-0.362162
SMAD9	-0.0900786	-3.0104	-0.417483	-0.626718
SMAP1	-12.8981	-3.63355	-0.688691	0.0358237
SMARCA1	-2.32336	2.13501	-0.708473	-0.0492709
SMARCA5	7.78057	4.84557	0.755706	0.343645
SMARCC2	5.82261	0.836229	0.613225	0.00415713
SMARCD2	10.3486	-2.09284	0.775443	-0.188498
SMARCD3	-17.0871	0.347218	-0.882766	-0.172516
SMARCE1	-3.21623	0.546375	-0.558264	-0.0596322
SMC1A	7.61375	4.89663	0.559689	0.514878
SMC2	5.81821	-0.182954	0.69127	-0.0303127
SMCHD1	6.42157	-1.07764	0.498412	-0.0946204
SMCO2	2.11803	3.55565	0.172079	0.128943
SMCO4	9.70991	-2.87899	0.827746	-0.0403057
SMG9	5.68184	-1.11605	0.657427	-0.175868
SMIM10	-5.30596	-2.82798	-0.445682	-0.422767
SMIM10L1	-7.07512	-1.94876	-0.550885	-0.0396027
SMIM10L2A	-10.2048	2.05742	-0.833919	0.148756
SMIM10L2B	-8.07142	1.74506	-0.791791	0.135472
SMIM12	-0.744907	1.09102	0.267794	0.359098
SMIM13	3.85518	0.398427	0.727399	0.116598
SMIM14	-2.68197	-0.764729	-0.408617	-0.115457
SMIM19	-3.37707	2.6016	-0.576159	0.259416
SMIM24	-2.00806	8.23622	-0.25504	0.670669
SMIM27	-10.0561	-1.11272	-0.646002	-0.0789541
SMIM29	-20.2057	1.49701	-0.883673	0.0976741
SMIM3	6.74874	-1.45005	0.811341	-0.202098
SMIM30	-8.98077	-1.96572	-0.727111	-0.327503
SMIM32	-3.70135	-3.59398	-0.0767612	-0.0685559
SMIM37	0.363883	-1.26648	0.537702	-0.00545668
SMIM4	-9.60482	-2.27959	-0.767887	-0.136408
SMIM6	2.22356	-4.68006	0.164624	-0.397429
SMKR1	-6.39966	2.80729	-0.68986	0.267984
SMO	-3.88363	0.660513	-0.598038	-0.347101
SMOC1	-3.09607	-5.66574	-0.501812	-0.559154
SMOC2	6.57032	-0.118529	0.693032	-0.165589
SMPD2	-3.13036	0.0243248	-0.548037	0.239528
SMPD3	-0.128006	-0.439008	-0.240233	0.116755
SMPDL3B	-2.75539	-0.105865	-0.219	-0.0899381
SMPX	7.65526	2.43187	0.703589	0.415888
SMTN	1.72098	-1.62057	0.334954	-0.304637
SMUG1	-1.15905	0.834913	-0.12907	0.1783
SMYD2	0.0596595	-2.14193	0.429855	0.0485797
SMYD3	-6.43933	0.0748491	-0.465771	0.184808
SNAI2	-6.77787	0.948312	-0.646634	0.175658
SNAI3-AS1	-5.4149	0.785533	-0.383167	0.381602
SNAP25	-11.1417	1.61992	-0.857846	-0.0164768
SNAP91	1.22699	-0.837821	0.392646	0.0142872
SNAPC5	-11.788	1.6422	-0.726658	0.38011
SNCA	-20.6799	3.56451	-0.908042	0.206217
SNCB	5.37128	1.64885	0.659729	0.404288
SNCG	-7.65436	-2.57531	-0.487963	0.319076
SND1	-4.58845	4.45898	-0.691098	0.271086
SND1-IT1	7.61099	3.77288	0.496126	0.125515
SNHG1	10.2889	-4.07065	0.792148	-0.263682
SNHG10	4.19653	4.45195	0.190665	0.101298
SNHG14	12.8893	0.517386	0.731111	0.082525
SNHG17	3.16947	-3.61934	0.26395	-0.416768
SNHG18	0.498849	-7.52785	-0.049473	-0.641515
SNHG19	-0.810935	2.15007	-0.468821	-0.0858151
SNHG21	2.40676	3.18831	-0.0584342	0.173529
SNHG7	5.84735	1.0006	0.413076	-0.198104
SNHG8	-11.5607	3.77483	-0.898942	0.0684213
SNN	-2.07593	-1.38024	0.171579	0.0311841
SNORC	2.59009	1.18365	0.263542	-0.0709726
SNRNP25	-1.05516	-0.98986	0.182295	0.0995878
SNRNP27	-14.3249	2.2116	-0.846557	0.134167
SNRNP35	10.1569	1.02083	0.715715	0.0119659
SNRNP48	2.79876	-1.08867	0.256202	-0.507658
SNRPD3	-5.50018	-2.05539	-0.738999	-0.258034
SNTA1	-3.54379	1.4757	-0.474482	0.0486071
SNTB1	-6.32706	-0.80659	-0.556069	-0.305515
SNTB2	-1.49893	0.833207	-0.116257	0.497935
SNTG1	7.46954	2.44552	0.810465	0.223593
SNTG2	-6.29134	0.121477	-0.714588	-0.0137338
SNUPN	-6.23352	1.64775	-0.709007	0.110981
SNX1	2.54335	-5.23191	0.173525	-0.511382
SNX10	-4.41764	2.71271	-0.385725	0.350694
SNX13	-2.10017	0.604224	-0.504647	-0.0676511
SNX16	0.804046	2.92921	0.223774	0.156958
SNX2	-9.07292	0.0338472	-0.718661	0.0706418
SNX21	2.40905	-0.242645	0.706592	0.0198092
SNX24	1.39411	-4.9869	0.450099	-0.338539
SNX25	3.55742	1.17434	0.244765	-0.243507
SNX27	3.9897	-0.490948	0.656801	-0.0524739
SNX3	-6.95457	0.593046	-0.621284	0.201799
SNX6	-0.824049	-1.96046	-0.263692	-0.458852
SNX7	-15.7007	2.4094	-0.917476	0.152756
SNX8	4.34341	1.76495	0.41324	0.0320211
SNX9	3.93702	0.108625	0.373588	-0.118187
SOAT1	7.40307	-1.59808	0.732729	-0.229914
SOBP	-3.03724	2.57989	-0.717001	0.094422
SOCS2	-3.69558	-2.76058	-0.461146	-0.164273
SOCS5	11.7179	5.70974	0.684671	0.288102
SOCS7	-2.00173	1.81275	-0.657071	0.142716
SOD1	-5.09581	-0.569516	-0.413112	0.00855146
SOD2	0.26039	-1.99516	0.412055	-0.10679
SOD3	-4.08062	-0.842466	-0.307081	-0.309565
SOGA1	-0.459451	-0.354947	-0.49605	-0.284323
SOGA3	4.43128	-1.21147	0.597663	0.00597078
SOHLH1	8.44431	1.5626	0.832408	0.0440728
SORBS1	5.45753	-1.52923	0.699376	-0.146272
SORBS2	-6.44329	-0.43676	-0.748933	0.138289
SORBS3	11.7733	-0.807495	0.766423	-0.338995
SORCS1	3.94184	-1.07998	0.682435	0.272483
SORCS2	-2.29658	0.540882	-0.500691	-0.227636
SORCS3	-0.80354	1.18068	-0.30745	-0.0017777
