outcome	map	cortex_id	cortex	r	t	p	n
pfactor	absolute_ct	21	Inferior_Frontal	0.01328	1.1979	0.23101	8162
pfactor	absolute_ct	22	Dorsolateral_Prefrontal	-0.0012762	-0.11511	0.90836	8162
pfactor	relative_ct	1	Primary_Visual	-0.00015401	-0.01389	0.98892	8162
pfactor	relative_ct	2	Early_Visual	0.0070637	0.63708	0.52409	8162
pfactor	relative_ct	3	Dorsal_Stream_Visual	0.0056455	0.50916	0.61065	8162
pfactor	relative_ct	4	Ventral_Stream_Visual	0.0094641	0.85359	0.39336	8162
pfactor	relative_ct	5	MT+_Complex_and_Neighboring_Visual_Areas	0.010529	0.94966	0.34231	8162
pfactor	relative_ct	6	Somatosensory_and_Motor	-0.00060172	-0.054269	0.95672	8162
pfactor	relative_ct	7	Paracentral_Lobular_and_Mid_Cingulate	-0.010576	-0.95389	0.34017	8162
pfactor	relative_ct	8	Premotor	0.0063157	0.56961	0.56895	8162
pfactor	relative_ct	9	Posterior_Opercular	-0.0060873	-0.54902	0.58301	8162
pfactor	relative_ct	10	Early_Auditory	0.011409	1.0291	0.30348	8162
pfactor	relative_ct	11	Auditory_Association	0.013787	1.2436	0.21369	8162
pfactor	relative_ct	12	Insular_and_Frontal_Opercular	-0.0076711	-0.69187	0.48904	8162
pfactor	relative_ct	13	Medial_Temporal	0.011633	1.0492	0.29411	8162
pfactor	relative_ct	14	Lateral_Temporal	0.00072339	0.065241	0.94798	8162
pfactor	relative_ct	15	Temporo-Parieto-Occipital_Junction	0.003403	0.30692	0.75892	8162
pfactor	relative_ct	16	Superior_Parietal	-0.038611	-3.4849	0.00049489	8162
pfactor	relative_ct	17	Inferior_Parietal	-0.0011733	-0.10582	0.91573	8162
pfactor	relative_ct	18	Posterior_Cingulate	-0.016758	-1.5116	0.13068	8162
pfactor	relative_ct	19	Anterior_Cingulate_and_Medial_Prefrontal	-0.0036273	-0.32715	0.74357	8162
pfactor	relative_ct	20	Orbital_and_Polar_Frontal	-0.023711	-2.1391	0.032459	8162
pfactor	relative_ct	21	Inferior_Frontal	-0.0021008	-0.18947	0.84973	8162
pfactor	relative_ct	22	Dorsolateral_Prefrontal	-0.01974	-1.7807	0.074999	8162
totprob	absolute	1	Primary_Visual	0.010586	0.95634	0.33893	8187
totprob	absolute	2	Early_Visual	0.023353	2.1102	0.03487	8187
totprob	absolute	3	Dorsal_Stream_Visual	0.024586	2.2217	0.026332	8187
totprob	absolute	4	Ventral_Stream_Visual	0.031328	2.8315	0.0046444	8187
totprob	absolute	5	MT+_Complex_and_Neighboring_Visual_Areas	0.031232	2.8228	0.0047719	8187
totprob	absolute	6	Somatosensory_and_Motor	0.012374	1.118	0.26361	8187
totprob	absolute	7	Paracentral_Lobular_and_Mid_Cingulate	0.0042352	0.3826	0.70203	8187
totprob	absolute	8	Premotor	0.011991	1.0833	0.27871	8187
totprob	absolute	9	Posterior_Opercular	0.0018463	0.16679	0.86754	8187
totprob	absolute	10	Early_Auditory	0.035157	3.178	0.0014884	8187
totprob	absolute	11	Auditory_Association	0.037555	3.3951	0.00068939	8187
totprob	absolute	12	Insular_and_Frontal_Opercular	0.0068676	0.62043	0.53499	8187
totprob	absolute	13	Medial_Temporal	0.037529	3.3927	0.00069538	8187
totprob	absolute	14	Lateral_Temporal	0.018685	1.6883	0.091393	8187
totprob	absolute	15	Temporo-Parieto-Occipital_Junction	0.018229	1.6471	0.099579	8187
totprob	absolute	16	Superior_Parietal	-0.012601	-1.1384	0.25497	8187
totprob	absolute	17	Inferior_Parietal	0.011292	1.0201	0.30769	8187
totprob	absolute	18	Posterior_Cingulate	0.01243	1.123	0.26147	8187
totprob	absolute	19	Anterior_Cingulate_and_Medial_Prefrontal	-0.002236	-0.202	0.83992	8187
totprob	absolute	20	Orbital_and_Polar_Frontal	-0.0046924	-0.42391	0.67164	8187
totprob	absolute	21	Inferior_Frontal	0.01166	1.0534	0.29219	8187
totprob	absolute	22	Dorsolateral_Prefrontal	-0.0031551	-0.28503	0.77563	8187
totprob	relative	1	Primary_Visual	0.005581	0.50415	0.61417	8187
totprob	relative	2	Early_Visual	0.015229	1.3758	0.16891	8187
totprob	relative	3	Dorsal_Stream_Visual	0.016463	1.4874	0.13695	8187
totprob	relative	4	Ventral_Stream_Visual	0.025277	2.2841	0.022391	8187
totprob	relative	5	MT+_Complex_and_Neighboring_Visual_Areas	0.025938	2.3439	0.019109	8187
totprob	relative	6	Somatosensory_and_Motor	0.0038966	0.35199	0.72485	8187
totprob	relative	7	Paracentral_Lobular_and_Mid_Cingulate	-0.015179	-1.3713	0.17033	8187
totprob	relative	8	Premotor	0.0014038	0.12681	0.89909	8187
totprob	relative	9	Posterior_Opercular	-0.010171	-0.91886	0.3582	8187
totprob	relative	10	Early_Auditory	0.030459	2.7527	0.0059235	8187
totprob	relative	11	Auditory_Association	0.033985	3.0717	0.0021353	8187
totprob	relative	12	Insular_and_Frontal_Opercular	-0.0014627	-0.13213	0.89489	8187
totprob	relative	13	Medial_Temporal	0.032705	2.9559	0.0031261	8187
totprob	relative	14	Lateral_Temporal	0.0084555	0.76384	0.44498	8187
totprob	relative	15	Temporo-Parieto-Occipital_Junction	0.0074132	0.66968	0.50308	8187
totprob	relative	16	Superior_Parietal	-0.035872	-3.2425	0.0011898	8187
totprob	relative	17	Inferior_Parietal	-0.0055938	-0.50531	0.61335	8187
totprob	relative	18	Posterior_Cingulate	-0.0025002	-0.22585	0.82132	8187
totprob	relative	19	Anterior_Cingulate_and_Medial_Prefrontal	-0.017605	-1.5905	0.11176	8187
totprob	relative	20	Orbital_and_Polar_Frontal	-0.01995	-1.8025	0.071502	8187
totprob	relative	21	Inferior_Frontal	-0.002201	-0.19883	0.8424	8187
totprob	relative	22	Dorsolateral_Prefrontal	-0.023336	-2.1086	0.035008	8187
totprob	absolute_ct	1	Primary_Visual	0.0051861	0.46848	0.63945	8187
totprob	absolute_ct	2	Early_Visual	0.010663	0.96331	0.33542	8187
totprob	absolute_ct	3	Dorsal_Stream_Visual	0.0050767	0.45859	0.64654	8187
totprob	absolute_ct	4	Ventral_Stream_Visual	0.020043	1.8109	0.070197	8187
totprob	absolute_ct	5	MT+_Complex_and_Neighboring_Visual_Areas	0.0053201	0.48058	0.63083	8187
totprob	absolute_ct	6	Somatosensory_and_Motor	0.0020985	0.18957	0.84965	8187
totprob	absolute_ct	7	Paracentral_Lobular_and_Mid_Cingulate	-0.010468	-0.94566	0.34435	8187
totprob	absolute_ct	8	Premotor	-0.00049848	-0.045029	0.96409	8187
