variant	matrix	component	n_parcels	n_genes	cov_explained	p_spin_singular	boot_reproducibility	sal_dCT	sal_CT
3d	hcp_3d.csv	PLS1	137	15946	0.82713	0.00039992	0.9692	0.15996	0.98712
3d	hcp_3d.csv	PLS2	137	15946	0.17287	0.025995	0.86676	0.98712	-0.15996
