outcome	score	decile	score_mid	mean_resid_sd	se	n
rulebreak	grad_fit	1	0.80806	0.061458	0.03003	819
rulebreak	grad_fit	2	0.85841	0.086783	0.032081	818
rulebreak	grad_fit	3	0.88171	-0.0066603	0.030065	818
rulebreak	grad_fit	4	0.89592	-0.014883	0.028915	818
rulebreak	grad_fit	5	0.90592	-0.0088195	0.029053	818
rulebreak	grad_fit	6	0.91439	0.00019712	0.029173	818
rulebreak	grad_fit	7	0.92152	-0.025433	0.030522	818
rulebreak	grad_fit	8	0.92886	-0.027911	0.030495	818
rulebreak	grad_fit	9	0.9365	-0.025196	0.031264	818
rulebreak	grad_fit	10	0.94814	-0.039563	0.030386	819
rulebreak	grad_slope	1	0.88613	0.030226	0.028841	819
rulebreak	grad_slope	2	0.92918	-0.044899	0.028773	818
rulebreak	grad_slope	3	0.95355	0.0072878	0.030151	818
rulebreak	grad_slope	4	0.97207	0.0085802	0.030717	818
rulebreak	grad_slope	5	0.98957	-0.071178	0.028305	818
rulebreak	grad_slope	6	1.0065	0.0063796	0.02993	818
rulebreak	grad_slope	7	1.0238	0.015674	0.032256	818
rulebreak	grad_slope	8	1.0446	0.0083333	0.030144	818
rulebreak	grad_slope	9	1.071	0.0024456	0.031048	818
rulebreak	grad_slope	10	1.1211	0.037069	0.031821	819
external	grad_fit	1	0.80806	0.069052	0.027556	819
external	grad_fit	2	0.85841	0.039119	0.029828	818
external	grad_fit	3	0.88171	-0.0074599	0.027972	819
external	grad_fit	4	0.89593	0.003776	0.027627	818
external	grad_fit	5	0.90595	-0.0013328	0.027396	819
external	grad_fit	6	0.91442	0.0045098	0.028225	818
external	grad_fit	7	0.92153	0.00092754	0.02764	818
external	grad_fit	8	0.92891	-0.051002	0.029017	819
external	grad_fit	9	0.93654	-0.020708	0.028867	818
external	grad_fit	10	0.94814	-0.036849	0.028294	819
external	grad_slope	1	0.88613	0.046483	0.026903	819
external	grad_slope	2	0.92918	-0.011058	0.027092	818
external	grad_slope	3	0.95357	0.0023433	0.028224	819
external	grad_slope	4	0.97209	-0.0020954	0.028968	818
external	grad_slope	5	0.98957	-0.037958	0.027959	819
external	grad_slope	6	1.0065	0.00077465	0.028589	818
external	grad_slope	7	1.0238	0.0060653	0.029412	818
