label,CT,dCT,PLS1,PLS2,C1,C3
lh_1,2.52381,-0.0163345,-62.8182,-34.0161,1.45968,-0.947251
lh_10d,2.85808,-0.0320266,,,,
lh_10pp,2.8446,-0.0302634,,,,
lh_10r,2.48747,-0.0314463,21.6088,41.8502,-0.68931,1.10293
lh_10v,2.87984,-0.0305893,44.5242,21.9487,-1.06211,0.16848
lh_11l,2.85041,-0.0325227,10.2865,28.5369,-0.385458,0.850562
lh_13l,2.83527,-0.0241281,36.2152,23.3305,-0.79279,0.831419
lh_2,2.29694,-0.0207786,-33.0881,2.59905,0.824149,0.601066
lh_23c,2.60317,-0.0256836,13.3202,5.79455,-0.348565,-0.102357
lh_23d,3.17075,-0.0320542,17.7443,10.5097,-0.370406,0.231694
lh_24dd,2.94393,-0.0181253,-21.3931,-29.3851,0.596163,-1.23126
lh_24dv,2.81054,-0.0206152,31.7193,-3.02133,-0.795558,-1.02538
lh_25,3.13868,-0.0245783,91.8108,14.4906,-1.86941,-1.50988
lh_31a,2.84622,-0.0284143,-23.1242,27.4744,0.442648,0.866428
lh_31pd,2.48288,-0.0263172,-48.0143,-5.46648,0.951625,-0.655135
lh_31pv,2.60707,-0.0268147,-34.5997,24.9671,0.738355,0.981548
lh_33pr,2.38636,-0.0110197,67.9085,-37.6271,-1.42878,-2.78562
lh_3a,2.0391,-0.0171841,-90.1283,-54.313,1.66199,-2.44576
lh_3b,1.70903,-0.0147493,-93.9338,-49.7927,1.74933,-2.38483
lh_4,2.75954,-0.00657174,-50.9252,-54.9011,1.26505,-2.01289
lh_43,2.99019,-0.0151529,6.10227,-7.66456,0.0605869,0.456511
lh_44,2.88459,-0.0148045,38.5091,1.22003,-0.54118,0.591689
lh_45,2.80829,-0.0218987,10.8737,7.98757,-0.0695963,1.06861
lh_46,2.66199,-0.0223157,15.8107,25.3861,-0.205208,1.11654
lh_47l,2.95451,-0.0230997,18.2003,9.01716,-0.22174,0.782946
lh_47m,2.71971,-0.0249553,,,,
lh_47s,3.18915,-0.0206537,75.7104,12.6452,-1.36913,0.329757
lh_52,2.54561,-0.0174913,15.5466,8.2885,-0.628875,0.0592361
lh_55b,2.95,-0.00517589,-2.73834,-37.9275,0.482588,-0.750999
lh_5L,2.48666,-0.0271302,-29.6927,-4.18151,0.636314,-0.378335
lh_5m,2.51487,-0.0265876,,,,
lh_5mv,2.43636,-0.0268678,-36.7703,17.3469,0.537936,0.000728977
lh_6a,2.67227,-0.00861955,13.686,-21.4841,0.0162966,-0.399385
lh_6d,3.00965,-0.000135853,-28.3303,-64.262,0.89311,-2.13149
lh_6ma,3.02818,-0.0150135,23.0808,-20.0887,-0.15871,-0.195281
lh_6mp,2.86345,-0.0100773,-1.39696,-54.8447,0.431711,-1.73448
lh_6r,2.80604,-0.0113063,,,,
lh_6v,3.23944,-0.00729851,,,,
lh_7AL,2.45258,-0.02247,-31.5024,2.11583,0.741154,0.299826
lh_7Am,2.58877,-0.0277032,-32.2172,4.83461,0.695755,0.00292805
lh_7PC,2.5787,-0.0198141,-32.9931,-18.2821,0.813794,-0.66671
lh_7PL,2.62017,-0.0299388,,,,
lh_7Pm,2.66145,-0.0289813,-48.7411,19.7287,1.09123,0.999146
lh_7m,2.77469,-0.0269963,-61.8769,2.85376,1.28124,-0.260952
lh_8Ad,2.70439,-0.0151497,9.124,-2.22213,-0.0616636,0.30109
lh_8Av,2.96934,-0.0197406,9.16593,-18.0908,0.0939365,-0.292834
lh_8BL,3.27516,-0.0253951,27.9236,-15.4929,-0.393402,-0.263895
