x	y	rho	p_spin	n
CT	PLS1	-0.6073	0.0003999	137
dCT	PLS1	-0.1247	0.5425	137
C1	PLS1	0.9717	0.0003999	137
C3	PLS1	0.02922	0.9014	137
CT	PLS2	0.00512	0.9714	137
dCT	PLS2	-0.592	0.0003999	137
C1	PLS2	-0.2306	0.1758	137
C3	PLS2	0.6821	0.0003999	137
CT	dCT	0.08679	0.6259	179
