gene_analysis	disorder	ld	role	pair	VARIABLE	NGENES	BETA	BETA_STD	SE	P	se_std
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_HCP + AHBA_C3	ABCD_PLS2_HCP	6986	-0.00044428	-0.0011185	0.0085327	0.95848	0.021482
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_DK + AHBA_C1	AHBA_C1	6896	0.07061	0.041395	0.027415	0.01003	0.016072
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_DK + AHBA_C1	ABCD_PLS2_DK	6896	0.013657	0.03516	0.0062881	0.029902	0.016189
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_DKmatched	6986	0.010063	0.02565	0.0093713	0.28296	0.023887
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_HCP	6986	0.0074151	0.018668	0.009541	0.43708	0.02402
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_DK + AHBA_C3	AHBA_C3	7150	0.44055	0.1137	0.087273	4.5857e-07	0.022524
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_DK + AHBA_C3	ABCD_PLS2_DK	7150	-0.021086	-0.054267	0.0086563	0.014879	0.022278
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_HCP + AHBA_C3	AHBA_C3	7243	0.26186	0.067966	0.077956	0.00078643	0.020234
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_HCP + AHBA_C3	ABCD_PLS2_HCP	7243	0.0019875	0.004997	0.0080377	0.8047	0.020208
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_DK + AHBA_C1	AHBA_C1	7150	0.034314	0.020139	0.02584	0.18424	0.015166
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_DK + AHBA_C1	ABCD_PLS2_DK	7150	0.013159	0.033867	0.0059125	0.026068	0.015217
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_DKmatched	7243	-0.0019365	-0.0049394	0.0087631	0.82511	0.022352
MDD_EUR	MDD	g1000_eur (matched)	primary	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_HCP	7243	0.021767	0.054726	0.0089867	0.015457	0.022594
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_DK + AHBA_C3	AHBA_C3	7142	0.39893	0.10295	0.086998	4.6146e-06	0.022451
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_DK + AHBA_C3	ABCD_PLS2_DK	7142	-0.014907	-0.038369	0.0085652	0.081843	0.022046
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_HCP + AHBA_C3	AHBA_C3	7235	0.24306	0.063081	0.078025	0.0018467	0.02025
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_HCP + AHBA_C3	ABCD_PLS2_HCP	7235	0.0051699	0.013	0.008016	0.51899	0.020157
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_DK + AHBA_C1	AHBA_C1	7142	0.036245	0.021273	0.025794	0.16003	0.015139
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_DK + AHBA_C1	ABCD_PLS2_DK	7142	0.016059	0.041336	0.005878	0.0063106	0.01513
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_DKmatched	7235	0.0014896	0.0038	0.0087696	0.86513	0.022371
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_HCP	7235	0.020874	0.052488	0.0090059	0.020492	0.022645
