outcome	spec	term	beta	se	p	y_sd_beta	n
rulebreak	low + high | CT, QC	C3-high	0.025748	0.010911	0.018288	0.041146	8182
rulebreak	low + high | CT, QC	low - high	-0.016581	0.019186	0.38748	-0.026496	8182
pfactor	low alone	C3-low	0.047104	0.021247	0.026622	0.02126	8162
pfactor	mid alone	C3-mid	0.040776	0.021347	0.056109	0.018404	8162
pfactor	high alone	C3-high	0.044752	0.02172	0.039362	0.020198	8162
pfactor	low + high	C3-low	0.031443	0.031929	0.32473	0.014192	8162
pfactor	low + high	C3-high	0.020426	0.032708	0.53229	0.0092192	8162
pfactor	low + high	low - high	0.011017	0.060417	0.85531	0.0049724	8162
pfactor	low + high | CT, QC	C3-low	0.019256	0.032757	0.55665	0.0086908	8162
pfactor	low + high | CT, QC	C3-high	0.0044133	0.035514	0.9011	0.0019919	8162
pfactor	low + high | CT, QC	low - high	0.014842	0.060792	0.80711	0.0066989	8162
