pearson_lower__spearman_upper,dCT,CT,dT1T2,T1T2,slopePC1,slopePC2,slopePC3
dCT,1.0000,0.1694,-0.0872,0.3873,0.2678,-0.2064,-0.4842
CT,0.2278,1.0000,-0.6611,-0.2629,0.1150,0.5426,-0.0423
dT1T2,-0.1449,-0.5887,1.0000,0.3928,-0.3259,-0.5862,0.3613
T1T2,0.3075,-0.3138,0.3113,1.0000,-0.2562,-0.8344,-0.1267
slopePC1,0.2665,0.1691,-0.3640,-0.3293,1.0000,0.3711,-0.5251
slopePC2,-0.1626,0.6252,-0.5065,-0.7912,0.3512,1.0000,0.0078
slopePC3,-0.4291,0.0245,0.3761,-0.0711,-0.5381,0.0231,1.0000
