gene	dCT + CT|DK	dCT alone|DK	CT + dCT + T1T2 + dT1T2|DK	dCT + CT|HCP	dCT alone|HCP
ELN	1.43918	2.64452	4.41024	2.12503	2.93961
ELOA	2.08143	0.671435	1.37731	0.984575	0.284604
ELOB	1.71548	-0.829531	-0.12414	-0.115522	-0.964383
ELOC	0.782612	-0.760576	-0.594269		
ELOVL1	-2.1208	-0.295445	-1.66893	-4.25053	-2.31146
ELOVL4	-1.45986	0.423289	-1.77159	-4.38682	-2.39802
ELOVL5				-0.437618	-0.0942113
ELOVL6	0.830014	1.52638	1.36155		
ELOVL7	-3.20058	-0.30617	-3.57562	-3.89883	-1.8201
ELP2	0.222168	1.54485	0.576171		
ELP3	2.49657	2.30415	5.58076	1.06657	1.0992
EMB	-1.44513	0.11541	-1.72418	-3.05708	-1.74604
EMBP1	-2.13588	-0.485672	-2.3597	-3.02817	-1.61142
EMC10	-2.29798	-1.95247	-3.07122		
EMC2	-4.02778	-4.29841	-6.50856	-3.61265	-3.50348
EMC3	0.774649	-0.555368	0.170991	0.527782	-0.416006
EMC3-AS1	-0.29014	1.05899	-0.33333	1.05917	1.86203
EMC4	0.677406	-0.274204	-0.319132		
EMC7	-0.297794	-2.06038	-1.22974	-1.619	-2.38581
EMCN	-0.942463	0.329958	-1.76446	-1.77276	-0.916454
EME2	-1.90715	-2.47122	-1.90911		
EMG1	4.13321	-0.799863	2.42945	-0.241876	-1.22229
EMID1	0.131355	-1.40853	0.472873	3.00008	1.18877
EMILIN2	-2.66087	-1.08873	-4.26547	-6.51299	-4.72459
EMILIN3	-1.34409	0.811244	-0.946318	1.57055	2.02
EML1	4.03173	4.13944	4.92321	2.16535	2.30319
EML2	-1.27827	0.743336	-0.981219	-2.42148	-0.988369
EML3	-1.83415	-2.98425	-2.11128		
EML4	-7.75462	-5.47713	-9.38808		
EML5	0.843468	2.04389	1.44477	4.09387	5.39856
EML6	4.00696	5.76895	3.67185	2.70999	3.33327
EMP1	-2.38518	-3.22031	-1.05177	-1.0962	-1.78511
EMP2				0.286722	0.360417
EMP3	-2.3295	-2.98291	-2.03234	-0.315311	-0.900438
EMSY	0.085464	1.81267	1.3087	2.27323	3.011
EMX1	-0.0984563	1.60011	-0.495898	0.135604	1.02159
EMX2	-2.01574	-2.74886	-1.68059		
EMX2OS	-1.95983	-2.65668	-1.66366	0.780243	0.192205
ENAH	-0.32413	-0.627946	0.210194	-0.578072	-0.344383
ENC1	4.85558	0.966593	2.24496	0.795833	-0.118698
ENDOD1	0.562249	0.697572	1.17652	-0.626664	-0.491774
ENDOG	0.905459	1.66501	0.475384		
ENDOU	-0.549828	-1.88388	-1.2058	1.0539	0.343137
ENG	-1.39305	-0.547708	-2.03693	-1.01841	-0.75006
ENHO	-0.648767	-1.64042	-1.20254		
ENKD1	0.951011	2.22159	2.23789	3.66505	4.53474
ENKUR	-0.0107513	-0.812349	0.80556	1.38784	0.592886
ENO1	0.115778	-1.85565	0.0296761	-0.891345	-1.55338
ENO2	1.33248	2.05329	1.41966	0.337377	1.04285
ENO3	0.778273	1.19949	2.62815	-0.0274399	0.0456656
ENO4	0.77909	1.90634	1.08584	2.20227	2.55565
ENOPH1	-1.22688	-2.11288	-1.86681		
ENOX1	6.04003	1.57525	4.73025	2.28929	0.520638
ENOX2	-5.12499	-4.95725	-5.01919		
ENPP1	0.960592	-0.778708	-0.0706744	-0.948103	-1.49773
ENPP2				-3.58967	-2.73182
ENPP4	2.29273	2.2548	2.96489	0.213998	0.0611817
ENPP5	-0.042311	1.56011	1.11176	-0.263991	0.806994
ENPP6	1.01106	1.38978	2.02896	-1.59617	-1.39114
ENPP7P13	1.28918	0.349461	0.758507		
ENSA	5.14945	1.14191	4.30963	3.06986	1.59225
ENTPD1	-2.90818	-3.57455	-3.78052		
ENTPD3	-0.31134	1.72007	0.445415	-0.630915	0.374213
ENTPD4	-1.93564	1.06738	-1.96948	-1.07076	0.662754
ENTPD6	4.13403	1.85355	2.78473	1.09398	0.0903265
ENTPD7	1.19483	2.04233	0.912666		
ENY2	-1.06052	-2.23635	-1.06553	-1.13938	-1.68475
EOGT	-1.89972	0.205159	-1.66676		
EP300	-1.65365	0.185071	-2.04167		
EP400	-2.16264	-0.977514	-2.93885		
EPAS1	0.0177052	0.114396	1.2406		
EPB41	-0.0885092	1.86774	-0.329449	0.689632	1.45626
EPB41L1	-3.77777	0.152431	-4.71645	-3.42844	-0.817484
EPB41L3	0.551589	1.41966	0.481347	-1.43828	-0.317547
EPB41L4A	-2.26575	-3.23608	-4.3883	-6.35023	-6.78135
EPB41L4A-AS2	-1.35655	-1.49527	-2.8011	-4.77614	-5.09104
EPB41L4B	1.53902	-0.579415	0.267186	1.53475	0.421609
EPB41L5	2.81074	3.91015	3.91946	2.71308	3.88502
EPC1	-0.659999	0.820838	-0.90804	1.71801	2.44139
EPC2	0.624065	2.01816	1.92342	1.44905	2.61211
EPCAM	-4.29555	-6.0218	-5.07262	-6.72927	-7.81317
EPDR1	0.478892	0.112883	-0.275095	-2.34548	-2.92814
EPG5	0.814992	2.00661	0.809165		
EPHA10	5.31807	-0.0235582	4.15028	0.571366	-0.656608
EPHA3	-0.291705	0.351465	-2.62872	0.525724	0.854888
EPHA4	1.61571	2.21367	1.56997	2.27163	2.40735
EPHA5	0.451707	-0.307911	-0.437289	-0.204499	-0.716109
EPHA5-AS1	-0.958016	-1.4353	-2.95741	0.0126129	-0.28548
EPHA6	-1.5081	-2.3286	-1.22749	-0.495313	-0.920291
EPHA7	-3.15268	-0.999862	-2.11738	-3.598	-2.83786
EPHA8	-3.6854	-4.377	-2.54847		
EPHB1	-1.01833	0.114568	-1.89459		
EPHB2	0.474258	1.66874	2.28852	-0.00566596	0.606979
EPHB3	2.59411	2.49816	3.48864	0.612383	0.405007
EPHB6	2.83281	3.84556	6.49224	2.76002	3.18517
EPHX1	-1.89591	-2.69218	-2.05303	0.00123934	-0.593239
EPHX2	-1.48794	-2.2364	-1.28474		
EPHX4	3.53006	4.23891	6.42216	3.36324	3.76774
EPM2A	-1.27359	0.756834	-1.64252	-0.484524	0.706367
EPM2AIP1	3.44896	4.40655	3.73105		
EPN2	-2.26655	-2.75399	-1.91867		
EPN3	0.530874	1.42681	0.941333	-1.60667	-0.723726
EPOP	4.60273	0.627915	3.53566	3.40429	1.37743
EPOR	1.76732	1.61306	-0.00254267		
EPRS	-0.0499614	0.249271	-0.32282	-1.80693	-1.60507
EPS15	0.940688	2.00297	0.938163		
EPS15L1	-1.77312	-1.04612	-1.21881		
EPS8	-3.1427	-3.8268	-2.50504		
ERBB2	-1.19686	-2.08386	-1.92716	1.86876	1.15881
ERBB3	-2.55782	-1.61583	-1.73611		
ERBB4	0.893139	-0.15932	1.83255		
ERC1	-3.11415	-3.14413	-2.8546	-1.25121	-1.53426
ERC2	1.05968	-1.11963	-0.0254807	0.602167	-0.626251
ERC2-IT1	-0.370867	0.234702	-1.14975	1.57064	1.516
ERCC1	0.707624	-0.201154	-0.302544		
ERCC2	2.26014	-0.481927	2.25704	1.85394	0.271705
ERCC4	-2.86247	0.759088	-1.88195	-1.04549	0.393269
ERCC6	1.98956	2.47868	2.32006		
ERCC6L2	3.40519	0.503446	2.57085	2.49803	0.612923
ERFE	1.21667	-0.918179	1.58311	2.11151	-0.0195531
ERG	-1.26422	-0.0794917	-1.46042	-1.82054	-1.29327
ERGIC1	-1.11219	-1.1488	-1.4287		
ERGIC2	2.6477	0.774758	1.09399		
ERH	0.308385	-1.23972	0.0390865	1.23996	0.178325
ERI1	0.279845	1.22083	0.387576		
ERI3	-0.956589	-2.25986	-2.13448	-0.840836	-1.52474
ERICH1	1.92476	1.13974	5.01128	1.03833	0.65562
ERICH2	-4.21792	-4.36811	-5.01825	-2.95814	-3.42346
ERICH3	-0.410848	-1.66518	-0.731448	0.896415	0.0617428
ERICH5	-1.74478	0.94386	-1.76356	0.561468	1.71073
ERICH6-AS1	-0.615574	-1.92086	-1.76988	-1.62395	-1.81759
ERLIN1	3.22318	0.657398	3.65893	4.87479	2.20821
ERLIN2	-1.41851	-2.15283	-1.05764		
ERMARD	-1.83666	-3.21708	-1.47106	-0.752676	-1.14374
ERMP1	-1.386	0.363777	-2.4168	-0.932671	-0.0589389
ERO1A	1.64903	2.44209	1.98305	0.562315	1.18252
ERO1B	-1.34965	0.359964	-0.578296	0.666961	1.56496
ERP29	-5.04186	-4.1869	-5.31068	-3.11056	-3.04907
ERP44	0.28817	1.9941	0.880465	3.02838	3.81178
ERRFI1	1.87745	2.98656	3.26775	0.914393	1.40326
ERVK13-1	-1.0661	0.219045	-0.324243		
ESAM	-0.71141	0.337197	-0.834462	-0.907846	-0.395362
ESCO1	0.451996	1.92707	1.72811	0.928871	1.73576
ESD	0.3807	-1.53221	-0.126125	1.08726	-0.0390856
ESF1	-3.3431	-2.45267	-3.4569		
ESM1	-4.66131	-1.32182	-2.99868		
ESRP2	-1.44615	-0.610966	-0.957378		
ESRRA	-1.33786	0.763462	-2.42358	-2.12138	-0.338746
ESRRB	-2.06747	-0.0741458	-2.05522	-2.94747	-2.10761
ESRRG	-1.99341	0.770193	-4.04357	-3.41257	-0.347392
ESS2	3.52838	3.27503	2.61438		
ESYT1	1.60393	2.10524	3.40451	-0.568835	-0.180173
ESYT2	-0.0432449	1.12971	1.28105		
ETF1	-0.459067	-1.77158	-1.33845		
ETFA	-2.99064	-3.80168	-4.99592		
ETFB	0.294304	-1.52146	-0.730667	-1.47402	-2.47664
ETFDH	0.413263	-0.969643	0.0596264	0.915146	0.251042
ETFRF1	-5.42567	-5.13779	-5.76159	-2.20534	-2.89435
ETHE1	-0.429941	0.279685	-2.60336	-1.60686	-1.1579
ETNK1	2.12962	1.5145	2.05887	1.39971	0.815163
ETNPPL	-0.285556	-1.81016	-0.944115	0.845685	-0.278646
ETS1	0.479123	1.99893	1.52193		
ETS2	4.98852	4.06402	4.82356	3.33839	4.08158
ETV1	0.790824	0.444165	0.655026	-1.27347	-1.63826
ETV3	-0.975155	0.264671	0.121268		
ETV5	-0.131506	0.926021	1.54092	0.308832	0.991574
ETV6	1.77927	3.75628	2.7769	7.63855	6.90187
EVA1C	0.29621	0.672241	-0.102258		
EVI2A	-1.16646	-0.222909	-0.731478		
EVI2B	-2.34963	-3.40211	-2.90869	-3.11415	-3.50284
EVI5	1.52804	2.01796	2.52054		
EVI5L	-0.848388	-1.70294	-2.78767		
EVL	0.989665	1.81084	1.56474		
EVPL	0.0497042	0.597124	-0.668533		
EWSR1	-0.526421	0.719927	-0.120268		
EXD2	-0.733208	-0.0250682	-0.73941		
EXD3	5.73459	2.46911	5.77947	2.71901	1.46391
EXO5	4.65289	3.77498	3.1244		
EXOC1	-0.883851	-2.1426	-0.256953	-3.0543	-3.53391
EXOC2	-1.31619	-0.230834	-0.819436		
EXOC3-AS1	2.91423	-0.287081	1.60365	0.751815	-0.271605
EXOC3L2	-1.5878	-1.44193	-1.29779	-1.7977	-1.59906
EXOC4	2.52263	-0.77454	1.35825	0.0388142	-1.04742
EXOC5	0.449506	0.0336763	1.0864		
EXOC6	4.00362	0.363215	3.6254	2.88256	0.458655
EXOC7	1.34194	-0.138167	1.36855		
EXOC8	3.46375	3.7352	4.02585		
EXOG	-3.10462	-0.766731	-3.1373	-1.51431	-0.370205
EXOSC10	-1.27529	-0.873681	-1.54847		
EXOSC2	-2.25233	-2.18562	-3.8031		
EXOSC3	-0.998644	-0.169785	-1.0796		
EXOSC4	4.19447	1.47632	2.48548		
EXOSC6	-1.16068	0.342173	-1.09661		
EXOSC7	0.404555	-1.1178	-0.16561		
EXOSC8	-0.507759	-1.25012	-1.23451	0.880316	0.783574
EXOSC9	2.83016	2.34864	3.26042		
EXPH5	-0.338055	0.28004	-0.865038	0.531519	0.482619
EXT1	3.0329	2.54505	2.37201	1.85139	1.40831
EXTL1	4.12567	4.10745	3.1588	3.16623	3.28226
EXTL2	-0.495518	1.42311	-0.831327	-1.05205	0.436034
EXTL3	1.7056	1.92654	1.79633	2.82999	2.78236
EYA1	-1.21592	-1.77425	0.0245222		
EYA2	-0.648496	-1.73951	-0.48598	1.3149	0.445976
EYA3	-0.427922	1.34691	0.0987417	2.00846	2.73527
EYA4	-6.25421	-0.384589	-5.11081	-5.31843	-1.72452
EZH1	-1.09791	0.986564	-0.0925111		
EZH2	-0.279819	1.25464	-1.32272		
EZR	-0.83729	-1.76783	-0.222183	0.704207	0.169704
F11R	-1.36879	-1.62579	-0.309174		
F12	2.2721	-0.368244	1.95727	2.34497	0.474364
F13A1	1.14196	0.0679995	0.273619		
F2RL1	-2.87614	-2.1511	-2.19285		
F3	-2.74902	-3.81501	-2.48327		
F7	0.452998	1.30229	0.735581	-1.11651	-0.598365
F8	4.1495	3.87424	3.04418	2.93827	3.18895
F8A1	2.05106	2.57981	1.32078		
FA2H				-2.50428	-1.99961
FAAH	1.24506	1.0771	1.40129		
FAAH2	-1.20109	-0.674444	-2.73547	0.147112	0.537781
FAAP100	-0.00615756	1.08786	0.971818		
FAAP20	-2.92275	-2.76785	-2.38384		
FABP3	2.519	-0.738809	0.766316	-0.129156	-1.29355
FABP5	-1.41103	-2.45719	-1.15561	-1.59896	-2.21148
FABP5P3	-2.02509	-2.8066	-1.93964	-1.66301	-2.08816
FABP6	-0.610336	-1.80355	-0.936277	-4.04264	-5.03488
FABP7	0.480157	-1.36615	1.3322	1.1615	-0.276699
FADS1	-0.77525	-1.66336	0.0893648	0.590657	0.394717
FADS2	-1.04621	-2.12422	-0.346863	-0.0738641	-0.81529
FADS3	5.20537	1.06253	4.2309	4.21427	1.11999
FADS6	0.461796	1.63569	0.575113	0.500432	1.40783
FAF1	0.167755	0.876471	0.074353		
FAH	-0.446597	-1.75991	-0.823832	1.34825	0.138418
FAHD2A	-0.355661	-1.7582	-1.57985		
FAIM	-3.92504	-4.4405	-3.99553		
FAIM2	2.24135	1.77	2.45862		
FAM102A	-0.986105	-1.99519	-1.29998	-0.365807	-0.928277
FAM102B	6.3052	1.64189	5.42876	5.26321	2.18084
FAM104A	1.15761	2.67446	0.693161		
FAM104B	0.384083	1.64161	-0.199187	-0.327831	0.52603
FAM105A	0.316436	-1.10359	-0.1214	-0.830818	-1.26162
FAM106A	0.977521	2.3835	1.59334	1.82188	2.37966
FAM107A	-0.958335	-1.88471	-0.778849	1.03696	0.161013
FAM110A	-0.987952	1.27668	-1.22183	1.57584	2.6657
FAM110C	3.69584	0.271482	6.37819	8.2314	2.10246
FAM111A	-2.49456	-3.2362	-1.4714		
FAM111A-DT	-1.91326	-1.00584	-0.920151	-2.29468	-2.39314
FAM114A1	-2.58474	-3.52516	-3.38774		
FAM117A	-1.34059	-3.18077	-1.47214	-1.38699	-1.97957
FAM117B	5.7849	4.71765	9.16158	8.18133	7.79718
FAM118A	-2.11007	-0.240026	-1.95091		
FAM118B	-0.776457	-1.65135	-1.30127		
FAM120A	-1.36799	-2.34148	-2.04145	1.68551	0.713916
FAM120AOS	3.12967	-0.78611	4.17209	1.42259	-0.391951
FAM120B	-1.32728	-0.629727	-1.57317		
FAM120C	1.10692	2.14415	1.26484	0.322867	0.997961
FAM122A	3.79724	3.68569	2.99989		
FAM122C	3.04413	-0.849783	2.09087	0.000817233	-1.16953
FAM126A	-1.63435	-2.2557	-0.942586		
FAM126B	0.35617	1.50804	0.817984	0.754355	1.53354
FAM129A	-4.71545	-6.74496	-4.93119	-4.42933	-5.02113
FAM129B	-1.76232	-2.68992	-1.22716	0.147919	-0.76767
FAM131A	2.87041	0.479083	1.90331	1.09189	-0.0499356
FAM131B	0.585361	1.77077	0.52769	-0.745626	0.0858295
FAM131C	-1.16165	-2.11799	-0.763962		
FAM133A	8.30141	2.19917	5.84178	5.98588	4.08493
FAM133B	-2.96808	-1.03098	-2.98127		
FAM133CP	-3.09496	-0.899332	-3.13778		
FAM133DP	-2.75316	0.0789658	-2.84031	-1.14036	-0.260968
FAM135A	-1.49139	0.461521	-0.382842		
FAM135B	-1.17847	0.356796	-0.947526	-2.52361	-1.38606
FAM136A	0.520108	-0.432797	0.83408		
FAM13A	5.17193	5.51212	3.2784	1.87135	2.53001
FAM13A-AS1	-3.18389	0.569846	-1.77306	-1.32084	-0.258857
FAM13B	-3.5542	-0.58942	-5.30755	-1.70953	-0.601468
FAM13C	-0.923722	-1.50717	-0.68095		
FAM149A	0.644147	-1.13878	0.644925	1.26957	-0.153944
FAM151B	-0.399366	-1.74481	-1.526	-0.994525	-1.38794
FAM153A	1.65349	2.69515	1.98436	2.90546	3.61059
FAM155A	1.13665	1.9998	0.916667		
FAM155B	-4.74828	-4.90357	-5.12992	-3.80096	-4.10826
FAM160A1	-0.228169	-0.001635	0.0708537		
FAM160A2	4.23732	2.40291	3.97199	4.40275	2.4489
FAM160B2	1.90691	2.55431	2.55086	0.763503	1.31865
FAM161A	-0.176355	0.20938	-0.430996	5.67584	4.75198
FAM161B	-0.830763	-0.920123	-0.895438		
FAM162A	-0.925122	-2.22229	-3.19213	-3.5633	-4.50886
FAM162B	4.57725	5.60336	4.44674	10.0014	11.0746
FAM163B	2.57338	1.61306	1.74017		
FAM167A	-0.260671	-1.13472	-0.0565231	2.89268	2.05488
FAM167A-AS1	-5.58339	-5.08508	-5.67704		
FAM167B	-1.7307	-0.268408	-3.15537	-3.02568	-1.96503
FAM168A	-4.01347	-2.41686	-3.04322		
FAM168B	-2.06038	0.821673	-0.77535	-0.737001	0.0713922
FAM169A	1.99777	2.73119	2.74481	4.31875	4.88913
FAM171A1	0.302226	0.729116	0.476887	-1.31571	-0.867726
FAM171A2	0.742562	-1.27513	0.0652975	2.68644	0.936868
FAM171B	0.0835917	-1.59792	-0.756143	0.232756	-0.744613
FAM172A	-0.494922	-1.02715	-2.84271	1.25499	0.940587
FAM173A	3.91905	2.35713	2.82548		
FAM173B	0.673747	-0.120725	0.465175		
FAM174B	4.10309	2.26903	3.05628	1.10042	0.213046
FAM177A1	-2.89633	-3.79927	-2.33742		
FAM178B	-0.842968	0.810037	-0.618552		
FAM181A	-1.15809	-2.12693	-1.68441	0.352991	-0.606598
FAM181B	-3.09562	-3.33566	-2.51105	-0.147056	-0.44058
FAM182A	1.33113	-0.543791	0.371977		
FAM182B	2.38709	-0.480376	1.55357	1.82649	0.568877
FAM184A	1.12389	-1.06961	-0.840493	0.875247	-0.242151
FAM185A	0.558428	0.765002	0.600738	2.38867	2.77751
FAM187A	3.82154	0.162063	2.49667	0.661892	-0.568951
FAM189A1	-3.44344	-1.44802	-1.48436	-0.741296	-0.852458
FAM189A2	-1.67009	-2.51301	-1.11837	-0.925372	-1.13352
FAM189B	0.370367	0.4103	0.769305	-1.42386	-1.41726
FAM192A	-0.182811	-1.42335	-1.4606	-1.33895	-1.8171
FAM193A	-6.53533	-2.75955	-5.07775		
FAM193B	-0.323309	1.3083	-0.00553858		
FAM196A	-3.60623	-3.88392	-5.91721	-1.48155	-1.84738
FAM198B	0.0514104	1.79411	0.199643	4.04026	4.67553
FAM199X	-1.516	-1.7004	-0.893631		
FAM19A1	2.41469	0.182816	2.00561	2.81568	0.953916
FAM19A2	0.25379	1.16176	-0.661297	0.506861	0.941317
FAM19A4	1.31443	2.13474	0.490985		
FAM19A5	1.03976	0.272326	0.924624		
FAM200B	1.86678	-0.243227	1.92183	0.443877	-0.532639
FAM201A	-3.1296	-2.68238	-1.2283	-3.59061	-4.10182
FAM206A	0.932712	1.86932	0.969103	0.980952	1.5068
FAM207A	1.29904	-1.21126	0.170802	-1.37401	-2.12971
FAM208A	4.60178	3.21172	3.31978		
FAM208B	-1.28431	0.6423	-0.672875	0.163233	0.885257
FAM209A	0.284904	1.03911	-0.395804	-2.32534	-1.79263
FAM209B	-0.640592	0.0297013	-2.56376		
FAM20A	-1.22864	0.576888	-1.26317	-0.599577	0.42604
FAM20B	1.51985	0.882849	0.58601		
FAM210A	0.674788	-0.308036	0.482301		
FAM210B	-0.828678	1.03567	-0.444924	1.60409	2.66094
FAM212A	0.332188	-1.31876	-0.00730671	-1.14365	-1.5887
FAM212B	-0.667041	-1.20978	-3.08464	-1.1091	-1.43042
FAM213A	1.73685	0.929982	5.54339	1.54882	1.342
FAM213B	2.33508	-0.32465	2.13683	-2.58112	-3.55858
FAM214A	-1.46085	1.43842	-0.943069	0.410055	1.40847
FAM214B	-1.93159	-2.72436	-1.81524		
FAM215A	-3.17307	-1.78128	-1.89822		
FAM216A	0.149209	1.67389	0.782595	-1.44909	0.107842
FAM217B	3.18475	3.20171	3.55022	2.67236	2.9535
FAM218A	-0.276547	0.543319	0.448351	2.07692	2.60776
FAM220A	2.35544	0.774555	0.954314		
FAM221A	-4.28242	-1.23232	-3.3406	-3.18086	-1.94682
FAM222A	-0.0516887	0.753118	0.00912103		
FAM222B	-0.0820304	1.52901	-0.116616	-1.03372	0.224084
FAM225B	-4.70251	-1.14101	-3.05088	-4.03643	-2.72863
FAM228B	0.580108	-1.21932	-0.113845	0.888269	-0.0162034
FAM229B	0.118966	-1.7617	-1.7037	-1.76783	-2.40011
FAM234A	-0.728235	0.470213	0.440646	-2.10565	-1.3794
FAM234B	6.07234	4.97982	5.14536	4.9838	5.29623
FAM241A	-1.56379	-3.95961	-1.56771	-2.54738	-3.55613
FAM241B	4.71509	1.2353	6.2655	5.34362	1.95689
FAM24B	-2.76694	-2.93017	-5.23522	-1.92268	-2.19116
FAM27E2	1.16517	0.378675	1.80876	1.47175	1.18713
FAM27E3	1.63227	1.30157	2.38226	2.65341	2.06937
FAM32A	1.00187	-1.08307	0.224457	-0.426813	-1.17929
FAM35BP	-1.21269	0.926033	0.337725	-0.947144	0.24515
FAM3C	-0.899474	0.535799	-1.906	0.104681	0.457937
FAM43A	-0.46484	1.36808	-0.16759	-2.25915	-0.273407
FAM43B	0.234146	0.939244	-0.230152	-0.1197	0.19814
FAM45BP	0.261497	-0.794397	-0.355313		
FAM46A	-3.16002	-3.34963	-2.79018	-0.338332	-0.757408
FAM47E	4.50876	0.896978	2.97083	5.01857	2.44256
FAM49A	2.98806	1.03016	2.22071	2.9468	1.24238
FAM49B	3.13848	3.56878	3.15615	1.85132	2.4951
FAM50A	0.663844	0.829715	0.0962085		
FAM53C	0.540521	-0.638566	1.17209	2.7615	1.65325
FAM57A	2.00087	0.412699	2.94549		
FAM57B	-4.15998	-0.749489	-5.8441	-3.70191	-2.15527
FAM66B	-1.57958	-0.774894	-2.11926		
FAM69B	1.27267	1.50355	2.35248	-0.666248	-0.745623
FAM69C	-3.23614	-3.0436	-2.83246		
FAM71E1	-5.86665	-0.437714	-5.47783	-4.04292	-0.802442
FAM71F1	3.02729	-0.879019	2.02883	2.90667	-0.051032
FAM71F2	-0.844954	-1.78739	-0.486261		
FAM76A	1.0347	0.160329	0.942112	1.96713	1.40447
FAM76B	-0.620774	1.51318	0.80025	0.900304	1.97268
FAM78A	1.0121	2.04976	2.27677	-0.354238	0.258698
FAM78B	1.91018	3.26176	1.90729	2.63088	3.31286
FAM81A	3.32993	4.64949	4.13025	4.51099	5.27235
FAM83D	0.258786	1.44705	0.316947	-1.28351	-0.276726
FAM83H	1.04145	-0.059193	0.58391	0.81329	0.561524
FAM84A	4.40024	5.07783	5.27137	4.82006	5.37532
FAM84B	1.04488	0.0973432	2.36506	-0.192839	-0.416267
FAM86B3P	-0.811621	-2.0426	-1.17324	-1.31181	-2.1031
FAM86C1	-0.0366396	-1.79511	-0.228341	-1.00746	-2.02071
FAM86DP	0.592411	-0.0743575	1.23036		
FAM86EP	-0.274858	-1.67085	-0.272573	-0.734646	-1.46731
FAM86FP	-0.290203	-1.74046	0.118083	-1.15886	-1.95299
FAM86HP	-0.466665	-0.565974	-0.65992	-0.864496	-0.880348
FAM89A	-5.26813	-5.3577	-4.82099	-2.61468	-3.25414
FAM89B	-0.0999007	0.357616	-1.33606	-0.36098	-0.0727015
FAM90A1	2.42335	3.20725	1.81695		
FAM90A7P	0.522841	1.75501	0.852352		
FAM91A1	0.331121	1.4576	1.66394		
FAM92A	1.33305	1.75951	0.405784		
FAM95A	-0.89405	0.707077	-1.21911	0.666606	1.32639
FAM95C	-0.994082	-0.399279	-0.044457	-4.19225	-3.8589
FAM96B	-0.4271	-1.44613	-1.54291		
FAM98A	0.0418994	-0.857476	0.0940566	-0.904325	-1.52494
FAM98B	0.755261	2.33477	1.50736		
FAM98C	0.214386	0.212148	-0.887415		
FAN1	-1.92073	0.430559	-1.57557		
FANCA	0.223605	1.44985	0.519092	0.195865	0.768907
FANCC	-0.834406	1.12332	-0.599732	2.05614	3.03638
FANCE	-0.518396	-0.271572	-0.504483	-0.0256088	0.0733553
FANCG	-0.594114	0.131185	-0.61629	0.630608	0.919165
FANCI	-0.683911	1.14585	-0.999505	-1.27804	-0.0339426
FANCL	0.0722383	-0.965152	-0.600258	0.22769	-0.146524
FANCM	0.251699	1.75007	-0.794907		
FANK1	-3.10474	-3.33121	-1.95383	-1.72805	-1.87071
FAP	1.93736	2.69009	0.539912	0.886161	1.32492
FAR1	1.03645	1.69939	1.03677	0.552244	0.806788
FAR2	-0.706131	0.633248	-0.766782	-3.13447	-2.03632
FAR2P1	2.32379	-0.737534	1.00746	1.30892	-0.149132
FAR2P2	1.84014	-0.63252	1.33872	1.57602	0.120335
FARP1	0.912024	-0.857492	2.69331	3.63113	1.03472
FARS2	3.95205	2.77787	2.6416		
FARSA	4.81832	3.41183	7.31956		
FARSB	1.88776	-0.656427	0.500307	0.798137	-0.427972
FAS	1.46409	-0.268823	1.25682		
FASTKD1	-3.35932	0.810967	-4.05803	-2.75085	-0.202219
FASTKD2	0.44661	1.18959	0.752074		
FASTKD3	0.343185	1.81426	-0.219078		
FASTKD5	2.11276	2.91965	5.29327	0.690137	1.1581
FAT1	1.57938	0.0937814	2.91478	2.31472	1.89052
FAT3	1.58849	2.21617	1.88425		
FAU	-1.15119	-1.97154	-2.33313	-0.343602	-0.789863
FAXC	1.21208	2.28539	1.60972		
FBL	-1.25214	-2.40697	-3.18101	-0.0168169	-0.435611
FBLIM1	-3.10942	-0.385434	-2.71466	-1.81503	-1.11292
FBLN2	-3.25596	-3.54778	-3.83836	-2.7514	-3.25034
FBLN5	1.79334	0.582089	0.722699	1.22483	0.590274
FBLN7	3.05764	3.55777	3.23236	4.20231	3.87448
FBN1	1.76538	2.47332	2.25266	2.2217	2.97804
FBP1	-3.12274	-4.15682	-3.62616		
FBRS	-1.56448	0.0481393	-0.677647		
FBRSL1	0.733198	1.07799	0.997778	4.44775	5.06684
FBXL12	0.389856	1.28581	-0.516764		
FBXL15	1.46472	2.39269	1.83033	1.09857	1.48114
FBXL16	1.97478	-0.428435	1.1834	2.35562	0.921145
FBXL18	0.242388	-1.03647	-0.924431		
FBXL19	-0.555699	-1.38617	-0.645679		
FBXL2	4.35356	1.82673	4.2126	4.02904	2.57713
FBXL22	-2.5872	-1.04132	-4.15326		
FBXL3	-0.315455	0.750212	0.784568		
FBXL4	-1.0522	1.22514	-0.637636	-0.0663152	1.02526
FBXL6	-0.903212	0.551498	0.285088		
FBXO11	4.87175	4.70629	4.05493		
FBXO15	-3.02387	-3.75184	-4.64443	-6.88354	-7.16353
FBXO16	2.70285	3.5683	1.98098	-0.592792	-0.0103852
FBXO17	-1.7617	-3.17473	-3.0518	-1.65757	-2.02908
FBXO2	0.0615954	-1.80329	-1.26522	0.353347	-0.919503
FBXO21	-3.03939	-0.504679	-2.61633	-2.24531	-1.54684
FBXO22	-2.05741	0.127498	-1.94301		
FBXO27	1.15927	-0.14637	-0.81187	1.18567	0.678138
FBXO28	2.6071	3.13432	2.57664		
FBXO3	1.28656	-0.165124	0.927562	0.246169	-0.287849
FBXO30	-1.78938	-0.704188	-1.22672	0.812151	1.29881
