gene	dCT + CT|DK	dCT alone|DK	CT + dCT + T1T2 + dT1T2|DK	dCT + CT|HCP	dCT alone|HCP
ABCC4	-0.0673012	-1.24284	0.370818	-1.02735	-1.53848
ABCC5	1.94697	2.43376	1.8408	1.85793	2.71356
ABCC6	1.01739	-1.18144	-0.0645615	0.788344	-0.0666227
ABCC8	2.54756	2.69598	3.27914	3.06829	3.30649
ABCC9	-0.708227	-0.954102	0.643856	0.416223	0.427271
ABCD2	-5.80136	-0.42441	-4.50188	-2.17245	-1.08677
ABCD4				0.703838	1.26446
ABCF2	2.90468	3.41944	3.80266		
ABCG1	-1.99718	-1.17462	-4.15888	-0.749378	-0.343629
ABCG2	-4.0221	-1.74463	-4.1736	-3.12728	-2.29095
ABCG4	0.383847	1.63803	1.55788	-0.901857	-0.0473458
ABCG5	2.9735	2.37379	3.85035	2.14875	1.40593
ABHD1	-0.782198	-2.01868	-0.676279	0.429157	-0.142129
ABHD10	-0.429794	0.793334	0.188325		
ABHD11	0.663293	2.10658	1.34678	1.42753	2.53227
ABHD12	-1.372	-0.132637	-2.64723	-3.43338	-1.9369
ABHD12B	3.62778	2.73718	7.30635	2.50622	2.14748
ABHD13	0.916684	2.32719	1.85629	3.60071	4.21216
ABHD14A	3.14667	3.83039	2.56674		
ABHD15	-1.33687	-2.3603	-2.08856		
ABHD17A	-3.58619	0.243006	-2.53323	-0.708999	0.519334
ABHD17B	-3.96705	-0.193516	-2.56281	-3.93978	-1.50945
ABHD17C	1.0213	-0.312759	0.574584	2.41619	1.14771
ABHD2	0.802304	-1.03962	0.566973		
ABHD3	-3.07665	-1.09264	-2.03875	-0.927038	-0.175877
ABHD4	-6.22955	-5.8405	-4.24563		
ABHD5	-5.24185	-1.44058	-3.14855		
ABHD6	-1.0601	0.352821	-0.802952	-3.91075	-2.20704
ABHD8	5.00559	5.3249	4.12489		
ABI1	2.04328	-0.763488	0.174325	2.30535	0.506792
ABI2	1.03769	-0.607473	-0.0721022	0.677106	0.0564736
ABI3	-2.24155	-2.96721	-2.59146		
ABL2	3.26472	4.68788	4.04278	2.89933	3.39967
ABLIM1				0.44728	0.722951
ABLIM2	1.04579	-1.0787	-0.991241	0.76099	-0.515092
ABLIM3	4.12042	-0.0780102	4.35697	4.01508	1.3015
ABR	-1.07951	-1.62209	-1.96972	0.567683	0.168781
ABRACL	1.78125	3.44125	1.06705	1.29841	1.8938
ABRAXAS2	3.7769	2.59006	3.88212		
ABTB1	3.3215	4.29901	6.3086	3.83996	4.00017
ABTB2	-5.15341	-1.08267	-6.50188	-8.11101	-3.62359
ACAA1	-1.16552	-2.03155	-1.36683		
ACAA2	-1.17792	-2.10825	-1.0081		
ACACA	0.520657	0.576473	0.251182		
ACADL	1.21385	-0.829404	2.06976	1.07686	0.0781359
ACADM	-2.41838	-0.441764	-2.23146		
ACADS	1.35175	-0.243231	1.07728	2.5693	1.96858
ACADSB	-0.254562	1.42459	0.92714	0.926053	1.94319
ACADVL	0.0864878	-2.11292	0.623554		
ACAN	-2.02379	0.229682	-5.83398	-6.64969	-2.14817
ACAP2	-0.875275	0.704473	-0.202731		
ACAP3	-0.640976	-1.09461	-1.81216	0.71961	0.482519
ACAT2	2.11348	0.630501	2.16363	-0.99408	-2.28689
ACBD5	-7.23123	-2.49525	-6.87326		
ACBD7	-1.65351	-2.35537	-1.73742		
ACCS	-1.44757	-2.30538	-1.48997		
ACD	1.28334	1.65491	0.934991		
ACE	2.68517	3.32995	5.22019		
ACER3	0.301381	1.38994	0.505397	0.0328713	0.52178
ACHE	1.72058	1.47985	3.65186	-0.124096	-0.309874
ACKR1	0.11682	-0.562919	-1.44913	-1.52372	-2.18805
ACKR3	1.67393	-0.646428	2.18577	3.5907	1.76316
ACKR4	-2.69378	-1.27754	-1.68078		
ACO1	-2.89974	-2.59108	-2.7173	-2.14649	-2.24727
ACO2	-0.849583	-2.03377	-0.737829	-0.577748	-1.0441
ACOT13	-0.975472	-1.90435	-2.65961	-2.46009	-3.27025
ACOT2	1.18186	-1.25546	1.31371	2.4343	0.224789
ACOT7	-1.74104	-0.991557	-1.79941		
ACOT8	1.98613	-0.762606	1.05583	-0.130266	-1.19753
ACOX2	-0.575347	-1.64676	-0.397759	2.19974	1.51037
ACOX3	3.40287	0.895706	4.11267	3.48584	1.49291
ACP1	-0.139824	-1.76041	-1.37614	-0.217799	-1.03233
ACPP	-1.00165	-1.54371	-0.516676		
ACR	0.973957	0.741256	0.0381095		
ACSBG1	-2.95394	-3.5934	-2.5875		
ACSF2	-0.604499	-1.77158	-0.801824	0.0193012	-0.732926
ACSF3	2.76713	3.15602	3.17048	0.767893	1.45797
ACSL1	1.12749	1.60998	1.31002	-0.844163	-0.520565
ACSL3	3.11338	3.67068	3.00402	3.94337	4.26054
ACSL4	3.50186	0.803731	3.19037	3.89834	1.33804
ACSL6	-2.8841	0.127202	-4.59271	-3.0262	-0.781172
ACSS2	0.637626	1.46724	0.870328	-0.138805	0.352756
ACSS3	-0.149961	-1.29639	-0.0871907	1.30821	0.950861
ACTA1	3.4296	2.36208	4.67083	1.56349	0.717101
ACTA2	-0.832247	-2.18283	-0.428555		
ACTB	-0.60097	-2.1979	-0.181954	1.30163	-0.10996
ACTC1	4.09829	1.7006	4.79517	2.93	1.62382
ACTG1	5.08508	-0.407611	3.3117	-0.00901492	-0.99232
ACTG1P4	-1.26272	-2.43095	-0.773913	-1.99406	-2.29905
ACTL6A	-2.96862	-2.84626	-2.01068	-2.76655	-2.63568
ACTL6B	1.94506	2.45321	1.33591		
ACTL8	-1.56404	-0.688791	-1.93678		
ACTN1	2.11297	1.71643	1.22646	1.31543	0.763549
ACTN2	5.66634	4.22185	7.4675	3.96528	3.67641
ACTN3	1.84814	1.76258	2.14706		
ACTN4	1.50739	2.36962	1.40269	0.216745	1.00415
ACTR10	2.59875	-0.717454	1.688	0.297375	-0.977221
ACTR1A	2.7781	0.243753	2.94444	-0.27751	-1.47992
ACTR1B	0.398628	1.84422	-0.285835	0.404928	1.26925
ACTR3	-0.755522	-2.00041	-1.6648	-3.25503	-3.63666
ACTR3B	2.965	-0.158711	2.55563	1.09838	-0.486426
ACTR3C	-2.55829	-3.69878	-2.97877	-5.29568	-6.22176
ACTR5	0.377699	1.32737	0.835002	2.6135	2.99865
ACTR6	0.763704	1.1115	0.15891		
ACVR1	-4.3978	-0.783541	-3.23369	-5.65793	-3.70835
ACVR1C	-1.06998	1.00826	-0.739478	-0.55638	0.619448
ACVR2A	0.292244	-0.684179	-0.22098	2.00484	1.11336
ACVR2B	1.47998	-0.198106	1.27823	1.52655	0.584254
ACVRL1	-0.0463844	0.907251	0.645838	0.0746037	0.346706
ACY3	-1.60673	-2.35081	-2.25676	-1.43925	-1.72314
ACYP2	-1.52932	0.166655	-3.12884	-2.56955	-1.1349
ADAD2	-0.878031	-1.27274	-0.393894	-2.29963	-2.47117
ADAL	-1.61034	-0.506446	-0.822155	-2.38238	-1.68626
ADAM11	3.3586	4.04773	4.34061		
ADAM15	-6.48233	-2.19542	-5.30367	-3.0538	-1.61401
ADAM17	1.8443	2.14322	1.73447	1.35501	1.63137
ADAM19	-3.33416	-2.68111	-3.06655		
ADAM20	1.04095	2.376	1.92426		
ADAM20P1	3.58234	4.1002	3.52493	7.16977	7.57208
ADAM22	1.45928	2.30563	2.30418	-0.0563425	0.713361
ADAM23	0.0602008	1.39049	0.320906	-1.33303	-0.072155
ADAM28	-2.51774	-3.05933	-2.97074	-3.56713	-3.81897
ADAM32	1.14472	2.06697	0.469564		
ADAM33	-0.657777	0.935141	0.576157		
ADAM8	2.18916	2.74738	2.83756	1.22817	2.03656
ADAM9	-1.14211	1.28193	-0.353635	0.441346	1.46067
ADAMDEC1	-3.13581	-1.18568	-2.4271		
ADAMTS13	-0.0299611	1.71816	-0.0943766	0.402618	1.26952
ADAMTS19	3.9398	0.841412	6.46705	3.77329	2.13248
ADAMTS2	0.937357	1.28196	2.13858	1.00836	1.06866
ADAMTS3	6.10632	1.46362	5.27242	5.3485	2.54306
ADAMTS4	-0.333812	0.3536	-0.0255605	-3.10421	-2.40349
ADAMTS5	0.0503928	1.75424	-0.573758	-0.654841	0.495694
ADAMTS8	4.43506	0.620529	2.93411	-0.0337635	-0.720139
ADAMTS9	-1.4373	-2.97793	-0.734189	-1.14315	-1.94427
ADAMTSL1	-2.23633	-1.16817	-1.87103	-0.445102	0.135468
ADAMTSL2	1.15093	0.496809	2.22677	-0.236013	-0.937494
ADAMTSL3	-0.107833	-0.62541	0.668436	-2.90082	-3.45671
ADAP1	-0.582879	-1.31613	-0.58549		
ADAP2	-2.72305	-2.79936	-3.80002	-3.90927	-3.64456
ADAR	6.63011	2.26025	4.83252		
ADARB1	-0.30807	1.40839	0.573345		
ADARB2-AS1	-0.907432	-0.570456	-0.361813	-1.8723	-1.61163
ADAT2	2.20049	2.91716	2.50633		
ADCK2	4.16438	2.51348	3.01871		
ADCY1	-0.649706	0.599952	-0.509782	-0.689071	-0.0768564
ADCY2	4.50082	2.49252	3.79136	2.3488	0.870657
ADCY3	0.110041	1.49742	0.624165	0.0837198	0.846641
ADCY4	-0.333849	0.412028	0.35765	-0.591347	-0.260394
ADCY7	4.76602	0.893592	3.54638	2.08809	0.705554
ADCY8	-4.81406	-2.99178	-4.21309	-2.52386	-2.30124
ADCY9	-1.38856	0.678303	-2.21377	-2.43386	-0.676507
ADCYAP1	5.90613	3.89954	5.61014	6.08753	5.34711
ADCYAP1R1	-1.56347	-2.13985	-1.16571	0.713424	0.431427
ADD1	-1.92654	0.878379	-1.32182	-0.634152	0.385633
ADD3	-2.04527	-2.6431	-2.33671		
ADGRA1	1.28364	2.50114	1.91142	1.85912	2.58915
ADGRA2	2.09457	2.67905	2.09328	1.98228	2.35153
ADGRA3	-0.869726	-1.83277	-0.0419818	1.57975	0.853243
ADGRB2	2.75265	1.89826	2.22168		
ADGRB3	3.08422	0.352363	2.45468	4.2335	1.5187
ADGRD1	1.9904	2.24456	1.58491		
ADGRE5	0.681454	1.19556	0.960977	-0.728994	-0.578158
ADGRF5	5.26026	3.14598	4.65361	2.85314	1.982
ADGRG1	-0.567254	-1.77559	-0.68853	2.27383	0.649315
ADGRG5	-4.4195	-3.44096	-2.49735		
ADGRG6	-0.275562	-1.13701	0.350665	0.234875	0.131125
ADGRL2	0.613047	1.5404	0.270252	0.398539	1.12656
ADGRL3	1.86204	-1.07585	0.396123	1.32031	0.0742514
ADGRL4	-1.35758	0.289226	-2.02784	-0.798877	-0.200861
ADGRV1	-0.91683	-2.03522	-1.30305	1.07394	0.0944544
ADH5	0.786264	-0.922687	0.515989	2.68135	1.33811
ADHFE1	-1.11006	-1.93213	-0.714483		
ADI1	-2.79213	-3.10061	-3.35265	-0.885278	-1.44424
ADIPOR1	-0.729052	-2.22183	-2.17864	-1.45147	-2.01404
ADIRF	-2.31471	-2.8752	-3.44898	-0.365869	-1.08397
ADK	-1.01261	-2.3824	-3.08704	-2.08683	-3.03163
ADM	-4.72203	-1.65663	-5.16814	-5.75496	-3.37139
ADM5	1.42098	-0.818419	0.463213	0.602772	-0.371183
ADNP	3.42615	2.49921	3.59913	4.21498	3.18649
ADNP-AS1	-1.79252	-2.05993	-3.9924		
ADNP2	2.85999	4.06638	3.46231	2.3935	3.23499
ADO	1.99746	2.77565	2.02485	0.230428	0.911514
ADORA1	1.12881	1.56508	1.1601		
ADORA2B	-0.224735	-1.18339	0.735462	2.19629	1.45087
ADPRHL1	3.20464	4.02794	5.79655	2.92705	3.31106
ADPRHL2	2.62707	1.31154	2.29036	-0.37532	-0.86898
ADRA1A	-0.0695695	0.147605	1.76951	0.466349	0.5621
ADRA1B	2.90619	1.17427	2.84945	0.445402	-0.837716
ADRA1D	3.15918	3.05814	6.32797	0.832051	0.90673
ADRA2A	0.0481152	1.19732	-0.0174649	1.08309	1.33653
ADRA2C	3.09476	-0.507387	2.25714	-0.342228	-1.51257
ADRB1	2.16346	3.31495	1.95735	1.85731	2.62989
ADRB2	-1.24825	-2.0806	-1.36517	-0.813428	-1.5567
ADSL	0.640176	-1.54165	0.10667		
ADSSL1	-1.03937	0.833583	0.067801	-1.97242	-0.798309
ADTRP	5.46266	1.6415	5.1008	3.46267	1.70942
AEBP1	0.618424	0.372984	2.41652	2.5333	2.53059
AEBP2	0.864054	2.5879	1.17992	2.96597	4.23393
AEN	1.82704	-0.376796	0.246057		
AES	0.850398	0.885877	0.255746		
AFAP1L1	2.19608	2.69	2.83162	0.916373	1.24394
AFAP1L2	2.7976	3.53004	2.39239	1.93995	2.21796
AFDN	-0.859705	-1.6949	0.417137	-0.641106	-1.07003
AFDN-DT	-1.41279	-0.828331	-0.183396	-4.70203	-5.0903
AFF1	-2.33431	0.0601741	-1.46871	-1.92104	-0.776221
AFF2	-1.73518	-2.59439	-2.43051	-1.65519	-2.02512
AFF4	-0.236761	-0.0302042	1.15554		
AFG1L	0.61526	1.28683	-0.0510814		
AFG3L1P	-1.30811	0.377493	-0.901704		
AFG3L2	0.505071	1.40431	0.802978		
AFTPH	1.85386	2.56814	2.06088	2.03731	2.5665
AGA	-0.353109	-1.73643	0.212441	-3.2346	-3.78002
AGAP1	-0.288387	-1.29337	-1.00686	0.153825	0.215785
AGAP11	-1.13796	0.492812	-0.971065		
AGAP2	0.551591	-1.01319	0.551988	2.00167	0.656977
AGAP3	-1.24602	-2.23503	-2.08313	-0.460379	-1.2126
AGAP5	-1.12402	0.618757	-0.222004		
AGBL3	2.15637	3.07709	2.14682		
AGBL4	11.3523	5.0012	10.3191		
AGBL5	2.54266	-0.0175774	0.880192		
AGER	-1.68176	-1.14965	-0.802961		
AGFG2	-0.805642	-1.59657	-0.461363	-1.4944	-1.87699
AGK	1.09639	1.5148	0.702281	0.166085	0.467541
AGL	-2.39869	-0.703961	-1.47498		
AGMAT	1.42238	0.836854	3.22459	-1.1273	-1.74495
AGO1	-0.0700596	2.04502	0.410177	2.48686	2.23125
AGO2	-0.949699	0.558878	-0.165699		
AGO3	-2.54551	0.368724	-1.19823	-0.889209	0.123411
AGO4	0.071531	1.441	2.06753	2.41132	3.52664
AGPAT1	0.647019	0.268863	1.00155		
AGPAT2	8.05175	1.84698	6.17006	5.6148	3.01577
AGPAT3	-0.0951947	1.02676	-0.73713	-1.9753	-1.09569
AGPAT5	-2.83415	-2.89909	-2.04382		
AGPS	3.38282	3.82012	3.62971		
AGTPBP1	2.1322	0.933551	2.45306		
AHCY	0.833836	-0.857427	-0.141665	-3.11104	-3.41763
AHCYL1	-1.83692	-1.57107	-1.00093		
AHI1	-1.19573	1.41132	-2.15616	0.758718	1.80162
AHNAK	-0.641443	-1.78394	-0.664355	0.652693	-0.203725
