arm	n	beta_global_slope_ols	beta_fig1_lmm
PRSCS_SCZ25_META	8596	-0.03042	-0.02928
PRSCS_SCZ25_EUR	4308	-0.03546	-0.03608
PRSCS_MDD_pooled	8596	-0.02387	-0.0244
PRSCS_MDD_eur	4308	-0.02826	-0.02939
SBayesRC_SCZ25_META	8596	-0.03531	-0.03371
SBayesRC_SCZ25_EUR	4308	-0.0341	-0.03483
SBayesRC_MDD_pooled	8596	-0.02471	-0.02481
SBayesRC_MDD_eur	4308	-0.03352	-0.03439
