outcome	map	PLS2_given_dCT	dCT_given_PLS2	C3_given_dCT
anxdep	absolute	-0.118	0.07722	-0.02509
anxdep	absolute_ct	0.03174	0.2866	0.06003
anxdep	relative	-0.1289	0.1381	-0.1072
anxdep	relative_ct	0.01012	0.3205	-0.03155
anxdisord	absolute	-0.127	0.08923	-0.007626
anxdisord	absolute_ct	0.03585	0.3223	0.06095
anxdisord	relative	-0.132	0.1502	-0.1109
anxdisord	relative_ct	0.01885	0.3667	-0.02417
depress	absolute	0.07353	0.1099	0.124
depress	absolute_ct	0.1437	0.1923	0.1809
depress	relative	0.06108	0.171	0.01478
depress	relative_ct	0.1412	0.2273	0.103
internal	absolute	-0.07437	0.1231	0.05392
internal	absolute_ct	0.04211	0.2583	0.116
internal	relative	-0.08612	0.1802	-0.02644
internal	relative_ct	0.02051	0.2948	0.03457
pfactor	absolute	0.02411	0.2182	0.09139
pfactor	absolute_ct	0.1204	0.335	0.1463
pfactor	relative	0.01443	0.2876	-0.02526
pfactor	relative_ct	0.1212	0.3747	0.04788
rulebreak	absolute	0.1041	0.06931	0.1653
rulebreak	absolute_ct	0.141	-0.08882	0.2604
rulebreak	relative	0.1141	0.1283	0.06539
rulebreak	relative_ct	0.1714	-0.02838	0.1915
withdep	absolute	0.02919	-0.123	0.0983
withdep	absolute_ct	0.03107	-0.01262	0.1426
withdep	relative	0.04055	-0.0491	-0.02286
withdep	relative_ct	0.04232	0.02462	0.05413
