design,parcellation,label,score
dCT + CT,DK,lh_bankssts,37.8933
dCT + CT,DK,lh_caudalanteriorcingulate,-43.7833
dCT + CT,DK,lh_caudalmiddlefrontal,21.2799
dCT + CT,DK,lh_cuneus,-45.1259
dCT + CT,DK,lh_entorhinal,-88.8021
dCT + CT,DK,lh_fusiform,12.5811
dCT + CT,DK,lh_inferiorparietal,7.15398
dCT + CT,DK,lh_inferiortemporal,15.4565
dCT + CT,DK,lh_isthmuscingulate,-29.9747
dCT + CT,DK,lh_lateraloccipital,-17.5182
dCT + CT,DK,lh_lateralorbitofrontal,37.8334
dCT + CT,DK,lh_lingual,-45.0479
dCT + CT,DK,lh_medialorbitofrontal,48.622
dCT + CT,DK,lh_middletemporal,19.0919
dCT + CT,DK,lh_parahippocampal,-27.9352
dCT + CT,DK,lh_paracentral,-0.540328
dCT + CT,DK,lh_parsopercularis,24.2791
dCT + CT,DK,lh_parsorbitalis,50.2687
dCT + CT,DK,lh_parstriangularis,49.1515
dCT + CT,DK,lh_pericalcarine,-88.8332
dCT + CT,DK,lh_postcentral,-23.3413
dCT + CT,DK,lh_posteriorcingulate,7.67384
dCT + CT,DK,lh_precentral,-5.90924
dCT + CT,DK,lh_precuneus,24.0006
dCT + CT,DK,lh_rostralanteriorcingulate,9.33101
dCT + CT,DK,lh_rostralmiddlefrontal,47.8199
dCT + CT,DK,lh_superiorfrontal,27.6359
dCT + CT,DK,lh_superiorparietal,3.80852
dCT + CT,DK,lh_superiortemporal,20.0187
dCT + CT,DK,lh_supramarginal,24.9967
dCT + CT,DK,lh_temporalpole,-54.1384
dCT + CT,DK,lh_transversetemporal,-32.2989
dCT + CT,DK,lh_insula,14.3519
dCT alone,DK,lh_bankssts,48.1259
dCT alone,DK,lh_caudalanteriorcingulate,-93.6543
dCT alone,DK,lh_caudalmiddlefrontal,11.0529
dCT alone,DK,lh_cuneus,66.0911
dCT alone,DK,lh_entorhinal,-160.216
dCT alone,DK,lh_fusiform,-9.65924
dCT alone,DK,lh_inferiorparietal,32.5275
dCT alone,DK,lh_inferiortemporal,-12.6144
dCT alone,DK,lh_isthmuscingulate,-5.81284
dCT alone,DK,lh_lateraloccipital,60.1072
dCT alone,DK,lh_lateralorbitofrontal,13.8263
dCT alone,DK,lh_lingual,48.6152
dCT alone,DK,lh_medialorbitofrontal,-4.91062
dCT alone,DK,lh_middletemporal,-11.5138
dCT alone,DK,lh_parahippocampal,-72.8757
dCT alone,DK,lh_paracentral,19.9609
dCT alone,DK,lh_parsopercularis,-3.55351
dCT alone,DK,lh_parsorbitalis,33.3407
