gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
DDX25	5.3886	5.1711	4.9	0.015506	423	10
FBXO40	5.2781	5.1688	4.9677	0.021162	424	10
LY6D	4.988	5.1646	5.3911	0.012808	425	10
TM2D3	5.332	5.1619	4.9351	0.013506	426	10
C14orf28	5.3488	5.1589		0.016468	427	10
IPCEF1	4.8892	5.153	5.382	0.013802	428	10
LOC100288911	5.2171	5.1524	4.9371	0.0055097	429	10
ENSA	5.3206	5.1494	5.1455	0.014812	430	10
PSCA	5.4031	5.1404		0.020605	431	10
SLC39A10	5.403	5.1386	4.8069	0.019582	432	10
SLC25A42	5.283	5.1319		0.018928	433	10
NT5DC2	5.309	5.1317	4.9566	0.013008	434	10
DCHS2	5.262	5.1301	4.8696	0.01498	435	10
ARHGDIG	5.517	5.1201	4.5345	0.012913	436	10
PART1	5.1985	5.1187	5.0625	0.023289	437	10
UBE2E2	5.2804	5.1154	4.8148	0.01848	438	10
SYNGR3	5.4284	5.115	4.7159	0.015615	439	10
CNN1	5.2196	5.1126	5.0404	0.021843	440	10
SLC29A1	4.974	5.1119	5.2304	0.012652	441	10
EFCAB1	5.0972	5.1105	5.2143	0.0077375	442	10
RC3H2	5.2829	5.1098		0.016266	443	10
B3GALT6	5.0374	5.1066	5.1454	0.0057673	444	10
ATF2	5.1452	5.1058		0.017397	445	10
GOPC	5.2095	5.0932	5.0696	0.013836	446	10
RNF111	5.0161	5.0907		0.015009	447	10
ZNF473	5.2721	5.0898		0.019013	448	10
HS2ST1	5.2623	5.0882	5.0466	0.014532	449	10
NOV	5.1338	5.0859	5.0919	0.012424	450	10
ACTG1	5.2071	5.0851	4.905	0.0077231	451	10
TNFSF13B	5.1981	5.085	5.0534	0.019699	452	10
SIRPA	5.2804	5.0836	4.7957	0.016183	453	10
PRKAA2	5.4541	5.0794	4.5791	0.012017	454	10
PPP1CB	5.1299	5.0731	5.1179	0.016952	455	10
RIC8B	5.1613	5.0684		0.014356	456	10
ZBBX	5.1351	5.0593	5.0564	0.021462	457	10
ZNF418	5.1127	5.0569	5.0429	0.015565	458	10
CNR1	5.2325	5.048	4.8438	0.0092964	459	10
DRAP1	5.3877	5.0452		0.018168	460	10
SNAPC2	4.8537	5.0394	5.2348	0.013288	461	10
APMAP	5.2259	5.0287	4.7371	0.013496	462	10
PRRT4	5.1859	5.0274	4.8759	0.019699	463	10
HERC1	5.0206	5.0149	4.9224	0.01656	464	10
PP12613	4.995	5.012	5.0691	0.015692	465	10
BEX3	5.3836	5.0106		0.011605	466	10
ABHD8	5.1714	5.0056	4.9653	0.016192	467	10
NAA15	4.8543	5.0036		0.013773	468	10
CHML	4.3688	5.0028	5.5171	0.0083303	469	10
SEMA4F	5.0446	5.0022	5.1556	0.01148	470	10
MAP4K3	5.0983	5.0005		0.019042	471	10
ATP9A	5.0901	4.9933	4.9135	0.014179	472	10
