x	y	rho	p_spin	n
CT	PLS1	-0.6161	0.0003999	177
dCT	PLS1	-0.08028	0.7231	177
C1	PLS1	0.9879	0.0003999	137
C3	PLS1	0.03877	0.8692	137
CT	PLS2	0.02707	0.849	177
dCT	PLS2	-0.5454	0.0003999	177
C1	PLS2	-0.2597	0.1384	137
C3	PLS2	0.7245	0.0003999	137
CT	dCT	0.08679	0.6259	179
