label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_V1,-1.795,0.4308,-0.9603,-0.03152,-0.03627,-1.419,-0.06416,-0.3591,-1.234,-1.108,-1.475,0.6584,-1.994,-1.872,-0.297,1.208,0.6322,0.3348,-0.4709,-0.03833,0.1905,-0.7511,-1.899,9.195,slow
lh_MST,-1.642,0.6343,-0.9332,0.0111,0.3507,-1.853,-0.2345,0.3851,-1.118,-1.13,-0.8581,1.712,-0.3108,-1.024,-0.6282,0.5972,0.3572,0.1872,-0.4908,-0.1651,0.04251,-0.2046,,16.29,slow
lh_V6,-1.278,3.222,1.266,1.973,2.446,-0.5608,-1.247,0.8239,0.1643,1.593,1.987,2.943,1.725,-0.3078,-0.1694,4.26,4.129,3.899,2.853,3.506,3.727,1.722,,19.38,mid
lh_V2,-1.68,-0.5299,-1.2,-0.2044,-0.05828,-1.434,0.4756,-0.7924,-1.668,-1.233,-1.333,0.7233,-1.49,-1.593,-0.2428,0.5533,0.1783,0.03126,-0.7656,-0.3435,-0.1058,-0.7747,-1.482,19.79,mid
lh_V3,-1.419,0.2815,-1.108,-0.1326,-0.1421,-1.38,-0.252,0.2554,-1.031,-0.9141,-0.9959,0.5257,-1.65,-1.931,-0.5837,0.5692,0.1591,-0.08504,-0.7879,-0.395,-0.177,-0.2363,-1.295,19.68,mid
lh_V4,-1.291,-0.1155,-1.089,0.2212,0.2458,-0.8998,0.9027,-0.2251,-1.123,-0.1848,-0.1355,0.2997,-1.031,-1.241,0.07194,0.796,0.6384,0.5013,-0.3905,-0.09796,0.1517,-0.3066,-0.479,18.01,slow
lh_V8,-1.001,1.05,0.1654,-1.169,-0.9859,-1.207,1.603,0.3314,-0.1964,-0.9996,-0.6326,0.601,-1.059,-1.361,1.565,1.298,0.9266,0.7193,0.0857,0.1114,0.3334,-0.5444,,17.39,slow
lh_4,-0.6136,1.06,0.1793,-1.044,-1.022,-0.9581,0.9958,0.4696,-0.2508,-1.871,-1.674,1.116,-0.2353,-0.4362,0.5902,-0.173,-0.3328,-0.09194,-1.284,-0.9578,-0.8004,-2.418,-2.006,6.572,slow
lh_3b,-1.001,0.7463,0.5175,-1.105,-1.069,-1.235,1.211,-0.03921,-0.3061,-2.079,-2.293,0.732,-1.5,-1.241,1.089,0.2702,-0.1126,-0.1317,-1.091,-0.7621,-0.6432,-2.18,-2.376,14.75,slow
lh_FEF,0.2713,0.8071,-0.5411,-0.2816,-0.4403,-0.4792,0.2138,0.4762,0.2256,-0.6708,-0.3095,0.7455,0.241,0.2848,-0.2062,-0.4372,-0.5529,-0.3028,-0.7493,-0.7697,-0.6425,-1.18,-0.6031,3.573,slow
lh_PEF,1.331,1.513,0.6388,-1.767,-1.499,0.2055,2.522,1.035,1.525,-1.533,-0.6189,0.1465,-1.162,-1.227,2.709,-0.8288,-0.8745,-0.09377,-0.8734,-0.8537,-0.824,-2.904,,6.202,slow
lh_55b,-1.319,0.09021,0.05978,-0.9607,-1.427,-1.22,-0.3081,-0.5699,-0.8689,-1.553,-0.6882,0.808,0.3129,0.0643,-0.9739,-1.635,-1.548,-1.474,-1.877,-1.887,-1.91,-1.617,-0.7483,5.176,slow
lh_V3A,-1.22,0.5075,-1.13,1.155,1.145,-1.223,-1.587,0.9207,-1.019,-0.3998,-0.3077,1.538,-0.027,-1.161,-1.848,0.7764,0.5014,0.5,-0.004503,0.2994,0.4249,0.1776,-0.4602,19.68,mid
lh_RSC,0.1008,0.06464,-0.5811,-0.5575,-0.3288,-0.1731,-0.08427,1.337,0.09524,-1.077,-0.6784,0.04507,-0.3673,-0.5945,-0.1887,-0.8924,-0.874,-0.8099,-1.208,-0.8991,-0.8099,-0.3706,-0.6089,14.83,slow
lh_POS2,-0.9476,-0.265,-1.24,1.421,1.374,-1.342,-1.246,-0.453,-1.155,0.8915,1.655,1.417,0.6318,-0.63,-1.795,0.7205,0.7771,0.7651,0.1689,0.6581,0.749,1.15,1.1,22.6,fast
