arm	map	level	region	cortex	r	t	p	n
PRSCS_SCZ25_META	absolute	cortex	1	Primary_Visual	-0.0029661	-0.27478	0.78349	8596
PRSCS_SCZ25_META	absolute	cortex	2	Early_Visual	0.02229	2.0654	0.038913	8596
PRSCS_SCZ25_META	absolute	cortex	3	Dorsal_Stream_Visual	0.023681	2.1944	0.028232	8596
PRSCS_SCZ25_META	absolute	cortex	4	Ventral_Stream_Visual	0.016342	1.5141	0.13003	8596
PRSCS_SCZ25_META	absolute	cortex	5	MT+_Complex_and_Neighboring_Visual_Areas	0.029062	2.6934	0.0070869	8596
PRSCS_SCZ25_META	absolute	cortex	6	Somatosensory_and_Motor	0.0056347	0.522	0.60168	8596
PRSCS_SCZ25_META	absolute	cortex	7	Paracentral_Lobular_and_Mid_Cingulate	0.027832	2.5793	0.0099167	8596
PRSCS_SCZ25_META	absolute	cortex	8	Premotor	0.02928	2.7136	0.0066686	8596
PRSCS_SCZ25_META	absolute	cortex	9	Posterior_Opercular	0.0084465	0.78251	0.43394	8596
PRSCS_SCZ25_META	absolute	cortex	10	Early_Auditory	0.034141	3.1646	0.0015583	8596
PRSCS_SCZ25_META	absolute	cortex	11	Auditory_Association	0.020691	1.9172	0.055242	8596
PRSCS_SCZ25_META	absolute	cortex	12	Insular_and_Frontal_Opercular	-0.014747	-1.3663	0.17188	8596
PRSCS_SCZ25_META	absolute	cortex	13	Medial_Temporal	0.0033196	0.30752	0.75845	8596
PRSCS_SCZ25_META	absolute	cortex	14	Lateral_Temporal	0.0093587	0.86702	0.38596	8596
PRSCS_SCZ25_META	absolute	cortex	15	Temporo-Parieto_Occipital_Junction	0.033606	3.115	0.0018456	8596
PRSCS_SCZ25_META	absolute	cortex	16	Superior_Parietal	0.022906	2.1225	0.03382	8596
PRSCS_SCZ25_META	absolute	cortex	17	Inferior_Parietal	0.015491	1.4353	0.15124	8596
PRSCS_SCZ25_META	absolute	cortex	18	Posterior_Cingulate	0.013687	1.2681	0.20481	8596
PRSCS_SCZ25_META	absolute	cortex	19	Anterior_Cingulate_and_Medial_Prefrontal	0.016971	1.5724	0.11589	8596
PRSCS_SCZ25_META	absolute	cortex	20	Orbital_and_Polar_Frontal	0.0020309	0.18814	0.85077	8596
PRSCS_SCZ25_META	absolute	cortex	21	Inferior_Frontal	0.022729	2.1061	0.03522	8596
PRSCS_SCZ25_META	absolute	cortex	22	Dorsolateral_Prefrontal	0.025401	2.3539	0.018599	8596
PRSCS_SCZ25_META	absolute	parcel	lh_1		0.011092	1.0276	0.30415	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10d		0.0016437	0.15227	0.87898	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10pp		0.0012638	0.11708	0.9068	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10r		0.028138	2.6077	0.0091309	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10v		-0.0047945	-0.44416	0.65694	8596
PRSCS_SCZ25_META	absolute	parcel	lh_11l		-0.0055408	-0.5133	0.60775	8596
PRSCS_SCZ25_META	absolute	parcel	lh_13l		0.0043482	0.40281	0.6871	8596
PRSCS_SCZ25_META	absolute	parcel	lh_2		0.023856	2.2106	0.027089	8596
PRSCS_SCZ25_META	absolute	parcel	lh_23c		0.0015845	0.14679	0.8833	8596
PRSCS_SCZ25_META	absolute	parcel	lh_23d		-0.00025091	-0.023244	0.98146	8596
PRSCS_SCZ25_META	absolute	parcel	lh_24dd		0.02761	2.5588	0.010521	8596
PRSCS_SCZ25_META	absolute	parcel	lh_24dv		0.012949	1.1997	0.23028	8596
PRSCS_SCZ25_META	absolute	parcel	lh_25		-0.0054448	-0.50441	0.61399	8596
PRSCS_SCZ25_META	absolute	parcel	lh_31a		0.00887	0.82174	0.41125	8596
PRSCS_SCZ25_META	absolute	parcel	lh_31pd		0.017375	1.6098	0.10747	8596
PRSCS_SCZ25_META	absolute	parcel	lh_31pv		0.0043702	0.40486	0.68559	8596
PRSCS_SCZ25_META	absolute	parcel	lh_33pr		0.0064527	0.59778	0.55	8596
PRSCS_SCZ25_META	absolute	parcel	lh_3a		0.0011992	0.1111	0.91154	8596
PRSCS_SCZ25_META	absolute	parcel	lh_3b		-0.011346	-1.0512	0.2932	8596
PRSCS_SCZ25_META	absolute	parcel	lh_4		0.00030732	0.02847	0.97729	8596
PRSCS_SCZ25_META	absolute	parcel	lh_43		0.018291	1.6947	0.090167	8596
PRSCS_SCZ25_META	absolute	parcel	lh_44		0.013855	1.2836	0.19931	8596
PRSCS_SCZ25_META	absolute	parcel	lh_45		0.0076913	0.71253	0.47615	8596
PRSCS_SCZ25_META	absolute	parcel	lh_46		0.020733	1.9211	0.05475	8596
PRSCS_SCZ25_META	absolute	parcel	lh_47l		0.011797	1.0929	0.27445	8596
PRSCS_SCZ25_META	absolute	parcel	lh_47m		0.0043653	0.4044	0.68593	8596
PRSCS_SCZ25_META	absolute	parcel	lh_47s		0.0085268	0.78994	0.42958	8596
PRSCS_SCZ25_META	absolute	parcel	lh_52		0.013482	1.249	0.21168	8596
PRSCS_SCZ25_META	absolute	parcel	lh_55b		0.024956	2.3126	0.020766	8596
PRSCS_SCZ25_META	absolute	parcel	lh_5L		0.018004	1.6681	0.095325	8596
PRSCS_SCZ25_META	absolute	parcel	lh_5m		0.0080823	0.74876	0.45402	8596
PRSCS_SCZ25_META	absolute	parcel	lh_5mv		0.021072	1.9525	0.05091	8596
PRSCS_SCZ25_META	absolute	parcel	lh_6a		0.038175	3.5391	0.00040361	8596
PRSCS_SCZ25_META	absolute	parcel	lh_6d		0.017956	1.6637	0.096206	8596
PRSCS_SCZ25_META	absolute	parcel	lh_6ma		0.0048222	0.44672	0.65508	8596
PRSCS_SCZ25_META	absolute	parcel	lh_6mp		0.019955	1.8489	0.064502	8596
PRSCS_SCZ25_META	absolute	parcel	lh_6r		0.0077282	0.71596	0.47404	8596
PRSCS_SCZ25_META	absolute	parcel	lh_6v		0.019506	1.8074	0.070735	8596
PRSCS_SCZ25_META	absolute	parcel	lh_7AL		0.010854	1.0056	0.31464	8596
PRSCS_SCZ25_META	absolute	parcel	lh_7Am		0.0064305	0.59573	0.55137	8596
PRSCS_SCZ25_META	absolute	parcel	lh_7PC		0.0075443	0.69892	0.48462	8596
PRSCS_SCZ25_META	absolute	parcel	lh_7PL		0.017148	1.5888	0.11215	8596
PRSCS_SCZ25_META	absolute	parcel	lh_7Pm		0.0097144	0.89997	0.36816	8596
PRSCS_SCZ25_META	absolute	parcel	lh_7m		0.012036	1.1151	0.26486	8596
PRSCS_SCZ25_META	absolute	parcel	lh_8Ad		0.035199	3.2628	0.0011075	8596
PRSCS_SCZ25_META	absolute	parcel	lh_8Av		0.010173	0.94242	0.346	8596
PRSCS_SCZ25_META	absolute	parcel	lh_8BL		0.0086098	0.79763	0.42511	8596
PRSCS_SCZ25_META	absolute	parcel	lh_8BM		0.021181	1.9626	0.04972	8596
PRSCS_SCZ25_META	absolute	parcel	lh_8C		0.038664	3.5845	0.00033964	8596
PRSCS_SCZ25_META	absolute	parcel	lh_9-46d		0.025734	2.3848	0.017112	8596
PRSCS_SCZ25_META	absolute	parcel	lh_9a		0.0063271	0.58615	0.55779	8596
PRSCS_SCZ25_META	absolute	parcel	lh_9m		0.018688	1.7316	0.083388	8596
PRSCS_SCZ25_META	absolute	parcel	lh_9p		0.013729	1.272	0.20342	8596
PRSCS_SCZ25_META	absolute	parcel	lh_A1		0.0097284	0.90127	0.36747	8596
PRSCS_SCZ25_META	absolute	parcel	lh_A4		0.018649	1.7279	0.084037	8596
PRSCS_SCZ25_META	absolute	parcel	lh_A5		0.022318	2.0681	0.038663	8596
PRSCS_SCZ25_META	absolute	parcel	lh_AAIC		0.0065159	0.60364	0.5461	8596
PRSCS_SCZ25_META	absolute	parcel	lh_AIP		0.029037	2.6911	0.0071352	8596
PRSCS_SCZ25_META	absolute	parcel	lh_AVI		0.017783	1.6477	0.09946	8596
PRSCS_SCZ25_META	absolute	parcel	lh_DVT		0.014814	1.3725	0.16994	8596
PRSCS_SCZ25_META	absolute	parcel	lh_EC		-0.0068968	-0.63893	0.52288	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FEF		0.009485	0.87872	0.37958	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FFC		0.014107	1.307	0.19124	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FOP1		-0.0095096	-0.881	0.37834	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FOP2		-0.0056805	-0.52625	0.59873	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FOP3		-0.0025477	-0.23602	0.81342	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FOP4		0.0072812	0.67454	0.49999	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FOP5		0.0079397	0.73555	0.46202	8596
PRSCS_SCZ25_META	absolute	parcel	lh_FST		0.021317	1.9753	0.04827	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IFJa		0.031736	2.9415	0.003275	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IFJp		0.028261	2.6192	0.0088301	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IFSa		0.019485	1.8054	0.071049	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IFSp		0.022288	2.0653	0.038926	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IP0		0.0086783	0.80398	0.42143	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IP1		0.018692	1.7319	0.083324	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IP2		0.03263	3.0245	0.0024981	8596
PRSCS_SCZ25_META	absolute	parcel	lh_IPS1		0.011104	1.0288	0.30362	8596
PRSCS_SCZ25_META	absolute	parcel	lh_Ig		-0.020711	-1.919	0.055011	8596
PRSCS_SCZ25_META	absolute	parcel	lh_LBelt		0.021434	1.9861	0.047052	8596
PRSCS_SCZ25_META	absolute	parcel	lh_LIPd		0.027421	2.5412	0.011064	8596
PRSCS_SCZ25_META	absolute	parcel	lh_LIPv		0.018507	1.7147	0.086431	8596
PRSCS_SCZ25_META	absolute	parcel	lh_LO1		0.018834	1.7451	0.08101	8596
PRSCS_SCZ25_META	absolute	parcel	lh_LO2		-0.0003608	-0.033424	0.97334	8596
PRSCS_SCZ25_META	absolute	parcel	lh_LO3		0.015012	1.3908	0.16431	8596
PRSCS_SCZ25_META	absolute	parcel	lh_MBelt		0.013915	1.2892	0.19736	8596
PRSCS_SCZ25_META	absolute	parcel	lh_MI		-0.005236	-0.48506	0.62764	8596
PRSCS_SCZ25_META	absolute	parcel	lh_MIP		0.030974	2.8708	0.0041044	8596
PRSCS_SCZ25_META	absolute	parcel	lh_MST		0.032694	3.0304	0.0024497	8596
PRSCS_SCZ25_META	absolute	parcel	lh_MT		0.027266	2.5268	0.011528	8596
PRSCS_SCZ25_META	absolute	parcel	lh_OFC		0.0021593	0.20003	0.84146	8596
PRSCS_SCZ25_META	absolute	parcel	lh_OP1		0.01152	1.0672	0.28589	8596
PRSCS_SCZ25_META	absolute	parcel	lh_OP2-3		0.004567	0.42309	0.67224	8596
PRSCS_SCZ25_META	absolute	parcel	lh_OP4		0.00272	0.25198	0.80106	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PBelt		0.037521	3.4784	0.00050699	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PCV		0.021309	1.9745	0.048359	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PEF		0.022428	2.0782	0.037717	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PF		0.010835	1.0038	0.3155	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PFcm		0.02824	2.6171	0.0088826	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PFm		0.015504	1.4365	0.15091	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PFop		0.0051467	0.47679	0.63352	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PFt		0.009689	0.89762	0.36941	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PGi		0.0086149	0.79811	0.42483	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PGp		0.0038231	0.35417	0.72322	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PGs		0.00095602	0.088564	0.92943	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PH		0.005049	0.46774	0.63998	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PHA1		0.0097488	0.90316	0.36647	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PHA2		0.0032404	0.30019	0.76404	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PHA3		0.023888	2.2136	0.026881	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PHT		0.0037891	0.35102	0.72558	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PI		0.005579	0.51684	0.60528	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PIT		0.015039	1.3933	0.16356	8596
PRSCS_SCZ25_META	absolute	parcel	lh_POS1		-0.002648	-0.24531	0.80622	8596
PRSCS_SCZ25_META	absolute	parcel	lh_POS2		0.00040767	0.037766	0.96988	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PSL		0.014908	1.3812	0.16726	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PeEc		0.01702	1.5769	0.11485	8596
PRSCS_SCZ25_META	absolute	parcel	lh_Pir		-0.015428	-1.4294	0.15294	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PoI1		-0.01534	-1.4213	0.15527	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PoI2		-0.030632	-2.839	0.0045354	8596
PRSCS_SCZ25_META	absolute	parcel	lh_PreS		-0.028717	-2.6614	0.0077951	8596
PRSCS_SCZ25_META	absolute	parcel	lh_ProS		-0.00021913	-0.0203	0.9838	8596
PRSCS_SCZ25_META	absolute	parcel	lh_RI		0.025606	2.3729	0.01767	8596
PRSCS_SCZ25_META	absolute	parcel	lh_RSC		0.0032863	0.30444	0.7608	8596
PRSCS_SCZ25_META	absolute	parcel	lh_SCEF		0.034024	3.1538	0.001617	8596
PRSCS_SCZ25_META	absolute	parcel	lh_SFL		0.014827	1.3737	0.16957	8596
PRSCS_SCZ25_META	absolute	parcel	lh_STGa		-0.0042129	-0.39028	0.69634	8596
PRSCS_SCZ25_META	absolute	parcel	lh_STSda		0.015146	1.4032	0.16058	8596
PRSCS_SCZ25_META	absolute	parcel	lh_STSdp		0.036308	3.3657	0.00076678	8596
PRSCS_SCZ25_META	absolute	parcel	lh_STSva		0.025344	2.3486	0.018868	8596
PRSCS_SCZ25_META	absolute	parcel	lh_STSvp		0.014643	1.3567	0.17492	8596
PRSCS_SCZ25_META	absolute	parcel	lh_STV		0.022759	2.1089	0.034981	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TA2		-0.0024707	-0.22889	0.81896	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TE1a		0.0068131	0.63117	0.52795	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TE1m		0.002849	0.26393	0.79184	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TE1p		-0.011215	-1.039	0.29883	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TE2a		-0.0017643	-0.16345	0.87017	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TE2p		0.017969	1.6649	0.095972	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TF		0.012961	1.2008	0.22987	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TGd		0.0096578	0.89473	0.37096	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TGv		0.031397	2.91	0.003623	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TPOJ1		0.04292	3.9798	6.9554e-05	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TPOJ2		0.016714	1.5486	0.12152	8596
PRSCS_SCZ25_META	absolute	parcel	lh_TPOJ3		0.03347	3.1024	0.0019261	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V1		-0.0029661	-0.27478	0.78349	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V2		0.015193	1.4077	0.15927	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V3		0.010766	0.99739	0.31861	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V3A		0.019582	1.8144	0.069647	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V3B		0.035557	3.2961	0.0009844	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V3CD		0.030803	2.8549	0.0043148	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V4		0.031002	2.8734	0.004071	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V4t		0.014531	1.3463	0.17825	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V6		0.025771	2.3882	0.016951	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V6A		0.012928	1.1977	0.23106	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V7		0.0074456	0.68978	0.49035	8596
PRSCS_SCZ25_META	absolute	parcel	lh_V8		-0.0016584	-0.15364	0.8779	8596
PRSCS_SCZ25_META	absolute	parcel	lh_VIP		0.0092672	0.85854	0.39062	8596
PRSCS_SCZ25_META	absolute	parcel	lh_VMV1		-0.0065763	-0.60924	0.54238	8596
PRSCS_SCZ25_META	absolute	parcel	lh_VMV2		0.01986	1.8402	0.065773	8596
PRSCS_SCZ25_META	absolute	parcel	lh_VMV3		0.027828	2.579	0.0099253	8596
PRSCS_SCZ25_META	absolute	parcel	lh_VVC		0.0053616	0.4967	0.61941	8596
PRSCS_SCZ25_META	absolute	parcel	lh_a10p		-0.0083296	-0.77167	0.44033	8596
PRSCS_SCZ25_META	absolute	parcel	lh_a24		-0.00053129	-0.049218	0.96075	8596
PRSCS_SCZ25_META	absolute	parcel	lh_a24pr		0.0028557	0.26455	0.79136	8596
PRSCS_SCZ25_META	absolute	parcel	lh_a32pr		0.026601	2.4652	0.013713	8596
PRSCS_SCZ25_META	absolute	parcel	lh_a47r		0.00090144	0.083508	0.93345	8596
PRSCS_SCZ25_META	absolute	parcel	lh_a9-46v		0.013159	1.2192	0.22281	8596
PRSCS_SCZ25_META	absolute	parcel	lh_d23ab		0.014918	1.3821	0.16697	8596
PRSCS_SCZ25_META	absolute	parcel	lh_d32		0.019416	1.799	0.072053	8596
PRSCS_SCZ25_META	absolute	parcel	lh_i6-8		0.0039285	0.36393	0.71592	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p10p		0.0032493	0.30102	0.76341	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p24		0.013304	1.2326	0.21775	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p24pr		0.00081027	0.075063	0.94017	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p32		0.015163	1.4048	0.16011	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p32pr		0.026151	2.4234	0.015396	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p47r		0.0027692	0.25653	0.79755	8596
PRSCS_SCZ25_META	absolute	parcel	lh_p9-46v		0.022857	2.118	0.034207	8596
PRSCS_SCZ25_META	absolute	parcel	lh_pOFC		-0.013668	-1.2663	0.20543	8596
PRSCS_SCZ25_META	absolute	parcel	lh_s32		0.016815	1.558	0.11928	8596
PRSCS_SCZ25_META	absolute	parcel	lh_s6-8		0.014269	1.322	0.1862	8596
PRSCS_SCZ25_META	absolute	parcel	lh_v23ab		0.00057782	0.053529	0.95731	8596
PRSCS_SCZ25_META	relative	cortex	1	Primary_Visual	-0.010342	-0.95804	0.33807	8596
PRSCS_SCZ25_META	relative	cortex	2	Early_Visual	0.0083884	0.77708	0.43713	8596
PRSCS_SCZ25_META	relative	cortex	3	Dorsal_Stream_Visual	0.0091884	0.85119	0.39469	8596
PRSCS_SCZ25_META	relative	cortex	4	Ventral_Stream_Visual	-0.00046144	-0.042745	0.96591	8596
PRSCS_SCZ25_META	relative	cortex	5	MT+_Complex_and_Neighboring_Visual_Areas	0.01466	1.3582	0.17445	8596
PRSCS_SCZ25_META	relative	cortex	6	Somatosensory_and_Motor	-0.0078453	-0.72676	0.46739	8596
PRSCS_SCZ25_META	relative	cortex	7	Paracentral_Lobular_and_Mid_Cingulate	0.012559	1.1635	0.24468	8596
PRSCS_SCZ25_META	relative	cortex	8	Premotor	0.017394	1.6115	0.1071	8596
PRSCS_SCZ25_META	relative	cortex	9	Posterior_Opercular	-0.007241	-0.67078	0.50238	8596
PRSCS_SCZ25_META	relative	cortex	10	Early_Auditory	0.022681	2.1016	0.035618	8596
PRSCS_SCZ25_META	relative	cortex	11	Auditory_Association	0.0038944	0.36075	0.71829	8596
PRSCS_SCZ25_META	relative	cortex	12	Insular_and_Frontal_Opercular	-0.029215	-2.7074	0.0067941	8596
PRSCS_SCZ25_META	relative	cortex	13	Medial_Temporal	-0.0084769	-0.78528	0.43231	8596
PRSCS_SCZ25_META	relative	cortex	14	Lateral_Temporal	-0.010572	-0.97941	0.32741	8596
PRSCS_SCZ25_META	relative	cortex	15	Temporo-Parieto_Occipital_Junction	0.021663	2.0072	0.044758	8596
PRSCS_SCZ25_META	relative	cortex	16	Superior_Parietal	0.0068407	0.63369	0.5263	8596
PRSCS_SCZ25_META	relative	cortex	17	Inferior_Parietal	-0.0076758	-0.71106	0.47707	8596
PRSCS_SCZ25_META	relative	cortex	18	Posterior_Cingulate	-0.008796	-0.81484	0.41519	8596
PRSCS_SCZ25_META	relative	cortex	19	Anterior_Cingulate_and_Medial_Prefrontal	0.00081942	0.075906	0.9395	8596
PRSCS_SCZ25_META	relative	cortex	20	Orbital_and_Polar_Frontal	-0.017428	-1.6146	0.10643	8596
PRSCS_SCZ25_META	relative	cortex	21	Inferior_Frontal	0.0059418	0.55042	0.58205	8596
PRSCS_SCZ25_META	relative	cortex	22	Dorsolateral_Prefrontal	0.0097098	0.8995	0.36841	8596
PRSCS_SCZ25_META	relative	parcel	lh_1		-0.0021395	-0.19819	0.8429	8596
PRSCS_SCZ25_META	relative	parcel	lh_10d		-0.0094357	-0.8741	0.38209	8596
PRSCS_SCZ25_META	relative	parcel	lh_10pp		-0.0081552	-0.75547	0.44999	8596
PRSCS_SCZ25_META	relative	parcel	lh_10r		0.020891	1.9357	0.052941	8596
PRSCS_SCZ25_META	relative	parcel	lh_10v		-0.014671	-1.3592	0.17412	8596
PRSCS_SCZ25_META	relative	parcel	lh_11l		-0.016484	-1.5272	0.12675	8596
PRSCS_SCZ25_META	relative	parcel	lh_13l		-0.0058951	-0.54609	0.58502	8596
PRSCS_SCZ25_META	relative	parcel	lh_2		0.011725	1.0862	0.27742	8596
PRSCS_SCZ25_META	relative	parcel	lh_23c		-0.012946	-1.1993	0.23044	8596
PRSCS_SCZ25_META	relative	parcel	lh_23d		-0.0077662	-0.71943	0.47189	8596
PRSCS_SCZ25_META	relative	parcel	lh_24dd		0.017214	1.5948	0.11079	8596
PRSCS_SCZ25_META	relative	parcel	lh_24dv		0.0025066	0.23219	0.81639	8596
PRSCS_SCZ25_META	relative	parcel	lh_25		-0.0092388	-0.85586	0.3921	8596
PRSCS_SCZ25_META	relative	parcel	lh_31a		-0.00097403	-0.090228	0.92811	8596
PRSCS_SCZ25_META	relative	parcel	lh_31pd		0.0060835	0.56355	0.57308	8596
PRSCS_SCZ25_META	relative	parcel	lh_31pv		-0.007884	-0.73034	0.4652	8596
PRSCS_SCZ25_META	relative	parcel	lh_33pr		0.0041716	0.38644	0.69918	8596
PRSCS_SCZ25_META	relative	parcel	lh_3a		-0.0072518	-0.67178	0.50174	8596
PRSCS_SCZ25_META	relative	parcel	lh_3b		-0.01788	-1.6565	0.097653	8596
PRSCS_SCZ25_META	relative	parcel	lh_4		-0.002392	-0.22158	0.82464	8596
PRSCS_SCZ25_META	relative	parcel	lh_43		0.0085067	0.78803	0.4307	8596
PRSCS_SCZ25_META	relative	parcel	lh_44		0.0027757	0.25712	0.79709	8596
PRSCS_SCZ25_META	relative	parcel	lh_45		-0.0059614	-0.55224	0.5808	8596
PRSCS_SCZ25_META	relative	parcel	lh_46		0.0072241	0.66922	0.50338	8596
PRSCS_SCZ25_META	relative	parcel	lh_47l		0.00022822	0.021141	0.98313	8596
PRSCS_SCZ25_META	relative	parcel	lh_47m		-0.0057705	-0.53455	0.59298	8596
PRSCS_SCZ25_META	relative	parcel	lh_47s		-0.00069979	-0.064824	0.94832	8596
PRSCS_SCZ25_META	relative	parcel	lh_52		0.0051984	0.48155	0.63013	8596
PRSCS_SCZ25_META	relative	parcel	lh_55b		0.015824	1.466	0.14268	8596
PRSCS_SCZ25_META	relative	parcel	lh_5L		0.0072605	0.67258	0.50123	8596
PRSCS_SCZ25_META	relative	parcel	lh_5m		-0.0054576	-0.50557	0.61317	8596
PRSCS_SCZ25_META	relative	parcel	lh_5mv		0.0092995	0.86148	0.389	8596
PRSCS_SCZ25_META	relative	parcel	lh_6a		0.028971	2.6848	0.0072714	8596
PRSCS_SCZ25_META	relative	parcel	lh_6d		0.0077725	0.72001	0.47154	8596
PRSCS_SCZ25_META	relative	parcel	lh_6ma		-0.0074001	-0.68552	0.49303	8596
PRSCS_SCZ25_META	relative	parcel	lh_6mp		0.0090944	0.84249	0.39954	8596
PRSCS_SCZ25_META	relative	parcel	lh_6r		-0.0061411	-0.56888	0.56945	8596
PRSCS_SCZ25_META	relative	parcel	lh_6v		0.0097686	0.90494	0.36552	8596
PRSCS_SCZ25_META	relative	parcel	lh_7AL		-0.00015483	-0.014342	0.98856	8596
PRSCS_SCZ25_META	relative	parcel	lh_7Am		-0.0058929	-0.54589	0.58516	8596
PRSCS_SCZ25_META	relative	parcel	lh_7PC		-0.0056519	-0.52357	0.60059	8596
PRSCS_SCZ25_META	relative	parcel	lh_7PL		0.0065287	0.60479	0.54533	8596
PRSCS_SCZ25_META	relative	parcel	lh_7Pm		-0.00057224	-0.053008	0.95773	8596
PRSCS_SCZ25_META	relative	parcel	lh_7m		-0.0013372	-0.12387	0.90142	8596
PRSCS_SCZ25_META	relative	parcel	lh_8Ad		0.025263	2.3409	0.019258	8596
PRSCS_SCZ25_META	relative	parcel	lh_8Av		0.001383	0.12811	0.89806	8596
PRSCS_SCZ25_META	relative	parcel	lh_8BL		-0.0031849	-0.29503	0.76798	8596
PRSCS_SCZ25_META	relative	parcel	lh_8BM		0.010112	0.93676	0.34891	8596
PRSCS_SCZ25_META	relative	parcel	lh_8C		0.029296	2.715	0.0066414	8596
PRSCS_SCZ25_META	relative	parcel	lh_9-46d		0.014294	1.3242	0.18547	8596
PRSCS_SCZ25_META	relative	parcel	lh_9a		-0.0055999	-0.51875	0.60395	8596
PRSCS_SCZ25_META	relative	parcel	lh_9m		0.0066324	0.6144	0.53897	8596
PRSCS_SCZ25_META	relative	parcel	lh_9p		0.0015362	0.1423	0.88685	8596
PRSCS_SCZ25_META	relative	parcel	lh_A1		-0.00097098	-0.089946	0.92833	8596
PRSCS_SCZ25_META	relative	parcel	lh_A4		0.0053046	0.49139	0.62316	8596
PRSCS_SCZ25_META	relative	parcel	lh_A5		0.01031	0.9551	0.33956	8596
PRSCS_SCZ25_META	relative	parcel	lh_AAIC		0.0036192	0.33526	0.73744	8596
PRSCS_SCZ25_META	relative	parcel	lh_AIP		0.018011	1.6687	0.095211	8596
PRSCS_SCZ25_META	relative	parcel	lh_AVI		0.0094624	0.87658	0.38074	8596
PRSCS_SCZ25_META	relative	parcel	lh_DVT		0.001691	0.15665	0.87553	8596
PRSCS_SCZ25_META	relative	parcel	lh_EC		-0.0098687	-0.91422	0.36063	8596
PRSCS_SCZ25_META	relative	parcel	lh_FEF		-0.0018271	-0.16925	0.8656	8596
PRSCS_SCZ25_META	relative	parcel	lh_FFC		0.00084098	0.077903	0.93791	8596
PRSCS_SCZ25_META	relative	parcel	lh_FOP1		-0.019264	-1.7848	0.074322	8596
