run	disorder	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME
marginal_AHBA_C1	MDD	AHBA_C1_top10	COVAR	6916	-0.029452	-0.0089452	0.049722	0.55366	
marginal_AHBA_C2	SCZ	AHBA_C2	COVAR	6929	0.002045	0.00064044	0.050421	0.96765	
marginal_AHBA_C2	SCZ	AHBA_C2_top10	COVAR	6929	-0.017754	-0.0053945	0.051606	0.73084	
marginal_AHBA_C2	MDD	AHBA_C2	COVAR	6916	-0.1339	-0.041945	0.048029	0.0053198	
marginal_AHBA_C2	MDD	AHBA_C2_top10	COVAR	6916	-0.05149	-0.015658	0.049453	0.29783	
marginal_AHBA_C3	SCZ	AHBA_C3	COVAR	6929	0.24683	0.064223	0.062134	7.1916e-05	
marginal_AHBA_C3	SCZ	AHBA_C3_top10	COVAR	6929	0.15508	0.046944	0.05272	0.0032785	
marginal_AHBA_C3	MDD	AHBA_C3	COVAR	6916	0.28706	0.074687	0.059482	1.4257e-06	
marginal_AHBA_C3	MDD	AHBA_C3_top10	COVAR	6916	0.14297	0.043287	0.050883	0.0049742	
marginal_NSPN_PLS1_z	SCZ	NSPN_PLS1_z	COVAR	16423	0.0014798	0.010633	0.0013147	0.26039	
marginal_NSPN_PLS1_z	SCZ	NSPN_PLS1_z_top10	COVAR	16423	0.069146	0.021179	0.030138	0.021789	
marginal_NSPN_PLS1_z	MDD	NSPN_PLS1_z	COVAR	16349	0.00095223	0.0068475	0.0012698	0.45333	
marginal_NSPN_PLS1_z	MDD	NSPN_PLS1_z_top10	COVAR	16349	0.041356	0.012683	0.028842	0.15163	
marginal_NSPN_PLS2_z	SCZ	NSPN_PLS2_z	COVAR	16423	0.01114	0.033289	0.0031158	0.00035117	
marginal_NSPN_PLS2_z	SCZ	NSPN_PLS2_z_top10	COVAR	16423	0.10728	0.033051	0.030016	0.00035294	
marginal_NSPN_PLS2_z	MDD	NSPN_PLS2_z	COVAR	16349	0.0049036	0.01466	0.0030278	0.10536	
marginal_NSPN_PLS2_z	MDD	NSPN_PLS2_z_top10	COVAR	16349	0.046583	0.014373	0.029579	0.11531	
