universe	vector	cell_class	n_markers	n_universe	mean_weight	null_mean	null_sd	z	p_perm
own	ABCD PLS2, HCP-MMP	Astro	471	7973	0.9746	0.3572	0.1127	5.48	5e-05
own	ABCD PLS2, HCP-MMP	Endo	537	7973	-0.2584	0.3565	0.1037	-5.929	5e-05
own	ABCD PLS2, HCP-MMP	Micro	391	7973	-0.9633	0.356	0.1244	-10.6	5e-05
own	ABCD PLS2, HCP-MMP	Neuro	600	7973	1.484	0.3555	0.09895	11.4	5e-05
own	ABCD PLS2, HCP-MMP	Neuro-Ex	862	7973	1.399	0.3567	0.08121	12.84	5e-05
own	ABCD PLS2, HCP-MMP	Neuro-In	638	7973	1.124	0.3557	0.09469	8.115	5e-05
own	ABCD PLS2, HCP-MMP	OPC	96	7973	0.3056	0.3599	0.253	-0.2144	0.8314
own	ABCD PLS2, HCP-MMP	Oligo	405	7973	-1.328	0.3568	0.1207	-13.96	5e-05
own	ABCD PLS2, HCP-MMP	Per	38	7973	0.3153	0.3581	0.4077	-0.105	0.9206
own	ABCD PLS2, DK	Astro	662	12007	-0.4443	0.2523	0.09577	-7.274	5e-05
own	ABCD PLS2, DK	Endo	691	12007	-0.4828	0.2541	0.09354	-7.878	5e-05
own	ABCD PLS2, DK	Micro	519	12007	-0.8707	0.2525	0.1085	-10.36	5e-05
own	ABCD PLS2, DK	Neuro	726	12007	1.71	0.253	0.09093	16.02	5e-05
own	ABCD PLS2, DK	Neuro-Ex	1055	12007	1.478	0.2544	0.07417	16.5	5e-05
own	ABCD PLS2, DK	Neuro-In	768	12007	1.089	0.254	0.08805	9.486	5e-05
own	ABCD PLS2, DK	OPC	115	12007	-0.2011	0.2506	0.2355	-1.918	0.0559
own	ABCD PLS2, DK	Oligo	526	12007	-0.3635	0.2521	0.1079	-5.707	5e-05
own	ABCD PLS2, DK	Per	50	12007	-0.582	0.2539	0.3599	-2.322	0.0201
own	ABCD dCT alone, HCP-MMP	Astro	471	7973	0.4459	0.2614	0.1035	1.783	0.07395
own	ABCD dCT alone, HCP-MMP	Endo	537	7973	-0.2296	0.2608	0.0962	-5.098	5e-05
own	ABCD dCT alone, HCP-MMP	Micro	391	7973	-1.041	0.2604	0.1158	-11.24	5e-05
own	ABCD dCT alone, HCP-MMP	Neuro	600	7973	1.176	0.2602	0.09141	10.02	5e-05
own	ABCD dCT alone, HCP-MMP	Neuro-Ex	862	7973	1.212	0.2616	0.075	12.68	5e-05
own	ABCD dCT alone, HCP-MMP	Neuro-In	638	7973	0.9475	0.2602	0.08826	7.787	5e-05
own	ABCD dCT alone, HCP-MMP	OPC	96	7973	-0.1112	0.2632	0.2352	-1.592	0.1123
own	ABCD dCT alone, HCP-MMP	Oligo	405	7973	-0.9188	0.2613	0.113	-10.44	5e-05
own	ABCD dCT alone, HCP-MMP	Per	38	7973	0.3807	0.2609	0.3767	0.3181	0.7466
own	ABCD dCT alone, DK	Astro	662	12007	-1.028	0.1763	0.0814	-14.8	5e-05
own	ABCD dCT alone, DK	Endo	691	12007	-0.3662	0.1779	0.0801	-6.792	5e-05
own	ABCD dCT alone, DK	Micro	519	12007	-0.9599	0.1762	0.0931	-12.2	5e-05
own	ABCD dCT alone, DK	Neuro	726	12007	1.264	0.1771	0.07794	13.95	5e-05
own	ABCD dCT alone, DK	Neuro-Ex	1055	12007	1.166	0.1776	0.06336	15.61	5e-05
own	ABCD dCT alone, DK	Neuro-In	768	12007	0.8313	0.1772	0.07539	8.677	5e-05
own	ABCD dCT alone, DK	OPC	115	12007	-0.7333	0.1762	0.2014	-4.515	5e-05
own	ABCD dCT alone, DK	Oligo	526	12007	-0.01738	0.1766	0.09159	-2.118	0.0342
own	ABCD dCT alone, DK	Per	50	12007	-0.5059	0.1774	0.3074	-2.223	0.0275
own	ABCD dCT+dT1T2 PLS2, DK	Astro	662	12007	-0.2437	0.207	0.09672	-4.659	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	Endo	691	12007	-0.8868	0.2093	0.09413	-11.64	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	Micro	519	12007	-0.7956	0.2073	0.1094	-9.165	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	Neuro	726	12007	1.647	0.2077	0.09176	15.69	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	Neuro-Ex	1055	12007	1.381	0.2091	0.07476	15.68	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	Neuro-In	768	12007	1.048	0.2089	0.08902	9.431	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	OPC	115	12007	0.08158	0.2048	0.2373	-0.5193	0.6025
own	ABCD dCT+dT1T2 PLS2, DK	Oligo	526	12007	-0.5604	0.2068	0.1081	-7.098	5e-05
own	ABCD dCT+dT1T2 PLS2, DK	Per	50	12007	-0.8199	0.2101	0.3634	-2.834	0.00405
own	AHBA C3	Astro	471	7973	-0.09385	0.006744	0.01163	-8.649	5e-05
own	AHBA C3	Endo	537	7973	-0.09331	0.006843	0.01068	-9.376	5e-05
own	AHBA C3	Micro	391	7973	-0.1018	0.00669	0.01275	-8.511	5e-05
own	AHBA C3	Neuro	600	7973	0.1775	0.006629	0.01018	16.78	5e-05
own	AHBA C3	Neuro-Ex	862	7973	0.1739	0.006786	0.008376	19.95	5e-05
own	AHBA C3	Neuro-In	638	7973	0.1042	0.006751	0.009847	9.895	5e-05
own	AHBA C3	OPC	96	7973	-0.05404	0.00701	0.02625	-2.326	0.02075
own	AHBA C3	Oligo	405	7973	-0.1853	0.006643	0.01249	-15.36	5e-05
own	AHBA C3	Per	38	7973	-0.06224	0.006764	0.04153	-1.661	0.0968
own	NSPN PLS2	Astro	788	20710	-2.019	-0.6205	0.1034	-13.52	5e-05
own	NSPN PLS2	Endo	949	20710	-0.8152	-0.6206	0.09405	-2.069	0.03575
own	NSPN PLS2	Micro	733	20710	-0.745	-0.6214	0.1074	-1.151	0.2488
own	NSPN PLS2	Neuro	786	20710	0.6483	-0.621	0.1044	12.16	5e-05
own	NSPN PLS2	Neuro-Ex	1120	20710	0.4796	-0.621	0.08601	12.8	5e-05
own	NSPN PLS2	Neuro-In	820	20710	-0.05557	-0.6214	0.1018	5.56	5e-05
own	NSPN PLS2	OPC	138	20710	-1.51	-0.6215	0.2495	-3.561	0.00035
own	NSPN PLS2	Oligo	805	20710	-0.2165	-0.6204	0.1027	3.934	0.0001
own	NSPN PLS2	Per	59	20710	-1.011	-0.6229	0.3837	-1.012	0.3081
own	AHBA C1	Astro	471	7973	-0.3342	-0.03277	0.02606	-11.57	5e-05
