gene	DK_PLS2_matchedX	DK_PLS1_dCTonly_matchedX
AGO3	-2.17042	0.161127
AGO4	-0.0837284	0.723383
AGPAT2	3.54614	1.27721
AGPAT3	-0.0989207	0.859397
AHCY	0.309164	-0.967673
AHI1	-0.489215	1.47521
AHNAK	-1.64648	-2.23857
AHNAK2	2.0313	1.71628
AHR	0.721545	-0.35642
AHRR	2.8119	-0.350185
AHSG	3.68595	2.70454
AIF1	-2.11357	-2.5042
AIFM2	2.91585	-0.0831952
AIFM3	-3.19587	-0.977755
AIG1	4.32954	2.91105
AIM2	-3.28789	-2.31936
AIP	1.0996	2.14178
AIRE	0.96567	0.910694
AJAP1	2.08253	1.77991
AK1	-0.291048	0.660399
AK2	-1.47558	-0.224667
AK4	-0.100572	-1.58116
AK5	3.3669	0.0555402
AK9	1.02416	2.10654
AKAIN1	-0.0284347	1.04696
AKAP1	-1.63656	0.061786
AKAP10	2.38001	2.98689
AKAP12	1.51918	1.84212
AKAP13	-0.305092	-0.0579061
AKAP14	-3.11925	-3.56227
AKAP17A	-0.720366	0.417308
AKAP5	0.670318	-1.0223
AKAP7	-1.85741	-1.10942
AKAP8	3.09244	1.45124
AKIRIN2	4.73128	-0.288176
AKR1C1	-0.767997	-1.68789
AKR1C3	-0.838106	-2.06881
AKR1C4	-0.801341	-1.64909
AKR7A2	-1.06492	-2.24154
AKR7A2P1	-0.826713	-2.14272
AKR7A3	-0.749819	-2.08146
AKR7L	-0.772773	-2.16459
AKT1S1	-3.14535	-0.142465
AKT3	0.328707	1.55399
ALCAM	-1.538	-2.60057
ALDH1A1	-1.08342	0.564316
ALDH1A3	0.983251	2.735
ALDH1B1	0.543016	1.25435
ALDH1L1	-1.21235	-1.90988
ALDH2	-0.790784	-1.72723
ALDH3A2	3.26358	0.772391
ALDH4A1	-1.07553	-1.85885
ALDH6A1	-1.02767	-1.81486
ALDH7A1	-2.77018	-3.07036
ALDH9A1	-4.00545	-3.24106
ALDOC	-0.316054	0.064738
ALG10	0.95979	1.44423
ALG10B	1.28862	2.27294
ALG2	-1.40598	0.676622
ALG3	-0.0651079	1.08825
ALG5	-0.976368	-2.26689
ALG8	-1.53867	-3.44723
ALK	1.18814	-0.411898
ALKAL2	-3.56623	-2.75901
ALKBH2	1.48223	2.51025
ALKBH7	0.945973	-0.128079
ALKBH8	0.591814	1.86817
ALOX5	-4.38503	-3.57039
ALOX5AP	-2.55287	-3.0203
ALPK1	-5.06676	-3.83572
ALPL	2.35594	0.429325
ALS2	1.59339	2.58666
ALS2CL	7.11357	4.73056
ALS2CR12	-3.2103	-2.49527
ALX3	-4.18362	-0.805246
ALYREF	1.63246	-0.914001
AMD1	-2.59371	0.105527
AMDHD1	2.29048	2.235
AMER1	2.09128	2.92864
AMH	1.22394	2.24754
AMIGO2	4.18906	0.174646
AMMECR1	-0.803292	1.33515
AMN1	2.17061	-0.499828
AMPD3	-0.523096	0.551038
AMT	-0.0169255	1.30294
AMY2A	-0.0423041	0.570512
AMZ1	-2.91203	-4.68423
AMZ2P1	1.09608	-0.825706
ANAPC1	1.44915	2.43496
ANAPC10	1.77121	3.18307
ANAPC11	0.583237	-1.02881
ANAPC4	-0.547577	0.404133
ANG	-0.780035	-1.52674
ANGEL1	0.347246	-0.200749
ANGEL2	-0.345941	0.646116
ANGPT1	-0.938677	-1.13078
ANGPTL2	-3.55859	-0.396115
ANGPTL4	-1.34659	-1.97438
ANGPTL8	5.34475	5.25284
ANK1	-0.489547	1.31434
ANK3	1.01196	-0.891045
ANKDD1A	-0.825814	-1.50295
ANKH	0.576765	1.70748
ANKLE2	3.50387	0.892424
ANKRA2	-0.60497	-1.33396
ANKRD13A	-6.67228	-0.966342
ANKRD16	-2.38154	-0.0772248
ANKRD18A	-6.69346	-2.82598
ANKRD18B	-1.94478	-1.00909
ANKRD18CP	-4.56248	-2.72317
ANKRD18DP	-0.236343	0.913554
ANKRD19P	-0.397434	-1.90913
ANKRD2	1.68948	1.92345
ANKRD20A11P	-2.67959	-2.66375
ANKRD20A12P	-3.41302	-1.24203
ANKRD20A4-ANKRD20A20P	-3.00564	-0.102266
ANKRD20A5P	-1.32362	-1.82151
ANKRD20A8P	0.0985463	1.64231
ANKRD20A9P	-1.9917	-0.0282597
ANKRD24	5.88119	5.57764
ANKRD26	-0.541814	0.780988
ANKRD27	2.89343	3.00497
ANKRD28	5.14664	3.15446
ANKRD29	-1.62971	0.727701
ANKRD30B	6.31484	2.81368
ANKRD30BL	2.71046	0.429522
ANKRD30BP2	1.64813	-0.00319681
ANKRD33B	1.77413	2.59285
ANKRD34C	2.75456	2.98177
ANKRD36BP2	-1.78746	-1.7646
ANKRD37	0.506127	1.59328
ANKRD42	-1.00239	-0.748563
ANKRD45	-1.7238	-1.24113
ANKRD49	-0.0824926	0.86249
ANKRD50	3.21681	-0.680912
ANKRD54	-2.33272	-2.85689
ANKRD55	5.94651	0.961737
ANKRD6	2.2701	-0.650066
ANKRD62	-2.41677	-0.0772331
ANKRD65	0.518026	1.44762
ANKRD9	-1.82549	-0.29846
ANKS1A	-1.43051	0.694566
ANKS1B	-0.273077	0.410919
ANKS3	1.22136	2.39545
ANKS6	0.197876	1.71193
ANKZF1	1.15889	2.18506
ANLN	-1.15378	-0.264807
ANO10	0.50302	-0.16418
ANO2	0.428512	-1.25622
ANO3	3.81489	-0.138853
ANO4	-0.602656	0.0437699
ANO5	2.65754	3.13817
ANO7	1.65117	2.16971
ANOS1	0.402323	-0.773429
ANP32A	-3.08561	-1.13869
ANP32E	-0.656326	-1.50967
ANTXR1	-1.5038	0.712441
ANTXR2	-3.08404	-1.03668
ANXA1	0.0545823	-0.188114
ANXA11	0.0653432	-1.39047
ANXA2	-4.25113	-4.40272
ANXA2P3	4.03572	3.97637
ANXA3	0.146552	0.699939
ANXA4	-0.40113	-1.15014
ANXA5	-4.82943	-3.12416
ANXA6	0.397576	0.925191
AP1G2	2.1319	2.85752
AP1S1	1.3996	-0.645317
AP1S2	-0.792581	-0.620507
AP2A2	2.99425	0.736002
AP2B1	0.456027	-1.49664
AP2S1	0.497684	-0.952957
AP3B2	4.48809	2.58141
AP3M2	4.59706	1.17441
AP3S1	1.2917	-1.33561
AP4E1	0.865593	1.77989
AP5M1	-1.61765	0.541919
AP5S1	-1.2367	-2.10916
APAF1	0.00485576	-1.18526
APBA1	-0.26134	-1.16477
APBB1IP	-4.18299	-3.36286
APBB2	0.203312	0.559489
APCDD1	-1.80517	-2.41086
APEH	3.41984	1.53825
APEX2	2.61198	0.918224
API5	3.21996	3.77561
APIP	-2.31858	0.189218
APLN	-3.2637	-3.62379
APLNR	-2.47777	-3.05192
APMAP	5.29329	1.20651
APOC1	-2.62129	-3.21901
APOE	-2.30788	-2.7537
APOL1	1.0032	1.65817
APOL2	1.32325	2.17115
APOLD1	-1.16668	-0.0965544
APOM	-0.677406	-1.71213
APOPT1	-2.25724	-2.76488
APPBP2	2.32804	3.09029
APRT	0.631648	-0.629124
APTR	-0.906407	-1.96269
AQP1	0.219468	-0.17176
AQP4	-0.594552	-1.58542
AQP5	-4.25285	-5.42476
AQP9	6.44717	2.74582
AR	-0.0463313	1.13483
ARAP2	2.97413	3.40309
ARAP3	2.42668	3.33029
ARC	1.1577	2.16863
ARF3	4.67558	1.36753
ARFGAP3	0.912689	-0.743013
ARFGEF1	-1.64098	0.157404
ARFGEF2	1.04037	1.87179
ARFGEF3	1.16574	-1.34998
ARG2	1.30284	2.08694
ARHGAP10	0.217064	0.768971
ARHGAP12	4.40233	0.0159497
ARHGAP18	-2.75143	-3.12475
ARHGAP22	-2.95506	-2.54416
ARHGAP25	2.36844	2.42311
ARHGAP26	3.47117	3.66944
ARHGAP27	-5.50528	-2.29571
ARHGAP27P1	0.0263733	1.28969
ARHGAP27P2	2.55711	4.08562
ARHGAP28	4.90483	0.574792
ARHGAP29	4.48283	3.43333
ARHGAP31	-1.37354	-2.01045
ARHGAP32	0.219728	1.43271
ARHGAP33	1.47273	-0.941355
ARHGAP36	-1.40857	-2.42332
ARHGAP39	-0.302294	1.52782
ARHGAP4	-0.339464	-1.54637
ARHGAP42	0.779872	-0.117705
ARHGAP44	0.0626406	1.12172
ARHGAP45	-1.78978	-2.57858
ARHGAP5-AS1	-0.431191	-1.45634
ARHGAP6	-2.79217	-3.51795
ARHGAP9	0.231287	1.34598
ARHGDIA	1.45322	-0.764601
ARHGDIB	0.693575	-1.01039
ARHGDIG	4.89857	1.23136
ARHGEF10	-0.645308	0.279758
ARHGEF10L	-2.9193	-1.17039
ARHGEF11	-1.71074	0.621914
ARHGEF12	2.35239	3.06162
ARHGEF16	0.844416	1.68813
ARHGEF17	1.64646	2.19756
ARHGEF18	0.386363	1.77953
ARHGEF2	1.56046	2.10832
ARHGEF26-AS1	-1.92483	-2.32888
ARHGEF28	1.77118	-0.720909
ARHGEF4	0.864661	0.278689
ARHGEF40	-3.05572	-3.26394
ARHGEF6	-2.68234	-2.87766
ARHGEF7	-5.95769	0.135279
ARID2	3.00893	3.05884
ARID3B	-4.18723	-1.40432
ARID5A	7.42224	4.76139
ARID5B	0.0749314	1.67143
ARIH2	-4.43186	0.633203
ARL10	0.620558	-0.878472
ARL13B	-3.3745	-0.471112
ARL15	2.73483	0.133347
ARL16	-0.815182	-1.89708
ARL17A	-0.650603	0.159081
ARL2BP	-0.281776	1.38024
ARL3	0.199865	-1.41875
ARL4A	-0.308242	-0.519761
ARL4C	4.63451	5.80062
ARL4D	1.985	2.15061
ARL5A	-5.42599	-4.22654
ARL5B	2.78405	3.26603
ARL6	1.09127	1.49227
ARL6IP5	1.85562	2.368
ARL9	-1.10012	-1.31461
ARMC10	2.55221	-0.791031
ARMC2	0.403367	-0.930967
ARMC8	3.42863	3.64458
ARMC9	-0.438689	0.89183
ARMCX1	6.4351	0.278994
ARMCX2	2.37261	-0.0643947
ARMCX4	0.855175	2.24291
ARMCX6	-0.675756	-0.513135
ARMT1	0.570621	1.38365
ARNT2	3.10662	-0.139205
ARNTL	2.38808	2.77476
ARNTL2	1.15191	0.111394
ARPC2	1.51722	-0.551108
ARPC3	0.811593	-1.1776
ARPC5	-1.58954	-3.0063
ARPP19	4.2972	1.03835
ARPP21	0.336345	1.76935
ARRB1	-0.630288	-1.62069
ARRB2	0.778623	-1.08492
ARRDC1-AS1	-1.85521	-0.819013
ARSG	2.03211	2.79063
