gene	dCT + CT|DK	dCT alone|DK	NSPN PLS2	AHBA C3	AHBA C1	snRNAseq PC1	snRNAseq PC1 (U01)	dCT + CT|HCP	dCT alone|HCP
C20orf203			1.5113			0.00158046	0.00141606		
C20orf204			-1.14831						
C20orf24			2.98156						
C20orf27	2.19926	-1.20423	3.82869	0.0976081	-0.786231			-0.322759	-1.29314
C20orf43			0.298653						
C20orf70			-0.12229						
C20orf71			-2.92477						
C20orf78			1.17322						
C20orf79			-2.84255						
C20orf85			-1.39554						
C20orf96	-3.36952	-0.929866	-4.45229			0.000508551	0.000109787		
C21ORF119			-1.17927						
C21orf110			9.52001						
C21orf116			-2.69752						
C21orf140						2.49944e-06	-0		
C21orf2	2.76338	-0.00134089	3.31619	0.201645	-0.685002			1.00195	-0.0509402
C21orf29			-0.818442						
C21orf33			-3.26582						
C21orf37			-0.045174						
C21orf49			-1.93718						
C21orf51			-7.26699						
C21orf54			2.81102						
C21orf58	0.139725	1.42987	-3.89462	-0.10302	0.503348	-0.000592273	0.000540051	0.266344	0.845015
C21orf59			-6.02708						
C21orf62			-1.2185						
C21orf7			-2.48167						
C21orf70			3.10925						
C21orf90			-3.39735						
C21orf91	-1.38391	0.0599884	2.02882	-0.423331	0.295716	-0.00598755	-0.000182928	-3.32363	-2.2783
C21orf91-OT1						-0.000656173	9.6725e-05		
C22ORF45			0.684514						
C22orf15	-4.4932	-3.10424	-6.36722						
C22orf23	-0.508196	-1.63639	-1.40442	-0.0639063	-0.711275	9.88739e-05	0.000633868	1.61868	0.567907
C22orf24			0.419354						
C22orf26			-1.47895						
C22orf31			-4.28916			2.65312e-07	4.46896e-05		
C22orf33			1.19423						
C22orf34			3.53777						
C22orf39	0.422613	-1.46474	-2.6403	0.00803378	-0.715674	7.74362e-06	2.42137e-05	-0.367728	-1.23062
C22orf42			2.69972			4.43501e-06	6.17374e-06		
C2CD2	1.64012	1.5838	5.84384	0.0490682	0.190389	0.0010428	0.00227431	0.298646	0.237396
C2CD2L	2.84203	0.512999	-0.988449	0.455066	-0.662555	0.00245071	0.0047749	3.50919	1.72318
C2CD3	-0.870756	1.48798	0.616432	-0.0362876	0.772919	0.00363523	0.00687069	1.72242	2.09154
C2CD4A			-3.72395			-6.28899e-06	1.17513e-05		
C2CD4B			-1.4585			-1.52731e-05	1.2202e-06		
C2CD4C	4.65751	0.143479	3.57077	0.277289	-0.918434	0.00236134	0.00158582	9.49875	1.98328
C2CD4D	0.68259	0.951814				-5.16302e-05	4.31363e-05		
C2CD5	0.410681	1.63604	-0.789308	0.131219	0.415952	0.0130072	0.0217709	0.900307	1.85496
C2orf15	-0.633354	0.135484	-2.12877			0.00675817	0.0103573		
C2orf16			-0.134433						
C2orf27A	2.0148	2.21337	-2.38214	0.330221	0.400991			1.73328	1.89514
C2orf27B			-2.96513						
C2orf40	1.82504	1.45789	0.591813	0.0959161	-0.237787			0.984297	0.652857
C2orf42	1.16869	1.76641	1.29134			-0.000197451	0.0026404		
C2orf47			1.43813						
C2orf48			0.382728						
C2orf49	1.39809	2.62294	-0.423251			0.000540286	0.000983969		
C2orf50	1.5112	2.16979	-1.93826						
C2orf51			2.28312						
C2orf53			1.64722						
C2orf54	-0.943524	0.0830115	-2.35889	0.055333	0.42582			0.957049	1.6998
C2orf55			0.774193						
C2orf61			-0.201934						
C2orf62			-0.080786						
C2orf65			0.200606						
C2orf66			-2.43341			7.60822e-05	4.53811e-05		
C2orf68	-3.03794	-1.22465	-1.97728	-0.335513	0.235154	-0.000913083	-0.000227471	0.401145	1.01045
C2orf69	2.13925	-0.933095	-2.43718	0.131334	-0.827046	0.00311423	0.00357671	0.101453	-0.903968
C2orf70	-2.89854	-3.27407	-7.26876						
C2orf71			3.01346						
C2orf72	0.297646	0.507576	-1.94118			-0.00246991	0.00226929		
C2orf73	0.958624	-0.681093	-8.08001	0.0924047	-0.72795			2.6622	1.28087
C2orf74	0.663394	-1.05889	1.72143	0.355575	-0.288023	3.44385e-06	-7.415e-06	-1.4102	-1.84578
C2orf76			0.051236			-0.00158886	0.000943132		
C2orf77			-3.14834						
C2orf78			-2.80971						
C2orf80	2.57246	-0.522022	0.533197	0.238974	-0.866612	0.00455402	0.00499761	2.00646	0.132622
C2orf81	1.59916	0.919286	0.087217			0.0011377	0.000833102		
C2orf83			2.70782						
C2orf88	-1.83755	-1.08087	-2.31761	-0.519657	0.214365	0.00017047	0.00363474	-3.73078	-2.87691
C2orf90			-2.15653						
C3	-2.88192	-3.21914	-0.036961	-0.233513	-0.544077	-5.93823e-05	0.000589805	-4.48355	-4.72297
C3AR1	-3.91244	-4.34703	-5.76154			-0.000127898	0.000445142		
C3ORF24			-3.28667						
C3P1			0.053194						
C3orf14	0.167476	-1.58684	-0.500822	0.0788752	-0.709713			-2.07106	-2.60548
C3orf15			-3.78178						
C3orf16			-0.947753						
C3orf17			3.88869						
C3orf18	1.75167	2.85674	4.00583	0.149522	0.784079	0.000420658	0.00128299	0.826707	1.27824
C3orf20			-1.51463			0.000183996	0.00107405		
C3orf22			-4.5906			0.000128361	0.000163026		
C3orf27			-2.60833						
C3orf30			-0.28952						
C3orf33			0.830648			0.0013025	0.00267481		
C3orf35	-0.326203	1.76176	-0.189712	0.00970098	0.697966			-0.307723	0.673848
C3orf36			3.04727						
C3orf38	-1.05094	0.333566	-5.07778	-0.0542755	0.29656	0.000282606	0.00283167	1.42886	2.14335
C3orf41			-3.34391						
C3orf43			-2.93288						
C3orf44			-0.771669						
C3orf45			2.41202						
C3orf48			0.289405						
C3orf49			1.70205			0.000449599	0.000954574		
C3orf52			-3.33091			0.000645037	0.000598082		
C3orf54			-0.747254						
C3orf55			-2.88135						
C3orf58	3.15355	3.97712	5.84719	0.30235	0.496072			3.41472	3.88494
C3orf62	-2.60435	0.177396	-3.06711			0.00188758	0.0023859		
C3orf63			1.58968						
C3orf67			1.42495						
C3orf70	-0.588907	-1.51062	-2.01875	-0.119025	-0.593836	0.00263457	0.00372049	1.12289	0.496975
C3orf77			-4.03052						
C3orf78			-2.30953						
C3orf80	6.44544	4.61268		0.551529	-0.0229578	0.0002714	0.00187745	4.1029	4.03144
C4A			-7.62365						
C4BPA			0.319442			7.84706e-05	0.000191617		
C4BPB			1.88968			1.28347e-05	0.000147201		
C4ORF38			0.268252						
C4orf17			-0.388663			1.21082e-05	9.70964e-05		
C4orf18			2.81962						
C4orf19			3.17702			-0.00978487	-0.000605889		
C4orf22			3.76514						
C4orf26			3.35252						
C4orf3	-6.7283	-1.47616	-3.44911	-0.261054	0.610585	0.00171352	0.00169931	-3.82939	-2.48968
C4orf33	-4.00362	0.296164	-3.31476	-0.247654	0.840663	1.60775e-05	0.000903018	-5.48429	-1.29689
C4orf35			-1.00186						
C4orf36			3.37964			-0.00330734	0.000255606		
C4orf37			0.704087						
C4orf40			-3.67879						
C4orf45	3.91465	0.582863	3.83847	0.476167	-0.633751			1.87541	0.872622
C4orf46			-4.87366			0.000217842	-0.000127338		
C4orf47	1.45102	1.90119	-0.665652						
C4orf48	0.870261	0.47194	-1.22536						
C4orf50			1.05941			0.00431081	0.00622855		
C4orf51						0.000141875	0.000672386		
C4orf6			-2.01119						
C4orf7			-2.20981						
C5	1.07492	-0.338246	-1.07766	-0.131237	-0.523799	-0.00169008	0.000879078	1.11476	0.830292
C5AR1			0.868781			0.0021419	0.0018768		
C5AR2			-0.76101			7.84716e-05	0.000328181		
C5ORF20			-2.33058						
C5orf15			-0.784241			-0.000611351	0.00138826		
C5orf22	-1.40996	-0.00416201	-0.516591			0.00128875	0.00305067		
C5orf24	-2.96368	-0.0343021	-3.35958	-0.0488647	0.554619	0.00150829	0.00338014	-1.5306	-0.646691
C5orf30	6.76465	3.94184	6.38908	0.585368	-0.290465			2.84091	2.34514
C5orf34			6.16002			0.000959844	0.00123168		
C5orf38			-3.82286						
C5orf42	-1.2675	0.218	-3.6775						
C5orf46			-1.10571			7.23874e-06	2.9464e-05		
C5orf47			-3.68205			0.000295161	0.000281648		
C5orf48			2.45246						
C5orf49	1.89121	-1.21097	-1.28225	-0.035201	-0.873003			1.55585	-0.25426
C5orf50			0.653233						
C5orf51			1.79908						
C5orf52			1.04741			3.25488e-05	9.75047e-05		
C5orf56	-4.15512	-1.94164	-6.40538	-0.583897	0.263649			-0.87506	-0.203448
C5orf58	-3.61045	-3.10316		-0.150118	0.304154	1.86153e-05	4.53006e-05	-2.3829	-2.22002
C5orf63						0.000512628	0.000345938		
C5orf64	-0.948549	-0.458632		-0.454158	0.332777			-3.82696	-2.81112
C6			0.353616			0.000163091	0.00114108		
C6ORF223			-3.17046						
C6orf10			-3.00303						
C6orf103			1.18574						
C6orf106	1.76491	2.66529	0.789087	0.191721	0.690325			1.18807	1.6001
C6orf118	-2.02491	-2.74821	-8.2536	-0.240627	-0.7651	0.000539615	0.000520978	-2.64793	-2.91656
C6orf120	0.484227	1.75842	2.19127			0.000151598	0.00056789		
C6orf123			-0.498114						
C6orf126			-0.272275						
C6orf132			-2.72451			6.43858e-05	0.000527031		
C6orf136	1.80192	2.36911	5.62413	0.282897	0.517107			0.55405	0.921779
C6orf141	-0.419291	-2.12862	0.640096	0.180588	-0.664142	0.00133154	0.00142622	0.301247	-0.830469
C6orf146			-2.4598						
C6orf15			-1.2748						
C6orf163						-0	-0		
C6orf195			-0.881157						
C6orf201			-0.386448						
C6orf203	0.878612	-0.192911	-0.835134						
C6orf205			-0.09791						
C6orf211			2.49828						
C6orf221			-2.72351						
C6orf222			0.406416						
C6orf226	-0.921736	-1.36045	-3.081			-1.69388e-05	0.000392858		
C6orf227			-0.564553						
C6orf26			1.98376						
C6orf47	-2.87993	1.17945	-3.04141	-0.182923	0.801279			-0.820015	0.796126
C6orf48	-4.52365	-4.69285	-7.1769						
C6orf52	1.07259	-1.06255	-0.416969	-0.0485162	-0.826738			0.786036	-0.474976
C6orf58			-1.04535			0.000104934	0.000333129		
C6orf59			0.820725						
C6orf62	0.13683	0.109092	1.36542			0.000754163	0.00636154		
C6orf81			-2.49413						
C6orf89			-1.15693			-0.000630741	0.00553356		
C6orf91			-3.22329						
C6orf94			-1.27287						
C6orf99			-1.65856						
C7	1.11246	0.743918	-2.38609			4.21776e-05	0.000116423		
C7orf13	-0.45263	-1.78119	-5.49043	-0.014483	-0.631326			-1.32526	-1.70602
C7orf25			-4.93886			7.53881e-05	0.00011356		
C7orf26			2.49706						
C7orf29			-5.0392						
C7orf31			-0.67031						
C7orf33			1.41576			3.82831e-05	6.04806e-05		
C7orf34			-1.49782						
C7orf36			0.218107						
C7orf38			0.184468						
C7orf43			-0.626781						
C7orf45			-0.113175						
C7orf49			0.503798						
C7orf50	-0.529417	-1.64222	-2.50376			0.0094431	0.00709928		
C7orf57	-1.80999	-0.497641	-1.63126	0.154893	0.500718	4.7729e-05	0.000113357	-0.964324	-0.37681
C7orf58			-2.72458						
C7orf60			-0.180192						
C7orf61			-3.27002						
C7orf65			1.01048						
C7orf66			-0.698984						
C7orf69			-0.042369						
C7orf70			0.370332						
C8A			-1.42446			1.54774e-05	4.37482e-05		
C8B			2.59126			1.88967e-05	2.90009e-05		
C8G	0.688126	-0.341235	3.96815			2.24306e-05	-0		
C8ORF51			-4.51958						
C8ORF75			-0.639309						
C8ORF77			2.61598						
C8orf22			-3.12773						
C8orf31	-1.40965	1.09012	4.11275	-0.038466	0.63795			0.595119	1.12572
C8orf33	0.658233	-0.563529	-2.3109	0.00444632	-0.337017	0.00141983	0.00081869	-1.21423	-1.7968
C8orf34	-2.17027	-2.7332	-5.76374	-0.273857	-0.695131	0.0346578	0.0304771	-2.33401	-2.80859
C8orf37			-1.03055						
C8orf39			-3.6493						
C8orf44	1.2455	0.554485	-3.3564	0.0645002	-0.537073			1.96134	1.38765
C8orf45			-2.75711						
C8orf46	3.17977	0.448964	3.3918	0.163614	-0.802395			0.83038	-0.640501
C8orf48			-0.019355			8.13589e-05	-0.000110316		
C8orf54			0.192051						
C8orf58			-1.49134			9.11663e-05	1.80085e-05		
C8orf59	1.10936	2.22568	0.005095						
C8orf66			-1.55607						
C8orf71			-1.43842						
C8orf74			-0.117865						
C8orf76			1.21115			2.57683e-05	0.000564503		
C8orf82	0.737918	-0.665199	-1.93862	-0.259357	-0.403094	7.64718e-05	-2.30427e-06	1.49754	1.00411
C8orf84			-2.28466						
C8orf86			3.40043						
C8orf88						0.000290029	0.000294627		
C9			-2.29452			0.000176107	0.000154364		
C9ORF133			-1.68931						
C9orf100			-0.835769						
C9orf106			-4.56168						
C9orf11			1.66528						
C9orf116	0.464735	-0.430469	-1.10695	-0.102443	-0.459118			-0.680217	-1.38946
C9orf117			-2.44274						
C9orf128			-1.19538						
C9orf129	4.59097	4.76895	0.961513						
C9orf131			-0.686851						
C9orf135			-8.19089						
C9orf139			-1.05497						
C9orf147			-5.36572						
C9orf152			-2.17192			8.42995e-05	0.000430805		
C9orf153			1.39707			-0.000745044	0.000923379		
C9orf16	-3.69272	-5.01174	0.700387						
C9orf163			0.267773			0.000110873	0.000122653		
C9orf171			-6.51695						
C9orf24	1.66265	1.63082	0.07332	0.0396924	0.209646			0.129154	0.0617688
C9orf3	-4.35414	0.0558293	-1.3772	-0.23091	0.706539			-4.52474	-1.60841
C9orf40	4.87489	1.66548	1.27836			0.00137417	0.000874757		
C9orf43			2.08347			-0.000162554	4.28145e-05		
C9orf47			0.42875						
C9orf50	1.18585	0.426522	0.67142			0.000118697	0.000296698		
C9orf53			-0.138374						
C9orf57			-1.89649			6.07736e-05	0.000404249		
C9orf6			-0.3883						
C9orf61			-3.53082						
C9orf62			-3.02553						
C9orf64	-0.0388552	1.76257	0.166402						
C9orf66			0.199457						
C9orf71			1.42049						
C9orf72	1.09218	2.66295	2.06708	0.0115867	0.771465	0.00200915	0.0041999	3.0762	3.71982
C9orf78	-4.19363	-4.43318	-4.46928			0.00178102	0.00126028		
C9orf79			-0.756361						
C9orf84			-1.99142						
C9orf85			-1.61085			-0.00602899	0.00335102		
C9orf96			-1.77041						
CA1			0.112666			3.06714e-05	0.00143794		
CA10	6.10273	1.36083	9.82894	0.479146	-0.548294	0.0305107	0.0288809	2.902	1.54194
CA11	2.50215	-0.653139	1.49752	0.347668	-0.708194	0.00849688	0.014324	2.1194	0.47402
CA12	-7.69834	-4.81994	-9.34513	-0.729579	-0.00101914	-0.00130344	-0.000178475	-6.27361	-5.41228
CA13	2.12179	2.89145	4.06437	0.0756796	0.748546	1.17749e-06	0.00134665	-0.0335058	0.741572
CA14	-0.451911	0.128013	-0.199073	-0.402708	0.27887	-0.00139781	-0.000327935	-3.56553	-2.63589
CA2			-1.29611	-0.342101	0.309694	-0.0127737	-0.0016691	-2.50983	-1.9008
CA3			0.433202			8.25441e-05	0.00164998		
CA4	6.62275	2.87059	6.39132	0.651856	-0.270425	0.00193168	0.00254659	4.08401	3.17722
CA5A	-1.46728	-1.19719	2.80574	-0.148925	0.223771	0.000143515	0.00101772	-4.13185	-4.0081
CA5B	-4.50992	-4.76737	-7.24043	-0.48204	-0.501085	0.000824451	0.00358028	-1.81792	-2.37658
CA5BP1			1.41317						
CA6			-2.00629			5.63046e-05	0.000279328		
CA7	1.0776	2.0447	5.00626	0.267126	0.675571	0.00161784	0.00151815	-0.472427	0.304696
CA8	-1.76171	-2.4711	-3.17679	-0.152991	-0.52113	-0.00270313	0.000703429	-1.93977	-2.2893
CA9			-0.121551			6.6459e-05	6.26795e-05		
CAAP1	-1.16981	1.25674	-3.37332			-0.00020127	0.00437848		
CAB39	1.11757	1.90713	1.77854	0.122235	0.784667	0.00431041	0.0103269	-0.722129	0.121097
CAB39L	-1.15629	0.719795	-2.0116	-0.0741232	0.459801	0.00145958	0.00513447	0.117708	0.906401
CABCOCO1	-1.85579	-2.73577	-7.81545	-0.170223	-0.757034			-1.73123	-2.0458
CABIN1			-4.52413			0.00723588	0.00958091		
CABLES1	-1.36378	-1.95422	-2.27542	0.0359785	-0.0683306	-0.00654442	0.00282578	1.0611	1.16876
CABLES2	3.38866	4.3384	4.54343	0.241268	0.64615	0.000946504	0.00115199	2.33051	2.79445
CABP1	0.805408	1.91085	12.4264	0.13276	0.922351	0.0249858	0.0208511	0.230011	1.00944
CABP2			-2.62485			1.49201e-06	4.1175e-06		
CABP4			1.34144			1.43977e-06	0.00011058		
CABP5			-0.463862			4.19583e-05	0.000135325		
CABP7	-4.4219	-4.88494	-7.48703	-0.351672	-0.513709	4.77968e-05	7.04087e-05	-8.26155	-8.64276
CABS1						-0	-0		
CABYR	3.94978	1.01672	7.02005	0.223633	-0.700387	0.00134985	0.00180663	0.357561	-1.01695
CACFD1			-1.34285						
CACHD1	-2.04367	-2.88009	-5.35974	-0.0381023	-0.600895	-0.00722551	0.00130967	0.920951	0.0671915
CACNA1A	-0.969456	1.35653	-1.98725	0.0498378	0.621389	0.0500514	0.0416677	0.157783	1.08665
CACNA1B	3.24833	3.21398	-0.471916	0.51809	-0.198088	0.0528765	0.0442201	2.71183	2.36915
CACNA1C	0.421857	1.73774	-1.43723	0.377939	0.360856			2.63137	3.34352
CACNA1D	-0.337922	1.0815	-0.068739			0.0373156	0.0276233		
CACNA1E	-3.22973	-3.68842	-9.27055	-0.109896	-0.408441	0.043587	0.0277819	-2.47534	-2.79341
CACNA1F	0.66111	-0.790062	1.7453	0.367417	-0.332349	0.000218648	0.000393624	-0.122824	-0.611911
CACNA1G	2.94646	3.85203	5.09401	0.581016	-0.0253117	0.0100468	0.0079602	4.52752	4.61417
CACNA1G-AS1						0.000120373	0.000157866		
CACNA1H	-0.242362	-2.26199	-2.20432	-0.0447037	-0.830209	0.00202782	0.000973349	-3.02681	-3.48526
CACNA1I	-0.136683	1.25901	1.21314	0.145859	0.24801	0.0115722	0.00663688	1.25811	1.85219
CACNA1S			0.378107			0.000265576	0.000437099		
CACNA2D1	1.64099	0.875442	0.07494	0.146788	-0.687288	0.0111133	0.0299464	1.54098	0.806742
CACNA2D2	1.46592	2.5743	0.424167	-0.00232302	0.869095	0.00314331	0.00230171	0.837936	1.44136
CACNA2D3	3.73859	3.84341	5.25833	0.218974	0.530889	0.0501408	0.0392397	3.41313	4.57191
CACNA2D3-AS1						0.00163697	0.0022785		
CACNA2D4			0.515705						
CACNB1	2.19694	2.20956	1.83047			0.00351661	0.00380276		
CACNB2	7.88598	4.54272	3.38915	0.586657	-0.278912	0.0123471	0.0306098	6.43469	5.37278
CACNB3	1.15801	0.368192	0.962181	0.590334	-0.415156	0.0059185	0.00426627	1.42107	0.819427
CACNB4	-0.175489	1.43415	-2.28227	0.0970021	0.855286	0.0392982	0.0398361	-2.18114	-0.114645
CACNG1	-0.502733	-1.89165	-5.77838	-0.0361323	-0.781332	3.75343e-05	1.70798e-05	-0.32826	-1.06233
CACNG2	2.59097	3.50228	8.44042	0.342004	0.672198	0.020762	0.0129358	2.53067	2.83387
CACNG3	4.22767	-0.225581	3.20162	0.368947	-0.725441	0.0306156	0.0244553	0.717178	-0.583281
CACNG4	-3.89332	-4.74166	-5.095	-0.0488505	-0.669345	0.00664279	0.00352778	-0.971033	-1.53573
CACNG5			0.384618			0.000108776	0.000672321		
CACNG6	2.43252	1.55339	3.2098	0.498598	0.32816	0.000148644	0.000298381	0.662868	0.650145
CACNG7	-1.94746	-0.24473	2.13214			0.00674547	0.00682635		
CACNG8	2.17678	3.08961	6.01454	0.305307	0.583788	0.0236405	0.0185349	0.433346	0.859081
CACTIN	-3.60984	-1.25435	-2.52591			7.26608e-05	0.000517241		
CACTIN-AS1						6.19286e-06	1.32179e-05		
CACUL1	0.362422	-1.54541	2.59252	0.0362204	-0.719121	0.00357372	0.00756073	-1.07499	-1.60686
CACYBP	0.833744	-0.502522	-0.254282			0.00242493	0.000985277		
CAD	2.96254	3.35158	5.34497			-3.87388e-05	0.00137153		
CADM1	0.0337524	-1.52189	-7.72657	-0.0590986	-0.899109	-0.0117195	0.018133	1.3667	0.0146887
CADM2	0.772243	1.41995	-0.359987			0.00402494	0.0504016		
CADM2-AS1						0.000451197	0.000943262		
CADM2-AS2						0.000529412	0.0010433		
CADM3	-1.29836	-2.19411	-0.99718	0.242791	-0.423082	0.0178167	0.0135877	-0.648389	-1.07651
CADM4	-4.18261	0.162283	-1.25929	-0.295602	0.672277	-0.00288618	0.00166788	-3.11979	-1.28789
CADPS	0.415473	0.166709	-1.17008	0.0300265	-0.126027	0.0443705	0.0458643	-2.26833	-3.19764
CADPS2	0.226286	1.6575	6.13361	0.208103	0.90837	0.012741	0.0230687	-0.857881	0.325898
CAGE1			-0.697816			2.41706e-05	0.000256549		
CAHM						-0.00162705	-0.0002286		
CALB1	2.37065	0.0336384	3.84601	0.284295	-0.807594	0.00302833	0.00123413	4.79506	1.98256
CALB2	0.455998	-0.809164	-5.73218	0.0826442	-0.631965			0.922255	0.464023
CALCA			-5.02962			4.2582e-06	1.18222e-05		
CALCB			6.73522			-0.000672812	0.00058238		
CALCOCO1	1.81543	2.81936	-1.49571	0.0961887	0.709012	0.00210074	0.00438633	2.63674	3.00953
CALCOCO2			-3.92771			-0.000300303	0.00384136		
CALCR			0.656428			6.03818e-05	0.000255177		
CALCRL	1.90162	1.61053	2.65378	-0.000557757	-0.351627	-0.000436288	0.00165155	2.04755	2.16819
CALD1	-1.04647	-2.26153	-1.50188	-0.486451	-0.354041	-0.0107929	0.00539577	-1.37991	-1.84656
CALHM1	3.59125	2.40496	1.8909	0.388634	0.0317308	0.000112408	0.000256934	2.49698	2.34392
CALHM2	6.94014	1.99972	3.92065	0.478344	-0.451971	0.000273088	0.000413712	2.78261	1.81023
CALHM3			-0.206937			3.5159e-05	2.46614e-05		
CALHM6	-0.0820123	-1.55274	-3.57645	0.0186691	-0.85955			-1.60072	-1.92766
CALM1	1.05009	-1.22988	1.2653			0.0229132	0.0155645		
CALM2	0.39461	-0.817417	-2.3114			0.00187122	0.00175965		
CALM3	3.08664	-0.97139	1.53773	0.0648148	-0.892105	0.0192851	0.0161748	1.55413	-0.411193
CALML3	2.70616	3.6295	5.62934	0.276408	0.765035	3.76426e-06	3.3481e-05	4.03093	4.03114
CALML3-AS1						0.000190402	0.000218369		
CALML4	-1.44775	-0.801748	-1.62517	0.0969541	0.232762	4.94208e-05	7.76783e-05	1.68423	2.37941
CALML5			0.347005			-2.32129e-07	7.23609e-07		
CALML6	-1.69617	0.0927729	1.6624			1.42497e-05	5.65619e-05		
CALN1	-6.66978	-3.99131	-9.14607	-0.543785	-0.326608	0.0270906	0.0288886	-4.27482	-4.86945
CALR	1.92415	0.470407	-1.96531			-0.00149433	0.00261185		
CALR3			-1.55006			-0	-0		
CALU	1.32382	-0.495091	1.36703			0.00289574	0.00613555		
CALY			4.43334			0.00941086	0.00718552		
CAMK1	-1.11262	0.15056	-1.5369	0.224086	0.225537	0.00790454	0.00832912	-0.600355	-0.277677
CAMK1D	1.44007	2.50949	0.906843	0.43807	0.586483	0.0385217	0.0352927	0.767603	1.34856
CAMK1G	6.7649	4.37507	5.85075	0.481391	-0.233033	0.00321316	0.00260965	5.61302	5.21401
CAMK2A	1.55427	1.67564	2.41784	0.55713	0.10164	0.0325333	0.0283401	2.35663	2.53622
CAMK2B	-1.86478	0.380043	-1.55164			0.0346732	0.0260888		
CAMK2D	1.11857	-0.852953	-0.510967	0.258081	-0.868315	0.00605577	0.0168155	2.77857	0.63979
CAMK2G	-1.3254	0.741539	-1.26674	-0.0623561	0.830246	-0.000484823	0.0106627	-2.76087	-0.962317
CAMK2N1	0.922874	0.0749241	-0.584345	0.446788	-0.388027	0.0167357	0.0188555	2.31044	1.77783
CAMK2N2	-2.85507	-2.6116	-5.19594	0.0512453	0.13357	0.00524882	0.00308138	-1.99167	-1.8939
CAMK4	3.16903	2.24026	5.38298	0.734687	-0.23935	0.0272046	0.0285015	3.09203	2.58594
CAMKK1	1.38709	1.858	1.70318	0.49941	0.510272	0.00994845	0.00893624	-0.927374	-0.629736
CAMKK2	5.78863	5.52807	8.43144	0.446628	0.744138	0.0117249	0.0109169	3.97503	4.25092
CAMKMT	-0.143292	-0.0420792	-1.08787			-0.00856426	0.00838408		
CAMKV	2.15436	-0.111093	-0.482683	0.373332	-0.796147	0.0123035	0.0106362	3.61319	1.35646
CAMLG	2.11862	0.00319252	-2.32691	0.080712	-0.605355	0.00380555	0.00428182	1.29207	0.545163
CAMP			-0.914819			-1.0813e-07	-0		
CAMSAP1	-0.492598	-1.32882	-1.15367	0.00517075	-0.597066	0.00707834	0.00730672	-0.73641	-1.16383
CAMSAP2			-0.961298			0.00743435	0.0184782		
CAMSAP3			0.665389			0.00494664	0.00341962		
CAMTA1	0.883515	2.00117	1.71975	0.244645	0.809235	0.00684853	0.0281664	0.085649	0.94247
CAMTA2	-1.86712	0.917836	0.403445	0.0551095	0.833299	0.00330829	0.0051526	-0.889812	0.301772
CAND1			0.393738			0.00480075	0.0085326		
CAND2	3.95859	4.21108	0.154927			0.00680396	0.00471068		
CANT1	0.643384	-0.297903	-0.174128			5.27923e-05	0.000926774		
CANX	3.99782	-0.208363	-3.1094	0.162001	-0.884505			2.77032	0.333232
CAP1	1.5764	-0.934535	-4.93308	-0.0327834	-0.759399	0.0012779	0.0021347	0.354685	-0.920893
CAP2	0.766433	0.821172	0.723429	0.384363	-0.0262754	0.029092	0.0257038	1.86858	1.9823
CAPG	0.362453	-1.3746	-2.52572	-0.149575	-0.820234	-4.26292e-05	-1.65143e-05	2.41731	0.789308
CAPN1	0.192273	1.10893	0.55918			0.00320396	0.00247563		
CAPN10	0.320662	-0.174602	-6.49054			0.000989098	0.00151289		
CAPN11			1.20837			0.000193884	0.000264971		
CAPN12	2.17356	0.339991	2.70084	0.372184	-0.469769	0.000528484	0.000817402	2.60226	1.78104
CAPN13			2.03461			-0.00127249	0.000207378		
CAPN14			-2.86537			0.00128261	0.000911287		
CAPN15	-4.23177	-0.803587	-4.667	-0.153223	0.721154			-1.71009	-0.451937
CAPN2	-7.3178	-5.79054	-5.95542			-0.0042237	0.000580027		
CAPN3	-1.23523	-0.222531	0.768153	-0.416312	0.376549	-0.013279	-2.65393e-06	-4.56599	-3.03004
CAPN5			1.49924			0.00229244	0.00153523		
CAPN6			1.36302			3.63184e-05	1.18391e-05		
CAPN7	-2.19065	0.349229	-4.74769	-0.323857	0.37354	-0.00116123	0.00588801	1.23117	2.04798
CAPN8			-4.80003			-9.27673e-05	0.000119678		
CAPN9			4.92715			-0.000681169	0.000142292		
CAPNS1	1.73732	0.223436	4.91259			0.000818961	0.00399014		
CAPNS2	1.23913	-0.155977	-1.34219			-0	-0		
CAPRIN1	2.67011	0.00253151	-1.05192			0.00143461	0.00266211		
CAPRIN2	-4.33081	-3.69031	-3.61326			0.00667107	0.00828041		
CAPS			-6.50555			-0.00129652	0.000193101		
CAPS2	3.95011	5.17858	4.74715	0.413158	0.613463	-0.00486211	0.00722214	3.77003	4.47005
CAPSL	-0.645864	-2.43012	-3.62149	0.0161309	-0.907693	7.13566e-05	0.000132352	-1.69626	-2.24447
CAPZA1			-0.297084			-0.000983569	0.00618689		
CAPZA2			-1.43973			0.00369834	0.00730038		
CAPZA3			-1.02881			7.4076e-06	8.05851e-06		
CAPZB	-3.21832	-4.41658	-5.22511	-0.0473459	-0.699842	0.00506261	0.00928507	-1.93616	-2.42075
CARD10			-3.13296			0.000293597	0.000166821		
CARD11			4.68799			0.000402634	0.00141751		
CARD14	-2.12419	-1.20179	-1.41908	-0.532964	0.203237	-0.000286101	0.000288082	-6.28565	-4.93406
CARD16	-0.330796	-1.84635	2.87619			-0	0.000582447		
CARD17	-0.53911	-1.80084	2.37486	-0.00171377	-0.743495			-0.143522	-1.17689
CARD18			-0.581489			1.2001e-06	2.99675e-06		
