option	component	n_regions	n_genes	singular_value	cov_explained	p_spin_singular	r_gene_imaging_scores	boot_reproducibility	n_genes_absZ_gt3	sal_dCT	sal_CT
hcp_opt2_dCT_CT	PLS1	137	7973	32.547	0.85705	0.00039992	0.6415	0.98235	5831	0.16226	0.98675
hcp_opt2_dCT_CT	PLS2	137	7973	13.292	0.14295	0.011798	0.62674	0.89948	1736	0.98675	-0.16226
hcp_opt1_dCT	PLS1	137	7973	14.139	1	0.26495	0.58194	0.8807	1500	1	
