label,normative_thinning_um_yr,tier
lh_1,16.33452217818111,slow
lh_10d,32.02661475350921,fast
lh_10pp,30.263435450658918,fast
lh_10r,31.446273288142283,fast
lh_10v,30.589320525074154,fast
lh_11l,32.52272369616974,fast
lh_13l,24.12814974856393,fast
lh_2,20.77856591104693,mid
lh_23c,25.683599272345752,fast
lh_23d,32.054158497722284,fast
lh_24dd,18.12532190585756,slow
lh_24dv,20.61517780535838,mid
lh_25,24.578347585830834,fast
lh_31a,28.414260397513758,fast
lh_31pd,26.31716364935203,fast
lh_31pv,26.81467409676517,fast
lh_33pr,11.01973338117348,slow
lh_3a,17.18414958433672,slow
lh_3b,14.749284841661709,slow
lh_4,6.571736370896316,slow
lh_43,15.15287474736706,slow
lh_44,14.804536239832188,slow
lh_45,21.898749447116092,mid
lh_46,22.315653606146896,mid
lh_47l,23.099744692334397,fast
lh_47m,24.955299075292253,fast
lh_47s,20.6536829920598,mid
lh_52,17.491295197626492,slow
lh_55b,5.175894457988464,slow
lh_5L,27.13018705796696,fast
lh_5m,26.58758405604799,fast
lh_5mv,26.86777975658636,fast
lh_6a,8.619546280160977,slow
lh_6d,0.13585258910592649,slow
lh_6ma,15.013500282059796,slow
lh_6mp,10.077276693160535,slow
lh_6r,11.306276827345487,slow
lh_6v,7.298509368415134,slow
lh_7AL,22.47002139746063,mid
lh_7Am,27.703177750153472,fast
lh_7PC,19.81406845018178,mid
lh_7PL,29.938796313593905,fast
lh_7Pm,28.981322294323714,fast
lh_7m,26.9963089685019,fast
lh_8Ad,15.149723641640403,slow
lh_8Av,19.740556897089817,mid
lh_8BL,25.39512158206778,fast
lh_8BM,24.134065287460412,fast
lh_8C,16.74361761708635,slow
lh_9-46d,22.67160715087371,fast
lh_9a,23.20463844830824,fast
lh_9m,28.928758984911116,fast
lh_9p,19.383574766999423,mid
lh_A1,20.63915740864739,mid
lh_A4,16.316725855184664,slow
lh_A5,20.386089847841568,mid
lh_AAIC,15.781689280197888,slow
lh_AIP,22.248040436622304,mid
lh_AVI,20.309233806116602,mid
lh_DVT,24.985913834758527,fast
lh_EC,9.42133533838288,slow
lh_FEF,3.573330582311649,slow
lh_FFC,18.35360124930742,mid
lh_FOP1,16.977266039232425,slow
lh_FOP2,19.3248499082567,mid
lh_FOP3,14.049258796307655,slow
lh_FOP4,15.574791931942192,slow
lh_FOP5,17.366855258061108,slow
lh_FST,20.285427449977693,mid
lh_IFJa,16.382407127622262,slow
lh_IFJp,12.111153242731925,slow
lh_IFSa,23.105504169972157,fast
lh_IFSp,19.734375019130546,mid
lh_IP0,22.371703718251013,mid
lh_IP1,23.418057971099643,fast
lh_IP2,22.529620762909158,mid
lh_IPS1,24.5999546916832,fast
lh_Ig,22.3588648865193,mid
lh_LBelt,13.61216297864328,slow
lh_LIPd,21.802379188473637,mid
lh_LIPv,18.260674277094896,mid
lh_LO1,17.034986513993864,slow
lh_LO2,19.828046030404387,mid
lh_LO3,20.740007741372487,mid
lh_MBelt,16.745198330338543,slow
lh_MI,24.39442652545758,fast
lh_MIP,21.306256588160316,mid
lh_MST,16.285441056891067,slow
lh_MT,16.882718192429035,slow
lh_OFC,22.08337051882823,mid
lh_OP1,19.61565064046585,mid
lh_OP2-3,20.414143810884458,mid
lh_OP4,21.584915811022295,mid
lh_PBelt,13.6743856036728,slow
lh_PCV,23.89598477886999,fast
lh_PEF,6.202410240608358,slow
lh_PF,20.168961783762985,mid
lh_PFcm,19.935364450212813,mid
lh_PFm,23.121661282495992,fast
lh_PFop,19.47757164854296,mid
lh_PFt,19.522806146409856,mid
lh_PGi,24.23004443358699,fast
lh_PGp,26.002766519192058,fast
lh_PGs,28.111427874796583,fast
lh_PH,19.7045817235147,mid
lh_PHA1,14.235175825278247,slow
lh_PHA2,18.443153125807026,mid
lh_PHA3,17.28392444096237,slow
lh_PHT,20.854009482594588,mid
lh_PI,9.382874772081962,slow
lh_PIT,18.149945871987633,slow
lh_POS1,24.65527283413729,fast
lh_POS2,22.60283981970779,fast
lh_PSL,18.70945773696349,mid
lh_PeEc,5.889493169250082,slow
lh_Pir,0.382910633907926,slow
lh_PoI1,17.33835269456733,slow
lh_PoI2,20.70201680433676,mid
lh_PreS,12.20315009258488,slow
lh_ProS,27.53597551916901,fast
lh_RI,20.1434180214905,mid
lh_RSC,14.825779795443438,slow
lh_SCEF,16.909112893736264,slow
lh_SFL,19.672299068784252,mid
lh_STGa,12.718304940663723,slow
lh_STSda,19.458169633739917,mid
lh_STSdp,24.289766318400197,fast
lh_STSva,17.86907113959191,slow
lh_STSvp,24.875399525351398,fast
lh_STV,20.356942867311936,mid
