vector	ds	SCZ_prioritised	SCZ_prio_finemap	SCZ_locus_pool	SCZ_pool_not_prio	SCZ_trubetskoy_smr101	MDD_highconf	MDD_hc_finemap	MDD_pool	MDD_pool_not_hc	MDD_howard2019_32	MDD_howard2019_magma
AHBA_C1	ds0	1.12	-0.28	2.13	1.83	2.56	-2.57	-2.51	-0.39	0.71	1.11	1.18
AHBA_C2	ds0	-0.26	0.4	-0.4	-0.29	-1.21	-1.19	-1.71	-1.77	-1.34	-1.57	-1.34
AHBA_C3	ds0	1.1	1.35	2.38	2.08	-0.38	3.45	2.86	1.86	0.39	-2.24	-0.2
NSPN_PLS1_z	ds0	1.31	0.37	1.11	0.52	2.08	-2.15	-2.86	0.51	1.42	1.87	2.25
NSPN_PLS2_z	ds0	0.15	0.8	1.39	1.52	-0.46	0.13	0.0	0.31	0.28	-1.49	-0.06
control_opt2_PLS1_static	ds25	1.47	0.36	2.26	1.76	2.4	-2.44	-2.68	0.91	1.98	0.97	1.19
lead_opt2_PLS2	ds0	1.02	2.14	1.79	1.43	-1.2	2.82	2.38	1.44	0.38	-1.26	0.02
lead_opt2_PLS2	ds25	-0.01	0.97	0.98	1.16	-1.93	2.42	2.05	1.78	0.86	-1.96	-0.02
lead_opt2_PLS2	ds50	-0.14	0.7	1.05	1.34	-1.33	1.55	1.01	1.57	0.96	-2.71	0.18
opt1_dCT_PLS1	ds25	1.09	1.24	1.99	1.7	0.0	0.4	0.22	2.06	2.05	-0.92	0.92
opt3_dCT_dT1T2_PLS2	ds25	-0.02	1.19	1.29	1.48	-1.8	2.81	2.47	2.96	1.95	-1.61	0.06
opt4_full4_PLS2	ds25	0.11	1.17	1.06	1.17	-1.81	1.87	1.57	1.73	1.0	-1.29	0.21
opt5_slopePCs_PLS2	ds25	-0.44	0.28	0.79	1.17	-1.61	1.14	0.76	-0.55	-1.09	-2.41	-0.77
