x	y	rho	p_spin	n
CT	dCT	0.08679	0.6259	179
CT	PLS1	-0.5933	0.0003999	137
CT	PLS2	-0.01375	0.9304	137
CT	C1	-0.5629	0.0003999	137
CT	C3	0.04178	0.7866	137
dCT	PLS1	-0.1145	0.5587	137
dCT	PLS2	-0.5841	0.0003999	137
dCT	C1	-0.06952	0.7177	137
dCT	C3	-0.3263	0.03259	137
PLS1	PLS2	-0.1702	0.3237	137
PLS1	C1	0.9882	0.0003999	137
PLS1	C3	0.03722	0.8734	137
PLS2	C1	-0.2348	0.1648	137
PLS2	C3	0.7012	0.0003999	137
C1	C3	0.002231	0.9936	137
