outcome	spec	term	beta	se	p	y_sd_beta	n
rulebreak	fast + slow	thin_fast	0.0085418	0.0098731	0.38695	0.01365	8182
rulebreak	fast + slow	thin_slow	0.012497	0.01055	0.23619	0.019971	8182
rulebreak	fast + slow	slow - fast	0.0039556	0.019103	0.83595	0.0063212	8182
rulebreak	fast + slow | CT, QC	thin_fast	0.022344	0.011251	0.047049	0.035705	8182
rulebreak	fast + slow | CT, QC	thin_slow	0.016203	0.010749	0.13171	0.025893	8182
rulebreak	fast + slow | CT, QC	slow - fast	-0.0061402	0.019663	0.75483	-0.0098121	8182
pfactor	fast alone	thin_fast	0.030431	0.021216	0.15147	0.013735	8162
pfactor	mid alone	thin_mid	0.055207	0.021642	0.010745	0.024917	8162
pfactor	slow alone	thin_slow	0.059369	0.02215	0.0073544	0.026796	8162
pfactor	fast + slow	thin_fast	-0.030002	0.031908	0.34708	-0.013541	8162
pfactor	fast + slow	thin_slow	0.08271	0.033359	0.013161	0.03733	8162
pfactor	fast + slow	slow - fast	0.11271	0.061016	0.064709	0.050871	8162
pfactor	fast + slow | CT, QC	thin_fast	-0.065981	0.036557	0.071096	-0.02978	8162
pfactor	fast + slow | CT, QC	thin_slow	0.084244	0.033952	0.013092	0.038023	8162
pfactor	fast + slow | CT, QC	slow - fast	0.15022	0.063104	0.017285	0.067802	8162
