gene,C1,C2,C3
A1BG,-0.8061701939493205,-0.1393168352112967,-0.0179385933628407
A1BG-AS1,-0.6244799291202356,-0.0368614225110497,0.3770006903306251
AAAS,0.600656005022244,0.1394308600333628,-0.0597515725374451
AAED1,-0.7226889802875907,-0.0090091599416682,-0.1904585707417262
AAGAB,-0.261426938079166,0.5548146616242485,0.3458107661978781
AAK1,0.6969441770868232,0.0313699789753697,0.0572983757731524
AARD,0.6822093935837404,-0.0637768225544527,0.1735863395782127
AARS,0.5152758327953049,0.4194897814447652,0.2654056996759039
AASDH,0.5301506956283775,-0.4608721057670181,-0.1305297791062809
AATF,0.1282066558140637,0.6210354091618427,-0.2265375979324335
ABCA1,-0.4750408601083617,-0.3939840643478361,-0.3062787148403834
ABCA5,0.4707285132322602,-0.5208213719737422,0.1261396547242311
ABCA6,0.758866791964239,-0.0075078651982485,-0.3156244665052063
ABCA7,0.6739970734225058,0.1581169737237836,-0.041368907329024
ABCA9,0.7506314507029136,-0.11891144062348,-0.1162110918067024
ABCB10,0.6168385254675215,-0.2426043427468407,0.0711630213914712
ABCB6,-0.6010470099523811,0.2909236537930065,0.1692949562021349
ABCB7,0.6907484354233682,-0.1633330217450399,-0.3120741960316542
ABCC1,0.7012014793845502,0.056205772966134,-0.0910658759813127
ABCC12,-0.2457499673546864,0.3642419670175146,0.678279000743892
ABCC4,-0.5476244288139626,0.2358521891298035,-0.3270712969540829
ABCC5,0.3791080595729567,-0.5842950173993382,0.0416007366249545
ABCC6,-0.5546263842439463,0.1598581069718049,0.2215139658638749
ABCC8,0.7180346657906461,-0.0014914274264515,0.1638666185106043
ABCC9,0.0873493284990381,0.4586596485910404,-0.3948394294509103
ABCD2,0.6921923417312863,-0.1064134596246118,-0.1359556394295891
ABCD4,0.282768961593245,-0.1621793393042934,-0.3021197190654692
ABCG1,0.0746488785242135,-0.5613095956448293,-0.1858275661903263
ABCG2,0.4358557836007966,0.3074324958795138,-0.3820870990558714
ABCG4,0.7729389321915526,0.3503648736753114,-0.0173200286353654
ABCG5,-0.3455719613347547,0.6121947822025864,0.015646134773435
ABHD1,-0.6111089944268754,0.0541013028872673,-0.2274661474511431
ABHD11,0.6652349235350253,-0.0960289537242745,0.0728396918197129
ABHD12,0.6530246298278124,0.4751284295494332,-0.3348191650481537
ABHD12B,-0.1510685182455429,0.757593445838436,0.2304924872553216
ABHD13,0.6116477805653099,-0.2453631453660774,0.1190588793928605
ABHD17A,0.7386498917594548,-0.0358622379462799,-0.1030745471074946
ABHD17B,0.7047205625519034,-0.0237399326055459,-0.2911004545661207
ABHD17C,-0.6728759367284997,-0.0782572474853096,0.1774101625486527
ABHD3,0.3982806198956872,-0.0022294771607136,-0.406747434613859
ABHD6,0.5664222000458665,0.3511936184904956,-0.3327341822825808
ABI1,-0.7114913230491481,0.0185746789576092,0.1720423839534914
ABI2,-0.4930527547013015,-0.2203143162142372,0.292608786110058
ABL2,0.4810907868292862,0.2166803650104943,0.2564406088092922
ABLIM1,0.0414133670486567,0.2093654488094254,-0.3879812529988123
ABLIM2,-0.770465065362127,-0.0704396421259543,0.3488914904736728
ABLIM3,-0.8199985580524046,0.2113203667335764,0.0610265701508267
ABR,-0.464917153451117,-0.3558225012440458,0.1310186765629056
ABRACL,0.5741160409855421,0.0604265005110385,0.4004716139753726
ABTB1,0.7402168446307472,0.3974923413427313,0.3136595801992543
ABTB2,0.6485046219363771,0.208671826577444,-0.5430798311770599
ACADL,-0.775234128004892,0.0029903589420899,-0.08719067414276
ACADS,-0.4686462559013062,0.1336342706240536,-0.0637895542601618
ACADSB,0.4686275550175585,-0.5327769890276456,-0.2112252138163896
ACAN,0.9026659232982736,0.2041803473196247,-0.2653603853761684
ACAP3,-0.266916300671375,-0.604245601575015,0.1412864332257494
ACAT2,-0.5382919167242063,0.58692437341783,0.1386217468597076
ACER3,0.5068234932609181,0.2574814681451951,-0.1674118741962181
ACHE,0.2193949886864294,0.6406082296543256,0.0495481137826907
ACKR1,-0.2756757561680021,-0.4434595079694818,0.3431670531272071
ACKR3,-0.7764500430180282,-0.0968214003255043,0.0041791731066625
ACO1,-0.014544522626673,-0.0671995234834379,-0.4948574135608667
ACO2,-0.361833684396106,0.3992730036581638,-0.2313136547746158
ACOT13,-0.1955178990209436,0.7030593114366183,-0.0880460974099679
ACOT2,-0.8871832392473942,-0.0751577116489167,0.0494164566496868
ACOT8,-0.645634466659905,0.4923856675921318,0.0956993211329797
ACOX2,-0.5581946926659845,0.1440940947717216,-0.1578216630557987
ACOX3,-0.6973143386177704,0.1596501555900184,0.1548757887972687
ACP1,-0.8177679995595571,0.0466793451768855,0.1161333015492658
ACSF2,-0.5999231381708009,-0.0142669605044294,-0.1274510948116834
ACSF3,0.7130358788322859,0.1762208116222679,0.108142684030918
ACSL1,0.1067115838164951,0.1419854636739065,-0.3021956220482261
ACSL3,0.6364981569297379,-0.049086241681691,0.4350909318457232
ACSL4,-0.7993682647125615,0.0667576335638087,0.2547169214006782
ACSL6,0.8874394833658956,0.1085316418708958,-0.1378182026369227
ACSS2,0.6013145543813735,0.3357417308004032,-0.1204501363169512
ACSS3,-0.4139567347111696,0.1196288392386885,-0.1178269941169378
ACTA1,-0.4800782188521485,0.6475645960418602,0.1506506356916989
ACTB,-0.6960172853228273,0.137706756340016,0.0661298761515549
ACTC1,-0.5794007799501545,0.6017827221543446,0.1134286702879957
ACTG1,-0.8209024746743082,0.1869671274059887,0.0670055754932245
ACTG1P4,-0.6459056818663708,0.1459366235192454,-0.1248001841909629
ACTL6A,-0.0672519826958011,0.2020292416538581,-0.5349806592104125
ACTN1,-0.3617121887599321,-0.2234935179080838,0.5024749973607578
ACTN2,-0.1964323972907411,0.5259688336881241,0.473424923333578
ACTN4,0.7975213751371455,0.1102894467092822,0.1552711039702945
ACTR10,-0.8307748580561125,0.2002716966055321,0.110478555261568
ACTR1A,-0.6479197236671941,0.5230572099150618,0.1985373989712603
ACTR1B,0.7427778512260635,-0.1530984533198097,0.3585717948082514
ACTR3,-0.5809375733057359,0.2327475400172049,-0.0450954716432202
ACTR3B,-0.8387002699520181,0.0084850049324197,0.1402613095677589
ACTR3C,-0.4015304875721932,0.1415862972664129,-0.4425542113196427
ACTR5,0.0794277518910195,-0.5967022667840994,0.2328545797766848
ACVR1,0.4070233848212238,-0.0750416686678153,-0.3554345144446598
ACVR1C,0.7879345776317973,0.1495222770455796,-0.1428837776938366
ACVR2A,-0.7569028560289927,-0.433823588098631,0.1474789957833904
ACVR2B,-0.6472326766132784,-0.2890669952997541,0.2120307894711643
ACVRL1,0.3313718553293164,0.4321906860372851,-0.2210226537926024
ACY3,-0.4956258860663942,0.0799597868341155,-0.2920417819647259
ACYP2,0.7776307828125268,0.3026276397920568,-0.1679378173222576
ADAD2,0.003956866745029,-0.1136819570382918,-0.2724148984853171
ADAL,0.3802731472536548,0.0732332810846185,-0.2979262648930822
ADAM15,0.5121352674211683,-0.0582218863089451,-0.4726779744936832
