label,C1,C2,C3
lh_bankssts,20.56399167373163,-10.06403231983971,33.33123202908506
lh_caudalanteriorcingulate,-80.05908262004152,15.637945049934176,-60.231182536414
lh_caudalmiddlefrontal,4.18787231413252,57.9481261687501,0.891025579677847
lh_cuneus,121.32799983693909,-42.2093768826591,-7.7470433960285785
lh_entorhinal,-105.14288090491756,-8.062559133546554,-57.70940364625989
lh_fusiform,-30.280068154677057,-23.471332939970218,19.558391378044156
lh_inferiorparietal,36.58950268939454,-10.327193827355666,17.020501828339704
lh_inferiortemporal,-34.50309864634159,-14.3559648272884,21.501559201048735
lh_isthmuscingulate,23.146511231078374,-8.78170034690959,-17.47600665184277
lh_lateraloccipital,91.31145280854147,-28.88915913363178,5.606653346473426
lh_lateralorbitofrontal,-31.285155008319286,5.7194724950523055,19.698404349683862
lh_lingual,99.7483290072678,-52.24993970288813,-4.858212811209308
lh_medialorbitofrontal,-65.8188010241895,4.088799957617111,23.62844232441019
lh_middletemporal,-34.1806291382657,-5.181448906310802,15.630410716940675
lh_parahippocampal,-75.98135349342651,-22.215469121414078,-17.103836917662242
lh_paracentral,37.191331369448534,35.38559001239555,-17.920694391490937
lh_parsopercularis,-21.06309631423798,34.66936389033171,10.621107047277135
lh_parsorbitalis,-9.615568395476704,13.781967163430876,28.867385822690917
lh_parstriangularis,-4.947362590327156,29.536218585787424,24.09478133857577
lh_pericalcarine,125.28879523035587,-65.11520137303988,-28.82486285754543
lh_postcentral,65.03770003182757,13.434746113352544,-18.34848967298497
lh_posteriorcingulate,-15.98703664801013,15.51734929043129,-8.09006032847455
lh_precentral,27.79372786389759,52.792769811775514,-22.55589535961861
lh_precuneus,30.564551840576527,-1.665178887811617,17.987303131498678
lh_rostralanteriorcingulate,-85.46672354636068,-7.283876486664202,-15.321249532817772
lh_rostralmiddlefrontal,-8.388789762180284,20.069924945355005,27.079972987531512
lh_superiorfrontal,-19.45974304975267,42.78345755593122,1.7869496060393988
lh_superiorparietal,48.85101866121294,-1.1054660685521702,7.875448353852793
lh_superiortemporal,-23.64383742584082,-12.380340228331875,19.56482734573376
lh_supramarginal,10.633292311512257,5.775968857711402,25.708315989010103
lh_temporalpole,-104.62578397656276,-8.05805682604526,-26.620481682965163
lh_transversetemporal,74.26739407218626,-17.63327498031986,-17.351076155569555
lh_insula,-66.05446024317501,-8.092127905277334,-0.2942164350299503
