hemi,parcel,n_vertices,coverage,PLS2,valid_PLS2,CT,valid_CT,CT_delta,valid_CT_delta,MT,valid_MT,MT_delta,valid_MT_delta,region
l,L_A4_ROI,944,1,-0.0080085,1,3.0009,1,-14.003,1,0.87728,1,5.7532,1,A4
l,L_STSva_ROI,667,1,-0.0045277,1,3.1105,1,-18.046,1,0.81787,1,5.5131,1,STSva
l,L_TE1m_ROI,663,1,-0.0024736,1,3.1384,1,-23.577,1,0.82463,1,5.9035,1,TE1m
l,L_PI_ROI,565,1,0.0048319,1,3.2308,1,-12.699,1,0.82051,1,4.3654,1,PI
l,L_a32pr_ROI,527,1,-0.02945,1,3.0906,1,-20.919,1,0.86539,1,3.4224,1,a32pr
l,L_p24_ROI,317,1,-0.11457,1,2.6954,1,-10.98,1,0.91243,1,1.261,1,p24
r,R_V1_ROI,4178,1,-0.070299,1,2.3117,1,-12.681,1,0.98856,1,1.7746,1,V1
r,R_MST_ROI,385,1,-0.022779,1,2.6842,1,-15.426,1,0.92745,1,3.6893,1,MST
r,R_V6_ROI,568,1,0.024349,1,2.429,1,-13.191,1,0.9813,1,3.5182,1,V6
r,R_V2_ROI,2991,1,-0.033107,0.97492,2.4209,1,-13.942,1,0.98682,1,2.197,1,V2
r,R_V3_ROI,1989,1,0.0085772,1,2.468,1,-14.708,1,0.98698,1,3.035,1,V3
r,R_V4_ROI,1297,1,0.0079877,1,2.5488,1,-14.298,1,0.97236,1,2.8963,1,V4
r,R_V8_ROI,356,1,-0.00030899,1,2.7646,1,-13.499,1,0.94969,1,2.7157,1,V8
r,R_4_ROI,3855,1,-0.019958,1,2.7992,1,-12.63,1,1.0014,1,3.8825,1,4
r,R_3b_ROI,2552,1,-0.019867,1,2.1777,1,-11.139,1,0.98286,1,2.9816,1,3b
r,R_FEF_ROI,850,1,0.0087529,1,2.8374,1,-10.937,1,0.94512,1,3.8528,1,FEF
r,R_PEF_ROI,480,1,0.044042,1,2.8385,1,-10.717,1,0.90396,1,4.589,1,PEF
r,R_55b_ROI,421,1,0.026983,1,2.9449,1,-9.6114,1,0.91632,1,4.8138,1,55b
r,R_V3A_ROI,755,1,0.025377,1,2.4519,1,-13.377,1,0.99,1,3.5478,1,V3A
r,R_RSC_ROI,1050,1,-0.068952,1,2.5826,1,-7.7042,1,0.94939,1,2.4211,1,RSC
r,R_POS2_ROI,1308,1,0.023372,1,2.5157,1,-12.068,1,0.95082,1,2.8859,1,POS2
r,R_V7_ROI,286,1,0.023112,1,2.4736,1,-13.832,1,0.98654,1,3.6104,1,V7
r,R_IPS1_ROI,546,1,0.010403,1,2.4484,1,-16.083,1,0.94247,1,3.3818,1,IPS1
r,R_FFC_ROI,890,1,-0.013798,1,2.8163,1,-15.799,1,0.9203,1,3.2731,1,FFC
r,R_V3B_ROI,377,1,0.02069,1,2.4727,1,-13.248,1,0.97745,1,3.2419,1,V3B
r,R_LO1_ROI,268,1,0.012276,1,2.6374,1,-14.037,1,0.96571,1,2.9206,1,LO1
r,R_LO2_ROI,220,1,-0.0062727,1,2.8582,1,-11.613,1,0.94745,1,2.6872,1,LO2
r,R_PIT_ROI,364,1,-0.0086813,1,2.8916,1,-11.498,1,0.94179,1,2.6031,1,PIT
r,R_MT_ROI,303,1,-0.027558,1,2.6602,1,-14.958,1,0.93525,1,3.5471,1,MT
r,R_A1_ROI,301,1,-0.010066,1,2.8319,1,-14.599,1,0.95967,1,6.7193,1,A1
r,R_PSL_ROI,877,1,0.0013455,1,3.0665,1,-18.654,1,0.86202,1,5.363,1,PSL
r,R_SFL_ROI,611,1,0.017823,1,3.2055,1,-17.062,1,0.88172,1,3.6344,1,SFL
r,R_PCV_ROI,835,1,-0.0027545,1,2.6244,1,-18.54,1,0.90915,1,2.7267,1,PCV
r,R_STV_ROI,894,1,-0.0001566,1,2.9444,1,-17.775,1,0.86777,1,5.2287,1,STV
r,R_7Pm_ROI,511,1,0.0024462,1,2.6347,1,-17.654,1,0.91372,1,2.79,1,7Pm
r,R_7m_ROI,779,1,0.021001,1,2.6104,1,-11.622,1,0.93001,1,3.1081,1,7m
r,R_POS1_ROI,968,1,-0.053946,1,2.7466,1,-10.836,1,0.9314,1,2.7044,1,POS1
r,R_23d_ROI,513,1,-0.029552,1,2.5951,1,-12.853,1,0.91,1,2.0699,1,23d
r,R_v23ab_ROI,414,1,-0.043309,1,2.6504,1,-8.3728,1,0.94261,1,3.0447,1,v23ab
r,R_d23ab_ROI,293,1,-0.074232,1,2.5132,1,-8.9882,1,0.94874,1,2.9618,1,d23ab
r,R_31pv_ROI,572,1,-0.041206,1,2.5812,1,-10.602,1,0.93054,1,3.253,1,31pv
r,R_5m_ROI,805,1,-0.03,1,2.547,1,-16.948,1,0.99159,1,2.4694,1,5m
r,R_5mv_ROI,1243,1,-0.017812,1,2.5121,1,-16.97,1,0.93878,1,2.2075,1,5mv
r,R_23c_ROI,1325,1,-0.02566,1,2.574,1,-14.422,1,0.91384,1,2.4362,1,23c
r,R_5L_ROI,904,1,0.0084956,1,2.4772,1,-19.824,1,0.94648,1,2.196,1,5L
r,R_24dd_ROI,990,1,-0.026828,1,2.8441,1,-17.57,1,0.97502,1,3.0268,1,24dd
r,R_24dv_ROI,752,1,-0.0047207,1,2.9172,1,-14.926,1,0.91094,1,2.7321,1,24dv
r,R_7AL_ROI,910,1,0.020308,1,2.5438,1,-20.808,1,0.93776,1,2.0821,1,7AL
r,R_SCEF_ROI,875,1,0.0079429,1,3.0908,1,-15.796,1,0.89998,1,3.2754,1,SCEF
r,R_6ma_ROI,1217,1,0.027543,1,3.0621,1,-17.426,1,0.90336,1,3.724,1,6ma
r,R_7Am_ROI,1061,1,0.0070217,1,2.5978,1,-19.731,1,0.92362,1,2.2508,1,7Am
r,R_7PL_ROI,429,1,0.01,1,2.612,1,-17.916,1,0.93,1,2.9353,1,7PL
r,R_7PC_ROI,1010,1,-0.00058416,1,2.5033,1,-16.764,1,0.93474,1,2.674,1,7PC
r,R_LIPv_ROI,661,1,0.02525,1,2.4673,1,-14.214,1,0.93762,1,2.8803,1,LIPv
r,R_VIP_ROI,525,1,0.01,1,2.5929,1,-18.806,1,0.93,1,2.0809,1,VIP
r,R_MIP_ROI,815,1,0.013779,1,2.5127,1,-16.445,1,0.93005,1,3.3119,1,MIP
r,R_1_ROI,2045,1,-0.01489,1,2.2364,1,-11.116,1,0.98167,1,2.6769,1,1
r,R_2_ROI,2913,1,-0.015939,1,2.34,1,-13.214,1,0.96791,1,2.5437,1,2
r,R_3a_ROI,1770,1,-0.02022,1,2.6114,1,-11.68,1,1.002,1,3.7559,1,3a
