hemi,parcel,n_vertices,coverage,PLS2,valid_PLS2,CT,valid_CT,CT_delta,valid_CT_delta,MT,valid_MT,MT_delta,valid_MT_delta,region
r,R_47m_ROI,294,1,0.077687,1,2.9887,1,-25.124,1,0.84463,1,6.8892,1,47m
r,R_8Av_ROI,1007,1,0.080308,1,2.9871,1,-16.279,1,0.87239,1,4.3115,1,8Av
r,R_8Ad_ROI,962,1,0.05631,1,3.0448,1,-20.94,1,0.86215,1,4.4878,1,8Ad
r,R_9m_ROI,1401,1,0.020307,1,3.1087,1,-22.688,1,0.8334,1,3.8907,1,9m
r,R_8BL_ROI,974,1,0.045175,1,3.2003,1,-23.818,1,0.85184,1,4.2975,1,8BL
r,R_9p_ROI,679,1,0.067128,1,3.0699,1,-24.464,1,0.84387,1,4.3045,1,9p
r,R_10d_ROI,524,1,0.018282,1,2.9614,1,-24.413,1,0.84303,1,4.3079,1,10d
r,R_8C_ROI,1083,1,0.087184,1,2.7467,1,-15.983,1,0.87223,1,4.1979,1,8C
r,R_44_ROI,695,1,0.067137,1,2.8725,1,-16.035,1,0.85478,1,4.6463,1,44
r,R_45_ROI,628,1,0.059252,1,2.8135,1,-19.235,1,0.85355,1,5.1144,1,45
r,R_47l_ROI,502,1,0.068247,1,2.9489,1,-24.143,1,0.84197,1,5.7875,1,47l
r,R_a47r_ROI,904,1,0.06385,1,2.7936,1,-21.951,1,0.85162,1,6.086,1,a47r
r,R_6r_ROI,1287,1,0.037568,1,2.9275,1,-15.662,1,0.84992,1,4.5735,1,6r
r,R_IFJa_ROI,462,1,0.09,1,2.8122,1,-15.848,1,0.86844,1,4.8427,1,IFJa
r,R_IFJp_ROI,361,1,0.080859,1,2.7456,1,-13.744,1,0.86914,1,4.1266,1,IFJp
r,R_IFSp_ROI,684,1,0.09,1,2.7913,1,-18.459,1,0.86734,1,5.4246,1,IFSp
r,R_IFSa_ROI,752,1,0.093896,1,2.83,1,-20.769,1,0.85622,1,5.2181,1,IFSa
r,R_p9-46v_ROI,1011,1,0.089911,1,2.7463,1,-20.031,1,0.86983,1,5.4114,1,p9-46v
r,R_46_ROI,1245,1,0.08343,1,2.7544,1,-16.885,1,0.85661,1,4.1786,1,46
r,R_a9-46v_ROI,540,1,0.084389,1,2.6956,1,-18.097,1,0.86,1,4.2332,1,a9-46v
r,R_9-46d_ROI,1382,1,0.078082,1,2.7004,1,-16.87,1,0.85924,1,4.0931,1,9-46d
r,R_9a_ROI,637,1,0.039231,1,2.8989,1,-20.399,1,0.84744,1,4.2399,1,9a
r,R_10v_ROI,651,1,0.045668,1,2.836,1,-23.722,1,0.87879,1,4.9029,1,10v
r,R_a10p_ROI,463,1,0.06,1,2.7332,1,-22.244,1,0.85449,1,6.8271,1,a10p
r,R_10pp_ROI,658,1,0.090881,1,2.8958,1,-26.594,1,0.87375,1,5.8738,1,10pp
r,R_11l_ROI,922,1,0.082863,1,2.7395,1,-23.756,1,0.87923,1,6.4418,1,11l
r,R_13l_ROI,532,1,0.038308,1,2.7698,1,-22.135,1,0.86944,1,7.1864,1,13l
r,R_OFC_ROI,1345,1,0.050379,1,2.7527,1,-22.612,1,0.88178,1,6.5188,1,OFC
r,R_47s_ROI,666,1,0.029069,1,3.0627,1,-25.488,1,0.85273,1,6.3198,1,47s
r,R_LIPd_ROI,493,1,0.024787,1,2.4571,1,-13.555,1,0.93071,1,3.4286,1,LIPd
r,R_6a_ROI,1715,1,0.041615,1,2.9153,1,-16.281,1,0.91338,1,3.857,1,6a
r,R_i6-8_ROI,528,1,0.064034,1,2.9697,1,-18.062,1,0.89831,1,3.7461,1,i6-8
r,R_s6-8_ROI,504,1,0.046825,1,2.9998,1,-14.827,1,0.87889,1,4.0329,1,s6-8
r,R_43_ROI,748,1,0.0046524,1,2.9295,1,-14.597,1,0.86666,1,4.6176,1,43
r,R_OP4_ROI,1096,1,-0.0044708,1,2.8067,1,-12.447,1,0.88331,1,4.296,1,OP4
r,R_OP1_ROI,468,1,-0.010855,1,2.925,1,-16.169,1,0.88923,1,4.4301,1,OP1
r,R_OP2-3_ROI,568,1,-0.037641,1,2.8442,1,-13.824,1,0.8868,1,2.8458,1,OP2-3
r,R_52_ROI,386,1,-0.033135,1,2.8149,1,-14.164,1,0.89347,1,3.0385,1,52
r,R_RI_ROI,847,1,-0.012727,1,2.9206,1,-15.584,1,0.89301,1,4.5537,1,RI
r,R_PFcm_ROI,708,1,-0.0042373,1,2.903,1,-16.307,1,0.8751,1,4.9759,1,PFcm
r,R_PoI2_ROI,817,1,-0.01202,1,3.4981,1,-16.011,1,0.90011,1,-0.40673,1,PoI2
r,R_TA2_ROI,483,1,-0.029482,1,3.0445,1,-17.074,1,0.84153,1,4.8841,1,TA2
r,R_FOP4_ROI,731,1,0.0094118,1,3.1911,1,-18.042,1,0.84676,1,2.7394,1,FOP4
r,R_MI_ROI,564,1,-0.009078,1,3.5542,1,-16.195,1,0.90468,1,-0.62957,1,MI
r,R_Pir_ROI,904,0.49889,-0.038936,0.49889,3.6108,0.49889,-5.2775,0.49889,0.86772,0.49889,1.3225,0.49889,Pir
r,R_AVI_ROI,742,1,0.04566,1,3.2249,1,-21.433,1,0.86129,1,4.4363,1,AVI
r,R_AAIC_ROI,554,0.87545,0,0.87545,3.6156,0.87545,-12.713,0.87545,0.88598,0.87545,1.3171,0.87545,AAIC
r,R_FOP1_ROI,325,1,-0.0065846,1,2.9714,1,-18.932,1,0.83772,1,4.5846,1,FOP1
r,R_FOP3_ROI,450,1,-0.0070667,1,3.3723,1,-18.536,1,0.88369,1,0.25058,1,FOP3
r,R_FOP2_ROI,436,1,-0.012523,1,3.0314,1,-16.077,1,0.86787,1,2.9485,1,FOP2
r,R_PFt_ROI,1083,1,-0.0017359,1,2.6941,1,-16.825,1,0.88124,1,4.8975,1,PFt
r,R_AIP_ROI,1710,1,0.0020058,1,2.5073,1,-15.053,1,0.90211,1,4.0864,1,AIP
r,R_EC_ROI,456,0.96053,-0.16,0.96053,3.0147,0.96053,5.0253,0.96053,0.85749,0.96053,2.6922,0.96053,EC
r,R_PreS_ROI,677,0.62334,-0.11604,0.30576,2.5456,0.62334,-3.16,0.62334,0.94502,0.62334,2.788,0.62334,PreS
r,R_H_ROI,897,0.011148,-0.16,0.011148,3.27,0.011148,8.21,0.011148,0.83,0.011148,2.92,0.011148,H
r,R_ProS_ROI,633,1,-0.16571,0.9684,2.5493,1,-5.4713,1,0.96761,1,1.9979,1,ProS
r,R_PeEc_ROI,1012,1,-0.13651,1,3.0577,1,2.6143,1,0.84007,1,3.0345,1,PeEc
r,R_STGa_ROI,368,1,-0.1,1,3.2319,1,-6.6348,1,0.80908,1,3.2054,1,STGa
r,R_PBelt_ROI,499,1,-0.0024649,1,3.0233,1,-12.902,1,0.90152,1,5.9674,1,PBelt
r,R_A5_ROI,978,1,-0.0045706,1,3.0461,1,-14.934,1,0.87921,1,5.7751,1,A5
r,R_PHA1_ROI,496,1,-0.16667,0.32661,2.5223,1,-3.2024,1,0.92821,1,2.9799,1,PHA1
r,R_PHA3_ROI,474,1,-0.053935,0.98101,2.7709,1,-12.323,1,0.89835,1,3.7642,1,PHA3
r,R_STSda_ROI,760,1,-0.033605,1,3.1415,1,-19.802,1,0.83505,1,5.0027,1,STSda
r,R_STSdp_ROI,1183,1,0.024734,1,2.949,1,-15.085,1,0.86325,1,5.5955,1,STSdp
r,R_STSvp_ROI,754,1,0.025743,1,3.127,1,-18.959,1,0.83895,1,5.7778,1,STSvp
r,R_TGd_ROI,1806,1,-0.094989,1,3.4005,1,-0.86947,1,0.81148,1,3.0857,1,TGd
r,R_TE1a_ROI,633,1,-0.014155,1,3.3442,1,-19.273,1,0.80092,1,5.4587,1,TE1a
r,R_TE1p_ROI,1157,1,0.0068885,1,3.1179,1,-16.487,1,0.85271,1,5.0905,1,TE1p
r,R_TE2a_ROI,1334,1,-0.015862,1,3.1354,1,-23.558,1,0.82385,1,5.9881,1,TE2a
r,R_TF_ROI,1370,1,-0.037854,1,2.9477,1,-17.861,1,0.84331,1,5.1032,1,TF
r,R_TE2p_ROI,862,1,-0.007181,1,2.9421,1,-18.93,1,0.8771,1,5.0043,1,TE2p
r,R_PHT_ROI,759,1,0.0094598,1,3.0139,1,-15.487,1,0.87254,1,4.4162,1,PHT
r,R_PH_ROI,720,1,0.016958,1,2.8654,1,-16.24,1,0.90581,1,3.196,1,PH
r,R_TPOJ1_ROI,1639,1,0.006327,1,2.8596,1,-15.834,1,0.87245,1,5.1524,1,TPOJ1
r,R_TPOJ2_ROI,827,1,-0.021258,1,2.9102,1,-17.332,1,0.88651,1,4.4975,1,TPOJ2
r,R_TPOJ3_ROI,532,1,-0.059248,1,2.6223,1,-16.628,1,0.91949,1,4.2344,1,TPOJ3
r,R_DVT_ROI,745,1,-0.0079866,1,2.5356,1,-13.805,1,0.94899,1,2.9307,1,DVT
r,R_PGp_ROI,846,1,0.019338,1,2.7748,1,-17.963,1,0.90577,1,4.6829,1,PGp
r,R_IP2_ROI,982,1,0.016232,1,2.6457,1,-16.288,1,0.88431,1,4.3213,1,IP2
r,R_IP1_ROI,1019,1,0.029107,1,2.772,1,-19.206,1,0.90207,1,4.308,1,IP1
r,R_IP0_ROI,547,1,0.023894,1,2.7726,1,-20.007,1,0.91687,1,4.7418,1,IP0
r,R_PFop_ROI,735,1,-0.010327,1,2.8303,1,-11.267,1,0.87517,1,4.8066,1,PFop
r,R_PF_ROI,1681,1,0.00605,1,3.0004,1,-20.139,1,0.85656,1,4.4057,1,PF
r,R_PFm_ROI,2349,1,0.021149,1,2.8959,1,-21.372,1,0.8667,1,4.4769,1,PFm
r,R_PGi_ROI,1982,1,-0.0016498,1,2.8881,1,-20.934,1,0.87055,1,4.7563,1,PGi
r,R_PGs_ROI,1245,1,0.026297,1,2.9024,1,-20.766,1,0.88002,1,4.6799,1,PGs
r,R_V6A_ROI,242,1,0.017686,1,2.5046,1,-16.276,1,0.97153,1,3.7842,1,V6A
r,R_VMV1_ROI,440,1,-0.16686,0.95455,2.4683,1,-8.1152,1,0.96464,1,2.0713,1,VMV1
r,R_VMV3_ROI,352,1,-0.012585,1,2.79,1,-14.128,1,0.93213,1,2.9894,1,VMV3
r,R_PHA2_ROI,386,1,-0.15743,0.48446,2.5496,1,-2.481,1,0.92073,1,2.852,1,PHA2
r,R_V4t_ROI,207,1,-0.0092271,1,2.7638,1,-13.06,1,0.94155,1,2.9408,1,V4t
r,R_FST_ROI,401,1,0.0093516,1,2.821,1,-15.082,1,0.90758,1,3.4766,1,FST
r,R_V3CD_ROI,392,1,0.026148,1,2.5883,1,-17.844,1,0.95181,1,3.7942,1,V3CD
r,R_LO3_ROI,347,1,-0.0021037,1,2.6955,1,-14.285,1,0.93942,1,3.5006,1,LO3
r,R_VMV2_ROI,340,1,-0.017043,0.96471,2.5804,1,-11.785,1,0.95003,1,2.7259,1,VMV2
r,R_31pd_ROI,502,1,-0.0044622,1,2.6404,1,-14.277,1,0.89944,1,3.487,1,31pd
r,R_31a_ROI,367,1,-0.02,1,2.5904,1,-16.002,1,0.89327,1,3.2587,1,31a
r,R_VVC_ROI,609,1,-0.024532,1,2.8111,1,-15.282,1,0.90992,1,3.5693,1,VVC
r,R_25_ROI,294,1,-0.011701,1,2.9348,1,-20.336,1,0.88259,1,4.7435,1,25
r,R_s32_ROI,327,1,0.013089,1,2.7869,1,-22.158,1,0.88887,1,4.861,1,s32
r,R_pOFC_ROI,824,0.94417,0.013111,0.94417,3.0345,0.94417,-24.561,0.94417,0.86693,0.94417,5.9643,0.94417,pOFC
r,R_PoI1_ROI,867,1,-0.032284,1,3.3254,1,-13.632,1,0.88948,1,0.5804,1,PoI1
r,R_Ig_ROI,489,1,-0.051922,1,2.8941,1,-15.238,1,0.89798,1,1.7842,1,Ig
r,R_FOP5_ROI,733,1,0.028131,1,2.8294,1,-18.177,1,0.84993,1,4.5744,1,FOP5
r,R_p10p_ROI,640,1,0.05775,1,2.6455,1,-19.694,1,0.85994,1,5.7693,1,p10p
r,R_p47r_ROI,533,1,0.081238,1,2.8093,1,-21.364,1,0.85038,1,5.2093,1,p47r
r,R_TGv_ROI,716,1,-0.061285,1,3.1057,1,-9.7663,1,0.80648,1,3.8792,1,TGv
r,R_MBelt_ROI,454,1,-0.0088326,1,2.8185,1,-14.134,1,0.93496,1,5.8357,1,MBelt
r,R_LBelt_ROI,457,1,-0.015186,1,3.0417,1,-13.018,1,0.91915,1,6.4581,1,LBelt
r,R_A4_ROI,855,1,0.0037076,1,3.0537,1,-14.204,1,0.88873,1,5.8582,1,A4
r,R_STSva_ROI,580,1,-0.0066034,1,3.2559,1,-21.286,1,0.81426,1,5.8884,1,STSva
r,R_TE1m_ROI,639,1,0.0023161,1,3.1942,1,-21.287,1,0.82887,1,5.9857,1,TE1m
r,R_PI_ROI,632,1,-0.036203,1,3.0475,1,-8.2471,1,0.8404,1,3.8903,1,PI
r,R_a32pr_ROI,602,1,0.0059801,1,3.0576,1,-18.621,1,0.861,1,2.6732,1,a32pr
r,R_p24_ROI,366,1,-0.10525,1,2.7877,1,-10.512,1,0.89,1,1.34,1,p24
