gene,gene_original,PLS1_z,PLS2_z
MAPK4,MAPK4,-2.697136,8.03882
MYOM2,MYOM2,-6.807181,8.038337
KCNH5,KCNH5,-4.639098,8.037906
FAM84A,FAM84A,-2.54666,8.032772
WNT2,WNT2,-5.049322,8.018347
MYH7B,MYH7B,7.292059,8.018145
LY86-AS1,LY86-AS1,-11.180759,8.017549
NMU,NMU,-5.969987,7.987316
FBXO32,FBXO32,13.418075,7.978261
NTN4,NTN4,1.537668,7.978093
IGFBP4,IGFBP4,-7.138995,7.975375
GMPPB,GMPPB,-8.117863,7.962656
AKAP8,AKAP8,-8.7323,7.923695
SLC22A18,SLC22A18,-8.092641,7.915099
ACSF3,ACSF3,1.52412,7.903498
MPO,MPO,-11.275808,7.888037
C12orf64,C12orf64,-9.242516,7.883862
GABRD,GABRD,14.125968,7.876067
CYP2E1,CYP2E1,1.291116,7.866
KLK5,KLK5,-12.072763,7.854668
PRTN3,PRTN3,-8.47909,7.85279
LOC375295,LOC375295,-7.481489,7.844811
GPX3,GPX3,-2.299556,7.832936
TMEM155,TMEM155,-0.030816,7.831269
SLC29A1,SLC29A1,7.870694,7.830866
FBXW7,FBXW7,3.159264,7.815858
YPEL5,YPEL5,-8.168791,7.81192
AC109486.1,AC109486.1,-1.524578,7.79732
PTRH2,PTRH2,-10.191605,7.794345
SEC16B,SEC16B,-4.393726,7.773791
PPID,PPID,-10.698142,7.773265
PHKG2,PHKG2,-1.876204,7.765531
APEH,APEH,-10.521044,7.759122
PICK1,PICK1,0.538347,7.752786
EFNA5,EFNA5,7.733744,7.742368
ZSCAN29,ZSCAN29,4.283549,7.735377
THEG,THEG,-6.465003,7.733947
TNNT3,TNNT3,-4.04856,7.731018
ATG5,ATG5,-2.77977,7.716028
CLP1,CLP1,1.023368,7.710303
LCP2,LCP2,-1.92072,7.693467
VSNL1,VSNL1,1.968843,7.668292
WSB2,WSB2,-10.629683,7.665224
DRGX,DRGX,-2.223148,7.660007
SLC10A4,SLC10A4,-5.026771,7.651256
PTH2R,PTH2R,0.507596,7.636084
CCDC184,C12orf68,4.995524,7.631312
BMPER,BMPER,1.8819,7.62502
NTHL1,NTHL1,-0.097397,7.603407
KCNA2,KCNA2,10.748248,7.602042
TPK1,TPK1,-2.49177,7.586592
