gene,gene_original,PLS1_z,PLS2_z
AC092324.1,AC092324.1,-13.783718,1.666595
MIA2,MIA2,-2.14303,1.666593
GPR146,GPR146,9.632398,1.6654
C9orf11,C9orf11,1.895383,1.665284
KPNA5,KPNA5,7.998034,1.664845
SCN8A,SCN8A,11.628055,1.664839
A4GALT,A4GALT,-2.618387,1.664449
GALNT15,GALNTL2,0.8322,1.663517
GSTO1,GSTO1,-2.815561,1.662873
CALML6,CALML6,7.372667,1.6624
XKR9,XKR9,6.268058,1.662299
PDHB,PDHB,-10.547136,1.661641
PRKCQ,PRKCQ,-5.984884,1.661561
ARL2,ARL2,1.402098,1.661247
SPATA6L,C9orf68,-2.989565,1.661243
SLC39A1,SLC39A1,-3.102019,1.660388
BTBD1,BTBD1,-4.597172,1.658885
MUSK,MUSK,3.224134,1.658105
RNF182,RNF182,-4.281462,1.656241
PKM,PKM2,5.702558,1.656045
LOC653653,LOC653653,0.548036,1.655931
JADE1,PHF17,12.044109,1.655445
GALNT3,GALNT3,8.948141,1.652932
SCRN3,SCRN3,-0.847543,1.652504
RTN3,RTN3,-3.989825,1.652272
MRAP,MRAP,-0.259372,1.652214
DPYS,DPYS,-7.721732,1.651557
FLT1,FLT1,10.266041,1.65084
VPS26B,VPS26B,-15.287239,1.650783
ADAMTS4,ADAMTS4,2.306195,1.650728
MFAP3L,MFAP3L,11.404685,1.649749
ATL1,ATL1,-8.535893,1.649421
NCK1,NCK1,1.947135,1.648796
OR5B2,OR5B2,2.345603,1.648231
PRDM15,PRDM15,3.698846,1.648203
LINC00482,LINC00482,0.377406,1.648132
NKD1,NKD1,4.854659,1.647993
ANKRD30A,ANKRD30A,-1.484669,1.647392
PRMT9,PRMT10,7.743248,1.647267
C2orf53,C2orf53,2.093231,1.647218
LRP2,LRP2,-0.895893,1.646605
CHST15,CHST15,-8.77343,1.646464
COX8A,COX8A,-4.280983,1.646327
SKOR1,SKOR1,4.297192,1.646027
ZNF536,ZNF536,1.041897,1.645686
UGT2B10,UGT2B10,-3.217343,1.645677
PVRL4,PVRL4,0.648477,1.645187
PIK3CA,PIK3CA,13.581748,1.645171
MRC1,MRC1L1,-14.211758,1.645167
DEPDC4,DEPDC4,-6.446669,1.644726
PPARGC1B,PPARGC1B,13.104136,1.641528
LOC401913,LOC401913,2.371879,1.640164
CEP72,CEP72,-9.238712,1.640127
FAM178B,FAM178B,6.767814,1.639938
OSTN,OSTN,0.445272,1.639899
SURF6,SURF6,-10.987166,1.638462
SOX6,SOX6,-5.642466,1.638424
MORC4,MORC4,-1.594808,1.637866
POLR1B,POLR1B,1.708016,1.637623
SNRNP40,SNRNP40,5.844057,1.63744
ADAM9,ADAM9,9.339812,1.636086
TTLL12,TTLL12,1.18583,1.635726
LOC100133287,LOC100133287,0.311153,1.635525
PAOX,PAOX,-4.528743,1.635507
MRPL37,MRPL37,-15.354017,1.633398
NAPA,NAPA,7.645702,1.632606
WDHD1,WDHD1,-7.224457,1.632562
KIF9,KIF9,3.117883,1.6316
ST8SIA6,ST8SIA6,3.216164,1.63038
FGD6,FGD6,-3.841079,1.63018
RP4-665J23.1,RP4-665J23.1,-2.88274,1.629922
VMP1,TMEM49,8.301807,1.628729
NDUFA11,NDUFA11,-12.377158,1.628647
MRPL40,MRPL40,-3.393349,1.62848
DNAJC2,DNAJC2,-15.00063,1.628343
ODF4,ODF4,5.290322,1.626804
KCNAB3,KCNAB3,23.368383,1.624745
PI3,PI3,-2.665471,1.62449
IMMP1L,IMMP1L,-7.52066,1.624429
STAM,STAM,3.13589,1.623946
LOC100130557,LOC100130557,12.702064,1.623726
PXT1,PXT1,-1.215548,1.623349
CCDC30,CCDC30,0.508479,1.623242
LOC728763,LOC728763,1.687728,1.622749
PLA2G12B,PLA2G12B,-2.638997,1.622253
LOC257358,LOC257358,-2.640224,1.622056
SH3TC1,SH3TC1,-9.528806,1.621116
PRUNE,PRUNE,-4.923493,1.620826
LOC100286895,LOC100286895,-1.863892,1.620584
COMMD9,COMMD9,-11.21296,1.620393
BCL6B,BCL6B,7.615229,1.620049
HIST1H1E,HIST1H1E,10.748665,1.61985
TYMSOS,C18orf56,1.456326,1.619815
ZNF596,ZNF596,7.598624,1.619699
FLT3LG,FLT3LG,-4.103391,1.616784
RASIP1,RASIP1,3.388072,1.616376
OBP2B,OBP2B,-1.724548,1.616338
AP3S2,AP3S2,-11.446413,1.616252
SLC7A3,SLC7A3,-11.729934,1.61422
OXNAD1,OXNAD1,7.547401,1.614168
LOR,LOR,-14.197312,1.61414
ACOT4,ACOT4,-7.259748,1.613752
SENP3,SENP3,-3.749697,1.613243
RXYLT1,TMEM5,-9.510249,1.612215
PLEKHM3,PLEKHM3,5.542533,1.611908
MFSD4,MFSD4,-7.370114,1.611307
XPO5,XPO5,-1.281941,1.610109
EIF5,EIF5,4.76752,1.608747
MFAP2,MFAP2,-1.353086,1.608732
ZFP28,ZFP28,-5.027156,1.60819
TRIM27,TRIM27,-18.215116,1.6069
DDX25,DDX25,-11.585272,1.606668
OCA2,OCA2,-15.451208,1.606525
LINC00520,LINC00520,1.819686,1.606257
BNC1,BNC1,-0.186721,1.606139
ETAA1,ETAA1,5.336411,1.605783
MYL7,MYL7,-5.505897,1.605342
SDHAF2,SDHAF2,7.008896,1.605068
MSL2,MSL2,12.954698,1.603446
SIRPB1,SIRPB1,-5.398977,1.602976
C1orf126,C1orf126,-1.248169,1.602601
DHRS4,DHRS4,-11.220392,1.602466
LOC100287487,LOC100287487,0.492321,1.602429
TECPR1,TECPR1,-4.482694,1.602226
CPPED1,CPPED1,3.999389,1.602043
PSG11,PSG11,-3.277132,1.601697
C12orf10,C12orf10,2.873004,1.600936
ASB5,ASB5,-6.294271,1.60013
P2RX3,P2RX3,2.617409,1.599765
AGRP,AGRP,-4.767976,1.59973
FAAH,FAAH,-6.129983,1.598214
TRIM17,TRIM17,-11.971954,1.598037
TMEM109,TMEM109,11.38553,1.597701
STK19P,STK19P,0.615044,1.597057
FGFR2,FGFR2,3.522146,1.5968
SEMA4C,SEMA4C,9.545365,1.595296
AC068580.3,AC068580.3,1.387477,1.594827
HRASLS2,HRASLS2,-8.036373,1.594489
ZNF214,ZNF214,3.483603,1.594068
NKX6-1,NKX6-1,4.424625,1.593603
MRPL48,MRPL48,6.750637,1.593181
ACTR1A,ACTR1A,-12.720468,1.593128
LMOD3,LMOD3,15.837779,1.59193
UBIAD1,UBIAD1,-3.490029,1.591552
TMPRSS11D,TMPRSS11D,-0.599724,1.591424
ARHGEF11,ARHGEF11,11.55419,1.591402
GSDME,DFNA5,-2.788319,1.590391
CLASP2,CLASP2,5.300654,1.590079
PCDH8,PCDH8,-8.038046,1.589765
C3orf63,C3orf63,1.902034,1.589682
VKORC1L1,VKORC1L1,-15.039317,1.589155
FAM136BP,FAM136BP,-5.178339,1.588864
SCTR,SCTR,0.142285,1.588024
NPC1L1,NPC1L1,-0.382324,1.587401
ST8SIA1,ST8SIA1,11.92525,1.58664
LMF1,LMF1,-3.001995,1.584504
AZGP1,AZGP1,8.701967,1.583762
IHH,IHH,-8.65854,1.582889
C10orf12,C10orf12,-1.669505,1.582269
MAPK8,MAPK8,6.516983,1.579868
LIPJ,LIPJ,3.614309,1.579744
NPVF,NPVF,1.710867,1.578585
NAA30,NAA30,-6.579502,1.578272
MRPS18C,MRPS18C,-7.654932,1.577884
MBD1,MBD1,-4.414981,1.577228
FBXO6,FBXO6,-10.709418,1.576575
DSPP,DSPP,0.385872,1.576472
XPO4,XPO4,5.733178,1.57641
TMEM132A,TMEM132A,-8.35317,1.575895
AXIN2,AXIN2,-5.735399,1.575775
MMGT1,MMGT1,-4.612364,1.574118
INTS5,INTS5,1.141418,1.574013
INHBE,INHBE,-3.232295,1.573295
DNALI1,DNALI1,-8.544131,1.572923
TFEB,TFEB,5.621297,1.572764
SEC24A,SEC24A,-5.578055,1.572749
IGF1,IGF1,-16.655107,1.571559
C14orf48,C14orf48,1.398558,1.57069
UCP1,UCP1,-0.072337,1.570213
HLA-DRB6,HLA-DRB6,1.380869,1.568118
LOC728142,LOC728142,-9.391989,1.566822
SDSL,SDSL,6.735234,1.566337
TMEM8A,TMEM8A,-11.337952,1.566321
ATP6AP1,ATP6AP1,-11.828513,1.565989
HGH1,C8orf30B,-12.768715,1.565723
MMADHC,MMADHC,-5.251664,1.565433
NR1H3,NR1H3,-11.672435,1.565404
HUNK,HUNK,8.467546,1.564124
PPL,PPL,9.216044,1.563907
HEPACAM2,HEPACAM2,-1.854766,1.562703
IQCF3,IQCF3,-14.302858,1.561491
CDK2,CDK2,-6.115774,1.560984
EVI2B,EVI2B,-10.388275,1.560656
EP400NL,EP400NL,-6.895463,1.560447
COPS7B,COPS7B,2.893078,1.559067
PSMD1,PSMD1,-13.886011,1.558482
EZH2,EZH2,6.645841,1.557647
HES7,HES7,-3.610504,1.556379
RAP2A,RAP2A,3.081704,1.556023
GLB1L2,GLB1L2,2.567849,1.554422
PRDM10,PRDM10,-2.323445,1.553315
MAP4K2,MAP4K2,11.345722,1.553104
GPS1,GPS1,-9.024339,1.553023
HBE1,HBE1,-10.917234,1.552342
MDFIC,MDFIC,-8.335996,1.55139
ZNF774,ZNF774,12.230809,1.551356
RCAN3,RCAN3,1.986526,1.551153
SCN10A,SCN10A,4.329993,1.550941
UNC5B,UNC5B,-0.185751,1.550743
SERTAD2,SERTAD2,9.420508,1.550318
APEX2,APEX2,-10.423904,1.549606
DNAH1,DNAH1,6.145007,1.548956
DCUN1D5,DCUN1D5,-14.635076,1.548079
CYS1,CYS1,-6.117116,1.54798
BANF1,BANF1,-4.899347,1.547618
GSK3A,GSK3A,-3.166723,1.547169
MYOZ2,MYOZ2,6.56206,1.546557
CLEC10A,CLEC10A,1.024466,1.545934
IGIP,C5orf53,8.303797,1.545615
SPTLC2,SPTLC2,0.813093,1.545349
RHO,RHO,5.244305,1.545114
IVNS1ABP,IVNS1ABP,10.522637,1.544733
SUMO1P1,SUMO1P1,-3.72324,1.54444
CNNM2,CNNM2,12.008517,1.544409
RTBDN,RTBDN,-13.054979,1.544111
LOC100289070,LOC100289070,1.131856,1.544088
PRKG2,PRKG2,-1.292581,1.54319
ATXN7L3,ATXN7L3,3.554639,1.542911
SPANXN4,SPANXN4,-0.525861,1.542033
GGTLC1,GGTLA3,7.033784,1.541493
ZNF623,ZNF623,0.387136,1.541275
OSBPL6,OSBPL6,18.700304,1.541184
PRKCE,PRKCE,4.400432,1.541158
OR8B2,OR8B2,3.99311,1.540377
GUCA1B,GUCA1B,2.546057,1.53867
CALM3,CALM3,-18.319242,1.537726
NR0B2,NR0B2,3.998181,1.537494
SLF1,ANKRD32,2.279912,1.536852
PLEKHG6,PLEKHG6,3.04097,1.536299
ADAM5P,ADAM5P,-2.043907,1.536239
WDR45,WDR45,1.517959,1.535247
RASAL2,RASAL2,0.277894,1.535132
LOC344382,LOC344382,-10.915788,1.534493
LRIT1,LRIT1,0.074088,1.534446
SIRT4,SIRT4,11.220218,1.534266
BNC2,BNC2,-2.969165,1.533823
DKFZp434L192,DKFZp434L192,2.09782,1.533184
CASP1,CASP1,-13.876449,1.532962
MIR17HG,MIR17HG,-4.996516,1.532586
ATG16L1,ATG16L1,14.393698,1.532239
CD58,CD58,-7.101542,1.532028
GRID1,GRID1,3.765058,1.53176
CX3CR1,CX3CR1,-12.999689,1.531525
JPX,JPX,-2.823991,1.531396
RBM20,RBM20,7.986435,1.529993
RRAGA,RRAGA,-1.678191,1.529942
LOC729983,LOC729983,-4.469654,1.529463
DGAT2,DGAT2,-5.012175,1.529295
CS,CS,10.422758,1.528608
LDHC,LDHC,-9.781957,1.528297
CLOCK,CLOCK,7.970323,1.528252
NUP214,NUP214,-1.970063,1.528084
RCN3,RCN3,11.046374,1.528043
NAP1L1,NAP1L1,7.965151,1.52763
MUSTN1,MUSTN1,8.626768,1.527079
NDUFAF5,C20orf7,7.823953,1.526287
GATC,GATC,-1.839533,1.52622
MLF2,MLF2,-3.55689,1.524672
C19orf34,C19orf34,3.843379,1.524085
FSIP1,FSIP1,-10.183043,1.523833
SLC25A44,SLC25A44,16.576127,1.522883
TM7SF3,TM7SF3,0.246488,1.522862
CLCN3,CLCN3,1.573911,1.522487
MREG,MREG,7.718033,1.522347
DALRD3,DALRD3,-4.629925,1.522255
DCUN1D2,DCUN1D2,16.284009,1.522211
LRRC45,LRRC45,9.432142,1.522036
ACSM4,ACSM4,2.678258,1.521703
ZNF566,ZNF566,4.568176,1.521098
FTLP17,FTLP17,-0.039623,1.520566
SWSAP1,C19orf39,-9.128826,1.519864
SLC41A2,SLC41A2,-4.967735,1.518458
CREB3L1,CREB3L1,-9.991385,1.517741
C16orf54,C16orf54,-1.981041,1.517012
AC090099.4,AC090099.4,3.38249,1.516616
LOC284804,LOC284804,0.557143,1.515714
OR6C74,OR6C74,-1.002899,1.515608
KPRP,KPRP,1.804589,1.515271
SLC39A2,SLC39A2,-0.540406,1.514898
PCDHB15,PCDHB15,10.438013,1.514113
OARD1,C6orf130,-8.968829,1.513963
CDRT1,CDRT1,-3.209018,1.513772
ARID3C,ARID3C,2.993322,1.513728
NUP93,NUP93,-0.778889,1.513157
FLJ40292,FLJ40292,8.649962,1.512507
C20orf203,C20orf203,-1.400963,1.511304
ALDH3B2,ALDH3B2,-1.047116,1.510155
VAX1,VAX1,2.578659,1.510092
RGPD8,RGPD8,-1.860492,1.508833
GLCCI1,GLCCI1,16.365179,1.508791
MMP15,MMP15,9.343349,1.508066
TGFB1I1,TGFB1I1,-3.025275,1.507205
SRSF8,SRSF8,3.474763,1.506593
CES5AP1,CES5AP1,0.523856,1.506471
ABCA2,ABCA2,-1.068951,1.505026
DLL1,DLL1,2.017431,1.504673
ADCY1,ADCY1,10.491177,1.503172
CDC25A,CDC25A,-7.785418,1.50244
BST2,BST2,-3.238413,1.501849
RP11-305M3.3,RP11-305M3.3,-9.891823,1.500847
PBX1,PBX1,3.274821,1.500533
CAPN5,CAPN5,-9.442759,1.499244
P2RY2,P2RY2,-9.222393,1.498931
RAB40AL,RAB40AL,2.307428,1.498841
GRIN1,GRIN1,1.622843,1.498199
PROK1,PROK1,-1.555664,1.49764
CA11,CA11,-12.028821,1.497516
PLSCR2,PLSCR2,-2.555428,1.497357
GBA2,GBA2,-0.634966,1.497014
LOC100131943,LOC100131943,15.30763,1.496207
LETM2,LETM2,0.308739,1.495677
DNHD1,DNHD1,6.927245,1.495324
TAF5L,TAF5L,8.533022,1.494428
TICAM1,TICAM1,9.457983,1.493738
KIF3C,KIF3C,-8.159137,1.493173
DLL4,DLL4,5.477115,1.493073
RIPK4,RIPK4,-0.310292,1.492598
SWI5,C9orf119,-15.818557,1.492254
THBS2,THBS2,1.946477,1.491956
NDP,NDP,-13.897441,1.491496
MAPK1IP1L,MAPK1IP1L,-12.241716,1.491163
GRIK1,GRIK1,-8.064564,1.490649
LILRB3,LILRB3,-8.861537,1.490151
LOC100288144,LOC100288144,3.768779,1.489879
PISD,PISD,-4.541725,1.489769
INS,INS,3.144851,1.489399
DEFB128,DEFB128,1.769404,1.489064
MAGEA4,MAGEA4,-1.87054,1.489062
SWT1,C1orf26,3.605004,1.48835
MRPL38,MRPL38,-0.467653,1.487733
OR6C68,OR6C68,-0.493415,1.487205
TBC1D29,TBC1D29,1.082543,1.487051
C12orf56,C12orf56,-2.405756,1.486412
MAP9,MAP9,12.614214,1.486381
EIF4A2,EIF4A2,14.368234,1.486058
TMTC3,TMTC3,-7.005888,1.485215
RAP1GDS1,RAP1GDS1,-4.028604,1.485047
MELK,MELK,-1.975024,1.48389
ZNF391,ZNF391,-3.61566,1.482737
NUDT1,NUDT1,-0.732923,1.482493
THAP2,THAP2,9.20162,1.482313
ARNT,ARNT,14.938943,1.482099
VWA5B1,VWA5B1,-0.024961,1.480909
DEFB112,DEFB112,2.103075,1.480861
ZNF628,ZNF628,-1.332573,1.477973
FAM117B,FAM117B,1.423195,1.477041
LRRN4CL,LRRN4CL,-7.987096,1.4764
LOC100286909,LOC100286909,16.904955,1.476155
AREG,AREG,-2.245288,1.475377
KATNB1,KATNB1,-2.289576,1.474586
E2F7,E2F7,-0.669838,1.473265
PHB2,PHB2,0.295363,1.472504
NUDCD3,NUDCD3,3.081972,1.472097
RAB27A,RAB27A,4.665099,1.471881
HMGCR,HMGCR,-9.90564,1.471286
TMED3,TMED3,-5.438747,1.470654
ERG28,C14orf1,-3.630767,1.470363
FDFT1,FDFT1,-11.424786,1.470158
CNTN2,CNTN2,3.78311,1.46999
STK32C,STK32C,-14.66937,1.469973
MAGEA1,MAGEA1,0.115503,1.469358
TNFSF4,TNFSF4,2.048012,1.469225
C1QA,C1QA,-11.688525,1.469145
SYCE3,C22orf41,-7.847763,1.46891
MMP11,MMP11,1.379331,1.468893
KNG1,KNG1,12.380543,1.468115
C10orf53,C10orf53,-1.977382,1.468019
ACTL10,C20orf134,-1.432883,1.46764
UBQLN1,UBQLN1,0.264564,1.46732
TSC22D3,TSC22D3,5.768904,1.467242
GCM2,GCM2,-0.063269,1.46677
PIM1,PIM1,17.46362,1.466692
SELE,SELE,2.342167,1.466648
UQCC1,UQCC,-8.890411,1.466579
MAGEB4,MAGEB4,0.940959,1.466054
LRTM2,LRTM2,-0.545037,1.465991
MSH5,MSH5,-11.136173,1.465484
LOC390660,LOC390660,1.544141,1.465274
TRIM60,TRIM60,-0.017554,1.46516
CHKB,CHKB,3.436636,1.463196
KBTBD7,KBTBD7,-3.990764,1.462908
LOC100130285,LOC100130285,-2.279025,1.462749
NR1D1,NR1D1,12.793367,1.462383
BIN2,BIN2,-8.051913,1.462237
RIOX2,MINA,-5.922532,1.461622
BLOC1S4,CNO,-2.784515,1.460601
BMP8B,BMP8B,3.686231,1.459844
TCHHL1,TCHHL1,1.062789,1.459433
GPM6A,GPM6A,-10.182982,1.458598
PPFIBP1,PPFIBP1,0.827244,1.457961
TLE6,TLE6,-5.173064,1.457806
LOC340085,LOC340085,1.18967,1.457501
DHX15,DHX15,8.545927,1.456346
MSH4,MSH4,15.633989,1.45594
ZNF563,ZNF563,-0.871192,1.45571
KLHL11,KLHL11,9.444222,1.454867
LAYN,LAYN,1.887213,1.454168
RNF168,RNF168,10.270336,1.453303
CNDP1,CNDP1,6.448182,1.452812
COIL,COIL,7.70634,1.451843
TMEFF2,TMEFF2,-21.056892,1.451494
PLCG1,PLCG1,5.072519,1.450969
USP6,USP6,3.947151,1.45089
SRGAP3,SRGAP3,4.607021,1.45071
ACSM5,ACSM5,-16.295761,1.45052
BACH1,BACH1,6.674188,1.449837
TOLLIP,TOLLIP,-8.254316,1.449679
CCDC116,CCDC116,-1.709953,1.449669
GRM1,GRM1,-13.69958,1.448457
IFFO1,IFFO1,13.108624,1.448218
NME1,NME1,-6.506428,1.447103
LINC00472,LINC00472,12.621296,1.446283
EPN1,EPN1,-7.930692,1.445685
SNHG15,C7orf40,-7.206112,1.445405
AMN1,AMN1,-9.756933,1.445154
CFHR4,CFHR4,7.125554,1.444811
CXorf51A,CXorf51A,2.418733,1.444449
XRRA1,XRRA1,3.100665,1.444433
PCLO,PCLO,-7.630048,1.444253
PLXND1,PLXND1,-3.576856,1.443054
ZNF878,ZNF878,-1.068143,1.441617
DEFA5,DEFA5,-3.06972,1.441201
MZT1,C13orf37,-3.017269,1.441061
CHCHD4,CHCHD4,0.11661,1.441017
AKR1C1,AKR1C1,-7.092925,1.439812
NRM,NRM,1.491761,1.439163
FZD5,FZD5,4.267301,1.439025
AGXT2,AGXT2,-0.61132,1.438522
C2orf47,C2orf47,0.944835,1.438131
AC004080.12,AC004080.12,1.388069,1.43773
C10orf88,C10orf88,-3.115432,1.437396
ZKSCAN2,ZKSCAN2,-0.506858,1.437356
SLC15A4,SLC15A4,9.833422,1.437118
FGF2,FGF2,-3.936566,1.437035
FAM48B2,FAM48B2,-0.691152,1.435386
SLC8A2,SLC8A2,-9.835843,1.435141
LOC286434,LOC286434,10.698112,1.435127
RPP25L,C9orf23,1.957803,1.434807
MRPS18B,MRPS18B,-4.448154,1.434775
LRRC6,LRRC6,2.105792,1.434641
CHRND,CHRND,0.901733,1.4346
KCNH2,KCNH2,-9.275594,1.434207
NIPAL4,NIPAL4,3.004899,1.433647
RNASEK,RNASEK,-15.369614,1.433449
EVC,EVC,-2.816427,1.432786
SLC25A43,SLC25A43,1.081769,1.432762
PUSL1,PUSL1,-15.510828,1.432681
ACER3,ACER3,3.981059,1.432172
KTI12,KTI12,5.609254,1.432084
UQCRC1,UQCRC1,3.420439,1.43155
ZKSCAN1,ZKSCAN1,3.329835,1.431139
C13orf3,C13orf3,1.066194,1.430904
C14orf91,C14orf91,10.478091,1.43088
LOC100130171,LOC100130171,4.639004,1.43005
SUPV3L1,SUPV3L1,10.550682,1.429617
F13B,F13B,2.667415,1.429266
SLC2A7,SLC2A7,-0.62642,1.428178
WAPL,WAPAL,9.404016,1.426517
OSER1,C20orf111,-5.98827,1.426273
OBSCN,OBSCN,-11.504047,1.425921
NDNF,C4orf31,-4.007449,1.425676
DDX50,DDX50,0.729405,1.42531
C3orf67,C3orf67,-7.595202,1.42495
CTNS,CTNS,-4.211544,1.424829
POLR1C,POLR1C,-2.847281,1.424302
SLC9A4,SLC9A4,0.406477,1.423937
PLOD3,PLOD3,2.5621,1.423665
CSF2RA,CSF2RA,-12.259222,1.422797
NUP62CL,NUP62CL,-1.392744,1.421583
YTHDF2,YTHDF2,-7.293228,1.421411
DHRS11,DHRS11,2.322924,1.421118
C9orf71,C9orf71,0.928335,1.420494
PDGFA,PDGFA,-6.805423,1.420229
SAT2,SAT2,11.635621,1.418531
CXCL14,CXCL14,-3.836455,1.41847
CST5,CST5,-4.099997,1.418431
HIST1H2AM,HIST1H2AM,-1.540563,1.418131
TFAMP1,TFAMP1,-2.783205,1.417946
KLHL2,KLHL2,-16.212421,1.417433
TNFAIP1,TNFAIP1,-2.083254,1.416347
C7orf33,C7orf33,3.42444,1.415755
TTTY10,TTTY10,1.660868,1.415581
KBTBD11,KBTBD11,3.973388,1.41548
LINC00852,GHRLOS2,-1.064698,1.415384
ENG,ENG,5.106572,1.413676
ANKH,ANKH,16.765159,1.413479
CA5BP1,CA5BP,-2.981423,1.413172
SBF1P1,SBF1P1,-6.74225,1.412863
SLC9B2,NHEDC2,2.036329,1.41269
FCGR2B,FCGR2B,-4.062735,1.412574
COMMD8,COMMD8,0.499325,1.41077
NALCN,NALCN,0.222498,1.410341
HIST1H4D,HIST1H4D,7.326551,1.410208
LDLRAP1,LDLRAP1,5.338638,1.409864
KCNG3,KCNG3,-14.607698,1.409769
ATF2,ATF2,4.381728,1.409764
IGHG4,IGHG4,-0.489745,1.409026
MRPL17,MRPL17,-5.739092,1.408064
MAP3K19,MAP3K19,9.899324,1.407981
IRS2,IRS2,-3.971412,1.407675
ZNF705C,ZNF705C,3.708434,1.406999
MSX2,MSX2,-5.33523,1.406842
CHI3L1,CHI3L1,0.323816,1.406489
FAM9C,FAM9C,-6.032219,1.406479
LDB3,LDB3,2.745412,1.405659
CYHR1,CYHR1,-12.908594,1.404464
RCHY1,RCHY1,-12.845701,1.404367
DOCK5,DOCK5,0.80629,1.40388
RBM24,RBM24,-9.071082,1.403085
LIN28B,LIN28B,6.955977,1.402334
FRA10AC1,C10orf4,0.891421,1.401826
EFNA3,EFNA3,-3.092595,1.401588
S1PR2,S1PR2,0.877061,1.401302
PRAMEL,PRAMEL,0.694432,1.401161
MITF,MITF,10.001405,1.401116
DRC1,C2orf39,-8.180906,1.400482
ZNF740,ZNF740,16.096414,1.398379
CDC27,CDC27,-12.238501,1.398247
RILPL1,RILPL1,-10.055925,1.397931
C9orf153,C9orf153,7.550839,1.397065
LOC150197,LOC150197,2.183953,1.396762
VIP,VIP,-4.094165,1.396675
EAF1,EAF1,-4.712032,1.396614
PDE6G,PDE6G,1.460069,1.396588
ZNF26,ZNF26,-5.803803,1.394758
ZNF260,ZNF260,6.2903,1.394495
GDPD5,GDPD5,2.197488,1.394407
LOC644762,LOC644762,-0.172267,1.393373
APEX1,APEX1,-6.982037,1.392571
CELSR2,CELSR2,11.216944,1.392408
LRIF1,C1orf103,2.207262,1.392177
FAM13A,FAM13A,4.561147,1.391345
GALNT6,GALNT6,1.474704,1.390954
LOC100288908,LOC100288908,1.628637,1.390942
SLC36A4,SLC36A4,3.302772,1.390266
LRFN5,LRFN5,10.51943,1.389982
PSTK,PSTK,-3.607454,1.389738
RLBP1,RLBP1,-13.326411,1.389383
MCTS1,MCTS1,-0.555764,1.389247
ASB13,ASB13,20.072309,1.388966
HAR1A,HAR1A,11.143995,1.388721
UBE2C,UBE2C,-0.784645,1.388332
TSHZ3,TSHZ3,2.697276,1.388129
PRR11,PRR11,0.98985,1.387566
SEC61A2,SEC61A2,-6.381873,1.387538
SLIRP,C14orf156,-11.66216,1.386496
NEDD4,NEDD4,-7.772292,1.385693
NECAB3,NECAB3,11.345261,1.385072
C1QL2,C1QL2,-17.00673,1.38493
DGKZ,DGKZ,-6.674831,1.384683
NKX6-2,NKX6-2,2.315894,1.383234
MIER2,MIER2,1.0335,1.382965
AC013271.3,AC013271.3,-3.414053,1.3827
ZCCHC4,ZCCHC4,11.0146,1.38216
LOC100289525,LOC100289525,9.225419,1.381622
KPNA2,KPNA2,-8.78601,1.380481
LIN52,LIN52,5.013769,1.380225
SAMD4B,SAMD4B,-2.877641,1.38014
ERI2,ERI2,-0.631961,1.379965
METTL18,C1orf156,10.175275,1.377972
TRAPPC8,KIAA1012,2.573186,1.376936
ANK3,ANK3,12.739723,1.376815
KIF24,KIF24,-3.046683,1.375799
WDR3,WDR3,-8.611072,1.375157
ELOC,TCEB1,-8.137888,1.374283
PKIG,PKIG,-6.141581,1.37406
HOXD13,HOXD13,0.344525,1.37263
HACE1,HACE1,4.902712,1.372423
KSR1,KSR1,-2.537034,1.372303
OR8K1,OR8K1,0.834633,1.372133
CARS,CARS,4.427704,1.371603
AC100803.1,AC100803.1,7.722458,1.371369
NHEJ1,NHEJ1,1.790503,1.370989
PSMB5,PSMB5,-10.215174,1.370736
DLX2,DLX2,-6.942435,1.370236
DBP,DBP,2.684907,1.370119
NEMP1,TMEM194A,-0.042828,1.369301
XRCC2,XRCC2,-2.810675,1.368949
SORCS1,SORCS1,7.447404,1.368398
MEP1B,MEP1B,-0.779901,1.3682
CLDN17,CLDN17,2.395701,1.3679
HOPX,HOPX,-9.282315,1.367726
CHCHD2P6,CHCHD2P6,-9.784779,1.367496
SCGB3A2,SCGB3A2,-6.218272,1.367251
CALU,CALU,-10.389891,1.367026
AC007743.1,AC007743.1,2.252511,1.366646
AC107983.3,AC107983.3,-2.577135,1.366318
UGT3A2,UGT3A2,2.575719,1.365896
CNOT11,C2orf29,3.150074,1.365654
C6orf62,C6orf62,-5.473129,1.36542
GRM7,GRM7,-2.193629,1.364763
SLC23A1,SLC23A1,0.259435,1.364177
GRID2IP,GRID2IP,8.333749,1.363679
NUP85,NUP85,-10.37562,1.36328
PSG2,PSG2,-0.37462,1.363138
CAPN6,CAPN6,-2.715147,1.363016
SNRNP25,SNRNP25,-3.452522,1.362314
IL9,IL9,1.877624,1.361973
CRHR1,CRHR1,-1.127201,1.35955
EXT1,EXT1,-5.631286,1.358971
FAM19A3,FAM19A3,13.284417,1.358511
CWC27,SDCCAG10,-0.715161,1.357722
CRYGB,CRYGB,2.092697,1.357426
PIGH,PIGH,-5.472899,1.357281
SFI1,SFI1,15.636844,1.357244
SAMM50,SAMM50,-5.199304,1.355766
SUCLA2,SUCLA2,7.33053,1.354788
ACHE,ACHE,1.169844,1.354548
FLJ10038,FLJ10038,7.074308,1.353872
RFWD3,RFWD3,-1.631829,1.353555
COX17,COX17,9.830232,1.352374
