disorder	phenotype	rg	se	z	p	h2_obs	h2_obs_se	h2_z	gcov_int	underpowered
SCZ	baseline_thickness	0.0311	0.0551	0.5651	0.5720	0.4126	0.0954	4.32	-0.0018	no
SCZ	global_slope	-0.1035	0.0862	-1.1997	0.2303	0.1655	0.0932	1.78	0.0006	yes
SCZ	slope_PC3	-0.1441	0.1999	-0.7210	0.4709	0.0639	0.1068	0.60	0.0018	yes
SCZ	slope_PC2	-0.0746	0.0786	-0.9496	0.3423	0.1874	0.1075	1.74	0.0068	yes
SCZ	slope_PC1	-0.0941	0.0936	-1.0047	0.3150	0.1260	0.1026	1.23	0.0020	yes
MDD	baseline_thickness	-0.0044	0.0562	-0.0789	0.9371	0.4174	0.0972	4.29	-0.0070	no
MDD	global_slope	-0.0473	0.0779	-0.6066	0.5441	0.1690	0.0999	1.69	0.0009	yes
MDD	slope_PC3	-0.0669	0.1919	-0.3487	0.7273	0.0529	0.1105	0.48	0.0113	yes
MDD	slope_PC2	-0.0615	0.0791	-0.7772	0.4370	0.1946	0.1104	1.76	0.0021	yes
MDD	slope_PC1	-0.0756	0.1017	-0.7436	0.4571	0.1074	0.1096	0.98	0.0051	yes
