label,system,cortex_id,cortex
lh_1,sensorimotor,6,Somatosensory_and_Motor
lh_10d,association,20,Orbital_and_Polar_Frontal
lh_10pp,association,20,Orbital_and_Polar_Frontal
lh_10r,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_10v,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_11l,association,20,Orbital_and_Polar_Frontal
lh_13l,association,20,Orbital_and_Polar_Frontal
lh_2,sensorimotor,6,Somatosensory_and_Motor
lh_23c,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_23d,association,18,Posterior_Cingulate
lh_24dd,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_24dv,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_25,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_31a,association,18,Posterior_Cingulate
lh_31pd,association,18,Posterior_Cingulate
lh_31pv,association,18,Posterior_Cingulate
lh_33pr,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_3a,sensorimotor,6,Somatosensory_and_Motor
lh_3b,sensorimotor,6,Somatosensory_and_Motor
lh_4,sensorimotor,6,Somatosensory_and_Motor
lh_43,sensorimotor,9,Posterior_Opercular
lh_44,association,21,Inferior_Frontal
lh_45,association,21,Inferior_Frontal
lh_46,association,22,Dorsolateral_Prefrontal
lh_47l,association,21,Inferior_Frontal
lh_47m,association,20,Orbital_and_Polar_Frontal
lh_47s,association,20,Orbital_and_Polar_Frontal
lh_52,auditory,10,Early_Auditory
lh_55b,sensorimotor,8,Premotor
lh_5L,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_5m,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_5mv,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_6a,sensorimotor,8,Premotor
lh_6d,sensorimotor,8,Premotor
lh_6ma,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_6mp,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_6r,sensorimotor,8,Premotor
lh_6v,sensorimotor,8,Premotor
lh_7AL,association,16,Superior_Parietal
lh_7Am,association,16,Superior_Parietal
lh_7PC,association,16,Superior_Parietal
lh_7Pl,association,16,Superior_Parietal
lh_7Pm,association,16,Superior_Parietal
lh_7m,association,18,Posterior_Cingulate
lh_8Ad,association,22,Dorsolateral_Prefrontal
lh_8Av,association,22,Dorsolateral_Prefrontal
lh_8BL,association,22,Dorsolateral_Prefrontal
lh_8BM,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_8C,association,22,Dorsolateral_Prefrontal
lh_9-46d,association,22,Dorsolateral_Prefrontal
lh_9a,association,22,Dorsolateral_Prefrontal
lh_9m,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_9p,association,22,Dorsolateral_Prefrontal
lh_A1,auditory,10,Early_Auditory
lh_A4,auditory,11,Auditory_Association
lh_A5,auditory,11,Auditory_Association
lh_AAIC,auditory,12,Insular_and_Frontal_Opercular
lh_AIP,association,16,Superior_Parietal
lh_AVI,auditory,12,Insular_and_Frontal_Opercular
lh_DVT,association,18,Posterior_Cingulate
lh_EC,association,13,Medial_Temporal
lh_FEF,sensorimotor,8,Premotor
lh_FFC,visual,4,Ventral_Stream_Visual
lh_FOP1,sensorimotor,9,Posterior_Opercular
lh_FOP2,auditory,12,Insular_and_Frontal_Opercular
lh_FOP3,auditory,12,Insular_and_Frontal_Opercular
lh_FOP4,auditory,12,Insular_and_Frontal_Opercular
lh_FOP5,auditory,12,Insular_and_Frontal_Opercular
lh_FST,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_H,association,13,Medial_Temporal
lh_IFJa,association,21,Inferior_Frontal
lh_IFJp,association,21,Inferior_Frontal
lh_IFSa,association,21,Inferior_Frontal
lh_IFSp,association,21,Inferior_Frontal
lh_IP0,association,17,Inferior_Parietal
lh_IP1,association,17,Inferior_Parietal
lh_IP2,association,17,Inferior_Parietal
lh_IPS1,visual,3,Dorsal_Stream_Visual
