label	model	trait	term	beta	se	p	n	n_families	mde80	post_min
dk_1lmm	M1_primary	global_slope_1lmm	C4A_GREx_z	-0.0156431178155402	0.0144752264324907	0.279902299701232	4308	3601	0.040530634010974	0.7
dk_1lmm	M2_joint_C4B	global_slope_1lmm	C4A_GREx_z	-0.0151658704394709	0.0147452403000187	0.303763079815406	4308	3601	0.0412866728400524	0.7
dk_1lmm	M2_joint_C4B	global_slope_1lmm	C4B_GREx_z	0.00251062898904627	0.0147180208195932	0.864560963421029	4308	3601	0.041210458294861	0.7
dk_1lmm	M3_sex_interaction	global_slope_1lmm	C4A_GREx_z	-0.027821297732146	0.0209737261871281	0.184751011553069	4308	3601	0.0587264333239586	0.7
dk_1lmm	M3_sex_interaction	global_slope_1lmm	C4A_GREx_z:sexM	0.0229797329088468	0.0286408434721377	0.422400025262183	4308	3601	0.0801943617219856	0.7
dk_1lmm	M3_sex_F	global_slope_1lmm	C4A_GREx_z	-0.0318202396762164	0.0226555013006321	0.160319344519487	2016	1769	0.06343540364177	0.7
dk_1lmm	M3_sex_M	global_slope_1lmm	C4A_GREx_z	-0.00716634048204064	0.0211313476103107	0.734542891094317	2292	2011	0.05916777330887	0.7
dk_1lmm	M4_PRS_alone	global_slope_1lmm	PRS_z	-0.0302846758851117	0.0145879594339217	0.0379572081994925	4308	3601	0.0408462864149806	0.7
dk_1lmm	M4_conditional_PRS	global_slope_1lmm	C4A_GREx_z	-0.013458851653482	0.0145113109241049	0.353735600166397	4308	3601	0.0406316705874938	0.7
dk_1lmm	M4_conditional_PRS	global_slope_1lmm	PRS_z	-0.0292640631766995	0.0146299697670328	0.045537218139672	4308	3601	0.0409639153476919	0.7
dk_1lmm	M5_control_baseline	baseline_thickness_1lmm	C4A_GREx_z	-0.0262742135658091	0.0152719137073549	0.0854268890475414	4308	3601	0.0427613583805936	0.7
dk_1lmm	M6_common5	global_slope_1lmm	C4A_GREx_z	-0.0109455086058793	0.0150313260290742	0.466548468076342	3991	3351	0.0420877128814077	0.7
dk_1lmm	M7_copy_numbers	global_slope_1lmm	C4A_copies_z	-0.0147695352054792	0.0234305080321308	0.528497577516553	4308	3601	0.0656054224899662	0.7
dk_1lmm	M7_copy_numbers	global_slope_1lmm	C4B_copies_z	0.0014341528549604	0.0159471544340327	0.928345978494964	4308	3601	0.0446520324152917	0.7
dk_1lmm	M7_copy_numbers	global_slope_1lmm	HERV_copies_z	0.000199808357503302	0.0223370889598197	0.992863343622481	4308	3601	0.0625438490874951	0.7
dk_1lmm	M8_posterior_filter	global_slope_1lmm	C4A_GREx_z	-0.0147294443717298	0.0152071371544547	0.332814129006284	3903	3301	0.0425799840324731	0.7
