label	n_folds	n_individuals	genotype_concordance	haplotype_concordance	frac_post_ge_0_7	genotype_concordance_post_ge_0_7	r_C4A_GREx	r_C4B_GREx	r_C4A_copies	r_HERV_copies	median_post_mean
leave_fold_out_thin1	5	111	0.7117	0.8378	0.9099	0.6931	0.9002	0.6301	0.8631	0.9039	0.8700
leave_fold_out_thin3	5	111	0.7027	0.8288	0.8468	0.7447	0.8883	0.5998	0.8496	0.9012	0.7963
