kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
reverse	ALZ_noAPOE	baseline_thickness	perregion	baseline_thickness	18171	0.0084461	0.009227	0.36002
reverse	ALZ_noAPOE	baseline_thickness	1lmm	baseline_thickness_1lmm	18177	0.0086567	0.009226	0.34811
reverse	ALZ_noAPOE	global_slope	perregion	global_slope	18171	-0.0022718	0.0092367	0.80572
reverse	ALZ_noAPOE	global_slope	1lmm	global_slope_1lmm	18177	-0.0024316	0.0092955	0.79365
reverse	ALZ	baseline_thickness	perregion	baseline_thickness	18254	0.0073332	0.0093123	0.43102
reverse	ALZ	baseline_thickness	1lmm	baseline_thickness_1lmm	18260	0.0075737	0.0093114	0.41602
reverse	ALZ	global_slope	perregion	global_slope	18254	-0.0055543	0.0093223	0.55132
reverse	ALZ	global_slope	1lmm	global_slope_1lmm	18260	-0.0046662	0.0093823	0.61896
reverse	ASD	baseline_thickness	perregion	baseline_thickness	18206	-0.0050117	0.0092876	0.58947
reverse	ASD	baseline_thickness	1lmm	baseline_thickness_1lmm	18210	-0.0045305	0.0092868	0.62567
reverse	ASD	global_slope	perregion	global_slope	18206	-0.0071401	0.009244	0.43989
reverse	ASD	global_slope	1lmm	global_slope_1lmm	18210	-0.0096885	0.0092816	0.29658
reverse	EA	baseline_thickness	perregion	baseline_thickness	18264	0.028055	0.010395	0.0069647
reverse	EA	baseline_thickness	1lmm	baseline_thickness_1lmm	18275	0.027978	0.010392	0.0071054
reverse	EA	global_slope	perregion	global_slope	18264	0.00085186	0.010309	0.93414
reverse	EA	global_slope	1lmm	global_slope_1lmm	18275	0.0063686	0.010362	0.53883
reverse	MDD_EUR	baseline_thickness	perregion	baseline_thickness	18263	0.033663	0.01097	0.0021548
reverse	MDD_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	18275	0.033792	0.010964	0.0020588
reverse	MDD_EUR	global_slope	perregion	global_slope	18263	-0.010547	0.010921	0.33417
reverse	MDD_EUR	global_slope	1lmm	global_slope_1lmm	18275	-0.010655	0.010974	0.33156
reverse	MDD_div	baseline_thickness	perregion	baseline_thickness	18228	0.039083	0.011246	0.00051208
reverse	MDD_div	baseline_thickness	1lmm	baseline_thickness_1lmm	18240	0.039042	0.011244	0.00051777
reverse	MDD_div	global_slope	perregion	global_slope	18228	-0.011102	0.011243	0.32342
reverse	MDD_div	global_slope	1lmm	global_slope_1lmm	18240	-0.012527	0.011299	0.26759
reverse	PGC3_EUR	baseline_thickness	perregion	baseline_thickness	18261	0.026454	0.011255	0.018764
reverse	PGC3_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	18270	0.026441	0.011251	0.01878
reverse	PGC3_EUR	global_slope	perregion	global_slope	18261	0.010553	0.011154	0.34413
reverse	PGC3_EUR	global_slope	1lmm	global_slope_1lmm	18270	0.0116	0.011185	0.2997
reverse	PGC3_primary	baseline_thickness	perregion	baseline_thickness	18261	0.030404	0.011378	0.0075454
reverse	PGC3_primary	baseline_thickness	1lmm	baseline_thickness_1lmm	18261	0.03007	0.011378	0.0082324
reverse	PGC3_primary	global_slope	perregion	global_slope	18261	0.012678	0.011323	0.2629
reverse	PGC3_primary	global_slope	1lmm	global_slope_1lmm	18261	0.012759	0.011363	0.26151
reverse	SCZ25_EUR	baseline_thickness	perregion	baseline_thickness	18270	0.022714	0.010956	0.038173
reverse	SCZ25_EUR	baseline_thickness	1lmm	baseline_thickness_1lmm	18282	0.02256	0.010952	0.039425
reverse	SCZ25_EUR	global_slope	perregion	global_slope	18270	0.015799	0.010918	0.1479
reverse	SCZ25_EUR	global_slope	1lmm	global_slope_1lmm	18282	0.017698	0.010936	0.1056
reverse	SCZ25_META	baseline_thickness	perregion	baseline_thickness	18270	0.030264	0.010734	0.004815
reverse	SCZ25_META	baseline_thickness	1lmm	baseline_thickness_1lmm	18282	0.030255	0.010731	0.0048197
reverse	SCZ25_META	global_slope	perregion	global_slope	18270	0.013871	0.010671	0.19368
reverse	SCZ25_META	global_slope	1lmm	global_slope_1lmm	18282	0.016975	0.010701	0.11271
reverse	SCZ25_METAnaive	baseline_thickness	perregion	baseline_thickness	18270	0.029417	0.010638	0.0056948
reverse	SCZ25_METAnaive	baseline_thickness	1lmm	baseline_thickness_1lmm	18277	0.029133	0.010636	0.0061691
reverse	SCZ25_METAnaive	global_slope	perregion	global_slope	18270	0.016373	0.01059	0.12209
reverse	SCZ25_METAnaive	global_slope	1lmm	global_slope_1lmm	18277	0.011807	0.010614	0.26599
forward	ALZ	baseline_thickness	1lmm	ALZ	18260	0.0056866	0.0075388	0.45067
forward	ALZ_noAPOE	baseline_thickness	1lmm	ALZ_noAPOE	18177	0.0063206	0.0076637	0.40953
forward	ASD	baseline_thickness	1lmm	ASD	18210	-0.0055195	0.0076477	0.47047
forward	EA	baseline_thickness	1lmm	EA	18275	0.022198	0.0066386	0.00082878
forward	MDD_EUR	baseline_thickness	1lmm	MDD_EUR	18275	0.017524	0.0061417	0.0043338
forward	MDD_div	baseline_thickness	1lmm	MDD_div	18240	0.01908	0.0061031	0.001774
forward	PGC3_EUR	baseline_thickness	1lmm	PGC3_EUR	18270	0.015364	0.0060616	0.011266
forward	PGC3_primary	baseline_thickness	1lmm	PGC3_primary	18261	0.019454	0.0059851	0.0011553
forward	SCZ25_EUR	baseline_thickness	1lmm	SCZ25_EUR	18282	0.014801	0.0060282	0.014089
