phenotype,x_lo,x_hi,y_lo,y_hi,count
global,-0.030646855696685,-0.03028389912036645,-0.0302227300949227,-0.029867515224605554,1
global,-0.029920942544047903,-0.029557985967729353,-0.029867515224605554,-0.029512300354288406,1
global,-0.028832072815092258,-0.02846911623877371,-0.028801870613654107,-0.02844665574333696,1
global,-0.02846911623877371,-0.02810615966245516,-0.02844665574333696,-0.02809144087301981,1
global,-0.02810615966245516,-0.027743203086136613,-0.02809144087301981,-0.027736226002702664,1
global,-0.026654333357180968,-0.026291376780862418,-0.027025796262068365,-0.026670581391751217,1
global,-0.026654333357180968,-0.026291376780862418,-0.02631536652143407,-0.02596015165111692,1
global,-0.026654333357180968,-0.026291376780862418,-0.02596015165111692,-0.025604936780799774,2
global,-0.026291376780862418,-0.02592842020454387,-0.02631536652143407,-0.02596015165111692,1
global,-0.026291376780862418,-0.02592842020454387,-0.02596015165111692,-0.025604936780799774,2
global,-0.02592842020454387,-0.025565463628225323,-0.02631536652143407,-0.02596015165111692,1
global,-0.02592842020454387,-0.025565463628225323,-0.02596015165111692,-0.025604936780799774,4
global,-0.02592842020454387,-0.025565463628225323,-0.025604936780799774,-0.025249721910482623,2
global,-0.02592842020454387,-0.025565463628225323,-0.025249721910482623,-0.02489450704016548,1
global,-0.025565463628225323,-0.025202507051906773,-0.02596015165111692,-0.025604936780799774,1
global,-0.025565463628225323,-0.025202507051906773,-0.025604936780799774,-0.025249721910482623,3
global,-0.025565463628225323,-0.025202507051906773,-0.025249721910482623,-0.02489450704016548,4
global,-0.025202507051906773,-0.024839550475588223,-0.025604936780799774,-0.025249721910482623,1
global,-0.025202507051906773,-0.024839550475588223,-0.025249721910482623,-0.02489450704016548,3
global,-0.025202507051906773,-0.024839550475588223,-0.02489450704016548,-0.024539292169848327,3
global,-0.024839550475588223,-0.024476593899269677,-0.02489450704016548,-0.024539292169848327,11
global,-0.024839550475588223,-0.024476593899269677,-0.024539292169848327,-0.02418407729953118,4
global,-0.024476593899269677,-0.024113637322951128,-0.02489450704016548,-0.024539292169848327,1
global,-0.024476593899269677,-0.024113637322951128,-0.024539292169848327,-0.02418407729953118,7
global,-0.024476593899269677,-0.024113637322951128,-0.02418407729953118,-0.02382886242921403,8
global,-0.024476593899269677,-0.024113637322951128,-0.02382886242921403,-0.023473647558896884,1
global,-0.024113637322951128,-0.02375068074663258,-0.024539292169848327,-0.02418407729953118,1
global,-0.024113637322951128,-0.02375068074663258,-0.02418407729953118,-0.02382886242921403,13
global,-0.024113637322951128,-0.02375068074663258,-0.02382886242921403,-0.023473647558896884,6
global,-0.024113637322951128,-0.02375068074663258,-0.023473647558896884,-0.023118432688579736,1
global,-0.02375068074663258,-0.023387724170314032,-0.02418407729953118,-0.02382886242921403,3
global,-0.02375068074663258,-0.023387724170314032,-0.02382886242921403,-0.023473647558896884,15
global,-0.02375068074663258,-0.023387724170314032,-0.023473647558896884,-0.023118432688579736,7
global,-0.02375068074663258,-0.023387724170314032,-0.023118432688579736,-0.022763217818262585,1
