method	trait_arm	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	BIP_eur	BIPeur	0p001	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.360185652200328	3.21126093280691	3.0	8	1.0
CT	BIP_eur	BIPeur	0p01	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.0729029691472861	6.96867400984047	3.0	8	0.583223753178289
CT	BIP_eur	BIPeur	0p05	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.0464879084365691	7.97707363542941	3.0	8	0.371903267492553
CT	BIP_eur	BIPeur	0p1	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.164385065416227	5.10333342484228	3.0	8	1.0
CT	BIP_eur	BIPeur	0p5	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.116744218725251	5.89672705189514	3.0	8	0.933953749802009
CT	BIP_eur	BIPeur	1	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.126528614020167	5.71137609248399	3.0	8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.262222138189582	3.99298945235569	3.0	8	1.0
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	heterogeneity_PRSxStratum	all	8596	7198			0.998547228708124	0.031210022225423	3.0	8	1.0
CT	BIP_eur	BIPeur	0p001	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0082372076599006	0.010684141273722	0.440742859539791			8	1.0
CT	BIP_eur	BIPeur	0p01	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0084200909522888	0.0107917062470814	0.435272772619628			8	1.0
CT	BIP_eur	BIPeur	0p05	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0085277319429174	0.0111043577867035	0.442530531719615			8	1.0
CT	BIP_eur	BIPeur	0p1	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0085558682620329	0.0111789003646541	0.444079083501197			8	1.0
CT	BIP_eur	BIPeur	0p5	baseline_thickness	pooled_stratumFE	all	8596	7198	0.0014029798676781	0.0112891684369942	0.901099162397663			8	1.0
CT	BIP_eur	BIPeur	1	baseline_thickness	pooled_stratumFE	all	8596	7198	-6.73124678065672e-05	0.0112978647535818	0.995246385545584			8	1.0
CT	BIP_eur	BIPeur	1e-5	baseline_thickness	pooled_stratumFE	all	8596	7198	-0.0223924162109858	0.0107002091644067	0.036404509954583			8	0.291236079636664
CT	BIP_eur	BIPeur	5e-8	baseline_thickness	pooled_stratumFE	all	8596	7198	-0.0230428157422309	0.0106991298556645	0.0312907185594285			8	0.250325748475428
CT	BIP_eur	BIPeur	0p001	baseline_thickness	within_stratum	EURanchor	4308	3601	0.0197506777493512	0.0153909210142911	0.199467494969602			8	1.0
CT	BIP_eur	BIPeur	0p01	baseline_thickness	within_stratum	EURanchor	4308	3601	0.0350406119576372	0.0155365410354307	0.0241604555630909			8	0.193283644504727
