method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	5e-8	8596	7198	127	-0.0250027209602935	0.0106420384028161	0.0188247504025224	0.150598003220179
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	0p05	8596	7198	51175	-0.019716209445946	0.0104938758462965	0.0603031579926623	0.482425263941299
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	1e-5	8596	7198	623	-0.0168326909156959	0.0108488288879321	0.12080477064792	0.966438165183362
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	0p1	8596	7198	79137	0.013905466232319	0.0110853657474989	0.209732893294508	1.0
CT	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	0p1	8596	7198	79137	-0.0100517491245369	0.0111833441781357	0.368778308517009	1.0
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	0p001	8596	7198	3313	-0.0189775740425338	0.0118533558363612	0.109408902774321	0.875271222194566
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	0p01	8596	7198	15068	0.0240541192800326	0.0154089215931628	0.118550499115543	0.948403992924346
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	1	8596	7198	274972	-0.0260703952292299	0.0169203789820795	0.123410058394491	0.987280467155926
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	1e-5	8596	7198	280	-0.0143226728513538	0.0108860673299977	0.188314808839962	1.0
CT	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	1e-5	8596	7198	280	-0.0097753449752576	0.0103620945513016	0.345516377574627	1.0
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	1	4308	3601	274972	-0.034395883387562	0.0156976894604457	0.028495227859884	0.227961822879072
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	0p1	4308	3601	72955	0.0297886900736818	0.0156940915034049	0.057754614960313	0.462036919682504
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	0p001	4308	3601	3313	-0.0234882347326859	0.0155523596593089	0.131052837114435	1.0
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	1e-5	4308	3601	280	-0.0218272658308916	0.0145107840393585	0.132603400843665	1.0
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	0p01	4308	3601	15068	0.0202803322676999	0.0153207583922696	0.185673873696864	1.0
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	0p01	8596	7198	15068	-0.0192587889105362	0.0110869639837825	0.0824133034401318	0.659306427521054
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	0p01	8596	7198	15068	0.01819860682956	0.0109343911356319	0.0960821866240892	0.768657492992714
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	0p01	8596	7198	15068	0.0142871614797251	0.0108134249845025	0.186455783711176	1.0
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	1e-5	8596	7198	280	-0.0141273745604358	0.0108352826463836	0.192327220040175	1.0
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	1e-5	8596	7198	280	-0.0095750771548867	0.0103141271167499	0.353255122989289	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC3	0p1	8596	7198	103930	-0.0243499008576844	0.0156732965700216	0.120320350921158	0.962562807369261
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	baseline_thickness	0p5	8596	7198	266137	0.0214060337016242	0.0163782269924123	0.191254406024004	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC1	1e-5	8596	7198	1182	0.0133922008791824	0.011121241944823	0.228547370631359	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	global_slope	1e-5	8596	7198	1182	0.0093583429979766	0.0106345962545817	0.378890128264578	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC2	5e-8	8596	7198	311	-0.0094124170670583	0.0115666349123117	0.415808480559849	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	baseline_thickness	5e-8	4308	3601	311	0.0263782904646367	0.015334607840168	0.0854718359303544	0.683774687442836
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC3	1	4308	3601	352880	-0.0295017371516496	0.0173408484908256	0.0889641932544719	0.711713546035775
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC1	0p001	4308	3601	7372	0.0171986096911901	0.0157318945570555	0.274358744699006	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC2	5e-8	4308	3601	311	-0.0164683256924717	0.0155261822773817	0.288897425664258	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	global_slope	5e-8	4308	3601	311	-0.0091477114945958	0.0145423887891186	0.529359192624507	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC3	1	8596	7198	352880	-0.0188343237819391	0.011581641912633	0.103940948675991	0.831527589407927
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC1	1e-5	8596	7198	1182	0.0137691119783619	0.0108280819927474	0.203547500393751	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	global_slope	1e-5	8596	7198	1182	0.011599766753708	0.010351798044303	0.262509513747632	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC2	0p05	8596	7198	67615	0.0124516812599811	0.0115689810409283	0.281825628457503	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	baseline_thickness	0p01	8596	7198	25530	0.008784274328306	0.0111315320814977	0.430055437960521	1.0
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	prscs	8596	7198	1071688	-0.0269484926368242	0.0145436901908431	0.0639282190685723	0.0639282190685723
